Date,Open,High,Low,Close,Volume,Change
2021-04-02,10310,10445,10305,10380,29447,
2021-04-05,10420,10440,10305,10430,95057,0.00481695568400764
2021-04-06,10500,10500,10235,10280,26000,-0.014381591562799612
2021-04-07,10305,10405,10270,10355,14974,0.007295719844357951
2021-04-08,10395,10480,10320,10465,31183,0.010622887493964228
2021-04-09,10470,10480,10360,10390,14506,-0.007166746297181059
2021-04-12,10500,10525,10410,10450,18951,0.005774783445620768
2021-04-13,10460,10580,10460,10565,19196,0.011004784688995128
2021-04-14,10645,10780,10600,10760,19651,0.0184571699006153
2021-04-15,10790,10865,10700,10795,48018,0.0032527881040891327
2021-04-16,10800,10860,10745,10815,29191,0.0018527095877720612
2021-04-19,10845,10845,10775,10790,30008,-0.002311604253351862
2021-04-20,10775,10805,10730,10795,7850,0.0004633920296570615
2021-04-21,10750,10750,10580,10620,16031,-0.01621120889300598
2021-04-22,10670,10730,10640,10655,11834,0.003295668549905928
2021-04-23,10605,10635,10455,10600,12057,-0.005161895823556972
2021-04-26,10600,10700,10565,10700,8049,0.009433962264151052
2021-04-27,10705,10720,10640,10700,12616,0.0
2021-04-28,10690,10690,10550,10630,9667,-0.0065420560747663226
2021-04-29,10630,10720,10585,10625,14831,-0.0004703668861711918
2021-04-30,10610,10610,10345,10405,18234,-0.02070588235294113
2021-05-03,10410,10545,10325,10335,13722,-0.0067275348390196665
2021-05-04,10360,10510,10290,10505,14412,0.01644895984518624
2021-05-06,10510,10610,10460,10590,9523,0.008091385054735944
2021-05-07,10630,10685,10570,10665,5861,0.007082152974504208
2021-05-10,10725,10890,10720,10850,21645,0.017346460384435103
2021-05-11,10780,10785,10625,10725,11706,-0.011520737327188946
2021-05-12,10730,10760,10480,10610,21518,-0.010722610722610715
2021-05-13,10375,10525,10320,10375,26563,-0.022148916116870865
2021-05-14,10455,10495,10350,10415,9906,0.003855421686747018
2021-05-17,10465,10475,10260,10320,15841,-0.009121459433509393
2021-05-18,10345,10525,10345,10515,15098,0.018895348837209225
2021-05-20,10450,10460,10320,10390,7291,-0.011887779362815043
2021-05-21,10450,10505,10360,10410,15259,0.0019249278152069227
2021-05-24,10390,10440,10335,10355,4734,-0.005283381364073025
2021-05-25,10380,10385,10305,10385,9464,0.002897151134717557
2021-05-26,10370,10385,10250,10285,38376,-0.009629272989889248
2021-05-27,10210,10220,10005,10130,26361,-0.015070491006319853
2021-05-28,10185,10330,10170,10310,48714,0.017769002961500524
2021-05-31,10360,10360,10145,10220,29515,-0.008729388942773975
2021-06-01,10255,10330,10225,10285,20764,0.006360078277886538
2021-06-02,10345,10370,10240,10290,31560,0.000486144871171712
2021-06-03,10295,10330,10200,10310,18954,0.0019436345966958868
2021-06-04,10310,10375,10255,10365,16540,0.0053346265761395895
2021-06-07,10435,10510,10360,10405,28313,0.0038591413410515862
2021-06-08,10400,10405,10270,10385,22898,-0.001922152811148492
2021-06-09,10385,10385,10280,10295,24748,-0.008666345690900301
2021-06-10,10265,10265,10195,10240,17233,-0.005342399222923788
2021-06-11,10270,10480,10270,10455,33778,0.02099609375
2021-06-14,10480,10480,10380,10465,12547,0.0009564801530368428
2021-06-15,10465,10515,10430,10450,8085,-0.0014333492594361674
2021-06-16,10450,10535,10450,10515,11182,0.0062200956937799035
2021-06-17,10455,10475,10400,10455,26264,-0.005706134094151216
2021-06-18,10445,10485,10410,10475,4779,0.0019129603060736855
2021-06-21,10435,10450,10340,10380,14556,-0.009069212410501182
2021-06-22,10475,10640,10475,10625,28294,0.023603082851637813
2021-06-23,10670,10670,10515,10575,28473,-0.004705882352941226
2021-06-24,10570,10695,10535,10595,16483,0.001891252955082745
2021-06-25,10670,10710,10625,10665,14902,0.006606890042472946
2021-06-28,10700,10700,10590,10660,6638,-0.00046882325363339916
2021-06-29,10660,10660,10590,10600,9241,-0.0056285178236398226
2021-06-30,10650,10705,10600,10660,16060,0.005660377358490676
2021-07-01,10665,10720,10640,10720,15532,0.0056285178236397115
2021-07-02,10770,10790,10695,10700,5335,-0.001865671641791078
2021-07-05,10770,10770,10645,10665,7153,-0.003271028037383217
2021-07-06,10675,10725,10660,10660,16540,-0.00046882325363339916
2021-07-07,10640,10640,10560,10640,84723,-0.0018761726078799779
2021-07-08,10640,10665,10425,10435,44136,-0.019266917293233043
2021-07-09,10320,10345,10200,10345,33659,-0.008624820316243453
2021-07-12,10415,10535,10415,10500,9715,0.014983083615273118
2021-07-13,10545,10600,10495,10580,13992,0.007619047619047636
2021-07-14,10600,10655,10550,10635,16442,0.0051984877126654006
2021-07-15,10680,10805,10675,10800,62981,0.015514809590973178
2021-07-16,10800,10800,10625,10670,19817,-0.012037037037037068
2021-07-19,10565,10600,10510,10600,10672,-0.006560449859418949
2021-07-20,10455,10570,10450,10560,19581,-0.0037735849056603765
2021-07-21,10640,10700,10610,10635,9740,0.007102272727272707
2021-07-22,10675,10720,10615,10695,16144,0.005641748942172065
2021-07-23,10740,10750,10650,10700,220815,0.0004675081813931836
2021-07-26,10665,10720,10590,10600,69037,-0.009345794392523366
2021-07-27,10685,10735,10650,10670,65657,0.006603773584905603
2021-07-28,10650,10695,10560,10655,80495,-0.001405810684161235
2021-07-29,10700,10755,10675,10720,90278,0.006100422336930977
2021-07-30,10695,10705,10560,10575,59128,-0.013526119402985093
2021-08-02,10595,10615,10450,10555,54539,-0.001891252955082745
2021-08-03,10500,10505,10400,10505,52023,-0.004737091425864537
2021-08-04,10575,10600,10515,10585,26698,0.007615421227986641
2021-08-05,10575,10605,10550,10590,21100,0.0004723665564478896
2021-08-06,10645,10645,10555,10570,16417,-0.0018885741265344258
2021-08-09,10525,10535,10445,10530,44140,-0.0037842951750236553
2021-08-10,10530,10530,10410,10440,62660,-0.008547008547008517
2021-08-11,10465,10500,10395,10425,36216,-0.001436781609195359
2021-08-12,10480,10565,10425,10450,30091,0.0023980815347721673
2021-08-13,10545,10545,10255,10355,53649,-0.009090909090909038
2021-08-17,10330,10330,10075,10115,44653,-0.023177209077740235
2021-08-18,10065,10195,10000,10170,38491,0.005437469105289194
2021-08-19,10090,10105,9785,9785,87927,-0.037856440511307765
2021-08-20,9820,9855,9520,9575,81405,-0.02146142054164535
2021-08-23,9620,9815,9570,9740,58171,0.017232375979112202
2021-08-24,9885,10035,9880,9995,194603,0.026180698151950788
2021-08-25,9995,10145,9995,10140,65449,0.014507253626813377
2021-08-26,10165,10300,10120,10260,188878,0.01183431952662728
2021-08-27,10240,10375,10145,10375,70089,0.011208576998050779
2021-08-30,10545,10615,10485,10615,353194,0.023132530120481887
2021-08-31,10615,10725,10510,10725,141832,0.010362694300518172
2021-09-01,10720,10785,10610,10650,97287,-0.006993006993006978
2021-09-02,10645,10670,10530,10545,40711,-0.009859154929577452
2021-09-03,10625,10690,10600,10650,65163,0.009957325746799528
2021-09-06,10650,10730,10625,10685,267164,0.0032863849765258912
2021-09-07,10685,10785,10685,10770,130674,0.007955077211043493
2021-09-08,10790,10925,10715,10895,246953,0.01160631383472599
2021-09-09,10860,10890,10760,10775,163062,-0.011014226709499808
2021-09-10,10775,10815,10620,10705,107530,-0.00649651972157772
2021-09-13,10685,10745,10605,10720,99229,0.0014012143858010973
2021-09-14,10745,10955,10745,10895,304264,0.0163246268656716
2021-09-15,10880,10910,10815,10865,88984,-0.0027535566773749798
2021-09-16,10910,10970,10865,10930,140713,0.005982512655315242
2021-09-17,10915,11015,10850,11010,187739,0.007319304666056681
2021-09-23,10820,10975,10820,10925,101401,-0.007720254314259711
2021-09-24,10980,11020,10840,10890,108044,-0.0032036613272311554
