Date,Close,Open,High,Low,Volume,Change
2020-10-23,18.9,19.0,19.69,18.67,1550000.0,-0.043
2020-10-26,19.4,19.05,19.44,18.63,203030.0,0.0265
2020-10-27,19.46,19.24,19.8,19.0,296910.0,0.0031
2020-10-28,19.11,19.4,19.64,18.97,213640.0,-0.018000000000000002
2020-10-29,19.12,19.08,19.83,19.08,113540.0,0.0005
2020-10-30,19.0,19.21,19.45,18.94,31890.0,-0.0063
2020-11-02,19.95,19.4,20.25,19.34,203100.0,0.05
2020-11-03,20.01,19.65,20.11,19.29,268610.0,0.003
2020-11-04,20.37,19.96,20.87,19.94,57860.0,0.018000000000000002
2020-11-05,19.71,19.96,20.07,19.51,114280.0,-0.032400000000000005
2020-11-06,20.09,19.61,20.61,19.57,148590.0,0.019299999999999998
2020-11-09,19.13,18.12,19.34,17.88,563550.0,-0.0478
2020-11-10,19.05,18.3,19.2,18.02,498960.0,-0.0042
2020-11-11,18.6,18.84,18.98,18.53,211420.0,-0.0236
2020-11-12,18.8,18.2,18.96,18.17,433800.0,0.0108
2020-11-13,18.73,18.57,18.84,18.51,122860.0,-0.0037
2020-11-16,18.48,18.42,18.7,18.38,88320.0,-0.013300000000000001
2020-11-17,18.69,18.65,18.91,18.54,58360.0,0.011399999999999999
2020-11-18,18.2,18.46,18.52,18.18,67410.0,-0.0262
2020-11-19,19.03,18.33,19.3,18.33,112870.0,0.045599999999999995
2020-11-20,19.09,18.73,19.37,18.67,46740.0,0.0032
2020-11-23,18.44,18.7,18.91,18.43,41740.0,-0.034
2020-11-24,18.84,18.72,19.06,18.69,62330.0,0.0217
2020-11-25,18.48,18.52,18.89,18.42,98350.0,-0.0191
2020-11-27,19.03,18.58,19.08,18.58,31170.0,0.0298
2020-11-30,19.06,19.1,19.38,19.05,170850.0,0.0016
2020-12-01,19.28,19.1,19.31,18.88,61370.0,0.0115
2020-12-02,19.28,19.26,19.42,19.11,45580.0,0.0
2020-12-03,18.96,18.91,19.35,18.81,48410.0,-0.0166
2020-12-04,19.01,18.89,19.13,18.89,40310.0,0.0026
2020-12-07,18.98,18.8,19.0,18.67,33980.0,-0.0016
2020-12-08,19.01,18.8,19.07,18.72,29310.0,0.0016
2020-12-09,18.76,18.92,19.12,18.5,84310.0,-0.0132
2020-12-10,18.88,18.61,18.94,18.46,36260.0,0.0064
2020-12-11,19.02,18.69,19.09,18.65,61230.0,0.0074
2020-12-14,19.57,19.12,19.7,19.11,31610.0,0.028900000000000002
2020-12-15,19.56,19.55,19.99,19.36,210580.0,-0.0005
2020-12-16,19.69,19.65,19.9,19.47,75010.0,0.0066
2020-12-17,19.99,19.68,20.19,19.6,73560.0,0.0152
2020-12-18,19.64,19.57,19.92,19.32,117290.0,-0.0175
2020-12-21,19.84,19.17,20.05,19.17,474960.0,0.0102
2020-12-22,19.92,19.62,20.09,19.48,865120.0,0.004
2020-12-23,20.16,19.93,20.29,19.93,22260.0,0.012
2020-12-24,20.3,20.26,20.37,20.0,14400.0,0.0069
2020-12-28,20.7,20.42,20.9,20.42,64540.00000000001,0.0197
2020-12-29,20.3,20.3,20.68,20.2,410860.0,-0.019299999999999998
2020-12-30,22.45,20.52,23.48,20.48,372570.0,0.1059
2020-12-31,21.55,22.03,22.03,20.7,241520.0,-0.0401
2021-01-04,20.47,21.17,21.17,20.2,99540.0,-0.0501
2021-01-05,20.29,20.33,20.34,19.9,78620.0,-0.0088
2021-01-06,20.01,20.14,20.33,19.5,1200000.0,-0.0138
2021-01-07,19.65,19.87,20.41,19.51,706450.0,-0.018000000000000002
2021-01-08,19.64,19.57,20.29,19.55,235910.0,-0.0005
2021-01-11,21.35,20.56,21.4,20.56,116980.0,0.08710000000000001
2021-01-12,23.53,21.93,23.96,21.75,224520.0,0.10210000000000001
2021-01-13,23.58,22.89,24.02,22.66,246910.0,0.0021
2021-01-14,23.34,23.42,24.69,23.25,168220.0,-0.0102
2021-01-15,23.0,23.18,23.64,22.96,97830.0,-0.0146
2021-01-19,23.25,23.15,23.61,23.15,74040.0,0.0109
2021-01-20,23.52,23.33,23.8,23.24,166260.0,0.0116
2021-01-21,23.32,23.54,23.76,23.26,91080.0,-0.0085
2021-01-22,23.59,23.17,23.9,22.49,80550.0,0.0116
2021-01-25,23.89,23.56,23.9,23.19,243820.0,0.0127
2021-01-26,22.38,23.48,23.68,22.09,182060.0,-0.0632
2021-01-27,23.08,22.96,23.34,22.41,218270.0,0.0313
