Date,Close,Open,High,Low,Volume,Change
1980-03-17,0.81,0.81,0.82,0.8,918400.0,-0.9895999999999999
1980-03-18,0.82,0.82,0.83,0.81,1290000.0,0.0123
1980-03-19,0.84,0.84,0.84,0.82,1080000.0,0.024399999999999998
1980-03-20,0.83,0.83,0.86,0.83,2420000.0,-0.011899999999999999
1980-03-21,0.83,0.83,0.84,0.83,809600.0,0.0
1980-03-24,0.83,0.83,0.84,0.83,617600.0,0.0
1980-03-25,0.83,0.83,0.84,0.82,748800.0,0.0
1980-03-26,0.84,0.84,0.84,0.82,1850000.0,0.012
1980-03-27,0.81,0.81,0.83,0.81,611200.0,-0.035699999999999996
1980-03-28,0.83,0.83,0.84,0.83,364800.0,0.024700000000000003
1980-03-31,0.84,0.84,0.85,0.83,198400.0,0.012
1980-04-01,0.85,0.85,0.86,0.84,160000.0,0.011899999999999999
1980-04-02,0.89,0.89,0.9,0.85,601600.0,0.0471
1980-04-03,0.91,0.91,0.92,0.9,1170000.0,0.0225
1980-04-07,0.9,0.9,0.91,0.9,368000.0,-0.011000000000000001
1980-04-08,0.88,0.88,0.89,0.88,1080000.0,-0.0222
1980-04-09,0.88,0.88,0.88,0.88,275200.0,0.0
1980-04-10,0.89,0.89,0.9,0.89,249600.0,0.011399999999999999
1980-04-11,0.9,0.9,0.91,0.9,563200.0,0.011200000000000002
1980-04-14,0.89,0.89,0.89,0.89,163200.0,-0.0111
1980-04-15,0.89,0.89,0.9,0.89,156800.0,0.0
1980-04-16,0.9,0.9,0.91,0.9,1690000.0,0.011200000000000002
1980-04-17,0.89,0.89,0.89,0.89,1090000.0,-0.0111
1980-04-18,0.89,0.89,0.9,0.89,310400.0,0.0
1980-04-21,0.89,0.89,0.9,0.89,300800.0,0.0
1980-04-22,0.9,0.9,0.92,0.9,892800.0,0.011200000000000002
1980-04-23,0.91,0.91,0.91,0.9,496000.0,0.0111
1980-04-24,0.91,0.91,0.91,0.9,195200.0,0.0
1980-04-25,0.91,0.91,0.91,0.91,96000.0,0.0
1980-04-28,0.92,0.92,0.92,0.91,275200.0,0.011000000000000001
1980-04-29,0.92,0.92,0.92,0.92,924800.0,0.0
1980-04-30,0.91,0.91,0.92,0.91,342400.0,-0.0109
1980-05-01,0.94,0.94,0.94,0.93,396800.0,0.033
1980-05-02,0.93,0.93,0.95,0.93,172800.0,-0.0106
1980-05-05,0.94,0.94,0.94,0.93,361600.0,0.0108
