Date,Close,Open,High,Low,Volume,Change
2013-07-24,31.28,29.0,32.0,27.16,6200000.0,-0.6606000000000001
2013-07-25,27.78,31.04,31.47,27.76,592690.0,-0.1119
2013-07-26,28.53,27.75,29.45,27.75,313660.0,0.027000000000000003
2013-07-29,28.64,28.49,30.79,28.02,149330.0,0.0039000000000000003
2013-07-30,29.1,28.55,29.86,28.12,77270.0,0.0161
2013-07-31,29.16,29.36,29.36,28.51,113930.0,0.0021
2013-08-01,29.15,29.99,29.99,28.52,68220.0,-0.0003
2013-08-02,28.84,29.0,29.0,28.24,122170.0,-0.0106
2013-08-05,28.8,29.04,29.04,27.5,56230.0,-0.0014000000000000002
2013-08-06,28.96,28.75,29.46,28.7,213430.0,0.005600000000000001
2013-08-07,29.67,29.14,30.14,29.14,101140.0,0.0245
2013-08-08,29.85,29.81,30.39,29.1,234930.0,0.0060999999999999995
2013-08-09,30.0,30.38,30.5,29.13,126840.0,0.005
2013-08-12,30.48,30.3,30.48,29.66,214930.0,0.016
2013-08-13,31.37,30.0,31.86,29.56,263540.0,0.0292
2013-08-14,32.77,31.0,33.45,30.81,171620.0,0.0446
2013-08-15,32.18,33.14,33.14,31.84,109210.0,-0.018000000000000002
2013-08-16,31.91,32.48,32.97,31.41,221290.0,-0.0084
2013-08-19,29.11,31.91,32.35,29.04,163560.0,-0.0877
2013-08-20,26.76,28.98,29.2,26.51,148880.0,-0.08070000000000001
2013-08-21,24.79,26.81,26.81,24.56,151750.0,-0.0736
2013-08-22,25.47,24.56,26.0,24.55,50290.0,0.0274
2013-08-23,25.87,25.46,26.35,25.38,36370.0,0.015700000000000002
2013-08-26,25.6,25.75,26.46,25.5,115350.0,-0.0104
2013-08-27,22.65,25.5,25.64,22.34,189480.0,-0.1152
2013-08-28,23.1,22.86,23.29,22.5,184010.0,0.0199
2013-08-29,24.87,23.72,25.48,23.42,124920.0,0.0766
2013-08-30,23.58,25.16,25.86,23.1,166300.0,-0.0519
2013-09-03,23.58,24.09,25.38,23.14,95040.0,0.0
2013-09-04,25.44,23.74,25.44,23.5,87310.0,0.0789
2013-09-05,27.1,26.3,27.75,25.0,57070.0,0.0653
2013-09-06,27.08,27.71,28.18,26.05,91470.0,-0.0007000000000000001
2013-09-09,26.79,27.11,28.99,26.13,81840.0,-0.010700000000000001
2013-09-10,27.72,27.09,27.72,26.13,103580.0,0.0347
2013-09-11,27.13,27.48,27.8,26.56,86370.0,-0.0213
2013-09-12,26.93,27.08,27.67,26.6,93460.0,-0.0074
2013-09-13,26.55,26.94,27.23,26.07,129190.0,-0.0141
2013-09-16,26.9,27.0,28.12,26.12,95350.0,0.0132
2013-09-17,26.07,27.02,27.84,25.87,85220.0,-0.030899999999999997
2013-09-18,27.12,25.81,27.2,25.81,162480.0,0.0403
2013-09-19,27.66,27.04,27.8,26.31,178210.0,0.0199
2013-09-20,26.71,27.75,27.9,26.05,400000.0,-0.034300000000000004
2013-09-23,26.09,27.17,27.17,25.03,362430.0,-0.0232
2013-09-24,25.78,26.08,26.19,25.13,321220.0,-0.011899999999999999
2013-09-25,26.95,25.76,27.64,25.2,189600.0,0.0454
2013-09-26,27.44,27.38,29.34,27.25,255510.0,0.0182
2013-09-27,27.86,27.1,28.96,27.1,127010.0,0.015300000000000001
2013-09-30,27.96,27.49,28.15,26.76,959260.0,0.0036
2013-10-01,28.75,28.08,29.24,27.13,117790.0,0.028300000000000002
2013-10-02,30.04,28.71,30.05,28.1,127410.0,0.0449
2013-10-03,32.25,30.05,32.7,29.5,223190.0,0.0736
2013-10-04,33.18,32.16,33.59,31.86,104460.0,0.0288
2013-10-07,30.79,32.92,32.92,30.76,97920.0,-0.07200000000000001
2013-10-08,28.97,30.79,31.12,28.52,201830.0,-0.0591
2013-10-09,25.15,29.16,29.16,24.43,421820.0,-0.1319
2013-10-10,25.16,25.63,27.41,24.12,142710.0,0.0004
2013-10-11,24.76,25.19,26.22,24.32,102950.0,-0.0159
2013-10-14,26.23,24.73,26.39,24.25,38930.0,0.0594
2013-10-15,26.43,26.56,27.58,26.1,60070.0,0.0076
2013-10-16,27.42,26.66,27.51,26.5,86170.0,0.0375
2013-10-17,28.4,27.17,28.73,27.17,40290.0,0.035699999999999996
2013-10-18,28.52,28.61,29.58,28.06,86020.0,0.0042
2013-10-21,28.8,28.69,29.35,28.41,137150.0,0.0098
2013-10-22,26.71,28.77,29.25,26.55,61720.0,-0.0726
2013-10-23,27.3,26.48,27.38,25.51,26100.0,0.022099999999999998
2013-10-24,27.72,27.37,27.99,27.08,30450.0,0.0154
2013-10-25,26.52,27.82,28.31,26.14,45260.0,-0.0433
2013-10-28,25.04,26.45,26.47,24.9,74560.0,-0.0558
2013-10-29,25.68,25.11,25.91,24.75,54040.0,0.0256
2013-10-30,24.53,25.77,25.82,24.48,57980.0,-0.044800000000000006
2013-10-31,23.16,23.94,24.77,23.15,92460.0,-0.0559
2013-11-01,23.0,23.15,25.6,22.7,135200.0,-0.0069
2013-11-04,23.84,23.07,24.68,23.0,65680.0,0.0365
2013-11-05,24.3,23.7,24.47,23.31,63540.0,0.019299999999999998
2013-11-06,22.0,24.53,24.9,21.16,296460.0,-0.0947
2013-11-07,19.46,22.0,22.4,19.0,382730.0,-0.1155
2013-11-08,19.85,19.49,20.48,19.37,102370.0,0.02
2013-11-11,20.89,19.87,21.8,19.87,58280.0,0.0524
2013-11-12,20.09,20.96,21.2,19.44,67130.0,-0.0383
2013-11-13,21.5,20.01,21.77,20.01,86070.0,0.0702
2013-11-14,19.0,21.48,22.11,18.98,378620.0,-0.11630000000000001
2013-11-15,17.6,19.01,19.3,17.59,177460.0,-0.0737
2013-11-18,17.0,17.72,17.72,15.77,495480.0,-0.0341
2013-11-19,17.06,16.89,17.22,16.39,147140.0,0.0034999999999999996
2013-11-20,16.98,17.06,17.15,16.61,105210.0,-0.004699999999999999
2013-11-21,17.98,16.98,18.14,16.98,101630.0,0.058899999999999994
2013-11-22,17.85,18.0,18.66,17.6,63780.0,-0.0072
2013-11-25,16.06,17.79,17.79,15.91,153930.0,-0.1003
2013-11-26,17.23,16.1,17.8,16.0,144290.0,0.0729
2013-11-27,17.75,17.25,17.97,17.0,214070.0,0.0302
2013-11-29,17.55,17.86,18.23,17.55,32870.0,-0.0113
2013-12-02,17.28,17.6,17.8,16.84,82610.0,-0.0154
2013-12-03,17.82,18.0,18.21,17.18,156180.0,0.031200000000000002
2013-12-04,18.01,17.8,18.25,17.63,112600.0,0.010700000000000001
2013-12-05,18.04,18.0,18.23,17.76,26620.0,0.0017000000000000001
2013-12-06,18.86,18.23,19.46,17.91,101620.0,0.0455
2013-12-09,19.11,18.97,19.2,18.29,121430.0,0.013300000000000001
2013-12-10,18.67,19.16,19.19,18.55,100940.0,-0.023
2013-12-11,18.19,18.88,18.88,17.65,111770.0,-0.025699999999999997
2013-12-12,19.42,18.24,19.96,18.01,170540.0,0.0676
2013-12-13,19.57,19.57,20.13,18.49,122520.0,0.0077
2013-12-16,24.05,20.02,24.48,19.67,383320.0,0.2289
2013-12-17,22.4,23.79,23.89,21.5,252900.0,-0.06860000000000001
2013-12-18,21.91,22.37,22.37,21.01,199420.0,-0.0219
2013-12-19,21.79,21.74,22.01,21.34,137130.0,-0.0055000000000000005
2013-12-20,21.77,21.9,21.92,21.38,886460.0,-0.0009
2013-12-23,22.84,22.12,23.07,22.03,249800.0,0.0492
2013-12-24,23.08,22.96,23.9,21.4,173150.0,0.0105
2013-12-26,24.32,23.25,24.48,23.09,111650.0,0.0537
2013-12-27,24.5,24.56,24.9,23.77,157050.0,0.0074
2013-12-30,24.44,24.37,24.9,23.71,176810.0,-0.0024
2013-12-31,23.95,24.33,24.92,22.69,230110.0,-0.02
2014-01-02,24.02,23.78,24.61,22.97,123640.0,0.0029
2014-01-03,22.97,24.19,24.3,22.74,128979.99999999999,-0.0437
2014-01-06,22.51,23.01,23.44,21.7,159550.0,-0.02
2014-01-07,24.0,22.68,24.46,22.3,225280.0,0.0662
2014-01-08,25.03,23.88,25.36,23.65,156150.0,0.0429
2014-01-09,26.64,25.18,26.88,24.86,174890.0,0.0643
2014-01-10,27.37,26.55,28.08,26.11,209770.0,0.0274
2014-01-13,30.36,27.43,30.41,27.43,271940.0,0.1092
2014-01-14,35.58,30.3,35.91,30.0,383440.0,0.17190000000000003
2014-01-15,42.19,36.57,44.04,35.65,1060000.0,0.1858
2014-01-16,39.85,40.95,41.23,36.28,596900.0,-0.0555
2014-01-17,35.93,39.85,39.85,35.73,337360.0,-0.0984
2014-01-21,32.0,35.17,36.29,31.69,709140.0,-0.1094
2014-01-22,29.86,32.0,33.01,29.52,428560.0,-0.0669
2014-01-23,31.04,29.37,32.13,29.02,514860.0,0.0395
2014-01-24,28.34,29.53,30.56,27.6,527370.0,-0.087
2014-01-27,27.43,27.8,27.98,25.24,302400.0,-0.0321
2014-01-28,28.12,27.26,28.43,26.67,264220.0,0.0252
2014-01-29,27.04,27.52,27.84,25.94,274860.0,-0.0384
2014-01-30,28.34,27.38,28.98,26.86,326110.0,0.0481
2014-01-31,26.45,27.52,27.95,26.32,214890.0,-0.0667
2014-02-03,26.15,26.31,27.4,25.05,196350.0,-0.0113
2014-02-04,27.8,26.19,27.98,26.03,167960.0,0.06309999999999999
2014-02-05,26.94,27.56,27.56,25.76,219680.0,-0.030899999999999997
2014-02-06,28.84,27.11,29.15,26.38,218850.0,0.0705
2014-02-07,28.45,28.75,29.15,27.71,206480.0,-0.013500000000000002
2014-02-10,31.33,28.32,31.39,28.32,231270.0,0.1012
2014-02-11,31.34,31.48,32.93,30.72,319710.0,0.0003
2014-02-12,31.19,31.33,31.85,30.64,164470.0,-0.0048
2014-02-13,32.45,30.82,32.63,30.03,140230.0,0.0404
2014-02-14,32.02,32.45,33.45,30.79,128030.0,-0.013300000000000001
2014-02-18,34.46,32.28,35.34,31.82,229250.0,0.0762
2014-02-19,32.25,34.17,34.45,31.58,242630.0,-0.0641
2014-02-20,32.56,32.44,33.23,31.11,190020.0,0.0096
2014-02-21,31.97,32.82,33.19,31.1,168320.0,-0.0181
2014-02-24,30.31,32.02,33.18,29.83,315850.0,-0.0519
2014-02-25,30.19,30.25,30.82,29.76,308600.0,-0.004
2014-02-26,31.35,30.18,32.07,29.59,352020.0,0.0384
2014-02-27,33.48,31.15,34.95,30.5,291640.0,0.0679
2014-02-28,31.26,33.38,34.95,30.81,186040.0,-0.0663
2014-03-03,29.48,30.02,31.61,28.81,264460.0,-0.056900000000000006
2014-03-04,30.95,29.94,31.8,29.76,196210.0,0.0499
2014-03-05,31.64,31.35,32.41,30.91,156620.0,0.0223
2014-03-06,39.93,32.08,42.92,30.51,1120000.0,0.262
2014-03-07,45.45,40.63,49.79,37.89,1330000.0,0.1382
2014-03-10,46.74,41.4,48.7,40.0,983270.0,0.028399999999999998
2014-03-11,42.96,45.05,49.19,42.55,799570.0,-0.0809
2014-03-12,43.44,42.51,43.73,40.44,486180.0,0.011200000000000002
2014-03-13,43.97,43.81,45.49,42.15,330020.0,0.012199999999999999
2014-03-14,43.4,42.85,44.3,42.25,248840.0,-0.013000000000000001
2014-03-17,41.77,43.85,45.04,41.3,317710.0,-0.037599999999999995
2014-03-18,43.66,41.61,43.98,41.33,245410.0,0.0452
2014-03-19,44.1,43.44,44.66,42.19,235060.0,0.0101
2014-03-20,45.7,43.88,45.72,43.07,243760.0,0.0363
2014-03-21,44.46,45.8,47.62,43.06,879210.0,-0.0271
2014-03-24,37.47,44.76,45.11,36.76,544600.0,-0.1572
2014-03-25,37.56,37.73,39.18,36.51,309620.0,0.0024
2014-03-26,36.24,37.91,39.49,36.13,208530.0,-0.0351
2014-03-27,36.56,36.1,37.19,35.22,136290.0,0.0088
2014-03-28,37.02,36.6,38.52,36.3,281830.0,0.0126
2014-03-31,39.15,37.5,41.33,37.39,475510.0,0.0575
2014-04-01,37.38,39.13,39.72,36.38,354010.0,-0.0452
2014-04-02,36.58,37.35,38.12,36.03,425160.0,-0.021400000000000002
2014-04-03,35.16,36.32,37.02,33.82,319820.0,-0.0388
2014-04-04,35.48,35.79,36.72,31.42,442840.0,0.0091
2014-04-07,45.35,43.25,46.0,41.37,2690000.0,0.2782
2014-04-08,46.9,45.12,47.65,43.86,797870.0,0.0342
2014-04-09,48.42,46.85,48.98,46.0,369470.0,0.032400000000000005
2014-04-10,44.84,46.0,48.29,44.6,503950.0,-0.0739
2014-04-11,43.32,44.45,46.0,43.0,439880.0,-0.0339
2014-04-14,43.9,44.06,45.9,42.62,215730.0,0.0134
2014-04-15,40.0,43.9,45.42,37.87,640720.0,-0.0888
2014-04-16,39.21,40.8,40.8,38.76,332360.0,-0.019799999999999998
2014-04-17,40.67,39.45,42.52,38.76,371170.0,0.037200000000000004
2014-04-21,41.21,40.5,41.69,39.82,189270.0,0.013300000000000001
2014-04-22,47.54,41.49,47.7,41.44,472450.0,0.1536
2014-04-23,46.34,47.06,48.94,45.85,537180.0,-0.0252
2014-04-24,43.58,45.21,45.48,39.75,1900000.0,-0.0596
2014-04-25,41.02,43.34,44.37,40.51,389480.0,-0.0587
2014-04-28,39.56,41.1,42.05,38.44,483090.0,-0.0356
2014-04-29,41.33,39.57,41.86,39.43,358260.0,0.0447
2014-04-30,42.06,40.7,42.29,39.79,269820.0,0.0177
2014-05-01,43.92,42.8,44.14,41.74,442810.0,0.044199999999999996
2014-05-02,43.28,44.36,44.36,42.12,290090.0,-0.0146
2014-05-05,43.81,42.76,44.04,42.39,173090.0,0.012199999999999999
2014-05-06,42.4,43.41,47.47,42.27,437500.0,-0.0322
2014-05-07,40.78,42.17,42.29,39.25,317360.0,-0.0382
2014-05-08,36.79,39.51,40.64,36.01,558720.0,-0.0978
2014-05-09,36.58,36.8,37.01,35.52,309940.0,-0.005699999999999999
2014-05-12,35.54,36.56,38.22,34.71,373500.0,-0.028399999999999998
2014-05-13,32.89,35.54,36.08,32.7,359890.0,-0.0746
2014-05-14,35.97,32.79,36.28,32.79,461860.0,0.09359999999999999
2014-05-15,33.18,35.41,35.41,33.11,296200.0,-0.0776
