Date,Close,Open,High,Low,Volume,Change
2006-12-08,23.91,22.86,25.0,22.86,5540000.0,-0.8856999999999999
2006-12-11,25.05,23.91,26.51,23.62,707240.0,0.04769999999999999
2006-12-12,24.83,24.65,25.67,24.34,227910.0,-0.0088
2006-12-13,25.57,24.81,26.1,24.81,330910.0,0.0298
2006-12-14,26.52,25.01,27.33,25.01,295140.0,0.037200000000000004
2006-12-15,26.33,27.28,27.42,25.34,234720.0,-0.0072
2006-12-18,26.24,26.33,26.94,25.67,96640.0,-0.0034000000000000002
2006-12-19,25.23,25.6,25.71,24.9,155250.0,-0.0385
2006-12-20,25.81,25.42,25.91,25.25,114150.0,0.023
2006-12-21,26.26,25.94,26.28,25.47,142600.0,0.0174
2006-12-22,25.93,25.77,26.67,25.72,107930.0,-0.0126
2006-12-26,26.21,26.63,26.63,25.91,30700.0,0.0108
2006-12-27,26.59,25.99,26.67,25.99,42400.0,0.014499999999999999
2006-12-28,26.57,26.57,27.05,26.43,58310.0,-0.0008
2006-12-29,26.72,26.78,26.86,26.46,31770.0,0.005600000000000001
2007-01-03,26.45,27.01,27.01,26.2,98320.0,-0.0101
2007-01-04,26.45,26.17,27.02,26.17,95190.0,0.0
2007-01-05,26.43,26.29,26.52,25.96,93650.0,-0.0008
2007-01-08,25.7,26.58,26.58,25.41,134020.0,-0.0276
2007-01-09,25.71,25.95,26.1,25.48,102790.0,0.0004
2007-01-10,25.69,25.66,26.03,24.6,196490.0,-0.0008
2007-01-11,26.06,25.67,26.14,25.25,77070.0,0.0144
2007-01-12,26.91,26.19,26.95,26.11,92230.0,0.0326
2007-01-16,28.17,27.14,28.49,25.86,233030.0,0.046799999999999994
2007-01-17,28.57,28.57,29.43,28.33,105820.0,0.014199999999999999
2007-01-18,28.75,28.62,29.07,28.14,53740.0,0.0063
2007-01-19,28.11,28.57,28.57,27.82,49370.0,-0.0223
2007-01-22,28.26,27.64,28.33,25.51,206120.0,0.0053
2007-01-23,29.65,27.62,30.83,26.81,224660.0,0.0492
2007-01-24,30.78,30.05,31.18,29.67,108190.0,0.0381
2007-01-25,30.46,30.95,30.95,30.27,98190.0,-0.0104
2007-01-26,30.48,31.04,31.19,30.27,30850.0,0.0007000000000000001
2007-01-29,30.33,30.94,30.95,30.21,142180.0,-0.0049
2007-01-30,31.04,30.6,31.24,30.0,53870.0,0.023399999999999997
2007-01-31,31.67,30.55,32.53,30.48,141530.0,0.0203
2007-02-01,32.43,31.87,32.54,31.48,110820.0,0.024
2007-02-02,33.28,32.86,33.4,32.27,77750.0,0.0262
2007-02-05,33.52,33.43,34.39,33.02,141830.0,0.0072
2007-02-06,32.41,33.11,34.0,31.92,59820.0,-0.0331
2007-02-07,32.45,32.86,32.86,32.01,70210.0,0.0012
2007-02-08,31.86,32.46,32.92,31.27,144070.0,-0.0182
2007-02-09,31.68,31.95,31.95,31.24,166320.0,-0.005600000000000001
2007-02-12,31.35,31.45,31.72,30.73,213480.0,-0.0104
2007-02-13,31.15,32.01,32.01,30.91,179850.0,-0.0064
2007-02-14,31.43,30.82,31.43,30.63,189400.0,0.009000000000000001
2007-02-15,31.28,31.72,31.72,30.45,19690.0,-0.0048
2007-02-16,33.12,31.67,33.12,30.83,110650.0,0.0588
2007-02-20,33.78,33.19,34.72,33.19,107350.0,0.0199
2007-02-21,33.33,34.08,34.52,32.3,99470.0,-0.013300000000000001
2007-02-22,32.85,34.41,34.77,31.91,112100.0,-0.0144
2007-02-23,31.91,32.06,33.35,31.78,66130.0,-0.0286
2007-02-26,32.99,32.12,33.44,32.12,54730.0,0.0338
2007-02-27,31.38,32.51,32.78,31.04,49500.0,-0.048799999999999996
2007-02-28,32.82,31.38,33.0,28.72,101050.0,0.045899999999999996
2007-03-01,32.8,31.69,33.33,31.3,67910.0,-0.0006
2007-03-02,32.33,31.71,33.29,31.71,38650.0,-0.0143
2007-03-05,32.46,33.24,33.4,31.78,67880.0,0.004
2007-03-06,31.02,32.57,32.93,30.36,119160.0,-0.0444
2007-03-07,32.0,30.32,32.14,30.32,223130.0,0.0316
2007-03-08,32.14,32.0,32.21,31.49,60870.0,0.0044
2007-03-09,30.9,31.32,32.14,30.52,46930.0,-0.038599999999999995
2007-03-12,29.72,30.11,30.86,29.52,130580.00000000001,-0.0382
2007-03-13,29.53,29.92,29.92,29.14,62270.0,-0.0064
2007-03-14,29.59,30.0,30.0,29.23,75910.0,0.002
2007-03-15,30.48,29.13,30.48,29.13,50750.0,0.0301
2007-03-16,30.14,30.0,30.26,29.61,33850.0,-0.011200000000000002
2007-03-19,30.14,29.92,30.48,29.92,26340.0,0.0
2007-03-20,31.76,30.37,31.98,30.37,62170.0,0.0537
2007-03-21,31.6,32.12,32.31,31.05,60990.0,-0.005
2007-03-22,32.0,31.91,32.14,30.36,30790.0,0.0127
2007-03-23,31.42,32.14,32.14,31.17,34150.0,-0.0181
2007-03-26,31.22,31.81,32.0,31.07,16540.0,-0.0064
2007-03-27,30.48,31.0,31.92,30.0,87190.0,-0.023700000000000002
2007-03-28,29.76,30.47,30.47,29.62,103350.0,-0.0236
2007-03-29,29.97,30.43,30.43,29.62,26430.0,0.0070999999999999995
2007-03-30,30.0,29.77,31.17,29.77,414130.0,0.001
2007-04-02,30.14,30.0,30.44,29.57,99630.0,0.004699999999999999
2007-04-03,31.19,30.84,31.22,30.3,89440.0,0.0348
2007-04-04,30.09,30.95,31.05,29.81,45430.0,-0.0353
2007-04-05,30.52,30.26,30.71,29.98,41310.0,0.0143
2007-04-09,30.49,30.92,30.92,30.21,54380.0,-0.001
2007-04-10,30.67,29.99,31.13,29.81,61100.0,0.0059
2007-04-11,30.83,30.92,30.92,30.12,49320.0,0.0052
2007-04-12,30.98,31.02,31.05,30.48,73390.0,0.0049
2007-04-13,31.49,31.18,31.49,30.23,33340.0,0.0165
2007-04-16,31.15,31.52,31.52,30.77,56970.0,-0.0108
2007-04-17,30.53,31.13,31.13,29.99,55660.0,-0.0199
2007-04-18,30.52,30.33,30.94,30.33,18770.0,-0.0003
2007-04-19,30.72,30.31,31.15,30.11,25990.0,0.0066
2007-04-20,30.36,31.18,31.18,30.26,34080.0,-0.011699999999999999
2007-04-23,30.76,30.24,30.96,30.24,43400.0,0.0132
2007-04-24,32.28,31.46,32.37,31.29,323480.0,0.049400000000000006
2007-04-25,31.66,32.07,32.37,31.29,132970.0,-0.0192
2007-04-26,31.2,31.58,32.02,31.13,66270.0,-0.014499999999999999
2007-04-27,30.48,31.05,31.82,30.29,37750.0,-0.0231
2007-04-30,30.56,30.32,30.63,29.63,124470.0,0.0026
2007-05-01,33.23,30.72,33.29,30.4,117270.0,0.0874
2007-05-02,33.05,33.95,33.95,31.0,228860.0,-0.0054
2007-05-03,32.54,33.29,33.33,30.7,71890.0,-0.0154
2007-05-04,31.76,32.5,33.33,31.3,88470.0,-0.024
2007-05-07,30.74,31.56,31.88,30.56,89610.0,-0.0321
2007-05-08,30.45,29.53,30.48,29.53,194270.0,-0.009399999999999999
2007-05-09,30.35,30.24,30.42,29.8,62370.0,-0.0033
2007-05-10,28.84,30.15,30.36,28.78,85530.0,-0.049800000000000004
2007-05-11,28.61,28.83,29.44,28.36,233250.0,-0.008
2007-05-14,27.81,28.53,28.8,27.52,105900.0,-0.027999999999999997
2007-05-15,26.44,27.75,27.75,26.43,74730.0,-0.0493
2007-05-16,26.71,26.43,26.93,26.22,167120.0,0.0102
2007-05-17,28.57,26.72,28.72,26.72,138360.0,0.0696
2007-05-18,28.75,28.6,29.0,28.42,84050.0,0.0063
2007-05-21,29.72,28.68,29.84,28.66,74420.0,0.0337
2007-05-22,30.02,29.62,30.14,29.02,82190.0,0.0101
2007-05-23,30.41,30.12,30.62,29.71,140560.0,0.013000000000000001
2007-05-24,30.62,30.43,30.78,30.33,1870000.0,0.0069
2007-05-25,30.25,30.48,30.7,30.11,754600.0,-0.0121
2007-05-29,30.63,30.26,30.65,30.21,432020.0,0.0126
2007-05-30,30.31,30.25,30.36,30.1,216530.0,-0.0104
2007-05-31,30.24,30.27,30.44,29.65,521909.99999999994,-0.0023
2007-06-01,30.7,30.38,31.0,30.0,138470.0,0.0152
2007-06-04,30.85,30.81,31.32,30.16,166400.0,0.0049
2007-06-05,30.48,30.88,30.88,30.32,131350.0,-0.012
2007-06-06,30.17,30.47,30.5,29.99,75730.0,-0.0102
2007-06-07,30.18,29.97,30.42,29.72,141660.0,0.0003
2007-06-08,30.22,29.97,30.34,29.8,294060.0,0.0013
2007-06-11,29.9,30.11,30.38,29.72,78980.0,-0.0106
2007-06-12,29.42,29.71,30.22,29.38,45710.0,-0.0161
2007-06-13,30.32,29.46,30.4,28.98,119310.0,0.030600000000000002
2007-06-14,30.87,30.32,31.25,30.14,44610.0,0.0181
2007-06-15,31.33,31.35,31.77,30.86,95690.0,0.0149
2007-06-18,30.95,31.12,31.68,30.95,39080.0,-0.0121
2007-06-19,30.72,30.92,31.19,30.32,32210.0,-0.0074
2007-06-20,30.81,30.68,31.29,30.41,74320.0,0.0029
