Date,Close,Open,High,Low,Volume,Change
2018-10-12,26.81,26.9,27.4,25.53,2200000.0,0.0724
2018-10-15,26.96,27.46,27.72,25.55,1350000.0,0.005600000000000001
2018-10-16,25.87,27.04,27.62,25.6,939100.0,-0.0404
2018-10-17,24.98,26.0,26.11,24.16,2140000.0,-0.0344
2018-10-18,23.8,24.66,25.23,23.7,1270000.0,-0.0472
2018-10-19,23.4,23.88,24.4,23.0,444550.0,-0.0168
2018-10-22,23.0,23.4,23.92,22.46,514140.0,-0.0171
2018-10-23,22.84,22.88,23.81,22.7,426790.0,-0.006999999999999999
2018-10-24,22.5,23.0,24.55,22.2,1740000.0,-0.0149
2018-10-25,22.56,22.4,23.49,22.23,1070000.0,0.0027
2018-10-26,23.0,22.77,23.34,22.68,368270.0,0.0195
2018-10-29,23.02,23.4,24.47,22.91,364180.0,0.0009
2018-10-30,23.81,23.87,24.78,23.01,265540.0,0.034300000000000004
2018-10-31,24.01,24.47,24.47,23.58,361810.0,0.0084
2018-11-01,26.95,24.33,27.05,24.02,402200.0,0.12240000000000001
2018-11-02,27.69,27.32,28.1,27.0,831370.0,0.0275
2018-11-05,28.35,28.25,28.9,26.53,792920.0,0.023799999999999998
2018-11-06,33.3,28.5,33.3,28.47,1040000.0,0.1746
2018-11-07,32.68,33.32,35.55,31.42,1330000.0,-0.018600000000000002
2018-11-08,33.24,32.67,34.45,32.37,596130.0,0.0171
2018-11-09,30.62,33.07,33.53,29.4,510270.0,-0.0788
2018-11-12,27.02,30.62,31.5,27.0,426560.0,-0.1176
2018-11-13,27.7,27.23,29.2,27.23,261829.99999999997,0.0252
2018-11-14,25.0,27.96,29.16,24.9,1080000.0,-0.0975
2018-11-15,26.93,25.0,27.44,24.85,375610.0,0.07719999999999999
2018-11-16,27.98,26.66,28.5,26.66,463240.0,0.039
2018-11-19,26.53,27.95,28.81,26.13,435180.0,-0.0518
2018-11-20,25.54,26.47,26.82,24.76,301850.0,-0.0373
2018-11-21,25.59,26.02,26.79,25.59,233560.0,0.002
2018-11-23,26.52,25.51,27.34,25.51,63490.0,0.0363
2018-11-26,27.66,27.25,27.8,26.52,246980.0,0.043
2018-11-27,28.39,27.51,29.3,26.84,241300.0,0.0264
2018-11-28,30.5,28.69,30.66,27.9,448890.0,0.07429999999999999
2018-11-29,31.03,30.11,31.88,29.71,383960.0,0.0174
2018-11-30,31.28,31.15,33.11,31.15,526930.0,0.008100000000000001
2018-12-03,31.69,31.91,33.49,31.54,441590.0,0.0131
2018-12-04,30.45,31.78,33.96,29.95,671460.0,-0.0391
2018-12-06,27.07,29.94,30.31,25.99,1440000.0,-0.111
2018-12-07,26.28,27.05,28.15,26.0,520799.99999999994,-0.0292
2018-12-10,26.52,26.3,28.0,26.23,621970.0,0.0091
2018-12-11,25.99,27.06,27.59,25.87,557060.0,-0.02
2018-12-12,26.21,26.56,27.28,26.1,324250.0,0.0085
2018-12-13,26.14,26.17,26.74,25.52,310180.0,-0.0027
2018-12-14,26.22,25.67,27.91,25.51,551960.0,0.0031
2018-12-17,25.42,26.25,26.71,24.5,475980.0,-0.0305
2018-12-18,25.69,25.56,26.18,25.0,615300.0,0.0106
2018-12-19,25.57,25.76,27.33,25.0,603500.0,-0.004699999999999999
2018-12-20,24.72,25.32,26.29,24.3,1010000.0,-0.0332
2018-12-21,24.14,24.97,25.78,23.58,4210000.0,-0.0235
2018-12-24,24.12,23.5,24.55,23.5,167740.0,-0.0008
2018-12-26,25.33,24.68,26.16,24.34,401040.0,0.050199999999999995
2018-12-27,24.76,25.0,25.35,23.37,352190.0,-0.0225
2018-12-28,25.9,24.75,26.13,24.16,217870.0,0.046
2018-12-31,26.93,26.29,26.94,24.76,403130.0,0.0398
2019-01-02,27.56,26.62,28.05,25.9,694670.0,0.023399999999999997
2019-01-03,26.0,27.52,27.62,25.76,272720.0,-0.056600000000000004
2019-01-04,26.47,26.78,27.42,26.11,413480.0,0.0181
2019-01-07,27.39,26.75,28.37,26.75,581580.0,0.0348
2019-01-08,27.06,27.93,27.95,26.23,296500.0,-0.012
2019-01-09,27.33,27.22,27.63,26.79,235350.0,0.01
2019-01-10,28.1,27.28,28.83,26.76,424660.0,0.0282
2019-01-11,29.51,28.09,29.9,28.09,504720.0,0.050199999999999995
2019-01-14,28.46,29.37,29.5,28.43,451460.0,-0.0356
2019-01-15,27.95,28.59,28.95,27.1,253810.0,-0.0179
2019-01-16,28.79,28.0,29.41,27.37,199990.0,0.0301
2019-01-17,28.19,28.75,29.73,27.71,304440.0,-0.0208
2019-01-18,28.58,28.47,28.78,28.0,323990.0,0.0138
2019-01-22,27.78,28.5,28.91,27.25,234120.0,-0.027999999999999997
2019-01-23,27.81,27.9,28.46,27.04,139120.0,0.0011
2019-01-24,28.65,27.92,28.7,27.22,194390.0,0.0302
2019-01-25,29.54,28.78,29.85,28.62,236990.0,0.0311
2019-01-28,29.52,29.45,30.61,28.89,272310.0,-0.0007000000000000001
2019-01-29,29.86,29.54,30.32,29.54,236330.0,0.0115
2019-01-30,30.3,30.1,30.7,29.37,337330.0,0.0147
2019-01-31,30.33,30.25,31.4,29.97,429840.0,0.001
2019-02-01,30.77,30.37,31.22,30.18,251900.0,0.014499999999999999
2019-02-04,31.58,30.77,32.42,30.72,290700.0,0.0263
2019-02-05,31.0,31.8,32.32,30.05,414570.0,-0.0184
2019-02-06,30.84,31.16,31.37,30.16,212030.0,-0.0052
2019-02-07,30.13,30.62,31.7,29.78,473770.0,-0.023
2019-02-08,30.12,29.91,30.99,29.71,237440.0,-0.0003
2019-02-11,30.27,30.31,30.99,29.83,384350.0,0.005
2019-02-12,31.5,30.52,32.35,30.14,283780.0,0.0406
2019-02-13,31.94,31.63,32.42,31.63,308270.0,0.013999999999999999
2019-02-14,31.14,31.86,32.47,31.09,247620.0,-0.025
2019-02-15,31.24,31.13,31.92,30.22,337030.0,0.0032
2019-02-19,31.87,31.24,31.97,31.08,199220.0,0.0202
2019-02-20,30.69,32.02,32.23,30.55,291990.0,-0.037000000000000005
2019-02-21,30.68,30.68,30.78,29.41,178600.0,-0.0003
2019-02-22,31.07,30.65,31.48,30.4,155010.0,0.0127
2019-02-25,31.73,31.66,32.53,31.57,371220.0,0.0212
2019-02-26,31.77,31.71,32.0,31.27,151550.0,0.0013
2019-02-27,32.54,31.53,33.48,31.53,588860.0,0.0242
2019-02-28,31.69,32.6,32.9,31.5,385950.0,-0.026099999999999998
2019-03-01,31.34,32.1,32.34,30.6,526490.0,-0.011000000000000001
2019-03-04,31.94,31.37,32.25,30.76,601500.0,0.0191
2019-03-05,31.52,31.96,32.41,31.3,369340.0,-0.0131
2019-03-06,29.64,31.45,32.03,29.59,275580.0,-0.0596
2019-03-07,29.65,29.65,30.43,29.45,202580.0,0.0003
2019-03-08,28.38,29.54,29.54,27.26,688070.0,-0.042800000000000005
2019-03-11,28.26,28.47,28.55,27.68,540290.0,-0.0042
2019-03-12,26.72,28.27,28.37,26.33,818140.0,-0.0545
2019-03-13,26.89,26.8,27.1,25.71,770970.0,0.0064
2019-03-14,26.53,27.47,28.27,26.33,624530.0,-0.0134
2019-03-15,26.74,26.85,27.31,25.72,2260000.0,0.0079
2019-03-18,26.83,26.74,27.52,25.73,656920.0,0.0034000000000000002
2019-03-19,26.3,26.74,27.17,25.8,410940.0,-0.019799999999999998
2019-03-20,25.96,26.21,26.51,25.8,271660.0,-0.0129
2019-03-21,27.28,25.83,27.5,25.83,359080.0,0.0508
2019-03-22,25.55,27.14,27.3,25.53,1030000.0,-0.0634
2019-03-25,24.82,25.69,26.17,24.6,696790.0,-0.0286
2019-03-26,25.65,24.92,25.72,24.8,354730.0,0.0334
2019-03-27,26.19,25.68,26.24,25.52,438280.0,0.021099999999999997
2019-03-28,27.05,26.41,27.87,26.12,357970.0,0.032799999999999996
2019-03-29,28.91,27.81,29.39,27.17,513429.99999999994,0.0688
2019-04-01,28.73,29.16,29.58,28.44,300170.0,-0.0062
2019-04-02,28.12,28.76,29.09,27.96,206520.0,-0.0212
2019-04-03,27.8,28.31,28.54,27.51,201070.0,-0.011399999999999999
2019-04-04,27.93,27.76,28.23,27.61,393610.0,0.004699999999999999
2019-04-05,27.97,28.02,28.3,27.5,286800.0,0.0014000000000000002
2019-04-08,27.48,27.93,27.93,27.0,292080.0,-0.0175
2019-04-09,26.96,27.5,27.81,26.71,422760.0,-0.0189
2019-04-10,27.0,27.0,27.48,26.83,371810.0,0.0015
2019-04-11,26.6,27.0,27.0,26.56,533970.0,-0.0148
2019-04-12,26.32,26.6,26.79,26.2,602150.0,-0.0105
2019-04-15,25.94,26.09,26.91,25.72,569290.0,-0.0144
2019-04-16,26.27,26.1,26.3,25.87,292130.0,0.0127
2019-04-17,25.56,26.41,26.41,25.27,411150.0,-0.027000000000000003
2019-04-18,25.95,25.67,26.0,25.2,280920.0,0.015300000000000001
2019-04-22,25.79,25.65,26.12,25.51,280240.0,-0.0062
2019-04-23,26.93,25.85,27.0,25.53,314430.0,0.044199999999999996
