Date,Close,Open,High,Low,Volume,Change
2004-05-28,6.01,6.1,6.47,6.0,785050.0,-0.9468000000000001
2004-06-01,7.0,6.1,7.05,6.08,198130.0,0.16469999999999999
2004-06-02,7.21,6.4,9.5,6.4,572170.0,0.03
2004-06-03,7.46,7.39,8.0,7.3,248420.0,0.0347
2004-06-04,7.68,7.3,7.9,7.2,186530.0,0.029500000000000002
2004-06-07,7.77,8.17,8.55,7.5,131720.0,0.011699999999999999
2004-06-08,8.06,8.0,8.23,7.9,81390.0,0.0373
2004-06-09,8.26,8.64,8.75,8.14,133620.0,0.0248
2004-06-10,7.9,8.5,8.5,7.78,113750.0,-0.0436
2004-06-14,7.76,8.3,8.36,7.7,30950.0,-0.0177
2004-06-15,7.22,7.69,8.0,7.02,172810.0,-0.0696
2004-06-16,6.62,7.01,7.2,6.45,113820.0,-0.08310000000000001
2004-06-17,6.12,6.7,6.7,6.03,149690.0,-0.0755
2004-06-18,6.23,6.25,6.45,6.1,30370.0,0.018000000000000002
2004-06-21,5.9,6.4,6.81,5.5,49720.0,-0.053
2004-06-22,5.91,5.32,6.03,5.26,33540.0,0.0017000000000000001
2004-06-23,6.0,6.05,6.05,5.8,29570.0,0.0152
2004-06-24,6.55,6.0,6.75,5.9,38990.0,0.0917
2004-06-25,7.35,6.48,7.54,6.34,45650.0,0.12210000000000001
2004-06-28,7.21,7.5,7.5,6.9,14080.0,-0.019
2004-06-29,7.1,6.9,7.4,6.9,50600.0,-0.015300000000000001
2004-06-30,7.56,7.4,8.22,7.37,159200.0,0.06480000000000001
2004-07-01,7.01,7.5,8.0,7.01,50510.0,-0.0728
2004-07-02,7.0,7.09,7.09,6.78,14250.0,-0.0014000000000000002
2004-07-06,7.17,7.7,7.7,7.0,9870.0,0.024300000000000002
2004-07-07,7.13,7.59,7.59,7.13,9280.0,-0.005600000000000001
2004-07-08,6.93,7.25,7.29,6.86,7380.0,-0.0281
2004-07-09,6.98,7.16,7.16,6.93,8460.0,0.0072
2004-07-12,7.24,7.15,7.4,7.0,12870.0,0.037200000000000004
2004-07-13,7.0,7.35,7.35,6.85,8790.0,-0.0331
2004-07-14,6.66,7.0,7.05,6.51,25040.0,-0.048600000000000004
2004-07-15,6.98,6.79,7.0,6.79,13430.0,0.048
2004-07-16,7.0,7.3,7.3,6.86,34550.0,0.0029
2004-07-19,6.5,6.9,6.9,6.5,5450.0,-0.07139999999999999
2004-07-20,6.16,6.51,6.51,6.1,22430.0,-0.052300000000000006
2004-07-21,6.05,6.2,6.38,6.01,12180.0,-0.0179
2004-07-22,5.85,6.14,6.14,5.7,106360.0,-0.0331
2004-07-23,5.79,5.9,5.9,5.5,41560.0,-0.0103
2004-07-26,5.7,5.75,5.8,5.45,109140.0,-0.0155
2004-07-27,5.2,5.7,5.75,5.09,51030.0,-0.0877
2004-07-28,5.25,5.48,5.6,5.19,18510.0,0.0096
2004-07-29,5.3,5.65,5.65,5.11,4320.0,0.0095
2004-07-30,5.15,5.29,5.29,5.06,27870.0,-0.028300000000000002
2004-08-02,5.55,5.9,6.5,5.06,15160.0,0.07769999999999999
2004-08-03,5.35,5.1,5.6,5.1,13350.0,-0.036000000000000004
2004-08-04,5.25,5.33,5.4,5.16,4050.0,-0.0187
2004-08-05,5.23,5.26,5.26,5.23,7220.0,-0.0038
2004-08-06,4.9,5.25,5.31,4.81,20950.0,-0.06309999999999999
2004-08-09,4.95,5.23,5.23,4.87,11270.0,0.0102
2004-08-10,5.02,4.8,5.05,4.8,9800.0,0.0141
2004-08-11,4.45,4.8,5.1,4.32,157270.0,-0.11349999999999999
2004-08-12,4.3,4.4,4.84,4.25,58250.0,-0.0337
2004-08-13,4.0,4.46,4.46,3.85,37450.0,-0.0698
2004-08-16,3.95,3.91,5.5,3.91,28310.0,-0.0125
2004-08-17,4.0,4.03,4.17,3.97,17000.0,0.0127
2004-08-18,4.09,4.44,4.44,3.65,75600.0,0.0225
2004-08-19,4.65,4.09,4.99,3.98,32500.0,0.1369
2004-08-20,4.44,4.3,4.5,4.04,26730.0,-0.0452
2004-08-23,4.38,4.29,4.46,4.24,24760.0,-0.013500000000000002
2004-08-24,4.69,4.25,5.1,4.25,10600.0,0.0708
2004-08-25,5.25,4.83,5.25,4.59,28890.0,0.11939999999999999
2004-08-26,5.49,5.1,5.5,5.1,13580.0,0.045700000000000005
2004-08-27,5.61,5.5,5.74,5.38,24000.0,0.0219
2004-08-30,5.33,5.7,5.7,5.26,7850.0,-0.0499
2004-08-31,5.5,5.3,5.95,5.19,54180.0,0.0319
2004-09-01,5.5,5.75,5.75,5.5,4059.9999999999995,0.0
2004-09-02,5.72,5.4,5.77,5.01,10390.0,0.04
2004-09-03,5.66,5.5,5.85,5.5,7250.0,-0.0105
2004-09-07,5.85,5.65,6.0,5.6,19540.0,0.0336
2004-09-08,5.9,5.93,5.99,5.89,8800.0,0.0085
2004-09-09,5.51,5.73,5.73,5.2,31730.0,-0.0661
2004-09-10,5.4,5.3,5.5,5.3,2300.0,-0.02
2004-09-13,5.82,5.3,5.9,5.29,18930.0,0.07780000000000001
2004-09-14,5.7,5.95,5.95,5.25,12210.0,-0.0206
2004-09-15,5.74,5.75,5.9,5.57,12010.0,0.006999999999999999
2004-09-16,5.66,5.9,6.0,5.66,1060.0,-0.0139
2004-09-17,5.4,5.65,5.74,5.4,9300.0,-0.045899999999999996
2004-09-20,5.59,5.43,5.63,5.31,10640.0,0.0352
2004-09-21,5.65,5.81,5.86,5.2,18800.0,0.010700000000000001
2004-09-22,5.77,6.01,6.09,5.4,27460.0,0.0212
2004-09-23,5.41,5.95,5.95,5.41,4230.0,-0.062400000000000004
2004-09-24,5.4,5.43,5.58,5.4,6500.0,-0.0018
2004-09-27,5.59,5.6,5.6,5.46,11780.0,0.0352
2004-09-28,5.65,5.6,5.95,5.5,33800.0,0.010700000000000001
2004-09-29,5.67,5.76,5.84,5.65,12810.0,0.0034999999999999996
2004-09-30,5.76,5.55,5.78,5.55,4780.0,0.0159
2004-10-01,5.61,5.55,5.8,5.55,197740.0,-0.026000000000000002
2004-10-04,5.69,5.79,6.25,5.55,73630.0,0.0143
2004-10-05,5.75,5.89,5.9,5.63,11190.0,0.0105
2004-10-06,5.8,5.95,5.95,5.62,10570.0,0.0087
2004-10-07,5.7,5.72,5.84,5.65,5000.0,-0.0172
2004-10-08,5.71,6.1,6.1,5.69,8370.0,0.0018
2004-10-11,5.89,5.9,5.9,5.69,5450.0,0.0315
2004-10-12,5.76,5.77,5.93,5.76,13130.0,-0.022099999999999998
2004-10-13,5.55,5.77,5.79,5.5,17610.0,-0.0365
2004-10-14,5.36,5.51,5.56,5.3,7860.0,-0.0342
2004-10-15,5.3,5.3,5.84,5.3,12020.0,-0.011200000000000002
2004-10-18,5.46,5.5,5.72,5.25,11800.0,0.0302
2004-10-19,5.5,5.54,5.76,5.47,15770.0,0.0073
2004-10-20,5.5,5.7,5.83,5.47,13150.0,0.0
2004-10-21,5.44,5.85,5.85,5.37,19110.0,-0.0109
2004-10-22,5.4,5.75,5.75,5.37,8360.0,-0.0074
2004-10-25,5.27,5.72,5.72,5.25,12100.0,-0.0241
2004-10-26,5.53,5.6,5.6,5.23,18830.0,0.0493
2004-10-27,5.4,5.46,5.46,5.25,24420.0,-0.0235
2004-10-28,5.2,5.85,5.85,5.0,67050.0,-0.037000000000000005
2004-10-29,5.25,5.1,5.25,5.1,1480.0,0.0096
2004-11-01,5.3,5.0,5.3,5.0,4270.0,0.0095
2004-11-02,5.34,5.31,5.49,5.28,20820.0,0.0075
2004-11-03,5.37,5.37,5.37,5.37,250.0,0.005600000000000001
2004-11-04,5.31,5.42,5.55,5.25,3920.0,-0.011200000000000002
2004-11-05,5.44,5.85,5.85,5.29,6880.0,0.0245
2004-11-08,5.49,5.27,5.5,5.26,9700.0,0.0092
2004-11-09,5.5,5.29,5.69,5.29,24200.0,0.0018
2004-11-10,6.18,5.77,6.78,5.43,101160.0,0.12359999999999999
2004-11-11,6.31,6.84,7.04,6.1,392460.0,0.021
2004-11-12,6.42,7.0,7.0,6.3,136070.0,0.0174
2004-11-15,6.35,6.9,6.9,6.26,41380.0,-0.0109
2004-11-16,6.47,6.5,6.7,6.28,68910.0,0.0189
2004-11-17,6.52,6.58,6.59,6.4,56430.0,0.0077
2004-11-18,6.35,6.6,6.6,6.25,29530.0,-0.026099999999999998
2004-11-19,5.88,6.35,6.35,5.88,33130.0,-0.07400000000000001
2004-11-22,6.9,6.88,7.5,6.5,406940.0,0.17350000000000002
2004-11-23,6.91,6.75,7.05,6.7,91090.0,0.0014000000000000002
2004-11-24,7.86,7.0,8.19,6.95,315310.0,0.1375
2004-11-26,8.1,8.1,8.51,7.75,168440.0,0.0305
2004-11-29,8.23,8.2,8.52,7.9,134880.0,0.016
2004-11-30,8.0,8.18,8.6,7.9,78370.0,-0.0279
2004-12-01,8.1,8.24,8.35,8.05,90000.0,0.0125
2004-12-02,7.2,8.0,8.35,7.06,301240.0,-0.11109999999999999
2004-12-03,6.57,7.05,7.3,6.56,279160.0,-0.0875
2004-12-06,6.86,6.8,6.97,6.67,60290.0,0.0441
2004-12-07,6.78,7.0,7.3,6.62,109740.0,-0.011699999999999999
2004-12-08,7.0,6.7,7.17,6.7,89550.0,0.032400000000000005
2004-12-09,6.78,7.09,7.1,6.7,89960.0,-0.031400000000000004
2004-12-10,6.66,6.7,6.98,6.65,104810.0,-0.0177
2004-12-13,6.75,7.0,7.0,6.58,71880.0,0.013500000000000002
2004-12-14,6.47,6.7,6.7,6.4,413210.0,-0.0415
2004-12-15,6.6,6.45,6.7,6.45,54360.0,0.020099999999999996
2004-12-16,6.79,6.7,6.79,6.5,40100.0,0.0288
2004-12-17,6.86,6.75,6.88,6.6,87550.0,0.0103
2004-12-20,6.9,6.9,7.0,6.85,38670.0,0.0058
2004-12-21,7.47,6.99,7.6,6.75,132370.0,0.08259999999999999
2004-12-22,7.9,7.98,8.1,7.78,203090.0,0.0576
2004-12-23,7.64,7.6,8.0,7.56,27610.0,-0.0329
2004-12-27,7.68,8.0,8.0,7.65,11900.0,0.0052
2004-12-28,7.49,7.68,7.81,7.26,50950.0,-0.024700000000000003
2004-12-29,7.56,7.8,7.8,7.4,27420.0,0.009300000000000001
2004-12-30,7.4,7.36,7.55,7.2,45420.0,-0.0212
2004-12-31,7.47,7.78,7.84,7.21,31840.0,0.0095
2005-01-03,7.58,7.67,8.0,7.5,218550.0,0.0147
2005-01-04,7.55,7.6,7.95,7.51,158650.0,-0.004
2005-01-05,8.05,7.9,8.28,7.65,459520.0,0.0662
2005-01-06,8.7,8.49,9.05,8.15,610510.0,0.08070000000000001
2005-01-07,9.0,9.15,9.26,8.71,227970.0,0.0345
2005-01-10,10.23,9.38,11.0,9.07,650360.0,0.1367
2005-01-11,9.09,10.03,10.3,9.01,379220.0,-0.1114
2005-01-12,8.81,9.5,9.5,8.6,241240.0,-0.0308
2005-01-13,8.73,9.12,9.15,8.59,120850.0,-0.0091
2005-01-14,8.8,8.92,8.96,8.73,114010.0,0.008
2005-01-18,8.37,9.09,9.09,8.25,304360.0,-0.0489
2005-01-19,7.69,8.25,8.27,7.5,517030.0,-0.0812
2005-01-20,7.5,7.84,7.89,7.35,136610.0,-0.024700000000000003
2005-01-21,7.35,7.38,7.77,7.35,212550.0,-0.02
2005-01-24,7.0,7.49,7.49,6.76,230760.0,-0.047599999999999996
2005-01-25,7.2,7.0,7.39,6.98,180310.0,0.0286
2005-01-26,7.05,7.24,7.24,7.0,180800.0,-0.0208
2005-01-27,7.05,6.9,7.05,6.85,71690.0,0.0
2005-01-28,6.91,7.2,7.2,6.8,69540.0,-0.0199
2005-01-31,7.0,7.2,7.3,6.91,98240.0,0.013000000000000001
2005-02-01,7.0,7.3,7.3,7.0,108950.0,0.0
2005-02-02,7.35,7.85,7.9,7.17,483980.0,0.05
2005-02-03,7.68,7.4,7.9,7.35,333750.0,0.0449
2005-02-04,7.61,7.8,7.9,7.6,106550.0,-0.0091
2005-02-07,8.02,7.8,8.34,7.55,189040.0,0.053899999999999997
2005-02-08,7.74,8.12,8.2,7.69,98360.0,-0.0349
2005-02-09,8.1,7.99,8.38,7.97,131100.0,0.04650000000000001
2005-02-10,7.84,8.29,8.29,7.79,77820.0,-0.0321
2005-02-11,7.81,8.15,8.15,7.75,70130.0,-0.0038
2005-02-14,7.97,7.75,8.02,7.75,54430.0,0.020499999999999997
2005-02-15,7.75,8.06,8.06,7.64,99350.0,-0.0276
2005-02-16,7.3,7.8,7.8,7.26,92310.0,-0.0581
2005-02-17,7.04,7.25,7.3,7.0,145720.0,-0.0356
2005-02-18,7.0,7.0,7.18,6.85,96500.0,-0.005699999999999999
2005-02-22,7.1,6.91,7.25,6.91,140940.0,0.0143
2005-02-23,7.18,7.1,7.3,7.1,51990.0,0.0113
2005-02-24,7.17,7.19,7.31,7.05,44330.0,-0.0014000000000000002
2005-02-25,7.15,7.06,7.27,7.06,24670.0,-0.0028000000000000004
2005-02-28,7.15,7.01,7.17,7.0,69990.0,0.0
2005-03-01,6.99,7.09,7.21,6.91,154530.0,-0.022400000000000003
2005-03-02,7.0,6.98,7.0,6.91,30710.0,0.0014000000000000002
2005-03-03,6.91,7.05,7.05,6.89,51090.0,-0.0129
2005-03-04,6.91,6.81,6.96,6.81,44600.0,0.0
2005-03-07,6.91,6.8,6.97,6.8,114380.0,0.0
2005-03-08,6.91,6.92,6.96,6.9,70280.0,0.0
2005-03-09,6.91,6.92,6.99,6.89,69180.0,0.0
2005-03-10,6.91,7.0,7.01,6.91,43540.0,0.0
2005-03-11,6.95,7.05,7.16,6.94,80030.0,0.0058
2005-03-14,6.9,7.28,7.28,6.85,175160.0,-0.0072
2005-03-15,6.98,6.99,7.0,6.89,67250.0,0.0116
2005-03-16,6.98,7.25,7.25,6.96,104760.0,0.0
2005-03-17,7.05,7.12,7.12,6.86,57640.0,0.01
2005-03-18,7.13,7.1,7.35,6.95,112070.0,0.0113
2005-03-21,7.96,8.0,8.15,7.31,211070.0,0.1164
2005-03-22,7.73,7.99,7.99,7.66,68700.0,-0.028900000000000002
2005-03-23,7.51,7.73,7.73,7.35,71630.0,-0.0285
2005-03-24,7.42,7.63,7.65,7.35,67180.0,-0.012
2005-03-28,7.39,7.93,7.93,7.16,44700.0,-0.004
2005-03-29,7.25,7.51,7.63,7.2,39520.0,-0.0189
2005-03-30,7.35,7.18,7.71,7.07,38480.0,0.0138
2005-03-31,7.33,7.3,7.43,7.24,21500.0,-0.0027
2005-04-01,7.29,7.23,7.35,7.23,10310.0,-0.0055000000000000005
