Date,Close,Open,High,Low,Volume,Change
2020-07-20,30.33,30.44,32.99,29.25,455520.0,0.011000000000000001
2020-07-21,30.77,32.25,32.49,28.25,483120.0,0.014499999999999999
2020-07-22,29.36,30.91,31.34,29.14,170040.0,-0.0458
2020-07-23,29.7,29.34,30.25,28.01,72040.0,0.0116
2020-07-24,30.25,29.24,30.86,29.09,72120.0,0.018500000000000003
2020-07-27,29.9,30.24,30.4,29.5,98130.0,-0.0116
2020-07-28,32.6,29.3,32.91,29.3,35760.0,0.09029999999999999
2020-07-29,31.65,32.29,33.12,29.06,71110.0,-0.0291
2020-07-30,32.46,31.75,33.5,31.75,87060.0,0.0256
2020-07-31,32.7,32.63,32.92,30.76,25040.0,0.0074
2020-08-03,36.42,32.46,37.58,30.06,269970.0,0.11380000000000001
2020-08-04,38.0,36.74,38.7,36.52,51230.0,0.0434
2020-08-05,43.26,37.62,50.0,36.51,61400.0,0.1384
2020-08-06,43.96,42.77,44.69,40.7,89570.0,0.016200000000000003
2020-08-07,44.19,43.9,44.5,41.5,67980.0,0.0052
2020-08-10,43.36,44.76,45.06,42.89,90010.0,-0.018799999999999997
2020-08-11,41.02,43.5,44.69,40.62,115700.0,-0.054000000000000006
2020-08-12,42.88,41.84,47.77,40.89,130449.99999999999,0.0453
2020-08-13,44.01,43.33,47.81,43.12,88870.0,0.0264
2020-08-14,45.44,44.24,47.04,42.85,85460.0,0.0325
2020-08-17,47.1,44.64,48.44,44.64,77790.0,0.0365
2020-08-18,42.85,46.35,49.11,40.06,147750.0,-0.0902
2020-08-19,44.46,42.99,52.0,41.53,125710.0,0.037599999999999995
2020-08-20,43.76,45.06,47.8,43.25,94440.0,-0.015700000000000002
2020-08-21,45.07,43.91,46.88,42.53,116450.0,0.029900000000000003
2020-08-24,43.63,45.06,45.99,41.3,116520.0,-0.032
2020-08-25,43.97,43.75,45.5,42.26,58560.0,0.0078000000000000005
2020-08-26,43.39,44.74,45.5,43.08,37630.0,-0.0132
2020-08-27,44.08,43.05,45.21,42.76,36750.0,0.0159
2020-08-28,44.25,45.5,45.5,43.58,53170.0,0.0039000000000000003
2020-08-31,40.44,44.59,47.57,38.12,193830.0,-0.0861
2020-09-01,41.75,40.34,43.44,39.08,90510.0,0.032400000000000005
2020-09-02,44.16,41.69,45.45,41.1,68800.0,0.057699999999999994
2020-09-03,41.7,44.16,44.2,41.33,54000.0,-0.0557
2020-09-04,42.99,41.49,44.5,41.49,64340.0,0.030899999999999997
2020-09-08,43.84,42.5,44.7,41.58,116230.0,0.019799999999999998
2020-09-09,42.56,44.2,47.78,42.56,129220.0,-0.0292
2020-09-10,40.35,43.46,44.49,39.57,90100.0,-0.0519
2020-09-11,39.43,40.54,42.79,37.43,90500.0,-0.022799999999999997
2020-09-14,39.24,39.89,41.81,38.14,109230.0,-0.0048
2020-09-15,39.06,39.62,43.84,38.12,126650.0,-0.0046
2020-09-16,39.74,39.56,41.45,38.99,408040.0,0.0174
2020-09-17,38.22,39.52,40.22,38.02,246340.0,-0.0382
2020-09-18,37.36,38.56,39.93,36.51,1620000.0,-0.0225
