Date,Close,Open,High,Low,Volume,Change
2012-10-10,6.06,6.71,6.85,6.0,3570000.0,-0.9381999999999999
2012-10-11,6.08,6.06,6.44,6.0,416640.0,0.0033
2012-10-12,6.23,6.05,6.3,6.01,155150.0,0.024700000000000003
2012-10-15,6.15,6.35,6.4,6.05,156970.0,-0.0128
2012-10-16,6.01,6.15,6.3,5.94,172900.0,-0.022799999999999997
2012-10-17,6.0,6.0,6.08,5.99,113570.0,-0.0017000000000000001
2012-10-18,6.0,6.2,6.2,5.55,247280.0,0.0
2012-10-19,6.0,6.08,6.08,5.99,132810.0,0.0
2012-10-22,6.11,6.47,6.47,6.1,304390.0,0.0175
2012-10-23,6.0,6.18,6.18,6.0,74910.0,-0.0172
2012-10-24,6.02,6.01,6.1,6.01,106650.0,0.0033
2012-10-25,6.24,6.1,6.32,6.05,316400.0,0.0365
2012-10-26,6.58,6.19,6.75,6.19,206430.0,0.0545
2012-10-31,7.22,6.78,7.42,6.52,295290.0,0.0973
2012-11-01,7.65,8.44,8.44,7.42,247000.0,0.0596
2012-11-02,7.7,7.81,8.2,7.51,86130.0,0.006500000000000001
2012-11-05,8.23,8.1,8.43,7.85,251620.0,0.0688
2012-11-06,8.59,8.7,8.84,8.35,233840.0,0.0437
2012-11-07,8.19,8.6,8.77,8.15,338680.0,-0.0466
2012-11-08,7.82,8.2,8.34,7.67,169530.0,-0.0452
2012-11-09,8.0,7.82,8.23,7.7,154730.0,0.023
2012-11-12,7.73,8.0,8.0,7.52,76800.0,-0.0337
2012-11-13,8.0,7.95,8.03,7.59,47090.0,0.0349
2012-11-14,7.88,8.03,8.03,7.65,41660.0,-0.015
2012-11-15,8.36,7.6,8.5,7.6,125210.0,0.060899999999999996
2012-11-16,8.71,8.35,8.88,8.23,162320.0,0.04190000000000001
2012-11-19,9.22,8.9,9.5,8.89,291210.0,0.058600000000000006
2012-11-20,9.31,9.22,9.49,9.1,90550.0,0.0098
