Date,Close,Open,High,Low,Volume,Change
1983-09-30,1.08,1.08,1.13,1.08,18000.0,-0.9778
1983-10-03,1.08,1.08,1.09,1.08,18000.0,0.0
1983-10-04,1.07,1.07,1.08,1.07,21600.0,-0.009300000000000001
1983-10-05,0.94,0.94,1.06,0.94,127800.0,-0.1215
1983-10-06,0.97,0.97,0.97,0.94,118800.0,0.0319
1983-10-07,0.95,0.95,0.96,0.95,37800.0,-0.0206
1983-10-10,1.03,1.03,1.03,0.94,104400.0,0.0842
1983-10-11,1.0,1.0,1.05,1.0,75600.0,-0.0291
1983-10-12,0.94,0.94,0.97,0.94,84600.0,-0.06
1983-10-13,0.95,0.95,0.95,0.95,14400.0,0.0106
1983-10-14,0.94,0.94,0.94,0.93,50400.0,-0.0105
1983-10-17,0.94,0.94,0.96,0.94,54000.0,0.0
1983-10-18,0.93,0.93,0.94,0.93,7200.0,-0.0106
1983-10-19,0.94,0.94,0.94,0.93,28800.0,0.0108
1983-10-20,0.93,0.93,0.93,0.93,5400.0,-0.0106
1983-10-21,0.92,0.92,0.92,0.92,1800.0,-0.0108
1983-10-24,0.84,0.84,0.92,0.84,54000.0,-0.087
1983-10-25,0.83,0.83,0.83,0.82,30600.0,-0.011899999999999999
1983-10-26,0.76,0.76,0.83,0.76,169200.0,-0.0843
1983-10-27,0.76,0.76,0.76,0.73,117000.0,0.0
1983-10-28,0.85,0.85,0.85,0.77,153000.0,0.1184
1983-10-31,0.85,0.85,0.85,0.84,45000.0,0.0
1983-11-01,0.85,0.85,0.85,0.84,23400.0,0.0
1983-11-02,0.85,0.85,0.85,0.85,3600.0,0.0
1983-11-03,0.84,0.84,0.85,0.84,12600.0,-0.0118
1983-11-04,0.81,0.81,0.83,0.81,16200.0,-0.035699999999999996
1983-11-07,0.8,0.8,0.81,0.8,9000.0,-0.0123
1983-11-08,0.81,0.81,0.81,0.8,9000.0,0.0125
1983-11-09,0.81,0.81,0.81,0.8,12600.0,0.0
1983-11-10,0.85,0.85,0.85,0.82,41400.0,0.049400000000000006
1983-11-11,0.88,0.88,0.88,0.83,27000.0,0.0353
1983-11-14,0.94,0.94,0.94,0.89,171000.0,0.0682
1983-11-15,0.97,0.97,1.0,0.94,131400.0,0.0319
1983-11-16,1.01,1.01,1.02,0.97,86400.0,0.0412
1983-11-17,1.02,1.02,1.02,0.99,43200.0,0.009899999999999999
1983-11-18,1.02,1.02,1.02,1.01,39600.0,0.0
1983-11-21,1.05,1.05,1.05,1.03,37800.0,0.0294
1983-11-22,1.04,1.04,1.06,1.04,14400.0,-0.0095
1983-11-23,1.02,1.02,1.03,1.02,23400.0,-0.0192
1983-11-25,0.99,0.99,1.01,0.99,30600.0,-0.0294
1983-11-28,0.97,0.97,0.99,0.96,21600.0,-0.0202
1983-11-29,0.95,0.95,0.97,0.94,18000.0,-0.0206
1983-11-30,0.94,0.94,0.97,0.94,68400.0,-0.0105
1983-12-01,0.93,0.93,0.93,0.93,5400.0,-0.0106
1983-12-02,0.89,0.89,0.92,0.89,12600.0,-0.043
1983-12-05,0.92,0.92,0.92,0.89,21600.0,0.0337
1983-12-06,0.92,0.92,0.92,0.92,5400.0,0.0
1983-12-07,0.92,0.92,0.92,0.91,16200.0,0.0
1983-12-08,0.92,0.92,0.92,0.92,9000.0,0.0
1983-12-09,0.92,0.92,0.92,0.92,14400.0,0.0
1983-12-12,0.98,0.98,0.98,0.93,52200.0,0.0652
1983-12-13,0.99,0.99,1.04,0.98,104400.0,0.0102
1983-12-14,0.94,0.94,0.97,0.94,50400.0,-0.050499999999999996
1983-12-15,0.95,0.95,0.95,0.93,36000.0,0.0106
1983-12-16,0.93,0.93,0.94,0.93,21600.0,-0.021099999999999997
1983-12-19,0.93,0.93,0.94,0.92,102600.0,0.0
1983-12-20,0.97,0.97,0.97,0.92,25200.0,0.043
1983-12-21,0.94,0.94,0.97,0.94,27000.0,-0.030899999999999997
1983-12-22,0.93,0.93,0.94,0.93,32400.0,-0.0106
1983-12-23,0.95,0.95,0.95,0.93,10800.0,0.0215
1983-12-27,0.96,0.96,0.97,0.96,37800.0,0.0105
1983-12-28,0.96,0.96,0.97,0.95,48600.0,0.0
1983-12-29,0.94,0.94,0.97,0.94,18000.0,-0.0208
1983-12-30,0.97,0.97,0.97,0.94,19800.0,0.0319
1984-01-03,0.97,0.97,0.97,0.95,30600.0,0.0
1984-01-04,0.95,0.95,0.97,0.95,41400.0,-0.0206
1984-01-05,0.94,0.94,0.97,0.94,113400.0,-0.0105
1984-01-06,0.93,0.93,0.94,0.93,16200.0,-0.0106
1984-01-09,0.9,0.9,0.91,0.9,48600.0,-0.0323
1984-01-10,0.94,0.94,0.94,0.88,91800.0,0.0444
1984-01-11,0.96,0.96,0.96,0.94,28800.0,0.0213
1984-01-12,0.96,0.96,0.96,0.94,21600.0,0.0
