Date,Close,Open,High,Low,Volume,Change
2021-04-16,61.0,65.0,65.2,58.65,4200000.0,-0.0644
2021-04-19,58.86,60.01,60.59,55.72,4640000.0,-0.0351
2021-04-20,60.15,60.04,61.9,58.99,3060000.0,0.0219
2021-04-21,61.81,60.5,62.2,56.75,3610000.0,0.0276
2021-04-22,62.1,61.95,62.95,60.51,844870.0,0.004699999999999999
2021-04-23,58.5,62.1,62.94,58.45,1230000.0,-0.057999999999999996
2021-04-26,59.8,58.77,59.81,57.65,796280.0,0.0222
2021-04-27,58.85,60.0,61.11,58.71,630250.0,-0.0159
2021-04-28,58.75,58.42,60.04,58.07,309570.0,-0.0017000000000000001
2021-04-29,59.17,59.0,59.83,58.82,292890.0,0.0070999999999999995
2021-04-30,58.01,59.41,59.56,57.81,284040.0,-0.0196
2021-05-03,60.06,58.53,60.41,58.53,498930.0,0.0353
2021-05-04,58.55,59.78,60.0,57.82,879090.0,-0.025099999999999997
2021-05-05,58.18,58.77,59.29,57.51,645050.0,-0.0063
2021-05-06,56.93,57.98,57.98,54.72,1330000.0,-0.0215
2021-05-07,57.26,57.73,57.95,55.76,552600.0,0.0058
2021-05-10,55.5,59.21,59.21,54.47,1350000.0,-0.030699999999999998
2021-05-11,53.46,54.38,54.7,50.88,1480000.0,-0.0368
2021-05-12,52.25,52.92,53.03,49.69,1350000.0,-0.0226
2021-05-13,49.87,52.57,54.75,49.48,1650000.0,-0.045599999999999995
2021-05-14,57.26,50.24,57.82,50.01,1200000.0,0.1482
2021-05-17,62.44,56.5,62.86,56.5,1030000.0,0.09050000000000001
2021-05-18,64.29,62.01,65.89,61.91,1120000.0,0.0296
2021-05-19,64.61,62.46,65.27,61.54,602100.0,0.005
2021-05-20,67.9,66.3,68.55,66.3,952890.0,0.0509
2021-05-21,68.35,69.0,70.17,65.88,880310.0,0.0066
2021-05-24,70.31,68.88,70.68,66.86,834010.0,0.0287
2021-05-25,69.95,70.01,72.53,67.59,1020000.0,-0.0051
2021-05-26,68.62,69.17,69.89,67.56,529370.0,-0.019
2021-05-27,69.68,69.1,71.75,67.2,1110000.0,0.0154
2021-05-28,74.31,69.85,75.18,69.0,864590.0,0.0664
2021-06-01,68.86,74.25,74.72,67.67,1010000.0,-0.0733
2021-06-02,70.09,69.2,71.89,69.2,499420.0,0.0179
2021-06-03,70.47,69.76,72.0,69.59,352900.0,0.0054
2021-06-04,74.36,69.99,74.61,69.99,524470.0,0.0552
2021-06-07,77.25,74.2,77.46,72.22,661880.0,0.038900000000000004
2021-06-08,79.47,77.17,80.15,77.17,937500.0,0.0287
2021-06-09,80.25,79.48,81.8,78.43,863740.0,0.0098
2021-06-10,81.86,80.18,82.14,79.26,1160000.0,0.020099999999999996
2021-06-11,82.42,82.0,82.51,79.79,1140000.0,0.0068000000000000005
2021-06-14,81.89,82.5,84.46,81.18,869890.0,-0.0064
2021-06-15,81.65,81.51,82.96,80.3,588170.0,-0.0029
2021-06-16,85.81,81.03,86.77,81.03,1450000.0,0.0509
2021-06-17,88.22,86.03,88.48,85.25,1370000.0,0.0281
2021-06-18,88.21,88.21,90.02,87.76,2510000.0,-0.0001
2021-06-21,83.91,88.0,88.0,83.28,620700.0,-0.0487
2021-06-22,80.3,84.11,84.6,77.59,1200000.0,-0.043
2021-06-23,81.49,80.5,82.86,80.3,388300.0,0.0148
2021-06-24,84.5,85.91,87.16,83.92,754490.0,0.0369
2021-06-25,84.86,84.76,85.49,82.75,537750.0,0.0043
2021-06-28,82.12,85.31,86.46,81.07,810440.0,-0.0323
2021-06-29,83.32,81.73,84.9,81.2,635490.0,0.0146
2021-06-30,75.17,79.0,79.0,73.98,2210000.0,-0.0978
2021-07-01,70.98,74.58,74.58,69.44,1520000.0,-0.0557
2021-07-02,72.07,70.98,72.58,70.53,669780.0,0.0154
