Date,Close,Open,High,Low,Volume,Change
2006-06-30,2.0,1.8,2.0,1.8,3510.0,-0.17010000000000003
2006-07-06,2.1,2.1,2.1,2.1,2050.0,0.05
2006-07-07,2.2,2.2,2.2,2.1,2029.9999999999998,0.047599999999999996
2006-07-11,2.2,2.2,2.2,2.2,440.0,0.0
2006-07-12,2.2,2.2,2.2,2.2,3950.0,0.0
2006-07-13,2.5,2.5,2.5,2.5,1400.0,0.1364
2006-07-20,2.2,2.2,2.2,2.2,130.0,-0.12
2006-07-21,2.7,2.5,2.8,2.1,9740.0,0.2273
2006-07-24,2.5,2.5,2.5,2.5,2280.0,-0.0741
2006-07-25,2.5,2.5,2.5,2.5,400.0,0.0
2006-07-27,3.0,3.0,3.5,3.0,7650.0,0.2
2006-07-28,4.0,3.0,4.0,3.0,5950.0,0.3333
2006-07-31,4.6,3.9,4.6,3.9,1390.0,0.15
2006-08-01,4.6,4.6,4.9,4.6,1640.0,0.0
2006-08-02,5.2,4.2,5.2,4.2,1320.0,0.1304
2006-08-03,6.6,5.2,6.6,5.2,300.0,0.2692
2006-08-08,8.0,5.0,8.0,5.0,310.0,0.2121
2006-08-09,8.0,5.0,8.0,5.0,150.0,0.0
2006-08-11,8.0,8.0,8.0,8.0,100.0,0.0
2006-08-14,6.0,6.0,6.0,6.0,90.0,-0.25
2006-08-15,12.0,6.0,12.0,6.0,1340.0,1.0
2006-08-18,9.9,28.75,28.75,9.9,950.0,-0.175
2006-08-23,7.75,8.75,8.75,7.5,1950.0,-0.21719999999999998
2006-08-24,7.5,7.55,7.55,7.5,3840.0,-0.0323
2006-08-25,6.25,7.5,7.5,6.25,510.0,-0.16670000000000001
2006-08-28,6.25,6.25,6.25,6.25,20.0,0.0
2006-08-29,5.5,6.25,6.25,5.5,1100.0,-0.12
2006-08-30,5.75,5.75,5.75,5.75,4290.0,0.0455
2006-08-31,5.5,5.75,5.75,5.5,800.0,-0.0435
2006-09-01,5.0,5.25,5.25,4.5,1490.0,-0.0909
2006-09-05,4.75,4.75,4.75,4.75,500.0,-0.05
2006-09-06,5.25,4.75,5.25,4.75,190.0,0.10529999999999999
2006-09-07,5.1,5.1,5.1,5.1,50.0,-0.0286
2006-09-08,5.1,5.1,5.1,5.1,80.0,0.0
2006-09-11,5.5,5.5,5.5,5.5,320.0,0.0784
2006-09-12,6.25,6.25,6.25,6.0,750.0,0.1364
2006-09-13,6.25,6.0,6.25,6.0,470.0,0.0
2006-09-14,6.25,6.25,6.25,6.25,720.0,0.0
2006-09-20,6.0,6.25,6.25,6.0,480.0,-0.04
2006-09-21,6.0,6.0,6.0,6.0,390.0,0.0
2006-09-25,6.0,6.0,6.0,6.0,90.0,0.0
2006-09-26,6.25,6.25,6.25,6.25,610.0,0.0417
2006-09-28,6.75,6.25,7.0,6.25,5900.0,0.08
2006-09-29,7.5,6.25,7.5,6.25,7320.0,0.11109999999999999
2006-10-03,6.75,7.0,7.0,6.75,200.0,-0.1
2006-10-04,6.25,6.25,6.25,6.25,450.0,-0.0741
2006-10-06,6.25,6.25,6.25,6.25,90.0,0.0
2006-10-10,6.25,6.25,6.25,6.25,520.0,0.0
2006-10-11,6.75,6.25,6.75,6.25,1540.0,0.08
2006-10-12,7.25,7.0,7.25,7.0,500.0,0.0741
2006-10-13,7.5,7.25,7.5,7.25,980.0,0.0345
