Date,Close,Open,High,Low,Volume,Change
2004-10-05,14.79,14.77,14.95,14.75,4240000.0,-0.0507
2004-10-06,14.77,14.87,14.87,14.77,539650.0,-0.0014000000000000002
2004-10-07,14.92,14.77,14.96,14.77,798190.0,0.0102
2004-10-08,15.06,14.96,15.16,14.96,465760.0,0.009399999999999999
2004-10-11,15.11,15.06,15.16,15.01,201760.0,0.0033
2004-10-12,15.01,15.06,15.25,14.96,149000.0,-0.0066
2004-10-13,15.06,15.13,15.18,15.01,71250.0,0.0033
2004-10-14,14.88,15.07,15.11,14.87,107460.0,-0.012
2004-10-15,14.92,14.92,14.95,14.77,185130.0,0.0027
2004-10-18,15.12,14.99,15.15,14.82,108850.0,0.0134
2004-10-19,15.11,14.92,15.21,14.92,221660.0,-0.0007000000000000001
2004-10-20,15.14,15.06,15.26,15.06,85010.0,0.002
2004-10-21,15.06,15.16,15.16,15.01,65900.0,-0.0053
2004-10-22,15.0,15.05,15.15,15.0,15000.0,-0.004
2004-10-25,14.96,15.0,15.1,14.91,7710.0,-0.0027
2004-10-26,14.87,14.93,14.93,14.78,59500.0,-0.006
2004-10-27,14.96,14.85,14.96,14.77,53900.0,0.0060999999999999995
2004-10-28,14.92,14.87,14.92,14.81,188830.0,-0.0027
2004-10-29,14.92,14.92,14.96,14.92,31150.0,0.0
2004-11-01,14.92,14.92,14.96,14.84,35820.0,0.0
2004-11-02,15.01,14.92,15.06,14.92,44620.0,0.006
2004-11-03,15.06,15.05,15.11,15.01,40880.0,0.0033
2004-11-04,15.06,15.16,15.16,14.98,36850.0,0.0
2004-11-05,15.16,15.16,15.38,14.96,116810.0,0.0066
2004-11-08,14.89,15.06,15.06,14.87,28070.0,-0.0178
2004-11-09,14.87,14.88,14.95,14.87,49900.0,-0.0013
2004-11-10,14.98,14.96,15.1,14.88,44900.0,0.0074
2004-11-11,15.07,14.82,15.21,14.82,58380.0,0.006
2004-11-12,15.02,15.01,15.36,15.01,30650.0,-0.0033
2004-11-15,15.75,15.26,16.24,15.26,131120.0,0.048600000000000004
2004-11-16,15.98,16.15,16.98,15.75,227110.0,0.0146
2004-11-17,16.49,16.49,16.49,16.05,120900.0,0.0319
2004-11-18,16.59,16.84,16.84,16.4,281560.0,0.0060999999999999995
2004-11-19,17.08,16.74,17.38,16.49,650160.0,0.029500000000000002
2004-11-22,17.54,17.43,17.62,17.14,422680.0,0.0269
2004-11-23,17.61,17.66,17.92,17.28,638070.0,0.004
2004-11-24,17.52,17.82,18.18,17.49,296480.0,-0.0051
2004-11-26,17.59,17.72,17.9,17.23,73520.0,0.004
2004-11-29,17.39,17.72,17.92,16.74,244510.0,-0.011399999999999999
2004-11-30,17.77,17.71,17.97,17.52,361450.0,0.0219
2004-12-01,17.98,18.02,18.41,17.72,214000.0,0.0118
2004-12-02,18.07,18.24,19.39,17.72,290070.0,0.005
2004-12-03,18.46,18.35,18.56,17.87,154350.0,0.0216
2004-12-06,18.11,18.64,18.74,17.47,201660.0,-0.019
2004-12-07,18.39,18.21,18.46,18.16,178690.0,0.0155
2004-12-08,18.49,18.51,18.72,17.98,110830.0,0.0054
2004-12-09,18.46,18.75,18.95,18.05,90630.0,-0.0016
2004-12-10,18.46,18.46,18.74,17.72,89710.0,0.0
2004-12-13,18.74,18.83,18.93,18.5,86500.0,0.0152
2004-12-14,19.3,18.8,19.69,18.36,181780.0,0.029900000000000003
2004-12-15,18.86,19.71,19.71,18.71,115000.0,-0.022799999999999997
2004-12-16,18.11,18.99,19.0,17.72,162690.0,-0.0398
2004-12-17,17.97,17.91,18.88,17.72,542890.0,-0.0077
2004-12-20,18.21,18.39,18.66,16.97,275180.0,0.0134
2004-12-21,18.51,18.71,18.71,17.97,103760.0,0.0165
2004-12-22,18.77,18.46,18.8,18.46,59100.0,0.013999999999999999
2004-12-23,18.71,18.88,19.38,18.46,63830.0,-0.0032
2004-12-27,19.12,18.99,19.3,18.8,31400.0,0.0219
2004-12-28,19.34,18.8,19.34,18.71,62420.0,0.0115
2004-12-29,19.27,19.69,19.69,19.11,46620.0,-0.0036
2004-12-30,19.1,19.32,19.44,19.1,33460.0,-0.0088
2004-12-31,19.13,19.1,19.2,17.28,187050.0,0.0016
2005-01-03,18.37,19.39,19.39,18.31,77560.0,-0.0397
2005-01-04,18.45,18.28,18.61,18.02,69600.0,0.0044
2005-01-05,18.15,18.57,18.71,17.97,54660.0,-0.0163
2005-01-06,17.72,18.21,18.43,17.72,76430.0,-0.023700000000000002
2005-01-07,18.07,18.18,18.21,17.79,48400.0,0.019799999999999998
2005-01-10,17.82,18.01,18.31,17.47,83270.0,-0.0138
2005-01-11,17.97,18.02,18.15,17.47,66740.0,0.0084
2005-01-12,17.72,18.06,18.21,16.88,120680.0,-0.0139
2005-01-13,17.74,17.72,17.87,17.54,37050.0,0.0011
2005-01-14,17.92,18.11,18.11,17.74,25500.0,0.0101
2005-01-18,18.02,17.75,18.18,17.75,27090.0,0.005600000000000001
2005-01-19,17.82,18.08,18.08,17.74,20640.0,-0.0111
2005-01-20,17.97,17.73,18.11,17.72,28410.0,0.0084
2005-01-21,17.84,18.08,18.18,17.61,32720.0,-0.0072
2005-01-24,17.89,17.9,17.99,17.72,38630.0,0.0028000000000000004
2005-01-25,17.81,18.02,18.02,17.1,33700.0,-0.0045000000000000005
2005-01-26,17.99,18.02,18.11,17.57,33180.0,0.0101
2005-01-27,17.47,18.11,18.19,17.47,40430.0,-0.028900000000000002
2005-01-28,17.67,18.15,18.19,17.47,14120.0,0.011399999999999999
2005-01-31,17.82,18.16,18.26,17.56,39870.0,0.0085
2005-02-01,18.1,17.92,18.1,17.62,46100.0,0.015700000000000002
2005-02-02,18.14,18.02,18.18,17.73,28000.0,0.0022
2005-02-03,18.26,18.11,18.46,17.83,33060.0,0.0066
2005-02-04,18.09,18.19,18.21,17.68,38610.0,-0.009300000000000001
2005-02-07,17.59,17.52,18.02,17.33,131400.0,-0.0276
2005-02-08,17.67,17.92,17.92,17.57,38240.0,0.0045000000000000005
2005-02-09,17.57,17.57,17.92,17.57,25250.0,-0.005699999999999999
2005-02-10,17.92,17.86,17.92,17.72,36950.0,0.0199
2005-02-11,17.72,17.79,18.04,17.67,95920.0,-0.011200000000000002
2005-02-14,17.71,17.7,17.87,17.58,36190.0,-0.0006
2005-02-15,17.48,17.72,17.86,17.48,75500.0,-0.013000000000000001
2005-02-16,17.38,17.43,17.72,16.5,77110.0,-0.005699999999999999
2005-02-17,17.1,17.13,17.52,17.0,19220.0,-0.0161
2005-02-18,16.81,17.14,17.23,16.37,35010.0,-0.017
2005-02-22,16.57,16.96,17.46,16.3,52920.0,-0.0143
2005-02-23,16.17,16.91,17.17,15.51,88180.0,-0.0241
2005-02-24,16.97,16.0,16.97,15.47,26280.0,0.0495
2005-02-25,16.74,16.81,17.0,16.5,38560.0,-0.013600000000000001
2005-02-28,16.74,16.65,17.12,16.49,56890.0,0.0
2005-03-01,16.74,16.82,16.98,16.74,17910.0,0.0
2005-03-02,17.06,16.64,17.22,16.49,18190.0,0.0191
2005-03-03,17.0,16.84,17.23,16.39,22510.0,-0.0034999999999999996
2005-03-04,16.88,17.02,17.02,16.52,16010.000000000002,-0.0070999999999999995
2005-03-07,16.6,16.8,16.98,16.6,27770.0,-0.0166
2005-03-08,16.49,16.66,17.22,16.46,15660.0,-0.0066
2005-03-09,16.49,16.46,17.22,16.25,22190.0,0.0
2005-03-10,16.1,16.55,16.59,16.01,30490.0,-0.023700000000000002
2005-03-11,15.93,15.95,16.84,15.79,49160.0,-0.0106
2005-03-14,16.34,16.24,16.54,16.09,17210.0,0.025699999999999997
2005-03-15,16.24,16.51,16.51,16.2,6560.0,-0.0060999999999999995
2005-03-16,16.16,16.1,16.2,15.85,19580.0,-0.0049
2005-03-17,15.94,16.36,16.44,15.76,94030.0,-0.013600000000000001
2005-03-18,15.93,15.66,15.98,15.59,3460000.0,-0.0006
2005-03-21,15.82,15.8,15.93,15.75,456870.0,-0.0069
2005-03-22,15.84,15.79,15.89,15.75,426040.0,0.0013
2005-03-23,15.5,15.84,15.84,15.21,437810.0,-0.0215
2005-03-24,15.38,15.7,15.7,15.36,574270.0,-0.0077
2005-03-28,15.33,15.33,15.42,15.08,173060.0,-0.0033
2005-03-29,15.57,15.42,15.65,15.34,210770.0,0.015700000000000002
2005-03-30,15.82,15.6,15.85,15.59,335690.0,0.0161
2005-03-31,16.15,15.9,16.21,15.74,406610.0,0.0209
2005-04-01,16.41,16.63,16.64,16.18,424890.0,0.0161
2005-04-04,16.5,16.63,16.63,16.25,139700.0,0.0055000000000000005
2005-04-05,16.44,16.48,16.56,16.03,125820.0,-0.0036
2005-04-06,16.35,16.69,16.69,16.05,89620.0,-0.0055000000000000005
2005-04-07,16.6,16.19,16.6,16.05,127480.0,0.015300000000000001
2005-04-08,16.34,16.6,16.6,16.24,75480.0,-0.015700000000000002
2005-04-11,16.2,16.53,16.53,16.06,65840.0,-0.0086
2005-04-12,16.58,16.32,16.59,16.1,226840.0,0.0235
2005-04-13,16.43,16.49,16.54,16.24,141320.0,-0.009000000000000001
2005-04-14,16.16,16.54,16.54,16.0,144810.0,-0.016399999999999998
2005-04-15,15.82,16.39,16.39,15.75,266830.0,-0.021
2005-04-18,15.81,15.76,16.05,15.76,163520.0,-0.0006
2005-04-19,15.83,15.81,15.96,15.41,131880.0,0.0013
2005-04-20,15.71,15.95,15.95,15.71,112420.0,-0.0076
2005-04-21,16.11,15.8,16.19,15.79,112120.0,0.0255
2005-04-22,16.09,15.93,16.19,15.85,113970.0,-0.0012
2005-04-25,16.36,16.2,16.36,16.01,84360.0,0.0168
2005-04-26,16.27,16.4,16.49,16.25,74940.0,-0.0055000000000000005
2005-04-27,16.34,16.34,16.49,16.06,60910.0,0.0043
2005-04-28,16.42,16.48,16.63,16.32,211850.0,0.0049
