Date,Close,Open,High,Low,Volume,Change
2000-07-28,25.0,24.0,26.0,21.0,6650000.0,7.9928
2000-07-31,23.75,23.25,24.75,23.0,619500.0,-0.05
2000-08-01,23.88,24.0,24.0,23.5,423900.0,0.0055000000000000005
2000-08-02,24.0,24.0,24.0,23.62,202600.0,0.005
2000-08-03,23.62,23.62,24.06,23.5,322000.0,-0.0158
2000-08-04,24.0,23.69,24.25,23.5,134200.0,0.0161
2000-08-07,26.88,24.0,27.5,23.75,194400.0,0.12
2000-08-08,30.0,27.88,31.88,27.88,244600.0,0.1161
2000-08-09,27.38,32.0,32.5,27.38,174400.0,-0.0873
2000-08-10,26.0,27.5,27.75,24.0,511000.0,-0.0504
2000-08-11,25.62,26.0,26.06,24.75,138600.0,-0.0146
2000-08-14,25.0,25.5,25.5,25.0,75500.0,-0.0242
2000-08-15,24.62,25.62,25.81,24.5,71100.0,-0.0152
2000-08-16,25.0,24.88,25.06,24.5,316000.0,0.0154
2000-08-17,27.25,24.94,27.25,24.75,162300.0,0.09
2000-08-18,27.5,27.38,27.5,26.69,69100.0,0.0092
2000-08-21,29.0,26.69,29.5,26.62,153300.0,0.0545
2000-08-22,28.5,28.88,28.88,28.12,311400.0,-0.0172
2000-08-23,30.0,28.5,30.0,28.5,196400.0,0.0526
2000-08-24,29.5,30.0,30.12,29.5,150400.0,-0.0167
2000-08-25,29.5,29.69,29.69,28.5,32000.0,0.0
2000-08-28,33.5,30.5,34.25,29.88,582500.0,0.1356
2000-08-29,34.06,34.5,38.0,33.0,223600.0,0.0167
2000-08-30,35.5,34.12,35.75,33.56,89400.0,0.042300000000000004
2000-08-31,46.25,35.97,47.0,35.5,248200.0,0.3028
2000-09-01,41.88,46.5,46.56,37.5,323300.0,-0.09449999999999999
2000-09-05,42.5,42.03,45.06,42.0,299100.0,0.0148
2000-09-06,38.75,43.12,43.12,37.38,319800.0,-0.0882
2000-09-07,40.0,39.12,42.0,38.5,211200.0,0.0323
2000-09-08,40.0,39.75,40.75,39.0,131900.0,0.0
2000-09-11,39.0,39.69,39.69,37.5,91100.0,-0.025
2000-09-12,36.94,38.62,38.62,36.25,69000.0,-0.0528
2000-09-13,37.62,37.12,37.88,37.12,182800.0,0.0184
2000-09-14,39.62,37.88,40.75,37.25,115900.0,0.053200000000000004
2000-09-15,39.69,39.94,40.94,39.12,185600.0,0.0018
2000-09-18,39.5,39.81,39.94,39.0,244000.0,-0.0048
2000-09-19,37.38,39.5,39.5,37.31,257100.00000000003,-0.0537
2000-09-20,36.62,38.12,38.12,36.12,40700.0,-0.0203
2000-09-21,34.75,36.69,36.75,34.5,16900.0,-0.051100000000000007
2000-09-22,34.19,34.81,34.88,33.94,78400.0,-0.0161
2000-09-25,37.44,34.19,42.88,34.0,268700.0,0.0951
2000-09-26,39.0,39.0,40.75,38.0,483700.0,0.0417
2000-09-27,39.0,39.25,39.25,38.75,38600.0,0.0
2000-09-28,40.12,38.75,42.0,38.75,103900.0,0.0287
2000-09-29,43.0,40.62,43.25,39.12,245100.0,0.0718
2000-10-02,42.25,42.12,42.38,40.5,124200.0,-0.0174
2000-10-03,41.5,41.75,41.94,41.25,86300.0,-0.0178
2000-10-04,41.75,40.69,41.88,40.5,51700.0,0.006
2000-10-05,42.56,41.75,44.0,41.75,65200.0,0.0194
2000-10-06,39.0,39.58,40.5,38.75,122900.0,-0.0836
2000-10-09,38.44,39.88,39.88,38.25,64400.00000000001,-0.0144
2000-10-10,33.38,38.88,38.88,32.0,158400.0,-0.1316
2000-10-11,33.75,32.62,34.38,32.25,515200.00000000006,0.0111
2000-10-12,33.69,34.56,34.69,32.5,113300.0,-0.0018
2000-10-13,33.38,33.69,34.12,33.38,55400.0,-0.0092
2000-10-16,33.0,33.75,33.75,30.0,118200.0,-0.011399999999999999
2000-10-17,30.12,31.62,33.06,30.0,34000.0,-0.0873
2000-10-18,29.75,30.12,30.53,29.31,137500.0,-0.0123
2000-10-19,30.0,29.88,30.5,29.5,152900.0,0.0084
2000-10-20,30.12,30.12,30.25,29.0,82300.0,0.004
2000-10-23,30.0,30.12,30.5,29.94,99100.0,-0.004
2000-10-24,32.38,30.25,33.0,30.0,131200.0,0.0793
2000-10-25,35.0,32.0,36.5,31.94,106300.0,0.0809
2000-10-26,34.86,35.0,35.75,33.12,32200.000000000004,-0.004
2000-10-27,34.12,34.5,34.75,33.88,21100.0,-0.0212
2000-10-30,33.06,32.12,33.12,32.0,43500.0,-0.0311
2000-10-31,34.94,33.31,35.31,33.19,62600.0,0.056900000000000006
2000-11-01,34.59,34.88,35.25,34.5,50600.0,-0.01
2000-11-02,34.88,34.41,35.19,34.25,132400.0,0.0084
2000-11-03,36.0,35.58,36.38,35.5,44400.0,0.0321
2000-11-06,41.12,36.88,41.56,36.75,192500.0,0.1422
2000-11-07,42.25,40.56,42.25,40.38,18000.0,0.0275
2000-11-08,41.0,41.19,42.75,39.38,17900.0,-0.0296
2000-11-09,40.5,41.62,41.94,39.0,145700.0,-0.012199999999999999
2000-11-10,39.02,40.75,40.75,38.88,22400.0,-0.0365
2000-11-13,35.38,35.42,35.62,34.5,36400.0,-0.0933
2000-11-14,36.88,36.38,37.25,36.0,41200.0,0.0424
2000-11-15,36.69,36.0,37.31,35.88,98600.0,-0.0052
2000-11-16,37.12,37.25,37.38,36.88,165900.0,0.011699999999999999
2000-11-17,35.75,37.06,37.12,35.62,141500.0,-0.0369
2000-11-20,33.88,35.62,35.62,33.62,187100.0,-0.052300000000000006
2000-11-21,29.31,33.69,33.88,29.0,193100.0,-0.1349
2000-11-22,26.0,29.94,30.0,25.56,135600.0,-0.11289999999999999
2000-11-24,25.38,26.5,26.5,24.0,31300.0,-0.023799999999999998
2000-11-27,24.75,26.0,26.0,23.5,209000.0,-0.0248
2000-11-28,22.38,25.38,25.38,21.75,117400.0,-0.0958
2000-11-29,20.5,22.62,22.75,20.0,295400.0,-0.084
2000-11-30,19.5,20.5,20.62,17.88,215000.0,-0.048799999999999996
2000-12-01,23.5,20.0,25.12,19.5,222200.0,0.2051
2000-12-04,24.12,23.5,24.12,23.38,51700.0,0.0264
2000-12-05,23.38,24.12,24.12,23.38,61200.0,-0.030699999999999998
2000-12-06,21.88,23.42,23.44,21.75,158800.0,-0.0642
2000-12-07,19.5,21.5,21.77,19.0,69500.0,-0.10880000000000001
2000-12-08,19.25,19.75,20.0,19.12,181200.0,-0.0128
2000-12-11,18.75,20.06,20.62,18.75,131900.0,-0.026000000000000002
2000-12-12,17.12,18.75,18.75,16.0,297300.0,-0.08689999999999999
