Date,Close,Open,High,Low,Volume,Change
2020-02-04,9.94,9.94,9.94,9.93,161000.0,-0.001
2020-02-05,9.94,9.94,9.94,9.94,39100.0,0.0
2020-02-06,9.94,9.94,9.95,9.94,165410.0,0.0
2020-02-07,9.92,9.94,9.94,9.92,100500.0,-0.002
2020-02-12,9.95,9.95,9.95,9.92,400.0,0.003
2020-02-19,9.95,9.94,9.95,9.94,51000.0,0.0
2020-02-20,9.9,9.9,9.9,9.9,5000.0,-0.005
2020-02-21,9.9,9.9,9.9,9.9,116100.0,0.0
2020-02-25,9.9,9.93,9.93,9.9,75100.0,0.0
2020-02-26,9.91,9.91,9.92,9.91,768000.0,0.001
2020-02-28,9.9,9.9,9.9,9.88,59220.0,-0.001
2020-03-02,9.9,9.92,9.92,9.9,2700.0,0.0
2020-03-03,9.9,9.92,9.92,9.9,57400.0,0.0
2020-03-04,9.9,9.9,9.92,9.9,569900.0,0.0
2020-03-05,9.9,9.9,9.9,9.9,175230.0,0.0
2020-03-06,9.9,9.9,9.9,9.9,680.0,0.0
2020-03-09,9.9,9.9,9.9,9.9,600.0,0.0
2020-03-11,9.85,9.9,9.9,9.85,214170.0,-0.0051
2020-03-12,9.8,9.81,9.81,9.8,1030.0,-0.0051
2020-03-13,9.75,9.8,9.8,9.74,37470.0,-0.0051
2020-03-18,9.6,9.6,9.6,9.6,1000.0,-0.0154
2020-03-19,9.5,9.5,9.5,9.5,2000.0,-0.0104
2020-03-20,9.54,9.43,9.54,9.4,95300.0,0.0039000000000000003
2020-03-23,9.35,9.35,9.35,9.35,1030.0,-0.0197
2020-03-24,9.65,9.31,9.65,9.3,512309.99999999994,0.0321
2020-03-26,9.67,9.5,9.67,9.5,12740.0,0.0021
2020-03-27,9.7,9.68,9.7,9.68,610.0,0.0031
2020-04-01,9.57,9.57,9.57,9.57,150000.0,-0.0129
2020-04-02,9.56,9.57,9.57,9.56,402590.0,-0.0016
2020-04-06,9.56,9.56,9.56,9.56,31880.0,0.0
2020-04-08,9.68,9.68,9.68,9.68,1080.0,0.0126
2020-04-09,9.7,9.7,9.7,9.7,4370.0,0.0021
2020-04-14,9.71,9.71,9.71,9.71,12130.0,0.001
2020-04-15,9.73,9.5,9.73,9.5,16200.0,0.0021
2020-04-16,9.73,9.7,9.73,9.7,33520.0,0.0
2020-04-20,9.7,9.7,9.7,9.7,1110.0,-0.0026
2020-04-21,9.75,9.85,9.85,9.75,2320.0,0.0052
2020-04-23,9.75,9.75,9.75,9.75,1400.0,0.0
2020-04-24,9.72,9.72,9.72,9.72,2120.0,-0.0031
2020-05-01,9.58,9.58,9.58,9.58,27660.0,-0.0144
2020-05-04,9.7,9.7,9.7,9.7,200.0,0.0125
2020-05-05,9.7,9.75,9.75,9.7,19990.0,0.0
2020-05-08,9.7,9.68,9.82,9.65,59800.0,0.0
2020-05-12,9.7,9.69,9.82,9.69,7600.0,0.0
2020-05-13,9.7,9.69,9.7,9.69,500.0,0.0
2020-05-14,9.7,9.7,9.77,9.7,32980.0,0.0
2020-05-15,9.73,9.84,9.85,9.7,101200.0,0.0026
2020-05-19,9.7,9.85,9.85,9.7,26210.0,-0.0026
2020-05-29,9.7,9.75,9.75,9.69,58970.0,0.0
2020-06-01,9.7,9.7,9.7,9.7,1490.0,0.0
2020-06-02,9.72,9.72,9.72,9.72,1540.0,0.0021
2020-06-03,9.72,9.75,9.75,9.72,2660.0,0.0
2020-06-04,9.77,9.82,9.82,9.77,3620.0,0.0052
2020-06-05,9.85,9.82,9.85,9.82,3380.0,0.008199999999999999
2020-06-16,9.78,9.78,9.78,9.78,5060.0,-0.0070999999999999995
2020-06-17,9.8,9.83,9.83,9.8,109700.0,0.002
2020-06-18,9.9,9.9,9.9,9.9,2800.0,0.0102
2020-06-19,9.8,9.88,9.88,9.8,1070.0,-0.0101
2020-06-22,9.9,9.9,9.9,9.9,510.0,0.0102
2020-06-23,9.82,9.91,9.91,9.82,2270.0,-0.008100000000000001
2020-06-24,9.86,9.86,9.86,9.86,1610.0,0.0040999999999999995
2020-06-25,9.8,9.83,9.9,9.8,31590.0,-0.0060999999999999995
2020-06-26,9.8,9.81,9.81,9.8,560.0,0.0
2020-06-30,9.9,9.9,9.9,9.9,268760.0,0.0102
2020-07-01,9.85,10.04,10.04,9.83,312400.0,-0.0051
2020-07-02,9.9,10.0,10.16,9.85,21370.0,0.0051
2020-07-07,9.88,9.88,9.88,9.88,270.0,-0.002
2020-07-08,9.86,9.9,9.9,9.86,880.0,-0.002
2020-07-09,9.99,9.98,9.99,9.95,1650.0,0.0132
2020-07-13,9.99,10.18,10.18,9.99,118870.0,0.0
2020-07-14,10.01,9.93,10.03,9.93,15010.0,0.002
2020-07-15,10.07,10.03,10.09,10.03,115790.0,0.006
2020-07-16,10.14,10.08,10.14,10.08,32980.0,0.006999999999999999
2020-07-17,10.25,10.25,10.25,10.25,510.0,0.0108
2020-07-20,10.18,10.17,10.18,10.17,940.0,-0.0068000000000000005
2020-07-21,10.3,10.19,10.33,10.19,118270.0,0.0118
2020-07-22,10.3,10.25,10.4,10.18,104210.0,0.0
2020-07-23,10.3,10.2,10.3,10.15,118640.0,0.0
2020-07-24,10.3,10.21,10.3,10.2,8420.0,0.0
2020-07-27,10.3,10.22,10.39,10.22,4490.0,0.0
2020-07-31,10.05,10.21,10.21,10.05,183900.0,-0.024300000000000002
2020-08-03,10.15,10.15,10.15,10.15,24770.0,0.01
2020-08-05,10.13,10.13,10.13,10.13,120.0,-0.0025
2020-08-06,10.2,10.2,10.2,10.2,1110.0,0.0074
2020-08-07,10.08,10.08,10.08,10.08,100030.0,-0.0118
2020-08-10,10.06,10.06,10.06,10.06,520.0,-0.002
2020-08-11,10.06,10.06,10.06,10.06,7300.0,0.0
2020-08-12,10.11,10.05,10.11,10.05,10710.0,0.0055000000000000005
2020-08-13,10.1,10.1,10.1,10.1,400.0,-0.0015
2020-08-17,10.03,10.05,10.05,10.03,2360.0,-0.0069
2020-08-18,10.0,10.0,10.01,10.0,4940.0,-0.003
2020-08-19,9.98,10.05,10.05,9.98,5020.0,-0.002
2020-08-20,9.95,9.96,9.96,9.95,510.0,-0.003
2020-08-21,10.04,9.95,10.04,9.95,800.0,0.009000000000000001
2020-08-28,10.1,9.95,10.1,9.95,451230.0,0.006
2020-08-31,9.97,10.15,10.15,9.97,1030.0,-0.0129
2020-09-02,10.02,10.02,10.02,10.02,500.0,0.0055000000000000005
2020-09-03,10.01,10.05,10.08,9.99,112980.0,-0.0015
2020-09-10,10.05,10.05,10.05,10.05,1340.0,0.004
2020-09-11,10.07,10.06,10.1,10.06,2410.0,0.0023
2020-09-14,10.01,10.04,10.04,10.01,1360.0,-0.0062
2020-09-15,10.0,9.95,10.0,9.95,551880.0,-0.001
2020-09-16,10.02,10.07,10.1,10.01,13150.0,0.002
2020-09-17,10.06,10.03,10.1,10.02,81780.0,0.0045000000000000005
2020-09-18,10.07,10.08,10.1,10.07,7160.0,0.0005
2020-09-21,10.07,10.1,10.1,10.07,9750.0,0.0
2020-09-22,10.05,10.06,10.06,10.05,25050.0,-0.002
2020-09-23,10.02,10.05,10.05,10.02,159200.0,-0.003
2020-09-24,10.03,10.05,10.05,10.03,303410.0,0.001
2020-09-25,10.06,10.06,10.06,10.06,310.0,0.003
2020-09-28,10.04,10.05,10.16,10.04,2029.9999999999998,-0.002
2020-09-29,10.0,10.13,10.16,10.0,66640.0,-0.004
2020-09-30,10.02,10.1,10.1,10.01,64920.0,0.002
2020-10-01,10.0,10.09,10.09,10.0,34950.0,-0.002
2020-10-02,10.02,9.98,10.02,9.97,10360.0,0.002
2020-10-05,10.02,9.99,10.03,9.99,60590.0,0.0
2020-10-06,10.03,10.02,10.03,10.02,17990.0,0.001
2020-10-07,9.99,10.02,10.02,9.97,838800.0,-0.004
2020-10-08,9.98,10.0,10.03,9.95,1880000.0,-0.0015
2020-10-09,10.02,10.01,10.04,10.01,1650.0,0.0045000000000000005
2020-10-12,10.02,10.02,10.02,10.02,1220.0,0.0
2020-10-13,10.02,10.0,10.02,9.99,4019.9999999999995,0.0
2020-10-14,9.98,10.01,10.03,9.98,1260.0,-0.004
2020-10-15,9.98,9.98,9.98,9.95,61060.0,0.0
2020-10-16,9.97,9.97,9.97,9.97,2840.0,-0.001
2020-10-19,9.98,9.96,9.98,9.96,2020.0,0.001
2020-10-20,10.1,9.97,10.15,9.97,240850.0,0.0125
2020-10-21,10.15,10.15,10.25,10.11,346860.0,0.0045000000000000005
2020-10-22,10.2,10.05,10.24,10.05,580820.0,0.0049
2020-10-23,10.23,10.2,10.25,10.17,20790.0,0.0029
2020-10-26,10.19,10.1,10.2,10.1,8450.0,-0.0039000000000000003
2020-10-27,10.14,10.1,10.19,10.01,61400.0,-0.0049
2020-10-28,10.14,10.03,10.14,10.03,8710.0,0.0
2020-10-29,10.03,9.97,10.14,9.97,2760.0,-0.0108
2020-10-30,10.03,9.97,10.03,9.97,2630.0,0.0
2020-11-02,10.0,10.03,10.03,9.92,115330.0,-0.003
2020-11-03,9.97,9.97,9.97,9.97,150.0,-0.003
2020-11-04,10.15,10.03,10.15,10.0,4610.0,0.0181
2020-11-05,10.09,10.0,10.09,10.0,51590.0,-0.0059
2020-11-06,10.13,10.12,10.15,10.12,25160.0,0.004
2020-11-09,10.15,10.1,10.15,10.1,4530.0,0.002
2020-11-10,10.13,10.01,10.13,10.01,310.0,-0.0021
2020-11-11,10.15,9.95,10.15,9.95,8540.0,0.0021
2020-11-12,10.15,10.15,10.15,9.92,9780.0,0.0
2020-11-13,10.15,10.15,10.15,10.15,450.0,0.0
2020-11-17,10.75,10.05,10.99,10.04,3860000.0,0.0591
2020-11-18,13.36,13.0,13.7,11.9,16980000.0,0.24280000000000002
2020-11-19,17.0,16.21,18.24,16.0,33710000.0,0.2725
2020-11-20,17.0,17.78,18.0,16.5,9510000.0,0.0
2020-11-23,25.45,19.77,25.49,19.25,29280000.0,0.4971
2020-11-24,27.17,33.2,33.5,23.55,26430000.0,0.0676
2020-11-25,25.95,24.69,26.88,23.5,6990000.0,-0.0449
2020-11-27,24.1,25.71,26.0,23.25,4290000.0,-0.0713
2020-11-30,22.0,23.15,23.8,20.0,6010000.0,-0.08710000000000001
2020-12-01,20.03,22.35,22.45,20.0,3430000.0,-0.0895
2020-12-02,19.66,17.93,20.85,17.05,3410000.0,-0.018500000000000003
2020-12-03,21.55,21.45,22.33,20.67,3410000.0,0.09609999999999999
2020-12-04,27.24,26.78,30.0,25.47,20640000.0,0.264
2020-12-07,36.23,28.44,37.18,28.19,15610000.0,0.33
2020-12-08,33.01,32.67,34.9,31.16,9800000.0,-0.0889
2020-12-09,31.9,33.3,36.45,29.2,7430000.0,-0.0336
2020-12-10,31.38,29.8,33.45,29.5,3340000.0,-0.0163
2020-12-11,28.65,29.92,30.0,27.03,4370000.0,-0.087
2020-12-14,28.75,28.5,30.95,28.41,2110000.0,0.0034999999999999996
2020-12-15,27.75,29.25,29.81,26.25,2380000.0,-0.0348
2020-12-16,30.71,26.92,31.0,26.15,2620000.0,0.1067
2020-12-17,29.54,30.4,30.65,28.51,1490000.0,-0.0381
2020-12-18,29.08,29.1,30.01,28.81,873230.0,-0.015600000000000001
2020-12-21,28.75,29.61,30.0,28.14,1510000.0,-0.0113
2020-12-22,33.0,30.0,34.43,29.51,4960000.0,0.1478
2020-12-23,30.84,31.09,32.65,30.0,2660000.0,-0.0655
2020-12-24,31.54,31.49,33.92,30.99,2130000.0,0.0227
2020-12-28,28.7,32.45,32.49,28.5,2230000.0,-0.09
2020-12-29,29.0,29.3,29.4,26.5,2630000.0,0.0105
2020-12-30,28.9,28.92,30.34,28.05,1530000.0,-0.0034000000000000002
2020-12-31,28.12,28.6,29.0,27.66,1120000.0,-0.027000000000000003
2021-01-04,26.61,27.5,28.37,25.0,2670000.0,-0.0537
2021-01-05,27.11,25.83,27.5,25.5,1010000.0,0.018799999999999997
2021-01-06,27.3,26.77,28.42,26.51,1440000.0,0.006999999999999999
2021-01-07,27.25,28.0,28.7,27.02,1280000.0,-0.0018
2021-01-08,27.52,27.73,28.2,26.63,1410000.0,0.009899999999999999
2021-01-11,27.19,26.92,27.99,26.76,1090000.0,-0.012
2021-01-12,26.83,26.78,27.35,26.2,1730000.0,-0.0132
2021-01-13,26.63,27.2,27.8,26.5,1680000.0,-0.0075
2021-01-14,29.34,29.47,30.3,27.67,3530000.0,0.1018
2021-01-15,29.97,30.3,31.97,29.37,3790000.0,0.0215
2021-01-19,28.79,30.01,31.47,28.11,2089999.9999999998,-0.0394
2021-01-20,28.79,29.48,29.85,28.04,1350000.0,0.0
2021-01-21,28.23,29.0,29.29,27.89,1730000.0,-0.0195
2021-01-22,28.28,27.85,28.68,27.73,1000000.0,0.0018
2021-01-25,26.61,28.32,28.5,25.5,1760000.0,-0.0591
2021-01-26,27.8,27.5,28.15,26.81,1620000.0,0.0447
2021-01-27,25.49,26.4,27.8,25.29,1980000.0,-0.08310000000000001
2021-01-28,26.99,25.95,27.43,25.9,1270000.0,0.0588
2021-01-29,26.95,26.57,27.87,26.01,1160000.0,-0.0015
2021-02-01,28.96,27.33,29.0,26.28,1800000.0,0.0746
2021-02-02,27.75,29.13,29.49,27.51,999390.0,-0.0418
2021-02-03,28.08,28.05,28.99,27.58,661700.0,0.011899999999999999
2021-02-04,28.32,28.78,29.98,28.01,1480000.0,0.0085
2021-02-05,27.22,28.4,28.45,26.5,1720000.0,-0.0388
2021-02-08,27.42,27.5,27.75,26.9,1200000.0,0.0073
2021-02-09,27.3,27.43,27.45,26.65,1010000.0,-0.0044
2021-02-10,28.25,27.37,29.97,26.99,1480000.0,0.0348
2021-02-11,27.62,28.0,29.43,27.25,1050000.0,-0.0223
2021-02-12,28.8,27.67,29.1,27.55,1210000.0,0.042699999999999995
2021-02-16,27.34,28.71,29.8,27.25,1700000.0,-0.0507
2021-02-17,27.08,27.1,27.39,26.57,1090000.0,-0.0095
2021-02-18,26.93,26.93,27.92,25.77,1230000.0,-0.0055000000000000005
2021-02-19,26.29,27.59,27.6,26.06,885240.0,-0.023799999999999998
2021-02-22,26.3,26.42,26.64,25.9,838340.0,0.0004
2021-02-23,22.41,24.98,25.0,21.0,2210000.0,-0.1479
2021-02-24,25.1,24.0,25.25,23.1,1190000.0,0.12
2021-02-25,24.1,25.1,26.0,23.59,1700000.0,-0.0398
2021-02-26,22.93,23.86,24.98,22.3,1100000.0,-0.048499999999999995
2021-03-01,24.07,25.08,25.72,23.55,1120000.0,0.049699999999999994
2021-03-02,22.95,24.15,24.9,22.76,990650.0,-0.04650000000000001
2021-03-03,20.73,23.38,23.89,20.61,2120000.0,-0.0967
2021-03-04,19.66,21.02,22.94,17.66,2590000.0,-0.0516
2021-03-05,18.59,20.0,20.56,18.05,3160000.0,-0.054400000000000004
2021-03-08,18.06,19.1,20.15,17.78,1740000.0,-0.0285
