Date,Close,Open,High,Low,Volume,Change
2003-10-20,1.07,1.07,1.18,1.07,6500.0,0.009399999999999999
2003-10-21,1.08,1.08,1.22,1.08,29400.0,0.009300000000000001
2003-10-22,1.2,1.2,1.27,1.1,10800.0,0.11109999999999999
2003-10-23,1.2483,1.2483,1.2483,1.19,15500.0,0.04019999999999999
2003-10-24,1.23,1.23,1.25,1.2,13700.0,-0.0147
2003-10-27,1.41,1.41,1.5,1.32,24000.0,0.1463
2003-10-28,1.485,1.485,1.533,1.43,24100.0,0.053200000000000004
2003-10-29,1.88,1.88,1.96,1.5,30800.0,0.266
2003-10-30,1.79,1.79,2.0,1.76,13200.0,-0.0479
2003-10-31,1.77,1.77,1.8,1.77,5000.0,-0.011200000000000002
2003-11-03,1.65,1.65,1.825,1.64,21950.0,-0.0678
2003-11-04,1.81,1.81,1.81,1.618,4500.0,0.09699999999999999
2003-11-05,1.71,1.71,1.76,1.663,9400.0,-0.0552
2003-11-06,1.72,1.72,1.783,1.71,2750.0,0.0058
2003-11-07,1.71,1.71,1.91,1.7,7230.0,-0.0058
2003-11-10,1.73,1.73,1.73,1.58,8630.0,0.011699999999999999
2003-11-11,1.7,1.7,1.7033,1.5828,9000.0,-0.0173
2003-11-13,1.78,1.78,1.79,1.77,1500.0,0.0471
2003-11-14,1.76,1.76,2.01,1.73,75710.0,-0.011200000000000002
2003-11-17,1.76,1.76,1.76,1.58,17900.0,0.0
2007-06-14,1.66,1.621,1.66,1.621,5850.0,-0.056799999999999996
2007-06-15,1.69,1.62,1.69,1.62,8850.0,0.0181
2007-06-18,1.7,1.7,1.7,1.7,800.0,0.0059
2007-06-19,1.68,1.67,1.68,1.61,3740.0,-0.0118
2007-06-20,1.67,1.68,1.7,1.67,1700.0,-0.006
2007-06-22,1.65,1.68,1.684,1.6466,20430.0,-0.012
2007-06-26,1.64,1.62,1.64,1.62,6000.0,-0.0060999999999999995
2007-06-27,1.6228,1.61,1.6342,1.59,18500.0,-0.0105
2007-06-28,1.64,1.6,1.64,1.6,12440.0,0.0106
2007-06-29,1.6,1.64,1.65,1.591,15670.0,-0.024399999999999998
2007-07-02,1.57,1.64,1.64,1.57,14500.0,-0.0187
2007-07-03,1.65,1.63,1.65,1.6,30670.0,0.051
2007-07-05,1.715,1.7,1.86,1.68,29600.0,0.0394
2007-07-06,1.77,1.72,1.79,1.72,45300.0,0.0321
2007-07-09,1.85,1.7656,1.85,1.7544,21570.0,0.0452
2007-07-10,1.77,1.7949,1.84,1.77,6000.0,-0.0432
2007-07-11,1.75,1.75,1.75,1.72,10520.0,-0.0113
2007-07-12,1.75,1.75,1.77,1.7,12870.0,0.0
2007-07-13,1.735,1.72,1.8,1.72,42660.0,-0.0086
2007-07-16,1.84,1.7,1.9,1.7,61510.0,0.0605
2007-07-17,1.84,1.76,1.84,1.76,4800.0,0.0
2007-07-18,1.765,1.752,1.77,1.752,14800.0,-0.0408
2007-07-19,1.8,1.761,1.8,1.76,40500.0,0.019799999999999998
2007-07-20,1.79,1.8,1.8,1.76,13350.0,-0.005600000000000001
2007-07-23,1.755,1.761,1.761,1.755,4880.0,-0.0196
2007-07-24,1.76,1.76,1.79,1.7229,22300.0,0.0028000000000000004
2007-07-25,1.72,1.7429,1.7485,1.715,12200.0,-0.0227
2007-07-26,1.6898,1.72,1.72,1.68,21790.0,-0.0176
2007-07-27,1.75,1.72,1.77,1.6891,19240.0,0.0356
2007-07-30,1.79,1.79,1.81,1.77,14660.0,0.0229
2007-07-31,1.97,1.78,1.97,1.78,13990.0,0.10060000000000001
2007-08-01,1.861,1.94,1.97,1.861,25980.0,-0.0553
2007-08-02,1.83,1.9,1.9,1.83,57600.0,-0.0167
2007-08-03,1.88,1.81,1.88,1.81,3500.0,0.0273
2007-08-06,1.79,1.79,1.79,1.79,1500.0,-0.0479
2007-08-07,1.8,1.85,1.85,1.8,10790.0,0.005600000000000001
2007-08-08,1.7753,1.8,1.8222,1.75,26600.0,-0.0137
2007-08-09,1.75,1.75,1.75,1.75,3500.0,-0.0143
2007-08-10,1.75,1.71,1.75,1.7,27300.0,0.0
2007-08-13,1.7,1.67,1.75,1.67,8000.0,-0.0286
2007-08-14,1.65,1.7,1.74,1.65,12100.0,-0.0294
2007-08-15,1.65,1.66,1.66,1.56,32450.000000000004,0.0
2007-08-16,1.45,1.63,1.63,1.44,127590.0,-0.12119999999999999
2007-08-17,1.48,1.58,1.58,1.45,60360.0,0.0207
2007-08-20,1.46,1.48,1.48,1.45,7610.0,-0.013500000000000002
2007-08-21,1.46,1.46,1.5,1.4403,6110.0,0.0
2007-08-22,1.55,1.46,1.55,1.46,5340.0,0.0616
2007-08-23,1.5275,1.52,1.5275,1.511,8700.0,-0.014499999999999999
2007-08-24,1.46,1.63,1.6704,1.46,14830.0,-0.044199999999999996
2007-08-27,1.64,1.49,1.64,1.49,2650.0,0.1233
2007-08-28,1.56,1.58,1.69,1.535,21600.0,-0.048799999999999996
2007-08-29,1.61,1.55,1.62,1.55,11000.0,0.0321
2007-08-30,1.55,1.52,1.61,1.5,2700.0,-0.0373
2007-08-31,1.67,1.55,1.77,1.5295,43400.0,0.0774
2007-09-04,1.7,1.7,1.7,1.69,7650.0,0.018000000000000002
2007-09-05,1.55,1.62,1.62,1.5,10200.0,-0.0882
2007-09-06,1.65,1.65,1.65,1.65,4200.0,0.0645
2007-09-07,1.71,1.65,1.76,1.65,9970.0,0.0364
2007-09-10,1.7,1.73,1.75,1.7,10080.0,-0.0058
2007-09-11,1.8,1.74,1.8,1.74,12100.0,0.0588
2007-09-12,1.75,1.79,1.79,1.75,1900.0,-0.0278
2007-09-13,1.66,1.615,1.72,1.615,2880.0,-0.051399999999999994
2007-09-14,1.67,1.74,1.74,1.67,1600.0,0.006
2007-09-17,1.62,1.67,1.67,1.62,11520.0,-0.029900000000000003
2007-09-18,1.65,1.66,1.66,1.55,37000.0,0.018500000000000003
2007-09-19,1.78,1.74,1.81,1.6,102590.0,0.0788
2007-09-20,1.74,1.77,1.78,1.72,25400.0,-0.0225
2007-09-21,1.8,1.8,1.82,1.74,57110.0,0.0345
2007-09-24,1.72,1.76,1.76,1.7169,35600.0,-0.0444
2007-09-25,1.75,1.6973,1.75,1.6973,3500.0,0.0174
2007-09-26,1.72,1.76,1.76,1.72,8400.0,-0.0171
2007-09-27,1.75,1.75,1.8,1.75,10100.0,0.0174
2007-09-28,1.76,1.82,1.85,1.7485,12120.0,0.005699999999999999
2007-10-01,1.8,1.78,1.805,1.76,13500.0,0.0227
2007-10-02,1.76,1.81,1.81,1.76,1600.0,-0.0222
2007-10-03,1.8,1.7965,1.8,1.7965,7080.0,0.0227
2007-10-04,1.74,1.76,1.8,1.73,15300.0,-0.0333
2007-10-05,1.84,1.85,1.9,1.75,20700.0,0.0575
2007-10-08,1.82,1.75,1.82,1.75,4000.0,-0.0109
2007-10-09,1.79,1.75,1.79,1.74,31280.0,-0.0165
2007-10-10,1.76,1.85,1.85,1.75,33130.0,-0.0168
2007-10-11,1.83,1.72,1.83,1.72,23100.0,0.0398
2007-10-12,1.78,1.78,1.78,1.78,4250.0,-0.0273
2007-10-15,1.75,1.8,1.82,1.75,20830.0,-0.0169
2007-10-16,1.8,1.75,1.83,1.75,25920.0,0.0286
2007-10-17,1.78,1.78,1.78,1.78,5800.0,-0.0111
2007-10-18,1.84,1.85,1.85,1.84,12250.0,0.0337
2007-10-19,1.77,1.81,1.82,1.77,8600.0,-0.038
2007-10-22,1.68,1.75,1.75,1.65,33500.0,-0.0508
2007-10-23,1.74,1.72,1.74,1.72,3000.0,0.035699999999999996
2007-10-24,1.71,1.72,1.72,1.71,3250.0,-0.0172
2007-10-25,1.68,1.75,1.75,1.6758,23800.0,-0.0175
2007-10-26,1.55,1.69,1.7245,1.55,81100.0,-0.0774
2007-10-29,1.8574,1.74,1.8574,1.6,119250.0,0.19829999999999998
2007-10-30,1.7,1.77,1.799,1.699,6980.0,-0.08470000000000001
2007-10-31,1.9,1.75,1.9,1.75,17200.0,0.1176
2007-11-01,1.87,1.88,1.91,1.76,27600.0,-0.0158
2007-11-02,1.884,1.85,1.884,1.85,18700.0,0.0075
2007-11-05,1.82,1.86,1.88,1.765,18100.0,-0.034
2007-11-06,1.9,1.84,1.9,1.79,52280.0,0.044000000000000004
2007-11-07,1.95,1.94,1.97,1.92,99830.0,0.0263
2007-11-08,1.85,1.9845,1.9845,1.8,41730.0,-0.0513
2007-11-09,1.81,1.8825,1.91,1.81,10900.0,-0.0216
2007-11-12,1.8299,1.78,1.8299,1.75,21930.0,0.011000000000000001
2007-11-13,1.75,1.75,1.75,1.75,5700.0,-0.0437
2007-11-14,1.75,1.77,1.8,1.75,5300.0,0.0
2007-11-15,1.8,1.75,1.8,1.75,39760.0,0.0286
2007-11-16,1.7035,1.75,1.75,1.68,48840.0,-0.0536
2007-11-19,1.65,1.69,1.71,1.65,16400.0,-0.031400000000000004
2007-11-20,1.66,1.67,1.68,1.58,20800.0,0.0060999999999999995
2007-11-21,1.61,1.61,1.66,1.61,14500.0,-0.0301
2007-11-23,1.55,1.61,1.63,1.55,27400.0,-0.0373
2007-11-26,1.5489,1.63,1.63,1.5489,30500.0,-0.0007000000000000001
2007-11-27,1.5,1.54,1.559,1.5,13150.0,-0.0316
2007-11-28,1.5,1.5,1.5,1.5,730.0,0.0
2007-11-29,1.58,1.5,1.6511,1.5,33050.0,0.0533
2007-11-30,1.55,1.55,1.55,1.55,300.0,-0.019
2007-12-03,1.59,1.55,1.611,1.49,16400.0,0.0258
2007-12-04,1.59,1.51,1.59,1.51,1100.0,0.0
2007-12-05,1.5193,1.5,1.5193,1.5,1400.0,-0.044500000000000005
2007-12-06,1.52,1.5,1.54,1.5,43940.0,0.0005
2007-12-07,1.58,1.517,1.58,1.517,4200.0,0.0395
2007-12-10,1.53,1.55,1.55,1.4985,30150.0,-0.0316
2007-12-11,1.4964,1.515,1.59,1.49,48800.0,-0.022000000000000002
2007-12-12,1.52,1.57,1.57,1.49,9700.0,0.0158
2007-12-13,1.5,1.5,1.5,1.45,40150.0,-0.0132
2007-12-14,1.46,1.4876,1.5,1.46,4920.0,-0.026699999999999998
2007-12-17,1.49,1.4855,1.56,1.48,42600.0,0.020499999999999997
2007-12-18,1.49,1.49,1.49,1.48,39500.0,0.0
2007-12-19,1.46,1.49,1.49,1.46,18700.0,-0.020099999999999996
2007-12-20,1.46,1.46,1.54,1.45,8200.0,0.0
2007-12-21,1.55,1.543,1.59,1.54,14450.0,0.0616
2007-12-24,1.5335,1.608,1.608,1.5,25850.0,-0.0106
2007-12-26,1.53,1.53,1.59,1.53,2000.0,-0.0023
2007-12-27,1.61,1.51,1.64,1.51,11400.0,0.052300000000000006
2007-12-28,1.7,1.5774,1.7,1.57,11130.0,0.0559
2007-12-31,1.61,1.68,1.68,1.61,7050.0,-0.0529
2008-01-02,1.77,1.67,1.77,1.67,4110.0,0.09939999999999999
2008-01-03,1.76,1.789,1.789,1.751,15300.0,-0.005600000000000001
2008-01-04,1.71,1.78,1.78,1.71,1600.0,-0.028399999999999998
2008-01-07,1.61,1.65,1.65,1.6,14800.0,-0.058499999999999996
2008-01-08,1.65,1.63,1.6905,1.6,21000.0,0.0248
2008-01-09,1.619,1.6641,1.6641,1.6,28200.0,-0.018799999999999997
2008-01-10,1.6,1.5901,1.6,1.515,32700.000000000004,-0.011699999999999999
2008-01-11,1.64,1.55,1.64,1.54,39500.0,0.025
2008-01-14,1.61,1.67,1.7,1.61,15510.0,-0.0183
2008-01-15,1.62,1.61,1.71,1.61,14900.0,0.0062
2008-01-16,1.55,1.55,1.55,1.55,1100.0,-0.0432
2008-01-17,1.53,1.56,1.56,1.53,1950.0,-0.0129
2008-01-18,1.5193,1.54,1.55,1.5,36970.0,-0.006999999999999999
2008-01-22,1.48,1.52,1.54,1.4,75070.0,-0.0259
2008-01-23,1.46,1.46,1.47,1.46,1600.0,-0.013500000000000002
2008-01-24,1.5,1.5,1.5064,1.485,45300.0,0.0274
2008-01-25,1.58,1.52,1.648,1.52,9800.0,0.0533
2008-01-28,1.61,1.58,1.625,1.554,7700.0,0.019
2008-01-29,1.55,1.55,1.55,1.55,10200.0,-0.0373
2008-01-30,1.6,1.5478,1.6,1.5478,8410.0,0.0323
2008-01-31,1.55,1.59,1.6,1.5,9300.0,-0.0313
2008-02-01,1.53,1.6,1.6,1.53,10500.0,-0.0129
2008-02-05,1.5,1.502,1.502,1.5,1350.0,-0.0196
2008-02-07,1.56,1.5455,1.6,1.5,14600.0,0.04
2008-02-08,1.5,1.51,1.51,1.5,2200.0,-0.0385
2008-02-11,1.5289,1.5,1.55,1.5,12800.0,0.019299999999999998
2008-02-12,1.53,1.52,1.53,1.52,1300.0,0.0007000000000000001
2008-02-14,1.5,1.501,1.53,1.5,12000.0,-0.0196
2008-02-15,1.5,1.55,1.55,1.5,13500.0,0.0
