Date,Close,Open,High,Low,Volume,Change
2020-10-05,13.15,13.33,13.88,13.05,2040000.0,0.0123
2020-10-06,13.04,13.35,13.35,12.75,901410.0,-0.0084
2020-10-07,13.18,13.02,13.32,12.85,1330000.0,0.010700000000000001
2020-10-08,13.28,13.26,13.47,13.11,999090.0,0.0076
2020-10-09,13.3,13.41,13.66,13.12,410710.0,0.0015
2020-10-12,13.45,13.4,13.7,13.32,343490.0,0.0113
2020-10-13,13.46,13.57,13.59,13.3,320560.0,0.0007000000000000001
2020-10-14,13.31,13.35,13.64,13.04,942650.0,-0.0111
2020-10-15,13.7,12.98,14.0,12.8,438880.0,0.029300000000000003
2020-10-16,13.92,13.76,13.95,13.62,349710.0,0.0161
2020-10-19,13.82,13.75,14.1,13.75,599010.0,-0.0072
2020-10-20,14.49,13.88,14.65,13.85,424730.0,0.048499999999999995
2020-10-21,14.9,14.6,15.71,14.6,1840000.0,0.028300000000000002
2020-10-22,14.76,14.93,15.24,14.26,766450.0,-0.009399999999999999
2020-10-23,14.58,14.72,15.05,14.41,496780.0,-0.012199999999999999
2020-10-26,14.8,14.42,14.85,14.26,627980.0,0.0151
2020-10-27,14.88,15.12,15.6,14.88,1190000.0,0.0054
2020-10-28,14.44,14.97,15.11,14.14,722820.0,-0.0296
2020-10-29,14.66,14.82,15.0,14.32,631820.0,0.0152
2020-10-30,14.7,14.53,15.0,14.51,728530.0,0.0027
2020-11-02,15.13,15.0,15.19,14.86,691390.0,0.029300000000000003
2020-11-03,15.39,15.29,15.51,15.05,637100.0,0.0172
2020-11-04,15.72,15.38,15.88,15.08,528650.0,0.021400000000000002
2020-11-05,16.51,16.0,16.6,15.81,525940.0,0.050300000000000004
2020-11-06,17.5,16.79,17.79,16.58,1290000.0,0.06
2020-11-09,16.19,18.0,18.0,15.8,1420000.0,-0.07490000000000001
2020-11-10,16.71,16.34,17.39,16.34,635010.0,0.0321
2020-11-11,16.48,16.82,16.87,16.2,515789.99999999994,-0.0138
2020-11-12,16.25,16.52,16.67,16.08,304660.0,-0.013999999999999999
2020-11-13,16.67,16.25,16.87,16.06,536530.0,0.0258
2020-11-16,16.43,16.92,17.0,16.07,665310.0,-0.0144
2020-11-17,16.1,16.43,16.49,15.9,566030.0,-0.020099999999999996
2020-11-18,15.22,16.29,16.29,15.12,1020000.0,-0.0547
