Date,Close,Open,High,Low,Volume,Change
2012-06-01,3.0,3.0,3.0,3.0,50.0,-0.0909
2012-12-17,30.0,30.0,30.0,30.0,80.0,9.0
2012-12-19,39.3,39.3,39.3,39.3,80.0,0.31
2012-12-21,45.0,45.0,45.0,45.0,200.0,0.145
2012-12-27,45.0,42.6,45.0,42.6,170.0,0.0
2013-03-18,90.0,75.0,90.0,60.0,390.0,1.0
2013-03-19,150.0,105.3,150.0,105.3,130.0,0.6667000000000001
2013-03-20,225.0,180.6,225.0,179.7,460.0,0.5
2013-03-21,225.0,232.5,232.5,225.0,40.0,0.0
2013-03-25,209.7,217.5,217.5,209.7,40.0,-0.068
2013-03-27,195.0,202.5,202.5,195.0,30.0,-0.0701
2013-03-28,177.0,186.0,186.0,177.0,450.0,-0.09230000000000001
2013-04-01,150.0,162.0,162.0,150.0,50.0,-0.1525
2013-04-03,156.0,141.0,177.0,141.0,640.0,0.04
2013-04-04,156.0,156.0,156.0,156.0,30.0,0.0
2013-04-08,135.0,144.3,144.3,135.0,100.0,-0.1346
2013-04-09,134.7,134.7,134.7,134.7,30.0,-0.0022
2013-04-10,148.5,127.5,148.5,127.5,120.0,0.1024
2013-04-12,127.5,127.5,127.5,127.5,30.0,-0.1414
2013-04-16,129.0,129.0,129.0,129.0,20.0,0.0118
2013-04-17,135.0,129.0,135.0,129.0,50.0,0.04650000000000001
2013-04-18,180.0,168.0,187.5,166.5,120.0,0.3333
2013-04-19,169.5,168.0,169.5,168.0,40.0,-0.0583
2013-04-22,135.0,135.0,169.2,135.0,350.0,-0.20350000000000001
2013-04-25,156.0,156.0,156.0,156.0,10.0,0.15560000000000002
2013-04-26,156.0,156.0,156.0,156.0,180.0,0.0
2013-04-29,150.0,157.5,157.5,150.0,150.0,-0.0385
2013-05-03,135.0,144.0,144.0,135.0,80.0,-0.1
2013-05-09,130.5,129.0,130.5,112.5,860.0,-0.0333
2013-05-10,118.5,115.5,118.5,91.8,260.0,-0.092
2013-05-13,118.5,118.5,118.5,118.5,30.0,0.0
2013-05-15,118.5,118.5,118.5,118.5,10.0,0.0
2013-05-16,117.0,117.0,118.5,117.0,250.0,-0.0127
2013-05-17,115.5,115.5,115.5,115.5,30.0,-0.0128
2013-05-20,117.0,117.0,117.0,113.7,100.0,0.013000000000000001
2013-05-22,117.0,114.9,118.5,114.9,210.0,0.0183
2013-05-24,116.1,116.1,116.1,116.1,20.0,-0.0077
2013-05-28,105.0,105.0,105.0,105.0,70.0,-0.0956
2013-05-30,104.4,104.4,104.4,93.0,90.0,-0.005699999999999999
