Date,Close,Open,High,Low,Volume,Change
1993-10-07,7.33,7.33,7.33,7.33,300.0,0.099
1993-10-08,7.25,7.25,7.25,7.25,1200.0,-0.0109
1993-10-11,7.67,7.67,7.67,7.67,600.0,0.0579
1993-10-13,7.67,7.67,7.67,7.67,3000.0,0.0
1993-10-14,7.5,7.5,7.5,7.5,300.0,-0.0222
1993-10-15,9.0,9.0,9.0,9.0,600.0,0.2
1993-10-18,7.5,7.5,7.5,7.5,3000.0,-0.16670000000000001
1993-10-20,7.67,7.67,7.67,7.67,1800.0,0.0227
1993-10-25,7.67,7.67,7.67,7.67,900.0,0.0
1993-10-27,7.67,7.5,8.0,7.5,5700.0,0.0
1993-10-29,7.33,7.33,7.33,7.33,1500.0,-0.0443
1993-11-01,8.67,8.0,8.67,8.0,2100.0,0.18280000000000002
1993-11-02,7.67,7.67,7.67,7.67,1200.0,-0.1153
1993-11-08,7.79,7.79,7.79,7.79,300.0,0.015600000000000001
1993-11-10,7.83,7.83,7.83,7.83,300.0,0.0051
1993-11-12,7.75,7.75,7.75,7.75,4200.0,-0.0102
1993-11-15,7.83,7.83,7.83,7.83,300.0,0.0103
1993-11-16,7.75,7.67,7.75,7.67,2700.0,-0.0102
1993-12-13,7.75,8.17,8.17,7.75,5100.0,0.0
1993-12-16,7.5,7.5,7.5,7.5,600.0,-0.0323
1993-12-17,9.0,9.0,9.0,9.0,300.0,0.2
1993-12-20,7.96,8.08,8.08,7.96,3900.0,-0.11560000000000001
1993-12-28,7.33,7.33,7.33,7.33,2100.0,-0.0791
1993-12-31,7.33,7.33,7.33,7.33,1500.0,0.0
1994-01-04,7.33,7.33,7.33,7.33,300.0,0.0
1994-01-06,8.0,8.0,8.0,8.0,1500.0,0.09140000000000001
1994-01-07,8.17,8.17,8.17,8.17,600.0,0.0213
1994-01-10,8.67,8.67,8.67,8.67,600.0,0.061200000000000004
1994-01-11,7.5,8.0,8.0,7.5,1800.0,-0.1349
1994-01-13,8.67,8.67,8.67,8.67,300.0,0.156
1994-01-14,8.67,8.67,8.67,8.67,2100.0,0.0
1994-01-17,7.67,7.67,7.67,7.67,600.0,-0.1153
1994-01-21,8.67,8.67,8.67,8.67,3900.0,0.1304
1994-01-24,7.33,7.33,7.33,7.33,300.0,-0.15460000000000002
1994-01-25,7.67,8.33,8.33,7.67,4800.0,0.0464
1994-01-26,8.33,7.83,8.33,7.83,4800.0,0.086
1994-01-28,8.0,8.0,8.0,8.0,2400.0,-0.039599999999999996
1994-01-31,9.0,9.0,9.0,9.0,1800.0,0.125
1994-02-01,9.0,9.0,9.0,8.33,2700.0,0.0
1994-02-02,8.33,8.0,8.33,8.0,1500.0,-0.07440000000000001
1994-02-07,8.17,8.17,8.17,8.17,1800.0,-0.0192
1994-02-09,9.0,9.0,9.0,9.0,600.0,0.1016
1994-02-10,9.0,9.0,9.0,9.0,3000.0,0.0
1994-02-14,9.33,9.33,9.33,9.33,600.0,0.036699999999999997
1994-02-16,9.33,8.67,9.33,8.67,8700.0,0.0
1994-02-17,9.96,9.67,9.96,9.67,12900.0,0.0675
1994-02-18,9.33,9.33,9.33,9.33,2100.0,-0.0633
1994-02-22,9.5,9.33,9.5,9.33,6600.0,0.0182
1994-02-23,9.33,9.33,9.33,9.33,1200.0,-0.0179
1994-02-24,10.0,10.0,10.0,10.0,900.0,0.0718
1994-02-25,9.33,9.33,9.33,9.33,1200.0,-0.067
1994-02-28,9.67,9.33,9.67,9.33,3000.0,0.0364
1994-03-01,9.67,9.67,9.67,9.67,600.0,0.0
1994-03-02,9.33,9.33,9.33,9.33,600.0,-0.0352
1994-03-08,8.33,8.33,8.33,8.33,3000.0,-0.1072
1994-03-17,9.33,9.33,9.33,9.33,300.0,0.12
1994-03-18,9.33,9.33,9.33,9.33,3000.0,0.0
1994-03-21,8.67,9.0,9.0,8.67,1200.0,-0.0707
1994-03-24,9.0,8.83,9.0,8.83,5400.0,0.0381
1994-03-25,8.83,10.0,10.0,8.83,2100.0,-0.0189
1994-03-28,8.83,8.83,8.83,8.83,600.0,0.0
1994-03-30,9.33,9.33,9.33,9.33,300.0,0.056600000000000004
1994-04-04,8.83,8.83,8.83,8.83,300.0,-0.0536
1994-04-06,9.5,8.83,9.5,8.83,600.0,0.0759
1994-04-07,9.0,8.5,9.0,8.5,3600.0,-0.0526
1994-04-08,8.83,8.83,8.83,8.83,300.0,-0.0189
1994-04-11,9.08,8.33,9.08,8.33,5700.0,0.028300000000000002
1994-04-13,9.67,8.33,9.67,8.33,2700.0,0.065
1994-04-14,8.75,8.33,8.75,8.33,1200.0,-0.0951
1994-04-15,8.5,8.5,8.5,8.5,300.0,-0.0286
1994-04-19,8.33,8.33,8.33,8.33,600.0,-0.02
1994-04-25,8.17,8.17,8.17,8.17,900.0,-0.0192
1994-05-16,8.33,8.33,8.33,8.33,600.0,0.0196
1994-05-17,7.67,7.67,7.67,7.67,900.0,-0.07919999999999999
1994-05-20,7.67,7.33,8.0,7.33,11700.0,0.0
1994-05-24,8.0,8.0,8.0,8.0,600.0,0.043
1994-05-31,7.33,7.33,7.33,7.33,300.0,-0.08380000000000001
1994-06-06,8.33,8.33,8.33,8.33,1500.0,0.1364
1994-06-21,8.33,8.33,8.33,8.33,1200.0,0.0
1994-06-22,7.67,7.67,7.67,7.67,1500.0,-0.07919999999999999
1994-06-30,8.33,7.67,8.63,7.67,73800.0,0.086
1994-07-01,7.67,8.83,9.0,7.67,1200.0,-0.07919999999999999
1994-07-08,8.33,8.33,8.33,8.33,600.0,0.086
1994-07-11,7.96,7.96,7.96,7.96,300.0,-0.0444
1994-07-12,8.67,8.67,8.67,8.67,900.0,0.0892
1994-07-20,7.67,7.67,7.67,7.67,300.0,-0.1153
1994-07-21,7.67,7.67,7.67,7.67,300.0,0.0
1994-07-22,8.0,8.0,8.0,8.0,1200.0,0.043
1994-07-27,7.83,7.83,7.83,7.83,600.0,-0.0213
1994-08-03,7.83,8.33,8.33,7.83,900.0,0.0
1994-08-05,8.17,8.17,8.17,8.17,1500.0,0.0434
1994-08-08,8.67,8.67,8.67,8.67,300.0,0.061200000000000004
1994-08-10,9.0,8.33,9.0,8.33,1800.0,0.0381
1994-08-11,8.17,9.0,9.0,8.17,1500.0,-0.0922
1994-08-15,9.33,9.33,9.33,9.33,900.0,0.142
1994-08-30,8.0,8.0,8.0,8.0,1500.0,-0.1426
1994-09-02,8.0,8.0,8.0,8.0,600.0,0.0
1994-09-12,8.17,8.17,8.17,8.17,3000.0,0.0213
1994-09-14,9.0,9.0,9.0,9.0,600.0,0.1016
1994-09-21,8.33,9.0,9.0,8.33,900.0,-0.07440000000000001
1994-09-23,8.0,8.0,8.0,8.0,900.0,-0.039599999999999996
1994-09-28,9.0,9.0,9.0,9.0,900.0,0.125
1994-10-13,8.83,8.83,8.83,8.83,900.0,-0.0189
1994-10-25,9.33,9.33,9.33,9.33,300.0,0.056600000000000004
1994-10-27,8.83,8.67,8.83,8.67,2400.0,-0.0536
1994-11-01,8.67,8.67,8.67,8.67,300.0,-0.0181
1994-11-07,8.83,8.83,8.83,8.83,9000.0,0.018500000000000003
1994-11-08,8.83,8.83,8.83,8.83,1200.0,0.0
1994-11-10,8.67,8.67,8.67,8.33,14700.0,-0.0181
1994-11-11,8.67,8.67,8.67,8.67,300.0,0.0
1994-11-21,8.83,8.83,8.83,8.83,300.0,0.018500000000000003
1994-11-23,8.83,8.83,8.83,8.83,300.0,0.0
1994-12-05,7.67,9.0,9.0,7.67,1500.0,-0.13140000000000002
1994-12-07,8.83,8.83,8.83,8.83,300.0,0.1512
1994-12-09,8.0,8.0,8.0,8.0,300.0,-0.094
