Date,Close,Open,High,Low,Volume,Change
2019-09-26,1043.7,1009.11,1045.32,1006.74,296400.0,0.029300000000000003
2019-09-27,1022.0,1020.38,1040.0,1016.94,423840.0,-0.0208
2019-09-30,1025.39,1023.11,1045.71,1017.09,126030.0,0.0033
2019-10-01,1030.0,1030.0,1061.01,1022.5,43770.0,0.0045000000000000005
2019-10-02,1014.0,1045.0,1045.0,1010.0,44960.0,-0.0155
2019-10-03,1030.0,1034.99,1034.99,1008.86,55390.0,0.0158
2019-10-04,1039.82,1035.22,1040.57,1033.01,96380.0,0.0095
2019-10-07,1030.77,1037.0,1037.0,1030.01,19380.0,-0.0087
2019-10-08,1017.82,1032.0,1032.0,1011.15,122580.0,-0.0126
2019-10-09,1023.77,1024.98,1024.98,1022.0,40170.0,0.0058
2019-10-10,1030.21,1027.78,1038.63,1027.78,71620.0,0.0063
2019-10-11,1048.92,1040.0,1054.83,1040.0,33100.0,0.0182
2019-10-14,1052.81,1052.76,1053.68,1046.66,15540.0,0.0037
2019-10-15,1073.28,1057.63,1093.19,1054.42,11690.0,0.0194
2019-10-16,1065.71,1073.87,1074.32,1065.0,30330.0,-0.0070999999999999995
2019-10-17,1071.31,1074.25,1074.25,1070.31,46200.0,0.0053
2019-10-18,1067.5,1071.34,1071.34,1060.34,29670.0,-0.0036
2019-10-21,1076.85,1073.06,1081.54,1073.06,24660.0,0.0088
2019-10-22,1072.41,1077.0,1077.0,1070.99,36370.0,-0.0040999999999999995
2019-10-23,1053.38,1054.42,1056.6,1049.48,22040.0,-0.0177
2019-10-24,1059.71,1058.16,1059.71,1051.64,29840.0,0.006
2019-10-25,1078.66,1067.16,1090.0,1065.64,25520.0,0.0179
2019-10-28,1081.42,1080.66,1086.41,1075.37,17000.0,0.0026
2019-10-29,1076.31,1085.6,1086.24,1074.08,17950.0,-0.004699999999999999
2019-10-30,1085.16,1082.84,1090.0,1074.36,311250.0,0.008199999999999999
2019-10-31,1083.02,1092.99,1098.44,1070.0,615400.0,-0.002
2019-11-01,1098.59,1091.35,1098.59,1085.0,49040.0,0.0144
2019-11-04,1119.5,1110.85,1121.76,1108.0,26690.0,0.019
2019-11-05,1146.5,1125.0,1146.5,1125.0,24870.0,0.0241
2019-11-06,1146.42,1138.5,1146.42,1135.91,20430.0,-0.0001
2019-11-07,1146.42,1163.2,1163.2,1146.42,21340.0,0.0
2019-11-08,1141.5,1133.78,1163.03,1122.5,7910.0,-0.0043
2019-11-11,1141.99,1139.9,1143.03,1139.9,1990.0,0.0004
2019-11-12,1152.94,1149.59,1152.94,1149.18,36660.0,0.0096
2019-11-13,1145.19,1147.51,1151.0,1142.78,11670.0,-0.0067
2019-11-14,1132.46,1137.99,1138.2,1126.78,42800.0,-0.0111
2019-11-15,1141.52,1138.12,1144.41,1138.12,69710.0,0.008
2019-11-18,1137.93,1143.17,1145.52,1137.93,151800.0,-0.0031
2019-11-19,1159.22,1176.27,1176.27,1157.45,43590.0,0.0187
2019-11-20,1142.68,1148.21,1148.21,1137.86,29240.0,-0.0143
2019-11-21,1155.21,1143.0,1155.21,1142.08,30980.0,0.011000000000000001
2019-11-22,1157.14,1187.48,1187.48,1157.14,3920.0,0.0017000000000000001
2019-11-25,1168.17,1166.49,1169.59,1165.85,24080.0,0.0095
2019-11-26,1162.68,1164.4,1166.93,1162.68,44080.0,-0.004699999999999999
2019-11-27,1168.7,1166.24,1173.26,1166.23,53550.0,0.0052
2019-11-29,1157.0,1163.81,1165.45,1157.0,10640.0,-0.01
2019-12-02,1153.37,1159.0,1161.0,1150.16,8820.0,-0.0031
2019-12-03,1134.74,1137.5,1137.5,1131.37,16350.000000000002,-0.0161
2019-12-04,1148.75,1149.14,1150.0,1143.31,12150.0,0.0123
2019-12-05,1152.79,1151.66,1154.44,1148.0,25720.0,0.0034999999999999996
2019-12-06,1158.06,1156.0,1158.06,1156.0,4650.0,0.0046
2019-12-09,1163.5,1163.35,1164.36,1160.48,19340.0,0.004699999999999999
2019-12-10,1166.0,1167.22,1169.13,1162.15,21560.0,0.0021
2019-12-11,1182.21,1179.0,1183.0,1179.0,6210.0,0.0139
2019-12-12,1188.46,1175.7,1191.65,1175.7,38650.0,0.0053
2019-12-13,1161.25,1157.54,1165.12,1148.95,37540.0,-0.0229
2019-12-16,1183.85,1171.41,1191.59,1171.41,12740.0,0.0195
2019-12-17,1184.73,1185.0,1185.0,1181.56,6120.0,0.0007000000000000001
2019-12-18,1199.2,1187.64,1205.01,1187.34,55600.0,0.012199999999999999
2019-12-19,1186.83,1193.39,1193.39,1186.83,15290.0,-0.0103
2019-12-20,1173.81,1180.0,1180.0,1173.81,27590.0,-0.011000000000000001
2019-12-26,1185.0,1185.74,1186.62,1176.06,2680.0,0.0095
2019-12-27,1171.22,1171.09,1177.0,1171.09,4460.0,-0.0116
2019-12-30,1166.59,1171.0,1172.49,1164.98,10410.0,-0.004
2019-12-31,1177.97,1167.41,1186.0,1163.16,50450.0,0.0098
2020-01-02,1193.2,1184.58,1193.2,1177.93,11950.0,0.0129
2020-01-03,1170.23,1183.12,1183.12,1170.23,11290.0,-0.0192
2020-01-06,1169.76,1159.88,1170.56,1159.88,5360.0,-0.0004
2020-01-07,1168.17,1167.7,1182.41,1167.7,41850.0,-0.0014000000000000002
2020-01-08,1157.89,1164.92,1167.17,1157.89,6010.0,-0.0088
2020-01-09,1150.25,1156.88,1167.54,1140.26,60620.0,-0.0066
2020-01-10,1127.5,1133.77,1133.77,1127.5,71070.0,-0.019799999999999998
2020-01-13,1135.32,1133.25,1137.45,1133.25,7530.0,0.0069
2020-01-14,1155.9,1137.32,1156.68,1136.73,112770.0,0.0181
2020-01-15,1139.16,1151.26,1151.26,1137.25,8470.0,-0.014499999999999999
2020-01-16,1150.95,1148.97,1150.95,1148.97,2950.0,0.0104
2020-01-17,1155.11,1146.83,1155.11,1142.86,27760.0,0.0036
2020-01-21,1156.75,1152.1,1156.75,1150.43,3010.0,0.0014000000000000002
2020-01-22,1163.75,1164.0,1175.99,1163.75,10470.0,0.0060999999999999995
2020-01-23,1183.5,1163.72,1183.5,1163.72,26330.0,0.017
2020-01-24,1198.83,1204.26,1210.17,1194.92,13720.0,0.013000000000000001
2020-01-27,1152.82,1175.62,1175.62,1152.82,15910.0,-0.0384
2020-01-28,1178.65,1170.43,1178.65,1169.03,7310.0,0.022400000000000003
2020-01-29,1178.9,1196.5,1196.5,1178.9,46000.0,0.0002
2020-01-30,1164.07,1167.39,1167.39,1158.2,14650.0,-0.0126
2020-01-31,1148.6,1160.0,1160.0,1145.44,8039.999999999999,-0.013300000000000001
2020-02-03,1144.5,1145.0,1145.0,1144.0,14390.0,-0.0036
2020-02-04,1162.25,1168.16,1168.16,1162.1,10280.0,0.0155
2020-02-05,1182.3,1177.86,1183.43,1177.86,21770.0,0.0173
2020-02-06,1186.56,1182.0,1186.56,1181.5,7850.0,0.0036
2020-02-10,1173.34,1173.34,1173.34,1173.34,1400.0,-0.0111
2020-02-11,1189.2,1187.49,1189.2,1186.18,3650.0,0.013500000000000002
2020-02-12,1201.94,1201.94,1201.94,1201.94,2460.0,0.010700000000000001
2020-02-13,1201.83,1196.13,1201.83,1191.88,4410.0,-0.0001
2020-02-14,1180.0,1181.69,1183.07,1180.0,9740.0,-0.0182
2020-02-18,1161.3,1158.3,1161.7,1158.3,13640.0,-0.0158
2020-02-19,1176.62,1177.41,1177.78,1174.92,6290.0,0.0132
2020-02-20,1156.0,1173.22,1174.16,1155.04,13850.0,-0.0175
2020-02-21,1147.34,1145.52,1147.34,1145.52,7980.0,-0.0075
2020-02-24,1112.83,1125.89,1125.89,1107.15,32049.999999999996,-0.0301
2020-02-25,1086.21,1102.38,1102.38,1082.23,20960.0,-0.0239
2020-02-26,1095.65,1095.0,1099.03,1094.1,10760.0,0.0087
2020-02-27,1070.0,1076.0,1091.83,1070.0,9840.0,-0.023399999999999997
2020-02-28,1034.15,1050.0,1050.0,1007.04,43440.0,-0.0335
2020-03-02,1075.25,1054.17,1084.21,1050.0,5310.0,0.0397
2020-03-03,1057.93,1089.8,1089.8,1056.2,18170.0,-0.0161
2020-03-04,1083.01,1075.0,1089.34,1074.49,3770.0,0.023700000000000002
2020-03-05,1061.2,1073.16,1075.44,1057.96,11840.0,-0.020099999999999996
2020-03-06,1045.28,1040.39,1060.0,1029.99,16510.0,-0.015
2020-03-09,991.2,1007.04,1021.8,980.1,14560.0,-0.051699999999999996
2020-03-10,1018.82,1037.49,1037.49,984.35,33860.0,0.0279
2020-03-11,982.0,1008.06,1008.06,979.09,10110.0,-0.0361
2020-03-12,870.28,965.0,965.0,870.28,76380.0,-0.11380000000000001
2020-03-13,890.0,884.62,890.0,830.97,23330.0,0.0227
2020-03-16,762.04,707.0,825.35,707.0,9670.0,-0.1438
2020-03-17,779.0,777.15,802.0,773.0,74560.0,0.0223
2020-03-18,647.29,706.36,706.36,635.0,21260.0,-0.1691
2020-03-19,740.35,660.0,783.74,660.0,38910.0,0.1438
2020-03-20,790.0,786.75,818.31,786.75,63770.0,0.06709999999999999
2020-03-23,783.54,788.63,802.61,730.5,22120.0,-0.008199999999999999
2020-03-24,838.08,780.0,865.0,780.0,40890.0,0.0696
2020-03-25,874.18,862.26,946.47,862.26,16370.000000000002,0.0431
2020-03-26,944.71,951.84,951.84,926.77,40150.0,0.08070000000000001
2020-03-27,940.51,929.78,940.51,929.78,25720.0,-0.0044
2020-03-30,941.08,933.57,945.7,933.27,3140.0,0.0006
2020-03-31,934.36,973.67,982.65,934.36,12480.0,-0.0070999999999999995
2020-04-01,887.71,931.74,931.74,887.27,12470.0,-0.0499
2020-04-02,924.51,921.4,924.51,921.4,17770.0,0.0415
2020-04-03,914.43,933.67,933.67,914.43,2270.0,-0.0109
2020-04-06,971.64,956.65,971.64,956.65,6390.0,0.0626
2020-04-07,981.22,990.0,998.32,981.22,38350.0,0.009899999999999999
2020-04-08,1000.06,999.0,1001.08,992.95,45790.0,0.0192
2020-04-09,982.43,1010.45,1010.45,982.43,8020.0,-0.0176
2020-04-13,1005.44,997.0,1005.44,989.91,4290.0,0.023399999999999997
2020-04-14,1025.14,1043.33,1043.33,1015.49,6780.0,0.0196
2020-04-15,1002.0,1021.4,1021.4,1002.0,7320.0,-0.0226
2020-04-16,994.79,1002.59,1002.59,988.83,36650.0,-0.0072
2020-04-17,1028.05,1012.87,1028.05,1010.0,23890.0,0.0334
2020-04-20,992.5,1007.36,1007.36,992.5,26050.0,-0.0346
2020-04-21,957.0,975.0,975.0,957.0,67880.0,-0.0358
2020-04-22,986.16,976.75,991.11,976.75,4490.0,0.0305
2020-04-23,993.85,995.84,998.23,993.42,3990.0,0.0078000000000000005
2020-04-24,1007.15,1001.5,1007.18,999.05,3450.0,0.0134
2020-04-27,1014.04,1014.04,1017.93,1014.04,4830.0,0.0068000000000000005
2020-04-29,1030.78,1036.0,1036.0,1026.77,40910.0,0.0165
2020-04-30,1017.44,1036.8,1036.8,1017.12,13000.0,-0.0129
2020-05-01,981.0,999.18,999.18,977.46,43720.0,-0.0358
2020-05-04,985.53,978.73,985.53,966.52,21590.0,0.0046
2020-05-05,1000.0,997.05,1000.0,997.05,14130.0,0.0147
2020-05-06,1007.25,1001.27,1007.25,1001.26,6960.0,0.0073
2020-05-07,1009.42,1009.42,1009.42,1009.42,14780.0,0.0022
2020-05-08,1020.07,1015.05,1020.07,1015.0,19770.0,0.0106
2020-05-11,1026.97,1007.03,1026.97,1007.03,7050.0,0.0068000000000000005
2020-05-12,1012.14,1016.93,1016.93,1004.72,24260.0,-0.0144
2020-05-13,979.55,1002.95,1002.95,977.01,43890.0,-0.0322
2020-05-14,986.12,977.23,987.52,962.36,12840.0,0.0067
2020-05-15,983.65,984.73,984.73,983.65,10270.0,-0.0025
2020-05-18,1016.3,1007.32,1019.78,1007.32,59620.0,0.0332
2020-05-19,1011.06,1014.16,1014.16,1011.06,23690.0,-0.0052
2020-05-20,1031.04,1027.85,1032.88,1024.49,16520.0,0.019799999999999998
2020-05-21,1019.4,1026.1,1035.52,1005.0,12450.0,-0.0113
2020-05-22,1031.27,1009.05,1031.27,1008.58,15850.0,0.0116
2020-05-26,1047.74,1046.83,1053.36,1046.83,8660.0,0.016
2020-05-27,1047.29,1044.4,1052.29,1036.65,3040.0,-0.0004
2020-05-28,1057.0,1052.54,1057.0,1052.54,6750.0,0.009300000000000001
2020-05-29,1085.95,1049.73,1085.95,1049.73,18930.0,0.0274
2020-06-01,1065.05,1065.0,1069.37,1065.0,2920.0,-0.0192
2020-06-02,1088.3,1085.0,1088.3,1085.0,6450.0,0.0218
2020-06-03,1122.21,1117.8,1122.93,1116.06,9500.0,0.031200000000000002
2020-06-04,1116.51,1100.91,1123.89,1100.91,8840.0,-0.0051
2020-06-05,1143.08,1160.64,1177.34,1143.08,19780.0,0.023799999999999998
2020-06-08,1143.35,1144.86,1144.86,1140.16,2500.0,0.0002
2020-06-09,1139.83,1145.0,1145.0,1133.53,19120.0,-0.0031
2020-06-10,1142.27,1148.81,1148.81,1134.37,3880.0,0.0021
2020-06-11,1080.54,1107.0,1107.0,1077.98,12570.0,-0.054000000000000006
2020-06-12,1058.34,1082.57,1095.17,1042.18,252660.0,-0.020499999999999997
2020-06-15,1069.45,1037.73,1070.02,1037.73,48770.0,0.0105
2020-06-16,1089.4,1094.94,1094.94,1075.01,36130.0,0.0187
2020-06-17,1098.95,1099.12,1099.21,1098.33,2570.0,0.0088
2020-06-18,1106.76,1101.01,1106.76,1101.01,5570.0,0.0070999999999999995
2020-06-19,1087.81,1110.99,1110.99,1083.2,6310.0,-0.0171
2020-06-22,1104.79,1095.03,1112.71,1092.82,55460.0,0.015600000000000001
2020-06-23,1105.66,1112.82,1112.82,1102.93,7300.0,0.0008
2020-06-24,1088.14,1096.52,1096.52,1084.3,4720.0,-0.0159
2020-06-25,1097.08,1082.46,1097.08,1079.38,18620.0,0.008199999999999999
2020-06-26,1092.3,1090.54,1100.14,1086.94,24450.0,-0.0044
2020-06-29,1098.78,1082.08,1098.79,1082.08,6190.0,0.0059
2020-06-30,1114.35,1116.84,1119.68,1111.36,22340.0,0.014199999999999999
2020-07-01,1114.15,1116.09,1116.65,1109.05,1970.0,-0.0002
2020-07-02,1120.6,1122.48,1126.52,1120.6,2150.0,0.0058
2020-07-06,1130.07,1131.02,1131.02,1128.95,4360.0,0.0085
2020-07-07,1119.32,1125.43,1125.43,1119.32,6430.0,-0.0095
2020-07-08,1138.36,1125.03,1138.41,1125.03,16280.000000000002,0.017
2020-07-09,1151.41,1144.81,1154.44,1135.7,13350.0,0.0115
2020-07-10,1142.66,1138.02,1142.66,1138.02,9600.0,-0.0076
2020-07-13,1123.28,1146.0,1148.41,1122.59,47590.0,-0.017
2020-07-14,1127.93,1127.93,1127.93,1127.93,5510.0,0.0040999999999999995
2020-07-16,1115.0,1121.08,1121.08,1115.0,4180.0,-0.0115
2020-07-17,1131.11,1127.45,1131.11,1127.45,1590.0,0.0144
2020-07-20,1135.35,1122.91,1135.35,1122.91,3840.0,0.0037
2020-07-21,1130.0,1130.0,1130.0,1130.0,3550.0,-0.004699999999999999
2020-07-22,1126.74,1127.0,1127.0,1126.74,30610.0,-0.0029
2020-07-23,1122.01,1128.37,1128.37,1121.98,3090.0,-0.0042
2020-07-24,1111.42,1112.92,1112.92,1104.25,4110.0,-0.009399999999999999
2020-07-27,1115.95,1119.58,1119.93,1115.95,1590.0,0.0040999999999999995
2020-07-28,1115.13,1115.13,1115.13,1115.13,840.0,-0.0007000000000000001
2020-07-30,1121.7,1114.46,1122.04,1114.46,23120.0,0.0059
2020-07-31,1140.91,1129.0,1140.91,1129.0,28510.0,0.0171
2020-08-03,1154.37,1152.66,1162.32,1152.66,2810.0,0.0118
2020-08-04,1165.0,1161.75,1165.0,1161.75,1090.0,0.0092
2020-08-05,1168.03,1165.13,1171.38,1163.57,30380.0,0.0026
2020-08-06,1174.18,1175.16,1175.16,1174.13,6170.0,0.0053
2020-08-07,1155.17,1158.26,1158.26,1155.17,2100.0,-0.016200000000000003
2020-08-10,1160.5,1160.5,1160.5,1160.5,10050.0,0.0046
2020-08-12,1187.57,1187.03,1187.57,1187.03,40510.0,0.0233
2020-08-14,1165.13,1175.0,1176.18,1165.13,1550.0,-0.0189
2020-08-17,1186.04,1188.69,1188.69,1186.04,800.0,0.0179
2020-08-18,1184.58,1186.12,1186.12,1183.82,15160.0,-0.0012
2020-08-19,1188.28,1191.19,1191.19,1186.95,3530.0,0.0031
2020-08-20,1187.78,1187.86,1187.86,1187.78,1340.0,-0.0004
2020-08-21,1181.32,1181.5,1181.68,1181.11,1600.0,-0.0054
2020-08-24,1196.01,1196.01,1196.01,1196.01,1500.0,0.0124
2020-08-25,1207.56,1198.09,1207.63,1197.59,3790.0,0.0097
2020-08-26,1218.75,1214.44,1233.47,1211.42,4820.0,0.009300000000000001
2020-08-27,1216.0,1216.05,1216.05,1213.45,5790.0,-0.0023
2020-08-28,1226.74,1226.74,1226.74,1226.74,1710.0,0.0088
2020-08-31,1230.2,1235.23,1238.71,1230.2,18470.0,0.0028000000000000004
2020-09-01,1269.89,1234.9,1277.33,1234.9,9130.0,0.0323
2020-09-02,1315.23,1315.44,1315.44,1315.23,6370.0,0.035699999999999996
2020-09-03,1254.56,1268.52,1270.36,1247.0,38860.0,-0.0461
2020-09-04,1292.33,1263.51,1292.33,1262.26,7670.0,0.0301
2020-09-08,1248.91,1261.34,1262.0,1248.91,17270.0,-0.0336
2020-09-09,1262.0,1262.0,1262.0,1262.0,1570.0,0.0105
2020-09-10,1260.0,1281.65,1282.5,1260.0,2790.0,-0.0016
2020-09-11,1257.53,1272.5,1272.5,1257.53,6180.0,-0.002
2020-09-14,1252.05,1246.42,1254.0,1246.42,4620.0,-0.0044
2020-09-15,1267.52,1267.52,1267.52,1267.52,970.0,0.0124
2020-09-16,1264.33,1264.33,1264.33,1264.33,7980.0,-0.0025
2020-09-17,1244.0,1244.0,1244.0,1244.0,1130.0,-0.0161
2020-09-18,1236.37,1254.0,1254.0,1236.37,2400.0,-0.0060999999999999995
2020-09-21,1218.28,1208.08,1218.28,1207.91,10850.0,-0.0146
2020-09-22,1242.87,1243.22,1243.66,1242.87,26330.0,0.0202
2020-09-23,1222.87,1270.14,1270.14,1222.87,5840.0,-0.0161
2020-09-24,1232.15,1232.15,1232.15,1232.15,11770.0,0.0076
2020-09-28,1267.55,1265.55,1268.26,1264.99,10130.0,0.0287
2020-09-29,1252.25,1270.0,1270.0,1252.25,8440.0,-0.0121
2020-09-30,1246.75,1266.14,1266.35,1246.75,12330.0,-0.0044
2020-10-01,1266.44,1265.28,1266.44,1262.08,4410.0,0.0158
2020-10-02,1235.02,1246.47,1246.47,1234.57,4800.0,-0.0248
2020-10-05,1256.89,1257.97,1257.97,1256.89,6890.0,0.0177
2020-10-06,1254.83,1256.89,1270.66,1254.63,5020.0,-0.0016
2020-10-07,1261.59,1263.4,1263.4,1261.59,1290.0,0.0054
2020-10-08,1274.4,1278.08,1278.08,1274.4,3060.0,0.0102
2020-10-09,1280.0,1286.46,1286.46,1279.99,2400.0,0.0044
2020-10-12,1305.87,1296.5,1307.47,1296.5,1700.0,0.0202
2020-10-13,1298.49,1306.27,1306.27,1298.49,8340.0,-0.005699999999999999
2020-10-14,1295.01,1290.77,1295.12,1290.77,14170.0,-0.0027
2020-10-15,1280.01,1280.31,1283.0,1279.46,38640.0,-0.0116
2020-10-16,1269.13,1283.49,1283.59,1269.13,9320.0,-0.0085
2020-10-19,1270.33,1288.56,1288.94,1263.11,21240.0,0.0009
2020-10-20,1260.01,1262.57,1270.02,1260.0,44330.0,-0.008100000000000001
2020-10-21,1250.81,1260.03,1260.03,1246.14,20190.0,-0.0073
2020-10-22,1250.5,1231.77,1250.55,1231.77,47730.0,-0.0002
2020-10-23,1248.84,1246.18,1250.0,1245.35,11680.0,-0.0013
2020-10-26,1220.94,1237.32,1237.32,1217.16,19750.0,-0.0223
2020-10-27,1216.72,1216.72,1216.72,1216.72,1990.0,-0.0034999999999999996
2020-10-28,1180.59,1182.1,1183.02,1180.59,6500.0,-0.0297
2020-10-29,1211.58,1185.05,1211.93,1179.8,8340.0,0.0262
2020-10-30,1189.99,1183.74,1189.99,1176.42,11480.0,-0.0178
2020-11-02,1187.28,1172.94,1196.04,1172.94,3050.0,-0.0023
2020-11-03,1200.82,1204.09,1213.41,1200.82,12940.0,0.011399999999999999
2020-11-04,1229.0,1230.99,1237.27,1228.36,46380.0,0.0235
2020-11-05,1267.01,1266.27,1277.25,1262.3,10640.0,0.030899999999999997
2020-11-06,1275.38,1270.29,1280.51,1270.29,2850.0,0.0066
2020-11-09,1270.73,1302.76,1302.82,1270.73,4150.0,-0.0036
2020-11-10,1223.73,1239.21,1239.21,1223.73,1760.0,-0.037000000000000005
2020-11-11,1264.58,1258.31,1266.2,1258.31,3250.0,0.0334
2020-11-12,1253.1,1260.52,1260.52,1253.1,1080.0,-0.0091
