Date,Close,Open,High,Low,Volume,Change
2006-04-07,2.585,2.585,2.733,2.5610000000000004,17330.0,-0.0451
2006-04-10,3.19,3.19,3.389,3.0,119770.0,0.23399999999999999
2006-04-11,2.93,2.93,3.213,2.93,73100.0,-0.0815
2006-04-12,3.065,3.065,3.065,2.93,16900.0,0.0461
2006-04-13,3.0060000000000002,3.0060000000000002,3.04,3.005,3290.0,-0.0192
2006-04-17,3.22,3.22,3.22,3.03,11650.0,0.0712
2006-04-18,3.1489999999999996,3.1489999999999996,3.22,3.08,18400.0,-0.022000000000000002
2006-04-19,2.99,2.99,3.1,2.99,4300.0,-0.050499999999999996
2006-04-20,2.94,2.94,2.94,2.71,5000.0,-0.0167
2006-04-21,3.09,3.09,3.09,2.945,13000.0,0.051
2006-04-24,2.89,2.89,3.04,2.89,1350.0,-0.0647
2006-04-25,2.86,2.86,2.86,2.86,10000.0,-0.0104
2006-04-27,2.82,2.82,2.89,2.75,4200.0,-0.013999999999999999
2006-04-28,2.875,2.875,2.875,2.7239999999999998,14700.0,0.0195
2006-05-01,3.01,3.01,3.04,3.01,8000.0,0.047
2006-05-02,3.04,3.04,3.065,2.99,10900.0,0.01
2006-05-03,3.22,3.22,3.35,3.1260000000000003,153840.0,0.0592
2006-05-04,3.12,3.12,3.305,3.12,59820.0,-0.0311
2006-05-05,3.095,3.095,3.19,3.07,45480.0,-0.008
2006-05-08,3.22,3.22,3.22,3.085,29000.0,0.0404
2006-05-09,3.315,3.315,3.325,3.22,14950.0,0.029500000000000002
2006-05-10,3.44,3.44,3.52,3.37,10060.0,0.0377
2006-05-11,3.455,3.455,3.55,3.375,42680.0,0.0044
2006-05-12,3.28,3.28,3.465,3.195,98150.0,-0.0507
2006-05-15,2.9,2.9,3.22,2.9,53350.0,-0.1159
2006-05-16,2.9,2.9,3.033,2.8739999999999997,11950.0,0.0
2006-05-17,2.69,2.69,3.05,2.69,56900.0,-0.0724
2006-05-18,2.69,2.69,2.92,2.615,29550.0,0.0
2006-05-19,2.635,2.635,2.68,2.5,50180.0,-0.0204
2006-05-23,2.69,2.69,2.9,2.69,23360.0,0.0209
2006-05-24,2.65,2.65,2.75,2.495,31950.0,-0.0149
2006-05-25,2.6839999999999997,2.6839999999999997,2.7319999999999998,2.6839999999999997,35340.0,0.0128
2006-05-26,2.713,2.713,3.07,2.675,41020.0,0.0108
2006-05-30,2.8160000000000003,2.8160000000000003,2.867,2.7,74300.0,0.038
2006-05-31,2.75,2.75,2.85,2.7,12900.0,-0.023399999999999997
2006-06-01,2.69,2.69,2.76,2.69,16400.0,-0.0218
2006-06-02,2.6,2.6,2.72,2.6,3300.0,-0.0335
2006-06-05,2.815,2.815,2.815,1.815,21530.0,0.0827
2006-06-06,2.62,2.62,2.698,2.62,5200.0,-0.0693
2006-06-07,2.6719999999999997,2.6719999999999997,2.71,2.472,8100.0,0.019799999999999998
2006-06-08,2.456,2.456,2.525,2.456,6000.0,-0.0808
2006-06-09,2.49,2.49,2.715,2.49,4900.0,0.0138
2006-06-12,2.495,2.495,2.695,2.495,12300.0,0.002
2006-06-13,2.291,2.291,2.5,2.28,23200.0,-0.0818
2006-06-14,2.275,2.275,2.345,2.275,41100.0,-0.006999999999999999
2006-06-15,2.435,2.435,2.505,2.39,1300.0,0.0703
2006-06-16,2.541,2.541,2.605,2.5,8100.0,0.0435
2006-06-19,2.47,2.47,2.71,2.44,16500.0,-0.0279
2006-06-20,2.447,2.447,2.447,2.4290000000000003,5000.0,-0.009300000000000001
2006-06-21,2.38,2.38,2.45,2.38,12500.0,-0.0274
2006-06-22,2.3280000000000003,2.3280000000000003,2.3280000000000003,2.3280000000000003,100.0,-0.0218
2006-06-23,2.3,2.3,2.365,2.3,5700.0,-0.012
2006-06-27,2.325,2.325,2.325,2.325,350.0,0.0109
2006-06-28,2.239,2.239,2.3,2.239,7100.0,-0.037000000000000005
2006-06-29,2.42,2.42,2.45,2.42,5800.0,0.0808
2006-06-30,2.66,2.66,2.6910000000000003,2.468,6100.0,0.0992
2006-07-05,2.69,2.69,2.699,2.69,3300.0,0.0113
2006-07-06,2.65,2.65,2.69,2.62,2600.0,-0.0149
2006-07-07,2.6510000000000002,2.6510000000000002,2.6510000000000002,2.549,8800.0,0.0004
2006-07-10,2.536,2.536,2.61,2.536,5600.0,-0.0434
2006-07-11,2.53,2.53,2.53,2.485,6230.0,-0.0024
2006-07-12,2.645,2.645,3.01,2.645,1950.0,0.0455
2006-07-14,2.645,2.645,2.645,2.645,1800.0,0.0
2006-07-17,2.59,2.59,2.6310000000000002,2.59,1700.0,-0.0208
2006-07-18,2.585,2.585,2.7489999999999997,2.585,2000.0,-0.0019
2006-07-19,2.7,2.7,2.7310000000000003,2.696,3000.0,0.044500000000000005
2006-07-20,2.7460000000000004,2.7460000000000004,2.7460000000000004,2.7460000000000004,800.0,0.017
2006-07-21,2.563,2.563,2.694,2.563,9800.0,-0.0666
2006-07-24,2.938,2.938,2.938,2.903,1000.0,0.1463
2006-07-25,2.915,2.915,2.938,2.73,2400.0,-0.0078000000000000005
2006-07-26,2.81,2.81,2.81,2.8,1300.0,-0.036000000000000004
2006-07-27,2.8,2.8,2.832,2.8,1500.0,-0.0036
2006-07-28,2.81,2.81,2.81,2.81,500.0,0.0036
2006-07-31,2.778,2.778,2.91,2.778,9000.0,-0.011399999999999999
2006-08-01,2.875,2.875,2.875,2.78,3000.0,0.0349
2006-08-02,2.9019999999999997,2.9019999999999997,2.9019999999999997,2.75,5480.0,0.009399999999999999
2006-08-04,2.98,2.98,2.98,2.91,3900.0,0.0269
2006-08-08,3.1260000000000003,3.1260000000000003,3.135,2.909,6900.0,0.049
2006-08-09,3.08,3.08,3.145,3.042,12500.0,-0.0147
2006-08-10,3.0,3.0,3.092,3.0,8200.0,-0.026000000000000002
2006-08-11,3.037,3.037,3.095,3.0,3720.0,0.0123
2006-08-14,3.035,3.035,3.063,2.9739999999999998,10780.0,-0.0007000000000000001
2006-08-15,3.0,3.0,3.1,3.0,4050.0,-0.0115
2006-08-16,3.074,3.074,3.103,3.074,4170.0,0.024700000000000003
2006-08-17,2.958,2.958,3.1,2.958,20300.0,-0.0377
2006-08-18,2.98,2.98,2.995,2.97,2100.0,0.0074
2006-08-21,3.0,3.0,3.1,2.9739999999999998,5600.0,0.0067
2006-08-22,3.015,3.015,3.05,2.975,5980.0,0.005
2006-08-23,3.03,3.03,3.05,3.0,5900.0,0.005
2006-08-24,3.0260000000000002,3.0260000000000002,3.03,3.025,7030.0,-0.0013
2006-08-25,3.08,3.08,3.08,3.013,37000.0,0.0178
2006-08-28,3.071,3.071,3.0989999999999998,3.045,26300.0,-0.0029
2006-08-29,3.065,3.065,3.1439999999999997,2.99,54850.0,-0.002
2006-08-30,3.0,3.0,3.0810000000000004,2.94,7700.0,-0.0212
2006-08-31,2.9,2.9,3.065,2.9,600.0,-0.0333
2006-09-01,3.267,3.267,3.267,3.085,8300.0,0.1266
2006-09-05,3.53,3.53,3.53,3.32,12100.0,0.0805
2006-09-06,3.582,3.582,3.63,3.53,5400.0,0.0147
2006-09-07,3.4,3.4,3.488,3.367,15150.0,-0.0508
2006-09-08,3.41,3.41,3.41,3.41,600.0,0.0029
2006-09-11,3.07,3.07,3.295,3.07,2000.0,-0.09970000000000001
2006-09-12,3.265,3.265,3.265,3.19,5130.0,0.0635
2006-09-13,3.0789999999999997,3.0789999999999997,3.12,3.0789999999999997,700.0,-0.057
2006-09-14,3.085,3.085,3.123,3.085,2500.0,0.0019
2006-09-15,3.0669999999999997,3.0669999999999997,3.137,2.92,13500.0,-0.0058
2006-09-18,3.08,3.08,3.08,3.08,600.0,0.0042
2006-09-19,2.92,2.92,2.932,2.92,800.0,-0.0519
2006-09-20,2.885,2.885,2.912,2.885,800.0,-0.012
2006-09-21,2.6830000000000003,2.6830000000000003,2.898,2.6830000000000003,14300.0,-0.07
2006-09-22,2.755,2.755,2.84,2.755,11900.0,0.0268
2006-09-25,2.779,2.779,2.779,2.678,3830.0,0.0087
2006-09-26,2.87,2.87,2.87,2.739,3860.0,0.0327
2006-09-27,2.6660000000000004,2.6660000000000004,2.7,2.6660000000000004,4000.0,-0.0711
2006-09-28,2.72,2.72,2.845,2.72,4600.0,0.0203
2006-09-29,2.779,2.779,2.779,2.7,1800.0,0.0217
2006-10-02,2.7960000000000003,2.7960000000000003,2.7960000000000003,2.7960000000000003,200.0,0.0060999999999999995
2006-10-03,2.6210000000000004,2.6210000000000004,2.878,2.617,15000.0,-0.0626
2006-10-04,2.563,2.563,2.634,2.46,14200.0,-0.022099999999999998
2006-10-05,2.6,2.6,2.64,2.51,7500.0,0.0144
2006-10-06,2.5140000000000002,2.5140000000000002,2.63,2.5,2690.0,-0.0331
