Date,Close,Open,High,Low,Volume,Change
2004-09-23,10.66,9.67,10.93,9.5,13320000.0,-0.7001999999999999
2004-09-24,10.63,10.54,10.67,10.43,1080000.0,-0.0028000000000000004
2004-09-27,10.53,10.53,10.67,10.52,576020.0,-0.009399999999999999
2004-09-28,10.63,10.53,11.0,10.53,1050000.0,0.0095
2004-09-29,10.91,10.57,10.97,10.57,1100000.0,0.0263
2004-09-30,10.93,10.87,11.0,10.71,566870.0,0.0018
2004-10-01,10.97,10.83,11.0,10.7,553760.0,0.0037
2004-10-04,10.83,11.0,11.0,10.5,412310.0,-0.0128
2004-10-05,10.67,10.73,10.83,10.6,408910.0,-0.0148
2004-10-06,10.69,10.6,10.83,10.6,44100.0,0.0019
2004-10-07,10.8,10.8,10.88,10.7,263410.0,0.0103
2004-10-08,11.32,10.87,11.45,10.73,966750.0,0.0481
2004-10-11,11.53,11.39,11.53,11.22,214380.0,0.018600000000000002
2004-10-12,11.59,11.33,11.63,11.27,251930.0,0.0052
2004-10-13,11.39,11.54,11.58,11.33,297560.0,-0.0173
2004-10-14,11.33,11.53,11.53,11.32,334160.0,-0.0053
2004-10-15,11.45,11.3,11.45,11.3,287090.0,0.0106
2004-10-18,11.45,11.47,11.5,11.3,64660.0,0.0
2004-10-19,11.46,11.33,11.55,11.33,156150.0,0.0009
2004-10-20,11.33,11.37,11.37,11.27,380680.0,-0.0113
2004-10-21,11.56,11.33,11.67,11.27,437520.0,0.0203
2004-10-22,11.55,11.63,11.63,11.46,104160.0,-0.0009
2004-10-25,11.58,11.57,11.58,11.33,107800.0,0.0026
2004-10-26,12.17,11.6,12.29,11.6,486960.0,0.0509
2004-10-27,12.3,12.17,12.3,12.0,202010.0,0.010700000000000001
2004-10-28,12.43,12.3,12.67,11.88,179610.0,0.0106
2004-10-29,12.5,12.57,12.67,12.4,187630.0,0.005600000000000001
2004-11-01,12.13,12.33,12.49,11.87,235380.0,-0.0296
2004-11-02,11.91,12.07,12.07,11.84,121620.0,-0.0181
2004-11-03,11.87,12.0,12.13,11.7,268060.0,-0.0034000000000000002
2004-11-04,11.85,11.96,12.0,11.67,33400.0,-0.0017000000000000001
2004-11-05,11.85,12.03,12.03,11.45,62680.0,0.0
2004-11-08,12.0,11.81,12.01,11.67,37940.0,0.0127
2004-11-09,12.2,11.8,12.37,11.8,143920.0,0.0167
2004-11-10,12.03,12.23,12.33,12.01,211940.0,-0.0139
2004-11-11,11.93,12.28,12.28,11.73,63500.0,-0.0083
2004-11-12,11.79,11.89,12.02,11.74,117580.0,-0.011699999999999999
2004-11-15,11.71,11.93,11.93,11.5,53460.0,-0.0068000000000000005
