Date,Close,Open,High,Low,Volume,Change
2018-03-29,11.0,11.5,11.8,10.65,5860000.0,-0.021400000000000002
2018-04-02,11.0,11.05,11.5,10.91,2770000.0,0.0
2018-04-03,10.91,11.5,11.5,10.79,2510000.0,-0.008199999999999999
2018-04-04,10.97,10.75,11.08,10.55,1500000.0,0.0055000000000000005
2018-04-05,10.98,11.0,11.05,10.75,893300.0,0.0009
2018-04-06,10.94,10.95,11.03,10.85,684720.0,-0.0036
2018-04-09,11.1,11.0,11.69,10.96,2650000.0,0.0146
2018-04-10,11.5,11.45,11.59,11.25,2200000.0,0.036000000000000004
2018-04-11,11.48,11.58,11.59,11.03,1500000.0,-0.0017000000000000001
2018-04-12,11.62,11.53,11.76,11.35,2080000.0,0.012199999999999999
2018-04-13,11.4,11.6,11.69,11.32,803950.0,-0.0189
2018-04-16,11.33,11.41,11.5,11.33,562040.0,-0.0060999999999999995
2018-04-17,11.32,11.35,11.4,11.16,635050.0,-0.0009
2018-04-18,11.35,11.44,11.5,11.29,582360.0,0.0027
2018-04-19,11.35,11.4,11.49,11.28,433050.0,0.0
2018-04-20,11.19,11.25,11.31,11.06,625650.0,-0.0141
2018-04-23,11.19,11.29,11.46,11.05,867780.0,0.0
2018-04-24,11.29,11.25,11.52,11.21,1220000.0,0.0089
2018-04-25,10.9,11.19,11.29,10.82,1530000.0,-0.0345
2018-04-26,11.0,11.06,11.19,10.85,343440.0,0.0092
2018-04-27,10.61,11.0,11.1,10.61,495070.0,-0.0355
2018-04-30,10.92,10.7,11.08,10.1,1090000.0,0.0292
2018-05-01,10.58,10.84,11.04,10.41,581010.0,-0.0311
2018-05-02,10.26,10.52,10.64,10.21,558730.0,-0.0302
2018-05-03,10.08,10.19,10.46,10.0,844180.0,-0.0175
2018-05-04,9.99,10.18,10.28,9.86,954540.0,-0.0089
2018-05-07,10.0,10.01,10.14,9.86,877760.0,0.001
2018-05-08,10.27,10.05,10.49,9.95,734150.0,0.027000000000000003
2018-05-09,10.65,10.41,10.73,10.28,1040000.0,0.037000000000000005
2018-05-10,11.0,10.73,11.68,10.51,1650000.0,0.0329
2018-05-11,11.46,11.06,12.19,11.06,3150000.0,0.0418
2018-05-14,12.07,11.55,12.2,11.5,1950000.0,0.053200000000000004
2018-05-15,12.16,12.07,12.42,11.52,1530000.0,0.0075
2018-05-16,14.11,12.24,14.35,12.16,3110000.0,0.1604
2018-05-17,13.55,13.83,14.87,13.03,4410000.0,-0.0397
2018-05-18,12.84,13.5,13.5,12.8,2470000.0,-0.0524
2018-05-21,12.75,12.94,13.18,12.67,3480000.0,-0.006999999999999999
2018-05-22,13.14,13.0,13.26,12.61,2360000.0,0.030600000000000002
2018-05-23,12.44,13.07,13.38,12.3,6220000.0,-0.0533
2018-05-24,13.85,14.35,15.49,13.45,16600000.000000002,0.1133
2018-05-25,14.24,13.86,14.44,13.85,3620000.0,0.0282
2018-05-29,15.03,14.3,15.19,14.22,4150000.0000000005,0.0555
2018-05-30,16.67,15.2,16.88,15.19,6640000.0,0.1091
2018-05-31,16.23,17.13,17.71,15.0,10140000.0,-0.0264
2018-06-01,16.91,16.51,17.2,15.87,4290000.0,0.04190000000000001
2018-06-04,16.43,17.4,18.16,16.25,5660000.0,-0.028399999999999998
2018-06-05,16.71,16.48,16.74,15.6,4190000.0000000005,0.017
2018-06-06,16.57,16.94,16.96,16.14,2730000.0,-0.0084
2018-06-07,16.22,16.56,16.79,16.05,1980000.0,-0.021099999999999997
2018-06-08,18.95,16.1,19.35,15.85,10540000.0,0.16829999999999998
2018-06-11,18.42,19.01,19.35,17.36,11990000.0,-0.027999999999999997
2018-06-12,18.66,18.62,19.1,17.6,7310000.0,0.013000000000000001
2018-06-13,20.07,18.78,20.24,18.5,10180000.0,0.0756
2018-06-14,20.5,20.69,22.7,19.6,19540000.0,0.021400000000000002
2018-06-15,19.65,20.57,21.35,18.82,14060000.0,-0.0415
2018-06-18,21.28,19.35,21.66,18.95,10160000.0,0.083
2018-06-19,19.18,20.8,21.25,19.08,10720000.0,-0.0987
2018-06-20,18.54,20.04,20.29,18.5,8230000.0,-0.0334
2018-06-21,16.44,18.5,18.54,16.0,13200000.0,-0.1133
2018-06-22,16.65,16.52,16.88,15.38,8720000.0,0.0128
2018-06-25,15.36,15.67,16.19,14.8,8810000.0,-0.0775
2018-06-26,15.85,15.95,16.53,15.51,7160000.0,0.0319
2018-06-27,13.9,16.21,16.3,13.89,9580000.0,-0.12300000000000001
2018-06-28,14.5,13.5,14.9,13.31,7180000.0,0.0432
2018-06-29,13.99,14.9,14.9,13.82,6030000.0,-0.0352
2018-07-02,13.36,13.24,13.64,12.97,7240000.0,-0.045
2018-07-03,13.8,13.54,14.09,13.12,3660000.0,0.0329
2018-07-05,12.9,14.0,14.1,12.88,6620000.0,-0.0652
2018-07-06,13.3,12.51,13.37,12.5,6020000.0,0.031
2018-07-09,13.85,13.66,14.08,13.29,9260000.0,0.0414
2018-07-10,13.26,13.47,13.97,13.13,6780000.0,-0.0426
2018-07-11,12.78,12.96,13.53,12.76,7440000.0,-0.0362
2018-07-12,14.26,13.2,14.4,12.95,11800000.0,0.1158
2018-07-13,13.8,14.5,14.69,13.5,9520000.0,-0.0323
2018-07-16,13.8,13.72,14.25,13.28,8540000.0,0.0
2018-07-17,13.69,13.42,14.15,13.1,6860000.0,-0.008
2018-07-18,14.43,13.95,14.99,13.9,10270000.0,0.0541
2018-07-19,13.92,14.43,15.08,13.8,10800000.0,-0.0353
2018-07-20,14.41,13.96,14.71,13.82,6370000.0,0.0352
2018-07-23,14.18,14.41,14.7,13.64,4920000.0,-0.016
2018-07-24,13.92,14.4,14.77,13.65,6210000.0,-0.0183
2018-07-25,13.36,13.77,13.95,13.13,9280000.0,-0.04019999999999999
2018-07-26,12.77,12.8,13.15,12.66,6990000.0,-0.044199999999999996
2018-07-27,12.13,13.1,13.1,12.0,6570000.0,-0.0501
2018-07-30,11.59,11.3,12.0,11.05,6690000.0,-0.044500000000000005
2018-07-31,11.71,11.5,12.25,11.35,3240000.0,0.0104
2018-08-01,11.33,11.66,11.73,11.16,3790000.0,-0.0325
2018-08-02,11.51,11.0,11.52,10.7,6490000.0,0.0159
2018-08-03,11.06,11.51,11.6,11.0,2900000.0,-0.0391
2018-08-06,11.27,11.12,11.74,11.11,3410000.0,0.019
2018-08-07,11.4,11.38,11.67,11.3,2800000.0,0.0115
2018-08-08,11.39,11.49,11.68,11.24,1810000.0,-0.0009
2018-08-09,11.25,11.4,11.58,11.22,1840000.0,-0.0123
2018-08-10,11.14,11.25,11.37,11.02,2690000.0,-0.0098
2018-08-13,10.81,11.19,11.27,10.7,2270000.0,-0.0296
2018-08-14,10.66,10.57,10.69,10.26,5840000.0,-0.0139
2018-08-15,10.27,9.9,10.3,9.09,10740000.0,-0.0366
2018-08-16,10.56,10.51,10.94,10.5,5200000.0,0.0282
2018-08-17,10.7,10.55,10.87,9.94,2920000.0,0.013300000000000001
2018-08-20,11.3,11.25,11.44,10.5,5320000.0,0.056100000000000004
2018-08-21,11.85,11.55,12.43,11.5,5490000.0,0.0487
2018-08-22,11.01,11.75,11.82,10.96,4490000.0,-0.0709
2018-08-23,10.53,11.21,11.35,10.43,4610000.0,-0.0436
2018-08-24,10.91,10.58,10.99,10.41,3990000.0,0.0361
2018-08-27,11.53,11.45,11.77,10.96,9490000.0,0.056799999999999996
2018-08-28,13.08,12.85,13.75,12.64,19440000.0,0.1344
2018-08-29,13.76,13.0,14.23,12.18,9430000.0,0.052000000000000005
2018-08-30,13.14,13.4,13.7,12.25,8770000.0,-0.0451
2018-08-31,12.83,12.7,13.4,12.7,3800000.0,-0.0236
2018-09-04,12.5,12.75,12.86,12.04,3760000.0,-0.025699999999999997
2018-09-05,11.39,12.25,12.31,11.35,5320000.0,-0.0888
2018-09-06,11.4,11.59,11.66,11.11,2420000.0,0.0009
2018-09-07,11.71,11.26,11.88,11.0,2970000.0,0.027200000000000002
2018-09-10,11.31,11.73,11.94,11.31,2530000.0,-0.0342
2018-09-11,11.84,11.11,11.99,11.11,3510000.0,0.046900000000000004
2018-09-12,13.03,12.0,13.68,11.89,9420000.0,0.1005
2018-09-13,13.35,13.46,14.12,13.16,6430000.0,0.0246
2018-09-14,13.52,13.29,13.66,12.91,3900000.0,0.0127
2018-09-17,13.23,13.29,13.5,12.78,3330000.0,-0.021400000000000002
2018-09-18,13.76,13.4,14.07,13.13,3960000.0,0.0401
2018-09-19,13.22,13.69,14.0,13.2,2760000.0,-0.0392
2018-09-20,13.44,13.49,13.69,12.97,2210000.0,0.0166
2018-09-21,12.43,13.45,13.67,12.36,5070000.0,-0.0751
2018-09-24,12.0,11.7,12.23,11.28,5840000.0,-0.0346
2018-09-25,12.55,12.0,12.66,11.7,3390000.0,0.0458
2018-09-26,12.87,12.49,13.42,12.45,4920000.0,0.0255
2018-09-27,13.02,12.87,13.1,12.73,2280000.0,0.011699999999999999
2018-09-28,13.48,12.9,13.69,12.89,4170000.0,0.0353
2018-10-01,13.95,13.7,14.09,13.57,3230000.0,0.0349
2018-10-02,13.31,13.4,13.7,12.84,4110000.0000000005,-0.045899999999999996
2018-10-03,14.37,15.15,15.5,14.03,18030000.0,0.0796
2018-10-04,13.55,14.14,14.44,12.88,6890000.0,-0.0571
2018-10-05,13.35,13.37,13.88,12.9,4570000.0,-0.0148
2018-10-08,13.63,12.72,13.74,12.65,3540000.0,0.021
2018-10-09,13.17,13.31,13.54,13.0,2460000.0,-0.0337
2018-10-10,12.42,13.26,13.26,12.1,3840000.0,-0.056900000000000006
2018-10-11,12.69,12.03,12.9,12.02,3190000.0,0.0217
2018-10-12,13.71,13.37,13.85,13.28,4139999.9999999995,0.08039999999999999
2018-10-15,13.95,13.28,14.18,13.26,3160000.0,0.0175
2018-10-16,13.46,14.0,14.29,13.26,4059999.9999999995,-0.0351
2018-10-17,13.25,13.67,13.72,12.91,2130000.0,-0.015600000000000001
2018-10-18,12.61,12.91,13.1,12.49,3150000.0,-0.0483
2018-10-19,12.49,12.94,13.07,12.37,1920000.0,-0.0095
2018-10-22,13.05,13.0,13.07,12.75,3450000.0,0.044800000000000006
2018-10-23,12.97,12.67,13.17,12.57,1840000.0,-0.0060999999999999995
2018-10-24,11.99,12.89,12.94,11.87,3620000.0,-0.0756
2018-10-25,12.57,12.24,12.63,12.21,2780000.0,0.0484
2018-10-26,13.17,12.25,13.26,12.15,2580000.0,0.04769999999999999
2018-10-29,12.47,13.45,13.55,12.26,2040000.0,-0.053200000000000004
2018-10-30,13.1,12.58,13.4,12.31,2480000.0,0.050499999999999996
2018-10-31,13.5,13.63,14.5,13.28,8970000.0,0.0305
2018-11-01,14.19,13.85,15.16,13.03,12340000.0,0.051100000000000007
2018-11-02,14.43,14.96,15.18,14.16,5440000.0,0.0169
2018-11-05,14.36,14.4,14.78,14.25,1710000.0,-0.0049
2018-11-06,14.91,14.36,15.48,14.35,4480000.0,0.0383
2018-11-07,15.15,15.39,15.44,14.81,2009999.9999999998,0.0161
2018-11-08,14.49,15.06,15.08,14.35,2150000.0,-0.0436
2018-11-09,13.4,14.06,14.06,13.32,2690000.0,-0.07519999999999999
2018-11-12,12.9,13.51,13.71,12.78,3240000.0,-0.0373
