Date,Close,Open,High,Low,Volume,Change
2019-10-11,13.82,15.34,15.34,13.5,1360000.0,-0.029500000000000002
2019-10-14,12.75,13.83,13.91,12.53,899100.0,-0.0774
2019-10-15,12.92,12.99,13.0,12.53,484660.0,0.013300000000000001
2019-10-16,12.94,13.2,13.88,12.61,524159.99999999994,0.0015
2019-10-17,13.0,13.24,13.48,12.68,412960.0,0.0046
2019-10-18,14.14,13.3,14.25,13.3,231940.0,0.0877
2019-10-21,16.28,14.94,16.28,14.82,290000.0,0.15130000000000002
2019-10-22,20.64,17.05,20.64,17.05,412550.0,0.26780000000000004
2019-10-23,17.64,21.95,21.99,16.79,476570.0,-0.14529999999999998
2019-10-24,18.85,18.73,20.0,17.11,269630.0,0.06860000000000001
2019-10-25,17.57,18.5,18.5,16.75,231530.0,-0.0679
2019-10-28,16.46,17.08,18.18,16.46,253020.0,-0.0632
2019-10-29,17.0,16.92,17.29,16.63,136700.0,0.032799999999999996
2019-10-30,16.79,17.0,17.19,16.43,94080.0,-0.0124
2019-10-31,16.82,16.8,16.82,16.39,63910.0,0.0018
2019-11-01,16.52,16.8,16.8,16.12,82870.0,-0.0178
2019-11-04,18.97,17.05,19.68,17.05,206800.0,0.1483
2019-11-05,18.48,20.39,20.39,18.23,97890.0,-0.0258
2019-11-06,17.38,18.39,18.66,17.03,88130.0,-0.059500000000000004
2019-11-07,18.42,17.36,18.58,17.36,47690.0,0.059800000000000006
2019-11-08,18.87,18.35,19.14,18.35,78120.0,0.024399999999999998
2019-11-11,19.74,19.36,19.98,19.04,148120.0,0.0461
2019-11-12,17.64,19.5,19.71,17.07,228170.0,-0.10640000000000001
2019-11-13,18.55,17.8,18.92,17.8,55680.0,0.0516
2019-11-14,19.0,18.86,19.37,18.65,61850.0,0.024300000000000002
2019-11-15,19.24,19.1,19.8,19.02,65600.0,0.0126
2019-11-18,19.7,19.15,20.5,19.15,120710.0,0.0239
2019-11-19,20.33,19.64,20.69,19.5,99210.0,0.032
2019-11-20,20.35,20.0,21.67,19.98,160300.0,0.001
2019-11-21,19.68,20.8,22.0,18.6,189950.0,-0.0329
2019-11-22,21.33,20.0,21.98,20.0,89860.0,0.08380000000000001
2019-11-25,20.75,22.55,23.4,20.38,188850.0,-0.027200000000000002
2019-11-26,21.36,21.03,21.45,20.49,89250.0,0.0294
2019-11-27,21.88,21.92,21.98,21.16,29680.0,0.024300000000000002
2019-11-29,21.98,22.0,23.21,21.85,57030.0,0.0046
2019-12-02,21.87,22.66,23.13,21.09,106540.0,-0.005
2019-12-03,20.77,22.05,23.15,20.72,88390.0,-0.050300000000000004
2019-12-04,21.37,21.49,22.96,21.05,146540.0,0.028900000000000002
2019-12-05,22.49,21.75,22.67,21.35,129940.0,0.0524
2019-12-06,24.37,22.85,24.47,22.66,251500.0,0.0836
2019-12-09,29.0,25.0,29.97,25.0,398100.0,0.19
2019-12-10,28.0,29.0,29.49,27.28,180160.0,-0.0345
2019-12-11,31.3,28.7,31.3,28.65,205150.0,0.11789999999999999
2019-12-12,29.84,32.7,34.0,28.98,380940.0,-0.0466
2019-12-13,32.45,32.15,32.85,30.7,232750.0,0.0875
2019-12-16,35.0,38.44,38.75,34.66,623060.0,0.0786
2019-12-17,36.91,36.51,36.92,34.82,261820.0,0.0546
2019-12-18,35.0,35.48,35.82,33.12,146530.0,-0.051699999999999996
2019-12-19,29.34,33.87,33.87,27.73,250480.0,-0.1617
2019-12-20,34.97,31.81,34.97,31.81,447950.0,0.19190000000000002
2019-12-23,34.73,34.91,35.9,33.1,103710.0,-0.0069
2019-12-24,33.47,34.61,34.61,33.01,23860.0,-0.0363
2019-12-26,33.2,33.29,34.0,31.59,53870.0,-0.008100000000000001
2019-12-27,32.58,32.61,33.58,32.02,38140.0,-0.0187
2019-12-30,34.91,33.0,34.91,33.0,33460.0,0.07150000000000001
2019-12-31,33.88,34.71,34.76,33.69,40050.0,-0.029500000000000002
2020-01-02,38.5,35.75,38.5,35.36,139670.0,0.1364
2020-01-03,40.05,38.0,41.25,36.42,176050.0,0.0403
2020-01-06,44.58,40.11,45.0,40.1,333290.0,0.1131
2020-01-07,43.34,47.4,48.85,41.18,562380.0,-0.0278
2020-01-08,45.1,44.3,46.33,44.18,193950.0,0.0406
2020-01-09,43.27,46.55,46.71,42.71,234920.0,-0.0406
2020-01-10,39.68,44.99,44.99,38.21,369140.0,-0.083
2020-01-13,37.83,41.01,41.32,35.26,459590.0,-0.0466
2020-01-14,34.53,35.3,35.48,33.22,266340.0,-0.0872
2020-01-15,34.55,35.3,39.85,33.6,361020.0,0.0006
2020-01-16,32.25,35.75,35.9,31.27,692190.0,-0.0666
2020-01-17,33.18,33.05,33.6,30.33,615260.0,0.0288
2020-01-21,36.54,33.79,36.54,33.51,264480.0,0.1013
2020-01-22,38.88,37.61,39.03,36.75,318220.0,0.064
2020-01-23,36.7,37.21,37.55,35.31,192950.0,-0.056100000000000004
2020-01-24,34.99,35.32,35.9,33.57,209690.0,-0.0466
2020-01-27,33.2,33.24,34.53,32.75,120000.0,-0.0512
2020-01-28,34.22,34.04,34.83,32.6,165170.0,0.030699999999999998
2020-01-29,31.8,33.95,33.95,31.74,184230.0,-0.0707
2020-01-30,29.9,30.7,31.19,28.58,228590.0,-0.059699999999999996
2020-01-31,29.21,30.36,30.95,28.5,138720.0,-0.0231
2020-02-03,30.27,29.8,30.69,28.78,177610.0,0.0363
2020-02-04,32.92,29.17,32.92,29.17,137590.0,0.0875
2020-02-05,29.25,34.0,34.0,28.69,405000.0,-0.1115
2020-02-06,32.93,32.0,32.93,29.68,387380.0,0.1258
2020-02-07,30.88,31.88,32.49,30.07,166670.0,-0.0623
2020-02-10,32.12,30.99,32.15,30.11,121710.0,0.04019999999999999
2020-02-11,30.71,31.48,31.48,29.8,175350.0,-0.043899999999999995
2020-02-12,29.56,30.0,31.1,29.0,157670.0,-0.0374
2020-02-13,30.64,29.51,30.64,29.08,107070.0,0.0365
2020-02-14,30.75,31.0,31.57,29.72,128690.0,0.0036
2020-02-18,31.54,30.49,31.54,30.26,66240.0,0.025699999999999997
2020-02-19,32.25,31.5,32.29,30.75,253770.0,0.0225
2020-02-20,32.38,31.72,32.58,31.0,152160.0,0.004
2020-02-21,32.35,31.8,32.46,31.27,158730.0,-0.0009
2020-02-24,30.6,30.0,31.1,29.14,148390.0,-0.0541
2020-02-25,33.44,30.0,33.96,30.0,201470.0,0.0928
2020-02-26,33.75,31.85,34.39,31.55,213280.0,0.009300000000000001
2020-02-27,33.88,31.45,33.97,31.05,112390.0,0.0039000000000000003
2020-02-28,35.1,33.4,35.1,32.85,234410.0,0.036000000000000004
2020-03-02,36.6,35.01,36.6,34.0,185100.0,0.042699999999999995
2020-03-03,38.48,36.65,41.0,36.6,297980.0,0.051399999999999994
2020-03-04,39.19,39.0,39.3,38.0,127110.0,0.018500000000000003
2020-03-05,37.12,37.71,38.06,35.64,77060.0,-0.0528
2020-03-06,38.09,37.62,40.95,35.61,279230.0,0.026099999999999998
2020-03-09,33.48,35.15,35.9,32.4,190150.0,-0.121
2020-03-10,33.96,35.08,35.83,31.45,327520.0,0.0143
2020-03-11,32.17,33.4,34.09,31.0,118950.0,-0.0527
2020-03-12,28.55,28.99,30.39,28.0,184060.0,-0.1125
2020-03-13,30.93,30.0,31.98,29.19,197650.0,0.0834
2020-03-16,40.0,49.36,52.8,38.0,1940000.0,0.2932
2020-03-17,66.6,65.0,76.0,56.01,2940000.0,0.665
2020-03-18,92.0,87.8,104.49,83.0,3030000.0,0.3814
2020-03-19,59.3,79.3,80.23,59.0,1600000.0,-0.3554
2020-03-20,46.5,54.95,55.0,43.66,1170000.0,-0.2159
2020-03-23,51.31,59.0,59.98,50.31,994200.0,0.10339999999999999
2020-03-24,53.64,58.11,58.69,48.02,579730.0,0.0454
2020-03-25,47.2,51.01,53.29,47.2,333370.0,-0.1201
2020-03-26,55.0,52.63,55.6,50.0,472540.0,0.1653
2020-03-27,55.0,54.2,55.39,51.32,246280.0,0.0
2020-03-30,62.0,60.0,64.45,59.04,591220.0,0.1273
2020-03-31,58.4,59.86,62.0,57.0,243390.0,-0.0581
2020-04-01,52.92,56.35,58.19,52.48,259110.0,-0.09380000000000001
2020-04-02,56.91,55.5,56.93,53.0,245900.0,0.0754
2020-04-03,52.75,57.98,57.98,52.01,227300.0,-0.0731
2020-04-06,52.73,55.5,55.6,52.4,331180.0,-0.0004
2020-04-07,45.6,50.0,50.2,44.0,1460000.0,-0.1352
2020-04-08,44.95,48.1,48.1,44.51,819780.0,-0.0143
2020-04-09,45.41,52.01,53.0,45.0,1480000.0,0.0102
2020-04-13,41.71,46.02,46.39,41.0,880710.0,-0.0815
2020-04-14,41.63,43.82,43.98,41.4,863880.0,-0.0019
2020-04-15,38.58,40.9,41.24,38.13,980630.0,-0.0733
2020-04-16,38.79,38.76,39.26,37.0,849360.0,0.0054
2020-04-17,40.81,40.3,41.71,38.88,1010000.0,0.0521
2020-04-20,43.37,41.49,45.9,41.0,1280000.0,0.06269999999999999
2020-04-21,42.26,45.27,45.9,39.8,1510000.0,-0.0256
2020-04-22,53.5,54.44,55.85,45.2,10870000.0,0.266
2020-04-23,50.0,58.0,58.0,49.22,4270000.0,-0.0654
2020-04-24,47.75,51.24,51.49,47.6,1830000.0,-0.045
2020-04-27,49.4,48.89,50.25,48.16,1180000.0,0.0346
