Date,Close,Open,High,Low,Volume,Change
2015-04-30,18.87,23.4,23.89,18.0,7160000.0,-0.29719999999999996
2015-05-01,18.53,18.79,20.47,18.53,511430.0,-0.018000000000000002
2015-05-04,20.81,18.6,20.82,18.6,432420.0,0.12300000000000001
2015-05-05,20.82,20.5,21.17,20.16,213910.0,0.0005
2015-05-06,21.37,20.95,21.85,20.5,243540.0,0.0264
2015-05-07,22.5,21.4,22.68,21.34,303810.0,0.0529
2015-05-08,23.6,22.78,24.44,22.25,270340.0,0.0489
2015-05-11,24.95,23.73,26.8,23.54,315270.0,0.0572
2015-05-12,25.04,25.02,25.62,23.46,207170.0,0.0036
2015-05-13,26.09,24.99,26.78,24.43,296710.0,0.04190000000000001
2015-05-14,29.02,27.39,30.73,26.01,944940.0,0.11230000000000001
2015-05-15,28.56,29.0,30.0,28.06,435520.0,-0.0159
2015-05-18,28.74,28.78,29.39,28.01,177990.0,0.0063
2015-05-19,29.0,29.23,29.75,28.54,178870.0,0.009000000000000001
2015-05-20,29.07,28.67,29.42,28.67,114700.0,0.0024
2015-05-21,29.19,28.87,30.62,28.71,215230.0,0.0040999999999999995
2015-05-22,29.96,29.68,30.71,29.2,278760.0,0.0264
2015-05-26,28.64,31.03,32.81,28.0,691890.0,-0.0441
2015-05-27,27.34,28.28,28.5,26.18,286490.0,-0.0454
2015-05-28,28.55,26.96,29.26,26.9,155240.0,0.0443
2015-05-29,28.69,28.55,29.88,28.37,208690.0,0.0049
2015-06-01,30.77,29.18,31.49,28.65,288900.0,0.0725
2015-06-02,30.41,31.26,31.73,30.03,179560.0,-0.011699999999999999
2015-06-03,30.86,30.56,31.77,30.56,173680.0,0.0148
2015-06-04,30.66,30.42,32.65,30.4,201150.0,-0.006500000000000001
2015-06-05,30.85,30.35,32.15,30.35,139870.0,0.0062
2015-06-08,31.51,30.55,31.98,30.03,242540.0,0.021400000000000002
2015-06-09,31.98,32.0,32.2,30.56,151690.0,0.0149
2015-06-10,31.49,31.8,32.08,30.71,181590.0,-0.015300000000000001
2015-06-11,33.16,31.24,34.1,31.24,268580.0,0.053
2015-06-12,34.12,33.55,34.8,33.02,226980.0,0.028999999999999998
2015-06-15,33.65,33.78,35.6,33.4,428460.0,-0.0138
2015-06-16,34.04,33.19,34.22,33.19,150370.0,0.0116
2015-06-17,34.97,33.83,35.46,33.51,330360.0,0.0273
2015-06-18,35.92,35.24,37.17,35.24,237020.0,0.027200000000000002
2015-06-19,33.2,36.49,36.99,33.0,642690.0,-0.0757
2015-06-22,33.13,33.49,34.74,32.31,548040.0,-0.0021
2015-06-23,31.23,32.95,33.72,30.51,565740.0,-0.057300000000000004
2015-06-24,28.02,31.25,32.22,28.0,512100.0,-0.10279999999999999
2015-06-25,28.15,28.1,29.0,26.15,402680.0,0.0046
2015-06-26,27.86,27.96,29.24,26.59,1670000.0,-0.0103
2015-06-29,26.2,27.63,27.82,26.0,226490.0,-0.0596
2015-06-30,26.49,26.3,27.11,25.52,129080.00000000001,0.0111
2015-07-01,27.4,26.79,27.82,26.38,239680.0,0.0344
2015-07-02,27.02,27.3,27.32,26.62,81080.0,-0.0139
2015-07-06,26.31,26.78,27.37,25.77,97090.0,-0.0263
2015-07-07,26.12,25.85,26.23,25.52,78190.0,-0.0072
2015-07-08,25.7,25.72,25.91,24.79,94980.0,-0.0161
2015-07-09,25.86,26.07,26.39,25.33,101760.0,0.0062
2015-07-10,28.02,26.12,28.21,25.7,203000.0,0.08349999999999999
2015-07-13,29.0,28.26,29.49,27.02,207810.0,0.035
2015-07-14,31.14,29.16,31.94,28.56,224760.0,0.0738
2015-07-15,31.13,31.03,32.17,30.54,168730.0,-0.0003
2015-07-16,32.23,31.29,32.74,30.19,142760.0,0.0353
2015-07-17,32.9,32.28,33.1,32.28,81890.0,0.0208
2015-07-20,31.71,32.62,32.71,30.36,141010.0,-0.0362
2015-07-21,30.8,31.79,31.86,29.5,98080.0,-0.0287
2015-07-22,30.12,30.57,31.09,29.9,49670.0,-0.022099999999999998
2015-07-23,29.13,30.33,30.33,28.66,55080.0,-0.0329
2015-07-24,27.5,29.1,29.15,27.29,84020.0,-0.055999999999999994
2015-07-27,27.1,27.3,27.3,26.46,71220.0,-0.014499999999999999
2015-07-28,28.49,27.02,29.03,26.55,62510.0,0.0513
2015-07-29,27.5,28.61,29.5,27.18,40450.0,-0.0347
2015-07-30,26.54,27.28,29.24,26.41,43380.0,-0.0349
2015-07-31,27.02,26.74,27.74,26.74,64800.0,0.0181
2015-08-03,27.64,27.0,28.13,26.72,66330.0,0.0229
2015-08-04,28.43,27.68,28.58,27.41,35340.0,0.0286
2015-08-05,28.26,28.57,29.2,27.98,45640.0,-0.006
2015-08-06,27.59,28.42,28.42,27.0,55170.0,-0.023700000000000002
2015-08-07,26.48,27.35,27.8,26.09,71080.0,-0.04019999999999999
2015-08-10,26.98,26.75,27.87,26.35,61450.0,0.0189
2015-08-11,27.15,26.39,27.51,26.39,46330.0,0.0063
2015-08-12,28.2,26.75,28.5,26.17,112370.0,0.0387
2015-08-13,27.74,28.06,28.74,27.13,92050.0,-0.0163
2015-08-14,26.55,27.7,28.14,26.26,143780.0,-0.0429
2015-08-17,29.75,26.7,29.8,25.89,280950.0,0.12050000000000001
2015-08-18,28.62,30.61,31.48,28.33,202800.0,-0.038
2015-08-19,27.02,28.62,28.62,26.86,76330.0,-0.0559
2015-08-20,25.81,26.68,27.39,25.78,118400.0,-0.044800000000000006
2015-08-21,25.74,25.43,27.13,25.21,62290.0,-0.0027
2015-08-24,26.1,24.22,26.23,19.96,272710.0,0.013999999999999999
2015-08-25,26.61,27.18,28.13,26.05,115400.0,0.0195
2015-08-26,25.93,27.26,27.26,25.18,222720.0,-0.0256
2015-08-27,26.87,26.18,27.45,25.78,124370.0,0.0363
2015-08-28,26.84,26.87,27.32,25.83,153760.0,-0.0011
2015-08-31,27.36,26.78,27.81,26.36,67770.0,0.0194
2015-09-01,27.53,26.96,28.1,26.29,128350.0,0.0062
2015-09-02,28.39,27.95,28.4,27.0,109050.0,0.031200000000000002
2015-09-03,28.01,28.5,28.75,27.5,114300.0,-0.0134
2015-09-04,28.24,27.57,28.48,27.2,82310.0,0.008199999999999999
2015-09-08,29.86,28.78,29.98,28.42,83940.0,0.0574
2015-09-09,29.19,30.0,30.73,28.95,128620.0,-0.022400000000000003
2015-09-10,30.07,29.23,30.94,29.23,125320.0,0.0301
2015-09-11,29.51,30.05,31.55,28.95,128930.0,-0.018600000000000002
2015-09-14,30.99,29.65,31.48,29.65,97190.0,0.050199999999999995
2015-09-15,30.64,31.13,31.2,30.19,114940.0,-0.0113
2015-09-16,29.14,30.75,30.98,28.8,119170.0,-0.049
2015-09-17,29.61,29.21,30.15,28.56,69900.0,0.0161
2015-09-18,31.23,29.12,31.46,29.12,118200.0,0.0547
2015-09-21,29.49,31.52,31.94,29.36,203010.0,-0.0557
2015-09-22,25.13,28.8,29.33,24.76,521929.99999999994,-0.1478
2015-09-23,24.45,25.29,25.37,23.71,346520.0,-0.0271
2015-09-24,23.44,24.17,24.17,22.91,103960.0,-0.041299999999999996
2015-09-25,21.45,23.77,25.78,20.85,203670.0,-0.0849
2015-09-28,21.22,21.25,21.3,19.39,461630.0,-0.010700000000000001
2015-09-29,20.72,21.15,22.18,20.03,274700.0,-0.0236
2015-09-30,21.34,21.27,21.7,19.52,269030.0,0.029900000000000003
2015-10-01,20.76,21.25,23.56,19.98,274630.0,-0.027200000000000002
2015-10-02,22.33,20.46,22.47,19.74,128199.99999999999,0.0756
2015-10-05,22.33,22.63,22.77,21.36,134990.0,0.0
2015-10-06,21.22,22.13,22.5,20.14,125060.0,-0.049699999999999994
2015-10-07,21.14,21.22,21.45,20.36,262150.0,-0.0038
2015-10-08,21.12,21.13,21.35,20.0,101320.0,-0.0009
2015-10-09,21.14,21.21,21.69,20.49,90710.0,0.0009
2015-10-12,21.29,21.27,23.21,21.09,109310.0,0.0070999999999999995
2015-10-13,21.17,21.24,21.9,21.06,103490.0,-0.005600000000000001
2015-10-14,21.51,21.32,22.66,21.0,124030.0,0.0161
2015-10-15,23.6,21.47,24.38,21.36,179100.0,0.09720000000000001
2015-10-16,22.14,23.67,24.14,21.83,133970.0,-0.061900000000000004
2015-10-19,22.79,22.24,24.09,22.05,127900.0,0.0294
2015-10-20,22.56,22.88,23.5,21.96,110000.0,-0.0101
2015-10-21,21.97,22.79,22.88,21.72,132200.0,-0.0262
2015-10-22,22.81,22.04,23.2,21.6,120210.0,0.0382
2015-10-23,22.11,23.04,23.68,22.07,88450.0,-0.030699999999999998
2015-10-26,22.82,22.14,23.43,21.76,97980.0,0.0321
2015-10-27,20.5,22.45,22.5,19.65,623660.0,-0.1017
2015-10-28,21.49,20.54,21.91,20.01,172500.0,0.0483
2015-10-29,20.55,21.49,22.78,20.2,313490.0,-0.0437
2015-10-30,20.09,20.59,20.87,19.36,142830.0,-0.022400000000000003
2015-11-02,20.8,20.16,21.54,20.08,220430.0,0.0353
2015-11-03,21.58,20.8,21.95,20.18,237610.0,0.0375
2015-11-04,21.97,21.57,22.24,21.22,100880.0,0.0181
2015-11-05,21.85,21.95,22.13,20.82,106480.0,-0.0055000000000000005
2015-11-06,22.32,21.77,22.5,21.07,97720.0,0.0215
2015-11-09,22.82,22.19,23.17,22.02,158790.0,0.022400000000000003
2015-11-10,22.64,23.0,23.0,21.34,149720.0,-0.0079
2015-11-11,21.21,22.56,22.66,20.78,343960.0,-0.0632
2015-11-12,21.41,21.0,22.15,20.51,183590.0,0.009399999999999999
2015-11-13,22.06,21.36,22.76,20.98,98870.0,0.0304
2015-11-16,20.85,21.5,22.06,20.0,351690.0,-0.054900000000000004
