Date,Close,Open,High,Low,Volume,Change
2018-11-23,17.51,17.51,17.51,17.51,100.0,0.0006
2018-11-26,17.4,17.4,17.4,17.4,100.0,-0.0063
2018-11-27,17.4,17.4,17.4,17.4,600.0,0.0
2018-11-28,17.25,17.25,17.25,17.25,200.0,-0.0086
2018-12-04,17.25,17.1,17.25,17.1,400.0,0.0
2018-12-06,17.01,17.01,17.01,17.01,100.0,-0.0139
2018-12-07,17.25,17.25,17.25,17.25,400.0,0.0141
2018-12-11,17.0,17.25,17.25,17.0,400.0,-0.014499999999999999
2018-12-14,17.25,17.25,17.25,17.25,300.0,0.0147
2018-12-17,17.0,17.0,17.0,17.0,300.0,-0.014499999999999999
2018-12-18,17.25,17.25,17.25,17.25,820.0,0.0147
2018-12-19,16.75,17.25,17.25,16.75,1200.0,-0.028999999999999998
2018-12-21,16.8,16.8,16.8,16.8,100.0,0.003
2018-12-28,17.01,17.01,17.01,17.01,700.0,0.0125
2018-12-31,17.25,17.25,17.25,17.25,200.0,0.0141
2019-01-02,17.0,17.15,17.15,17.0,300.0,-0.014499999999999999
2019-01-03,18.0,17.25,18.0,16.75,450.0,0.0588
2019-01-10,16.5,16.61,16.61,16.5,350.0,-0.0833
2019-01-24,17.0,17.0,17.0,17.0,500.0,0.030299999999999997
2019-01-30,16.5,16.5,16.5,16.5,770.0,-0.0294
2019-02-01,16.75,16.75,16.75,16.75,870.0,0.0152
2019-02-13,18.5,18.0,18.5,18.0,10590.0,0.1045
2019-02-15,18.6,18.5,18.6,18.5,670.0,0.0054
2019-02-22,18.6,18.6,18.6,18.6,100.0,0.0
2019-02-26,16.8,17.2,17.2,16.8,690.0,-0.0968
2019-03-11,17.1,17.1,17.1,17.1,3000.0,0.0179
2019-03-12,17.1,17.1,17.45,17.1,5240.0,0.0
2019-04-15,11.9,11.63,11.9,11.63,3220.0,-0.3041
2019-04-22,11.9,11.9,11.9,11.9,1140.0,0.0
2019-04-23,11.83,11.9,11.9,11.83,900.0,-0.005600000000000001
2019-04-24,12.63,12.0,12.63,12.0,1800.0,0.0676
2019-04-25,12.87,12.87,12.87,12.87,620.0,0.018500000000000003
2019-04-29,13.17,13.0,13.17,13.0,690.0,0.0233
2019-05-02,13.23,13.23,13.23,13.23,150.0,0.0051
2019-05-03,13.3,13.23,13.3,13.23,450.0,0.005
2019-05-06,13.67,13.3,13.67,13.3,1300.0,0.0276
2019-05-07,13.6,13.6,13.6,13.6,150.0,-0.0049
2019-05-08,13.33,13.33,13.33,13.33,980.0,-0.0196
2019-05-09,14.2,13.33,14.2,13.33,1050.0,0.065
2019-05-14,15.0,14.33,15.0,14.33,2760.0,0.056299999999999996
2019-05-16,15.0,15.0,15.0,15.0,380.0,0.0
2019-05-31,15.0,15.0,15.0,15.0,150.0,0.0
2019-06-10,13.67,13.67,13.67,13.67,150.0,-0.0889
2019-06-11,13.67,13.67,13.67,13.67,1050.0,0.0
2019-06-14,13.67,13.67,13.67,13.67,750.0,0.0
2019-07-29,13.08,13.08,13.08,13.08,330.0,-0.0429
2019-08-05,12.9,13.11,13.11,12.9,9900.0,-0.0138
2019-08-06,13.1,13.09,13.1,13.0,5790.0,0.0155
2019-08-08,13.13,13.13,13.13,13.13,750.0,0.0025
2019-08-09,13.17,13.17,13.17,13.17,900.0,0.0025
2019-08-12,13.3,13.17,13.3,13.17,490.0,0.0101
2019-08-13,13.8,13.8,13.8,13.8,1340.0,0.037599999999999995
2019-08-14,14.0,14.0,14.0,14.0,300.0,0.014499999999999999
2019-08-15,13.33,14.0,14.0,13.17,18370.0,-0.047599999999999996
2019-08-21,13.63,13.63,13.63,13.63,4540.0,0.0225
2019-08-23,13.6,13.33,13.6,13.33,740.0,-0.0024
2019-08-27,13.67,13.67,13.67,13.67,3210.0,0.0049
2019-09-19,13.57,13.67,13.67,13.57,11700.0,-0.0073
2019-09-24,14.33,13.97,14.33,13.97,740.0,0.0565
2019-09-25,14.0,14.0,14.0,14.0,1900.0,-0.0233
2019-09-26,13.33,13.33,13.33,13.33,920.0,-0.047599999999999996
2019-10-10,13.67,13.67,13.67,13.67,300.0,0.025
2019-10-14,13.67,13.67,13.67,13.67,640.0,0.0
2019-10-16,14.0,13.87,14.0,13.87,4220.0,0.024399999999999998
2019-10-17,14.0,13.99,14.0,13.99,7140.0,0.0
2019-10-24,13.87,13.87,13.87,13.87,1700.0,-0.0095
2019-10-28,13.87,13.87,13.87,13.87,450.0,0.0
2019-10-30,13.47,13.47,13.47,13.47,2170.0,-0.0288
2019-10-31,13.83,13.83,13.83,13.83,2170.0,0.027200000000000002
2019-11-01,13.86,13.86,13.86,13.86,150.0,0.0017000000000000001
2019-11-04,13.53,13.53,13.53,13.53,300.0,-0.023399999999999997
2019-11-05,13.99,13.99,13.99,13.99,300.0,0.034
2019-11-06,14.0,13.99,14.0,13.99,15900.0,0.0005
2019-11-07,13.5,13.5,13.5,13.5,4500.0,-0.035699999999999996
2019-11-14,13.67,13.57,13.67,13.57,4050.0,0.0123
2019-11-18,13.67,13.67,13.67,13.67,750.0,0.0
2019-11-19,13.71,13.8,13.93,13.71,2830.0,0.0029
2019-11-21,13.67,13.67,13.67,13.67,9670.0,-0.0024
2019-11-22,13.73,13.73,13.73,13.73,770.0,0.0044
2019-11-27,13.76,13.76,13.76,13.76,1540.0,0.0019
2019-12-02,13.77,13.77,13.77,13.77,750.0,0.0005
2019-12-03,13.93,13.93,13.93,13.93,150.0,0.0121
2019-12-04,13.91,13.91,13.91,13.87,7990.0,-0.0014000000000000002
2019-12-05,14.0,13.85,14.0,13.85,1500.0,0.0062
2019-12-06,14.0,14.0,14.0,14.0,1500.0,0.0
2019-12-09,13.77,14.0,14.0,13.77,3460.0,-0.016200000000000003
2019-12-11,13.77,13.8,13.8,13.77,1900.0,0.0
2019-12-12,14.93,14.0,15.33,14.0,6500.0,0.0842
2019-12-18,13.83,13.83,13.83,13.83,750.0,-0.0737
2019-12-24,13.81,15.33,15.33,13.72,14810.0,-0.0019
2019-12-26,13.91,13.91,13.91,13.91,900.0,0.0076
2019-12-27,13.73,13.9,13.9,13.73,1120.0,-0.0128
2019-12-30,13.57,13.69,13.83,13.57,13240.0,-0.011699999999999999
2019-12-31,13.97,13.67,13.97,13.62,10810.0,0.028999999999999998
2020-01-02,13.83,13.97,14.22,13.83,7910.0,-0.0095
2020-01-03,13.91,13.98,13.98,13.91,920.0,0.0058
2020-01-06,13.95,13.99,13.99,13.95,320.0,0.0026
2020-01-07,14.17,14.0,14.17,14.0,4080.0,0.015600000000000001
2020-01-08,13.87,14.0,14.0,13.83,1990.0,-0.0212
2020-01-09,14.01,13.93,14.11,13.93,1810.0,0.01
2020-01-10,14.17,14.16,14.17,14.16,780.0,0.0115
2020-01-13,14.17,14.17,14.17,14.17,1830.0,0.0
2020-01-14,14.33,14.06,14.33,14.06,2170.0,0.0118
2020-01-15,14.24,14.24,14.24,14.24,340.0,-0.0068000000000000005
2020-01-16,14.33,14.2,14.33,14.2,1510.0,0.0069
2020-01-17,14.13,14.33,14.33,14.13,1570.0,-0.014199999999999999
2020-01-21,14.27,14.33,14.33,14.15,4180.0,0.0101
2020-01-24,14.2,14.2,14.2,14.2,160.0,-0.0051
2020-01-28,14.33,14.12,14.33,14.12,2950.0,0.009399999999999999
2020-01-30,14.33,14.2,14.37,14.2,16360.0,0.0
2020-01-31,14.43,14.41,14.43,14.14,12070.0,0.006500000000000001
2020-02-03,14.31,14.33,14.33,14.31,2330.0,-0.0079
2020-02-04,14.3,14.1,14.33,14.08,7690.0,-0.0006
2020-02-05,14.11,14.11,14.11,14.11,860.0,-0.0137
2020-02-06,14.12,14.13,14.17,14.11,1640.0,0.001
2020-02-10,14.16,14.16,14.16,14.16,450.0,0.0026
2020-02-11,14.04,14.04,14.04,14.04,10500.0,-0.0085
2020-02-12,14.0,14.03,14.03,14.0,3970.0,-0.0028000000000000004
2020-02-13,13.6,13.61,13.61,13.6,750.0,-0.0286
2020-02-14,14.67,13.67,14.67,13.67,7890.0,0.0784
2020-02-18,13.97,14.33,14.33,13.97,2310.0,-0.04769999999999999
2020-02-19,13.6,13.84,13.99,13.6,11360.0,-0.0263
2020-02-20,13.68,13.68,13.68,13.68,8039.999999999999,0.0059
2020-02-24,13.81,13.93,13.93,13.63,3050.0,0.0097
2020-02-26,13.67,13.54,13.83,13.54,10260.0,-0.0106
2020-02-27,13.57,13.57,13.57,13.57,1790.0,-0.0073
