Date,Close,Open,High,Low,Volume,Change
2017-10-13,28.53,26.42,28.88,25.85,1480000.0,0.0344
2017-10-16,31.85,28.25,35.0,27.26,2650000.0,0.1164
2017-10-17,28.28,32.27,32.3,27.96,959080.0,-0.1121
2017-10-18,28.14,28.18,28.75,27.3,1090000.0,-0.005
2017-10-19,28.23,27.44,28.99,27.13,415650.0,0.0032
2017-10-20,29.19,27.85,30.16,27.85,452830.0,0.034
2017-10-23,28.92,29.17,29.6,28.0,265190.0,-0.0092
2017-10-24,29.09,28.9,30.52,28.08,407420.0,0.0059
2017-10-25,29.01,28.89,29.55,27.98,203970.0,-0.0028000000000000004
2017-10-26,30.03,28.04,30.8,28.0,908840.0,0.0352
2017-10-27,30.96,30.04,31.28,29.73,299500.0,0.031
2017-10-30,31.74,31.23,32.37,30.66,382550.0,0.0252
2017-10-31,32.6,32.14,33.05,31.95,566730.0,0.0271
2017-11-01,31.72,32.93,33.23,31.61,554530.0,-0.027000000000000003
2017-11-02,31.79,31.66,32.34,31.08,113310.0,0.0022
2017-11-03,31.44,31.93,31.95,31.1,363210.0,-0.011000000000000001
2017-11-06,30.42,30.1,31.01,29.85,677370.0,-0.032400000000000005
2017-11-07,29.76,30.47,30.76,29.4,408460.0,-0.0217
2017-11-08,28.49,29.25,29.8,28.11,629180.0,-0.042699999999999995
2017-11-09,28.35,28.65,29.05,28.0,479060.0,-0.0049
2017-11-10,28.97,28.44,30.0,28.35,350050.0,0.0219
2017-11-13,29.55,29.0,29.89,28.6,830270.0,0.02
2017-11-14,29.82,29.6,29.93,29.41,519520.0,0.0091
2017-11-15,31.03,33.85,35.42,30.9,3030000.0,0.0406
2017-11-16,31.35,31.15,31.7,30.79,450420.0,0.0103
2017-11-17,30.82,31.43,31.71,30.8,188740.0,-0.0169
2017-11-20,28.99,30.76,31.02,28.0,686340.0,-0.0594
2017-11-21,28.64,28.91,29.55,28.52,483620.0,-0.0121
2017-11-22,28.6,28.76,28.86,28.1,247640.0,-0.0014000000000000002
2017-11-24,28.66,28.63,29.39,28.0,199370.0,0.0021
2017-11-27,29.16,28.72,29.68,28.72,204270.0,0.0174
2017-11-28,29.97,29.51,29.98,29.23,87340.0,0.0278
2017-11-29,29.3,29.85,29.93,29.1,105480.0,-0.022400000000000003
2017-11-30,29.48,29.3,29.6,28.84,133640.0,0.0060999999999999995
2017-12-01,29.3,29.34,29.48,28.94,234250.0,-0.0060999999999999995
2017-12-04,29.29,29.53,29.53,28.84,165110.0,-0.0003
