Date,Close,Open,High,Low,Volume,Change
1990-12-14,4.06,4.06,4.17,3.96,64800.0,-0.8617
1990-12-17,3.54,3.54,3.96,3.54,17280.0,-0.1281
1990-12-18,3.75,3.75,3.8,3.62,57600.0,0.0593
1990-12-19,3.75,3.75,3.8,3.65,8640.0,0.0
1990-12-21,3.85,3.85,3.85,3.85,480.0,0.026699999999999998
1990-12-24,3.8,3.8,3.8,3.8,1440.0,-0.013000000000000001
1990-12-26,3.8,3.8,3.8,3.59,24000.0,0.0
1990-12-28,3.65,3.65,3.75,3.65,46080.0,-0.0395
1990-12-31,3.8,3.8,3.8,3.75,4800.0,0.041100000000000005
1991-01-02,3.8,3.8,3.8,3.65,40320.0,0.0
1991-01-03,3.8,3.8,3.8,3.67,8160.0,0.0
1991-01-10,3.59,3.59,3.75,3.59,101280.0,-0.0553
1991-01-15,3.75,3.75,3.75,3.75,9120.0,0.0446
1991-01-17,3.65,3.65,3.65,3.65,480.0,-0.026699999999999998
1991-01-18,3.75,3.75,3.75,3.65,5760.0,0.0274
1991-01-21,3.75,3.75,3.75,3.65,15840.0,0.0
1991-01-23,3.75,3.75,3.75,3.59,2880.0,0.0
1991-01-24,3.91,3.91,3.96,3.75,17760.0,0.042699999999999995
1991-01-25,3.8,3.8,3.85,3.75,28320.0,-0.0281
1991-01-28,3.8,3.8,3.8,3.8,2880.0,0.0
1991-01-29,3.75,3.75,3.96,3.75,11520.0,-0.0132
1991-01-31,3.7,3.7,3.88,3.7,45600.0,-0.013300000000000001
1991-02-01,3.85,3.85,3.85,3.75,6720.0,0.0405
1991-02-04,3.88,3.88,3.88,3.75,14880.0,0.0078000000000000005
1991-02-05,3.91,3.91,3.91,3.8,30720.0,0.0077
1991-02-06,3.8,3.8,3.91,3.8,43200.0,-0.0281
1991-02-07,3.85,3.85,3.91,3.8,32159.999999999996,0.0132
1991-02-08,3.91,3.91,3.91,3.88,16320.0,0.015600000000000001
1991-02-12,3.85,3.85,3.85,3.8,14880.0,-0.015300000000000001
1991-02-14,3.85,3.85,3.85,3.83,23520.0,0.0
1991-02-15,3.85,3.85,3.85,3.85,26400.0,0.0
1991-02-19,3.8,3.8,3.8,3.8,17280.0,-0.013000000000000001
1991-02-20,3.7,3.7,3.7,3.67,2880.0,-0.0263
1991-02-21,3.85,3.85,3.85,3.8,26400.0,0.0405
1991-02-22,3.75,3.75,3.75,3.75,11040.0,-0.026000000000000002
1991-02-26,3.85,3.85,3.85,3.7,62400.0,0.026699999999999998
1991-02-27,3.75,3.75,3.85,3.75,33600.0,-0.026000000000000002
1991-02-28,3.8,3.8,3.8,3.8,1440.0,0.013300000000000001
1991-03-01,3.8,3.8,3.8,3.75,29280.0,0.0
1991-03-04,3.8,3.8,3.8,3.75,5280.0,0.0
1991-03-05,3.8,3.8,3.8,3.8,2880.0,0.0
1991-03-06,3.96,3.96,3.96,3.85,70080.0,0.0421
1991-03-08,4.06,4.06,4.06,3.91,12000.0,0.0253
1991-03-13,3.91,3.91,3.91,3.88,5760.0,-0.0369
1991-03-14,3.8,3.8,3.91,3.8,7680.0,-0.0281
1991-03-15,3.83,3.83,3.83,3.8,7680.0,0.0079
1991-03-18,3.75,3.75,3.75,3.75,960.0,-0.0209
1991-03-19,3.83,3.83,3.85,3.83,25440.0,0.0213
1991-03-21,3.85,3.85,3.85,3.75,4800.0,0.0052
1991-03-22,3.85,3.85,3.85,3.8,24480.0,0.0
1991-03-25,3.8,3.8,3.85,3.8,15840.0,-0.013000000000000001
1991-03-26,3.8,3.8,3.85,3.8,7680.0,0.0
1991-03-27,3.85,3.85,3.85,3.85,5280.0,0.0132
1991-03-28,3.85,3.85,3.85,3.8,44160.0,0.0
1991-04-01,3.85,3.85,3.85,3.85,480.0,0.0
1991-04-02,3.85,3.85,3.85,3.8,67680.0,0.0
1991-04-03,3.8,3.8,3.8,3.8,4800.0,-0.013000000000000001
1991-04-05,3.85,3.85,3.85,3.8,7680.0,0.0132
1991-04-08,3.85,3.85,3.85,3.85,1440.0,0.0
1991-04-10,3.8,3.8,3.85,3.8,15360.0,-0.013000000000000001
1991-04-11,3.85,3.85,3.85,3.85,6720.0,0.0132
1991-04-15,3.8,3.8,3.85,3.8,17280.0,-0.013000000000000001
1991-04-16,3.8,3.8,3.85,3.8,17280.0,0.0
1991-04-17,3.85,3.85,3.85,3.85,3840.0,0.0132
1991-04-18,3.8,3.8,3.85,3.8,3840.0,-0.013000000000000001
1991-04-19,3.8,3.8,3.8,3.75,9600.0,0.0
1991-04-23,3.85,3.85,3.85,3.85,480.0,0.0132
1991-04-24,3.85,3.85,3.85,3.75,40800.0,0.0
1991-04-26,3.85,3.85,3.96,3.85,5280.0,0.0
1991-04-29,3.75,3.75,3.78,3.75,10560.0,-0.026000000000000002
1991-05-01,3.85,3.85,3.85,3.85,34560.0,0.026699999999999998
1991-05-02,3.85,3.85,3.85,3.8,36960.0,0.0
1991-05-03,3.8,3.8,3.91,3.8,17280.0,-0.013000000000000001
1991-05-08,3.96,3.96,3.96,3.8,67680.0,0.0421
1991-05-09,3.96,3.96,3.96,3.8,9600.0,0.0
1991-05-10,4.01,4.01,4.01,3.91,15840.0,0.0126
1991-05-14,3.91,3.91,3.91,3.91,9120.0,-0.024900000000000002
1991-05-15,4.09,4.09,4.09,3.91,12480.0,0.046
1991-05-17,3.98,3.98,4.11,3.96,9120.0,-0.0269
1991-05-20,4.09,4.09,4.11,3.96,46080.0,0.0276
1991-05-23,4.04,4.04,4.04,3.91,7680.0,-0.012199999999999999
1991-05-30,3.91,3.91,3.91,3.91,2400.0,-0.0322
1991-06-03,4.17,4.17,4.17,3.96,31680.0,0.0665
1991-06-04,4.06,4.06,4.06,3.96,86400.0,-0.0264
1991-06-05,4.01,4.01,4.01,4.01,2400.0,-0.0123
1991-06-06,4.06,4.06,4.06,4.04,29760.0,0.0125
1991-06-07,4.22,4.22,4.22,4.06,24000.0,0.0394
1991-06-10,4.06,4.06,4.06,4.06,960.0,-0.0379
1991-06-17,4.01,4.01,4.01,4.01,1440.0,-0.0123
1991-06-18,3.98,3.98,3.98,3.96,2880.0,-0.0075
1991-06-20,4.09,4.09,4.09,3.91,14400.0,0.0276
1991-07-02,4.06,4.06,4.06,3.96,2880.0,-0.0073
1991-07-03,4.04,4.04,4.04,3.96,17760.0,-0.0049
1991-07-05,3.91,3.91,3.91,3.88,14400.0,-0.0322
1991-07-08,3.85,3.85,3.85,3.85,14400.0,-0.015300000000000001
1991-07-09,3.85,3.85,3.85,3.85,9600.0,0.0
1991-07-10,3.75,3.75,3.85,3.75,44640.0,-0.026000000000000002
1991-07-12,3.65,3.65,3.65,3.65,480.0,-0.026699999999999998
1991-07-16,3.65,3.65,3.65,3.65,960.0,0.0
1991-07-17,3.7,3.7,3.7,3.54,20160.0,0.0137
1991-07-18,3.57,3.57,3.57,3.54,14400.0,-0.0351
1991-07-19,3.54,3.54,3.65,3.54,5280.0,-0.0084
1991-07-22,3.54,3.54,3.54,3.54,4320.0,0.0
1991-07-23,3.54,3.54,3.54,3.33,14400.0,0.0
1991-07-24,3.46,3.46,3.46,3.33,19680.0,-0.0226
1991-07-25,3.54,3.54,3.54,3.39,28800.0,0.0231
1991-07-26,3.54,3.54,3.54,3.54,9600.0,0.0
1991-07-30,3.54,3.54,3.54,3.39,48960.0,0.0
1991-07-31,3.54,3.54,3.54,3.49,9600.0,0.0
1991-08-01,3.59,3.59,3.59,3.59,9600.0,0.0141
1991-08-02,3.59,3.59,3.59,3.59,33120.0,0.0
1991-08-07,3.7,3.7,3.7,3.7,7200.0,0.030600000000000002
1991-08-08,3.65,3.65,3.8,3.65,10080.0,-0.013500000000000002
1991-08-13,3.65,3.65,3.91,3.65,31680.0,0.0
1991-08-19,3.8,3.8,3.85,3.57,25440.0,0.041100000000000005
1991-08-20,3.75,3.75,3.75,3.59,33600.0,-0.0132
1991-08-21,3.65,3.65,3.75,3.65,19200.0,-0.026699999999999998
1991-08-22,3.65,3.65,3.65,3.65,2880.0,0.0
1991-08-23,3.8,3.8,3.8,3.8,960.0,0.041100000000000005
1991-08-26,3.67,3.67,3.83,3.54,80160.0,-0.0342
1991-08-28,3.59,3.59,3.59,3.59,1440.0,-0.0218
1991-09-04,3.75,3.75,3.8,3.59,41280.0,0.0446
1991-09-10,3.75,3.75,3.75,3.65,9600.0,0.0
1991-09-11,3.65,3.65,3.7,3.65,5760.0,-0.026699999999999998
1991-09-13,3.7,3.7,3.7,3.65,24960.0,0.0137
1991-09-16,3.78,3.78,3.78,3.65,6720.0,0.0216
1991-09-19,3.8,3.8,3.8,3.65,3840.0,0.0053
1991-09-24,3.65,3.65,3.8,3.65,2880.0,-0.0395
1991-09-25,3.75,3.75,3.75,3.75,480.0,0.0274
1991-09-26,3.8,3.8,3.8,3.67,8640.0,0.013300000000000001
1991-09-27,3.8,3.8,3.8,3.75,7680.0,0.0
1991-09-30,3.7,3.7,3.7,3.7,3360.0,-0.0263
1991-10-01,3.7,3.7,3.83,3.65,67200.0,0.0
1991-10-02,3.67,3.67,3.67,3.65,99840.0,-0.008100000000000001
1991-10-07,3.8,3.8,3.8,3.59,58560.0,0.0354
1991-10-08,3.54,3.54,3.7,3.54,16800.0,-0.0684
1991-10-10,3.62,3.62,3.62,3.59,21120.0,0.0226
1991-10-14,3.59,3.59,3.59,3.54,27360.0,-0.0083
1991-10-16,3.62,3.62,3.62,3.59,48000.0,0.0084
1991-10-18,3.75,3.75,3.75,3.59,4800.0,0.0359
1991-10-22,3.75,3.75,3.75,3.59,27840.0,0.0
1991-10-23,3.62,3.62,3.62,3.59,10560.0,-0.0347
1991-10-29,3.67,3.67,3.67,3.59,18720.0,0.0138
1991-10-30,3.75,3.75,3.75,3.75,480.0,0.0218
1991-11-01,3.65,3.65,3.72,3.65,9600.0,-0.026699999999999998
1991-11-04,3.59,3.59,3.59,3.59,4800.0,-0.016399999999999998
1991-11-06,3.59,3.59,3.59,3.59,1440.0,0.0
1991-11-07,3.75,3.75,3.75,3.75,1440.0,0.0446
1991-11-08,3.59,3.59,3.59,3.59,960.0,-0.042699999999999995
1991-11-12,3.62,3.59,3.62,3.59,29280.0,0.0084
1991-11-18,3.72,3.59,3.75,3.59,85920.0,0.0276
1991-11-25,3.65,3.49,3.65,3.44,63360.0,-0.018799999999999997
1991-11-26,3.65,3.65,3.65,3.65,5280.0,0.0
1991-11-27,3.65,3.49,3.65,3.49,20160.0,0.0
1991-12-05,3.44,3.44,3.44,3.44,2880.0,-0.0575
1991-12-06,3.54,3.44,3.54,3.44,16320.0,0.0291
1991-12-09,3.65,3.65,3.65,3.65,4320.0,0.0311
