Date,Close,Open,High,Low,Volume,Change
2014-09-22,31.0,30.31,32.5,30.25,6250.0,-0.3747
2014-09-23,31.35,31.41,32.0,31.1,40360.0,0.0113
2014-09-24,32.98,32.0,33.59,31.75,532370.0,0.052000000000000005
2014-09-25,31.75,32.5,33.7,31.47,692970.0,-0.0373
2014-09-26,31.12,32.0,34.35,31.12,628260.0,-0.019799999999999998
2014-09-29,30.75,32.0,32.0,30.75,1060000.0,-0.011899999999999999
2014-09-30,30.59,30.61,31.8,30.2,36990000.0,-0.0052
2014-10-01,31.0,30.13,31.35,30.13,9870000.0,0.0134
2014-10-02,30.3,30.57,31.3,30.0,9190000.0,-0.0226
2014-10-03,29.56,29.9,29.99,29.0,5040000.0,-0.024399999999999998
2014-10-06,29.42,29.05,29.71,29.0,5000000.0,-0.004699999999999999
2014-10-07,27.5,29.03,29.15,27.14,6920000.0,-0.0653
2014-10-08,27.82,26.82,28.12,26.5,9500000.0,0.0116
2014-10-09,26.53,27.23,27.36,26.15,7990000.0,-0.0464
2014-10-10,26.0,26.22,26.55,25.85,4870000.0,-0.02
2014-10-13,26.18,25.85,27.79,25.81,3640000.0,0.0069
2014-10-14,25.98,26.25,26.32,25.82,3680000.0,-0.0076
2014-10-15,25.51,25.59,25.99,25.05,4840000.0,-0.0181
2014-10-16,25.22,25.01,25.86,25.0,2890000.0,-0.011399999999999999
2014-10-17,26.67,25.2,26.95,25.2,2880000.0,0.0575
2014-10-20,27.2,26.27,27.26,26.08,2650000.0,0.0199
2014-10-21,28.03,27.3,28.1,26.85,3340000.0,0.0305
2014-10-22,28.12,28.19,28.37,27.55,1750000.0,0.0032
2014-10-23,29.09,27.75,29.9,26.44,5930000.0,0.0345
2014-10-24,29.37,28.99,29.62,28.93,1320000.0,0.0096
2014-10-27,29.79,29.0,30.1,28.55,3810000.0,0.0143
2014-10-28,33.02,31.5,33.34,31.0,8610000.0,0.1084
2014-10-29,32.36,32.99,33.1,32.05,3370000.0,-0.02
2014-10-30,32.65,32.12,32.93,31.83,1620000.0,0.009000000000000001
2014-10-31,33.6,32.81,33.88,32.43,2890000.0,0.0291
2014-11-03,33.61,33.4,33.73,33.26,2900000.0,0.0003
2014-11-04,33.62,33.29,33.69,33.23,1690000.0,0.0003
2014-11-05,34.62,33.9,34.67,33.52,3780000.0,0.0297
2014-11-06,36.1,34.85,36.45,34.64,3510000.0,0.042699999999999995
2014-11-07,36.59,36.1,36.77,35.75,1970000.0,0.013600000000000001
2014-11-10,36.81,36.44,36.94,36.15,1410000.0,0.006
2014-11-11,38.79,36.59,38.92,36.38,3680000.0,0.0538
2014-11-12,40.02,38.3,40.76,38.3,3900000.0,0.0317
2014-11-13,41.93,39.94,42.0,39.36,2230000.0,0.04769999999999999
2014-11-14,39.67,41.79,42.12,39.56,2089999.9999999998,-0.053899999999999997
2014-11-17,40.24,38.66,40.41,37.9,1430000.0,0.0144
2014-11-18,39.1,40.14,40.2,38.28,1120000.0,-0.028300000000000002
2014-11-19,38.4,39.02,39.14,38.0,727760.0,-0.0179
2014-11-20,38.14,37.99,38.45,37.82,1730000.0,-0.0068000000000000005
2014-11-21,38.45,38.42,38.7,37.98,2120000.0,0.008100000000000001
2014-11-24,38.47,38.2,38.54,37.87,1600000.0,0.0005
2014-11-25,38.24,38.45,38.56,38.1,1690000.0,-0.006
2014-11-26,37.97,37.96,38.78,37.83,745740.0,-0.0070999999999999995
2014-11-28,38.07,37.5,38.52,37.5,389380.0,0.0026
2014-12-01,39.44,37.82,39.62,37.63,1340000.0,0.036000000000000004
2014-12-02,40.47,41.58,41.58,38.6,1530000.0,0.026099999999999998
2014-12-03,40.56,40.25,41.16,40.1,1750000.0,0.0022
2014-12-04,40.89,40.35,41.01,40.07,886900.0,0.008100000000000001
2014-12-05,40.06,40.71,41.0,39.87,941630.0,-0.0203
2014-12-08,40.34,39.84,40.99,39.44,1340000.0,0.006999999999999999
2014-12-09,40.78,39.2,40.93,39.2,943840.0,0.0109
2014-12-10,39.9,40.43,41.35,39.72,1180000.0,-0.0216
2014-12-11,40.17,39.79,40.81,39.65,1770000.0,0.0068000000000000005
2014-12-12,40.01,39.06,40.44,39.05,980570.0,-0.004
2014-12-15,39.42,39.97,39.97,38.98,850140.0,-0.0147
2014-12-16,38.77,38.93,39.83,38.72,1330000.0,-0.0165
2014-12-17,40.35,39.31,40.47,39.0,943150.0,0.0408
2014-12-18,40.71,40.75,40.77,39.57,1060000.0,0.0089
2014-12-19,40.29,40.5,40.91,39.6,4070000.0000000005,-0.0103
2014-12-22,39.8,40.18,40.25,39.34,751750.0,-0.012199999999999999
2014-12-23,40.6,39.83,41.5,39.78,969870.0,0.020099999999999996
2014-12-24,41.25,40.73,41.34,40.72,203430.0,0.016
2014-12-26,41.29,41.38,43.16,41.21,2470000.0,0.001
2014-12-29,40.98,41.04,41.2,40.41,365790.0,-0.0075
2014-12-30,40.41,40.57,40.69,40.15,500280.0,-0.0139
2014-12-31,40.76,40.22,40.97,40.06,498940.0,0.0087
2015-01-02,40.47,40.79,41.3,39.36,914900.0,-0.0070999999999999995
2015-01-05,39.82,39.79,40.09,39.51,1050000.0,-0.0161
2015-01-06,39.71,39.77,40.06,38.83,1020000.0,-0.0028000000000000004
2015-01-07,39.81,39.99,40.03,38.95,792630.0,0.0025
2015-01-08,40.86,40.0,41.5,39.95,869380.0,0.0264
2015-01-09,41.29,40.75,41.64,40.44,850460.0,0.0105
2015-01-12,41.55,40.7,41.61,40.57,774620.0,0.0063
2015-01-13,42.28,41.36,43.25,41.36,1190000.0,0.0176
2015-01-14,41.94,41.36,42.71,41.0,790070.0,-0.008
2015-01-15,41.71,41.85,42.69,41.44,1250000.0,-0.0055000000000000005
2015-01-16,42.09,41.6,42.26,41.56,594970.0,0.0091
2015-01-20,43.54,41.94,43.64,41.65,723400.0,0.0345
2015-01-21,43.57,43.17,43.66,42.68,1040000.0,0.0007000000000000001
2015-01-22,44.95,43.87,45.57,43.72,1850000.0,0.0317
2015-01-23,44.98,44.98,45.87,44.85,1220000.0,0.0007000000000000001
2015-01-26,46.52,45.03,47.22,44.98,2810000.0,0.0342
2015-01-27,46.2,45.88,46.64,45.45,975480.0,-0.0069
2015-01-28,45.27,46.27,46.48,45.15,1820000.0,-0.020099999999999996
2015-01-29,45.65,45.25,45.72,45.11,1130000.0,0.0084
2015-01-30,45.16,44.34,45.57,43.57,7140000.0,-0.010700000000000001
2015-02-02,45.44,45.23,45.99,44.42,1090000.0,0.0062
2015-02-03,45.14,45.52,45.56,44.65,1610000.0,-0.0066
2015-02-04,44.99,44.6,45.52,44.14,1370000.0,-0.0033
2015-02-05,47.36,44.52,48.18,44.35,2200000.0,0.0527
2015-02-06,47.69,47.37,48.5,46.7,1320000.0,0.006999999999999999
2015-02-09,47.28,47.18,47.79,47.01,513950.00000000006,-0.0086
2015-02-10,47.06,47.28,47.55,46.4,639430.0,-0.004699999999999999
2015-02-11,46.19,46.88,47.4,46.04,666780.0,-0.018500000000000003
2015-02-12,46.08,46.33,46.9,46.0,618120.0,-0.0024
2015-02-13,47.0,46.08,47.11,45.84,786860.0,0.02
2015-02-17,47.12,46.81,47.17,46.26,886500.0,0.0026
2015-02-18,47.29,47.11,47.76,46.66,830240.0,0.0036
2015-02-19,47.61,46.78,47.98,46.76,523919.99999999994,0.0068000000000000005
2015-02-20,48.0,47.58,48.04,47.0,465310.0,0.008199999999999999
2015-02-23,47.24,48.03,48.03,46.8,427830.0,-0.0158
2015-02-24,47.36,46.26,47.44,46.1,612200.0,0.0025
2015-02-25,46.99,47.23,47.44,46.51,697760.0,-0.0078000000000000005
2015-02-26,46.53,46.8,47.66,46.48,578820.0,-0.0098
2015-02-27,46.83,46.26,47.36,46.21,3640000.0,0.0064
2015-03-02,47.01,46.77,47.14,46.34,561880.0,0.0038
2015-03-03,46.76,46.73,47.19,46.42,583430.0,-0.0053
2015-03-04,46.13,46.44,46.69,45.23,443980.0,-0.013500000000000002
2015-03-05,46.34,46.16,46.57,45.89,340030.0,0.0046
2015-03-06,46.07,46.12,46.56,45.5,493410.0,-0.0058
2015-03-09,46.84,45.86,46.88,45.49,898870.0,0.0167
2015-03-10,46.3,46.52,46.88,45.4,689310.0,-0.0115
2015-03-11,46.55,46.26,46.73,46.1,786530.0,0.0054
2015-03-12,46.8,46.56,47.77,46.46,1050000.0,0.0054
2015-03-13,46.81,46.85,47.2,46.34,402410.0,0.0002
2015-03-16,47.66,46.76,47.73,46.76,784530.0,0.0182
2015-03-17,47.82,47.62,48.44,47.2,771060.0,0.0034000000000000002
2015-03-18,48.73,47.65,49.0,47.36,564630.0,0.019
2015-03-19,48.5,48.39,48.76,48.33,536630.0,-0.004699999999999999
2015-03-20,48.33,48.58,49.8,48.21,1970000.0,-0.0034999999999999996
2015-03-23,48.25,48.33,48.67,48.12,553690.0,-0.0017000000000000001
2015-03-24,47.3,48.09,48.2,47.01,540690.0,-0.0197
2015-03-25,46.17,47.15,47.37,46.16,746820.0,-0.0239
2015-03-26,46.37,45.95,46.72,45.32,506280.0,0.0043
2015-03-27,46.5,46.24,46.61,45.98,490020.0,0.0028000000000000004
2015-03-30,47.1,46.72,47.26,46.69,421430.0,0.0129
2015-03-31,46.76,46.78,47.07,46.35,760110.0,-0.0072
2015-04-01,46.91,46.79,47.01,46.26,645500.0,0.0032
2015-04-02,45.7,46.94,46.94,45.56,893770.0,-0.0258
2015-04-06,45.94,45.32,45.97,44.69,1230000.0,0.0053
2015-04-07,45.97,45.99,46.24,45.76,663290.0,0.0007000000000000001
2015-04-08,45.9,45.84,46.03,45.54,773860.0,-0.0015
2015-04-09,46.63,45.95,46.79,45.61,1190000.0,0.0159
2015-04-10,47.7,46.73,47.79,46.63,980170.0,0.0229
2015-04-13,47.32,47.45,47.66,46.99,473480.0,-0.008
2015-04-14,47.29,47.21,47.53,46.93,722600.0,-0.0006
2015-04-15,47.32,47.37,47.45,47.02,711550.0,0.0006
2015-04-16,47.73,47.35,48.11,47.11,711630.0,0.0087
2015-04-17,47.08,47.51,47.55,46.74,2800000.0,-0.013600000000000001
2015-04-20,47.59,47.56,48.11,47.09,1340000.0,0.0108
2015-04-21,48.0,47.9,48.47,47.54,2980000.0,0.0086
