Date,Close,Open,High,Low,Volume,Change
1986-04-03,4.62,4.62,4.75,4.62,15300.0,-0.6851
1986-04-04,4.75,4.75,4.75,4.69,12000.0,0.0281
1986-04-07,4.75,4.75,4.88,4.75,11500.0,0.0
1986-04-08,4.75,4.75,4.81,4.69,21000.0,0.0
1986-04-09,4.69,4.69,4.81,4.62,22800.0,-0.0126
1986-04-10,4.62,4.62,4.69,4.62,6200.0,-0.0149
1986-04-11,4.62,4.62,4.69,4.56,37100.0,0.0
1986-04-14,4.56,4.56,4.62,4.5,28200.0,-0.013000000000000001
1986-04-15,4.62,4.62,4.69,4.56,14200.0,0.0132
1986-04-16,4.56,4.56,4.56,4.5,14300.0,-0.013000000000000001
1986-04-17,4.5,4.5,4.62,4.44,23400.0,-0.0132
1986-04-18,4.44,4.44,4.5,4.44,13800.0,-0.013300000000000001
1986-04-21,4.38,4.38,4.38,4.25,28200.0,-0.013500000000000002
1986-04-22,4.38,4.38,4.38,4.31,8800.0,0.0
1986-04-23,4.5,4.5,4.5,4.38,11800.0,0.0274
1986-04-24,4.56,4.56,4.56,4.5,4300.0,0.013300000000000001
1986-04-25,4.56,4.56,4.56,4.5,12400.0,0.0
1986-04-28,4.5,4.5,4.56,4.5,4200.0,-0.0132
1986-04-29,4.44,4.44,4.5,4.44,5600.0,-0.013300000000000001
1986-04-30,4.5,4.5,4.5,4.38,39400.0,0.013500000000000002
1986-05-01,4.56,4.56,4.56,4.5,32800.0,0.013300000000000001
1986-05-02,4.5,4.5,4.56,4.5,18700.0,-0.0132
1986-05-05,4.5,4.5,4.5,4.44,10100.0,0.0
1986-05-06,4.5,4.5,4.5,4.5,3200.0,0.0
1986-05-07,4.38,4.38,4.38,4.38,4700.0,-0.026699999999999998
1986-05-08,4.44,4.44,4.44,4.38,4700.0,0.0137
1986-05-09,4.44,4.44,4.44,4.44,900.0,0.0
1986-05-12,4.31,4.31,4.44,4.31,22700.0,-0.029300000000000003
1986-05-13,4.38,4.38,4.38,4.31,5400.0,0.016200000000000003
1986-05-14,4.38,4.38,4.38,4.38,1700.0,0.0
1986-05-15,4.31,4.31,4.38,4.31,10700.0,-0.016
1986-05-16,4.44,4.44,4.44,4.31,5600.0,0.0302
1986-05-19,4.38,4.38,4.44,4.38,2700.0,-0.013500000000000002
1986-05-20,4.44,4.44,4.44,4.38,5400.0,0.0137
1986-05-21,4.44,4.44,4.44,4.38,2200.0,0.0
1986-05-22,4.44,4.44,4.44,4.38,17300.0,0.0
1986-05-23,4.44,4.44,4.44,4.44,1300.0,0.0
1986-05-27,4.38,4.38,4.44,4.25,5600.0,-0.013500000000000002
1986-05-28,4.38,4.38,4.38,4.38,2100.0,0.0
1986-05-29,4.44,4.44,4.44,4.38,10500.0,0.0137
1986-05-30,4.38,4.38,4.44,4.38,11700.0,-0.013500000000000002
1986-06-02,4.38,4.38,4.44,4.38,8800.0,0.0
1986-06-03,4.31,4.31,4.44,4.31,9900.0,-0.016
1986-06-04,4.31,4.31,4.31,4.31,1100.0,0.0
1986-06-05,4.31,4.31,4.38,4.31,6000.0,0.0
1986-06-06,4.38,4.38,4.38,4.31,13900.0,0.016200000000000003
1986-06-09,4.38,4.38,4.38,4.31,17800.0,0.0
1986-06-10,4.44,4.44,4.5,4.44,36000.0,0.0137
1986-06-11,4.5,4.5,4.5,4.5,12100.0,0.013500000000000002
1986-06-12,4.62,4.62,4.62,4.56,8200.0,0.026699999999999998
1986-06-13,4.62,4.62,4.62,4.62,7200.0,0.0
1986-06-16,4.5,4.5,4.5,4.44,3000.0,-0.026000000000000002
1986-06-17,4.5,4.5,4.5,4.5,1000.0,0.0
1986-06-18,4.56,4.56,4.56,4.5,5100.0,0.013300000000000001
1986-06-19,4.44,4.44,4.44,4.44,31100.0,-0.0263
1986-06-20,4.5,4.5,4.5,4.5,4100.0,0.013500000000000002
1986-06-23,4.38,4.38,4.44,4.38,17500.0,-0.026699999999999998
1986-06-24,4.31,4.31,4.38,4.31,6100.0,-0.016
1986-06-25,4.31,4.31,4.31,4.31,6100.0,0.0
1986-06-26,4.31,4.31,4.38,4.31,3000.0,0.0
1986-06-27,4.25,4.25,4.25,4.12,32299.999999999996,-0.0139
1986-06-30,4.25,4.25,4.25,4.25,4400.0,0.0
1986-07-01,4.25,4.25,4.25,4.19,3100.0,0.0
1986-07-02,4.25,4.25,4.31,4.25,7500.0,0.0
1986-07-03,4.25,4.25,4.31,4.25,2300.0,0.0
1986-07-07,4.25,4.25,4.25,4.25,5100.0,0.0
1986-07-08,4.31,4.31,4.31,4.19,8500.0,0.0141
1986-07-09,4.31,4.31,4.31,4.25,8500.0,0.0
1986-07-10,4.25,4.25,4.31,4.25,6300.0,-0.0139
1986-07-11,4.25,4.25,4.31,4.25,2300.0,0.0
1986-07-14,4.25,4.25,4.31,4.25,2300.0,0.0
1986-07-15,4.25,4.25,4.25,4.19,12300.0,0.0
1986-07-16,4.25,4.25,4.25,4.19,3200.0,0.0
1986-07-17,4.25,4.25,4.25,4.19,1600.0,0.0
1986-07-18,4.25,4.25,4.31,4.12,51500.0,0.0
1986-07-21,4.25,4.25,4.25,4.25,4200.0,0.0
1986-07-22,4.19,4.19,4.25,4.19,21500.0,-0.0141
1986-07-23,4.12,4.12,4.12,4.12,4500.0,-0.0167
1986-07-24,4.06,4.06,4.19,4.06,6100.0,-0.0146
1986-07-25,4.12,4.12,4.12,4.06,13000.0,0.0148
1986-07-28,4.31,4.31,4.31,4.19,19600.0,0.0461
1986-07-29,4.25,4.25,4.25,4.19,11300.0,-0.0139
1986-07-30,4.25,4.25,4.25,4.25,12400.0,0.0
1986-07-31,4.38,4.38,4.38,4.31,72900.0,0.030600000000000002
1986-08-01,4.38,4.38,4.38,4.25,56400.0,0.0
1986-08-04,4.38,4.38,4.38,4.38,7000.0,0.0
1986-08-05,4.31,4.31,4.38,4.31,3800.0,-0.016
1986-08-06,4.31,4.31,4.31,4.25,14000.0,0.0
1986-08-07,4.31,4.31,4.31,4.25,14300.0,0.0
1986-08-08,4.75,4.75,4.81,4.31,110700.0,0.10210000000000001
1986-08-11,5.0,5.0,5.12,4.94,83100.0,0.0526
1986-08-12,4.75,4.75,4.94,4.69,24100.0,-0.05
1986-08-13,4.62,4.62,4.81,4.62,13100.0,-0.0274
1986-08-14,4.56,4.56,4.69,4.56,3300.0,-0.013000000000000001
1986-08-15,4.56,4.56,4.69,4.56,22700.0,0.0
1986-08-18,4.5,4.5,4.56,4.5,10200.0,-0.0132
1986-08-19,4.62,4.62,4.69,4.56,16700.0,0.026699999999999998
1986-08-20,4.81,4.81,4.81,4.62,41300.0,0.041100000000000005
1986-08-21,4.88,4.88,4.94,4.88,15200.0,0.0146
1986-08-22,4.62,4.62,4.94,4.62,24000.0,-0.0533
1986-08-25,4.56,4.56,4.69,4.56,8400.0,-0.013000000000000001
1986-08-26,4.62,4.62,4.62,4.62,8600.0,0.0132
1986-08-27,4.44,4.44,4.56,4.44,9200.0,-0.039
1986-08-28,4.56,4.56,4.62,4.56,12000.0,0.027000000000000003
1986-08-29,4.62,4.62,4.62,4.56,6100.0,0.0132
1986-09-02,4.94,4.94,4.94,4.62,43500.0,0.0693
