Date,Close,Open,High,Low,Volume,Change
1989-07-20,0.7,0.7,0.74,0.7,16920000.0,-0.9802
1989-07-21,0.67,0.67,0.7,0.67,4670000.0,-0.0429
1989-07-24,0.68,0.68,0.68,0.67,1850000.0,0.0149
1989-07-25,0.68,0.68,0.7,0.67,910400.0,0.0
1989-07-26,0.69,0.69,0.7,0.68,1180000.0,0.0147
1989-07-27,0.71,0.71,0.71,0.69,2210000.0,0.028999999999999998
1989-07-28,0.7,0.7,0.71,0.7,2540000.0,-0.0141
1989-07-31,0.7,0.7,0.71,0.7,966400.0,0.0
1989-08-01,0.69,0.69,0.7,0.69,1330000.0,-0.0143
1989-08-02,0.7,0.7,0.7,0.69,1790000.0,0.014499999999999999
1989-08-03,0.7,0.7,0.71,0.7,1220000.0,0.0
1989-08-04,0.7,0.7,0.71,0.7,969600.0,0.0
1989-08-07,0.7,0.7,0.7,0.7,104000.0,0.0
1989-08-08,0.71,0.71,0.72,0.7,5070000.0,0.0143
1989-08-09,0.71,0.71,0.72,0.71,716800.0,0.0
1989-08-10,0.71,0.71,0.72,0.71,745600.0,0.0
1989-08-11,0.71,0.71,0.72,0.71,977600.0,0.0
1989-08-14,0.71,0.71,0.72,0.71,249600.0,0.0
1989-08-15,0.7,0.7,0.72,0.7,553600.0,-0.0141
1989-08-16,0.69,0.69,0.72,0.69,752000.0,-0.0143
1989-08-17,0.7,0.7,0.7,0.69,204800.0,0.014499999999999999
1989-08-18,0.68,0.68,0.7,0.68,425600.0,-0.0286
1989-08-21,0.64,0.64,0.69,0.64,476800.0,-0.0588
1989-08-22,0.64,0.64,0.65,0.63,716800.0,0.0
1989-08-23,0.64,0.64,0.65,0.64,136000.0,0.0
1989-08-24,0.65,0.65,0.66,0.64,252800.0,0.015600000000000001
1989-08-25,0.65,0.65,0.66,0.64,427200.0,0.0
1989-08-28,0.66,0.66,0.66,0.65,17600.0,0.0154
1989-08-29,0.66,0.66,0.67,0.66,318400.0,0.0
1989-08-30,0.67,0.67,0.67,0.66,771200.0,0.0152
1989-08-31,0.68,0.68,0.68,0.67,464000.0,0.0149
1989-09-01,0.7,0.7,0.7,0.66,323200.0,0.0294
1989-09-05,0.73,0.73,0.73,0.69,796800.0,0.0429
1989-09-06,0.73,0.73,0.74,0.71,596800.0,0.0
1989-09-07,0.73,0.73,0.77,0.73,1450000.0,0.0
1989-09-08,0.73,0.73,0.74,0.73,160000.0,0.0
1989-09-11,0.72,0.72,0.73,0.72,70400.0,-0.0137
1989-09-12,0.71,0.71,0.71,0.7,78400.0,-0.0139
1989-09-13,0.7,0.7,0.72,0.7,252800.0,-0.0141
1989-09-14,0.7,0.7,0.72,0.7,384000.0,0.0
1989-09-15,0.72,0.72,0.72,0.7,116800.0,0.0286
1989-09-18,0.75,0.75,0.75,0.7,246400.0,0.0417
1989-09-19,0.74,0.74,0.74,0.72,836800.0,-0.013300000000000001
1989-09-20,0.73,0.73,0.75,0.73,131200.0,-0.013500000000000002
1989-09-21,0.73,0.73,0.73,0.73,100800.0,0.0
1989-09-22,0.75,0.75,0.75,0.73,8000.0,0.0274
1989-09-25,0.73,0.73,0.75,0.73,97600.0,-0.026699999999999998
1989-09-26,0.74,0.74,0.75,0.73,65600.0,0.0137
1989-09-27,0.74,0.74,0.74,0.73,984000.0,0.0
1989-09-28,0.75,0.75,0.75,0.73,1010000.0,0.013500000000000002
1989-09-29,0.76,0.76,0.76,0.73,182400.0,0.013300000000000001
1989-10-02,0.77,0.77,0.77,0.75,353600.0,0.0132
