Date,Close,Open,High,Low,Volume,Change
1980-03-17,0.17,0.17,0.19,0.17,113400.0,-0.9976999999999999
1980-03-18,0.17,0.17,0.19,0.17,81000.0,0.0
1980-03-21,0.17,0.17,0.19,0.17,32400.0,0.0
1980-03-24,0.17,0.17,0.19,0.17,48600.0,0.0
1980-03-26,0.17,0.17,0.19,0.17,405000.0,0.0
1980-03-27,0.17,0.17,0.19,0.17,16200.0,0.0
1980-03-28,0.17,0.17,0.19,0.17,518400.0,0.0
1980-04-02,0.17,0.17,0.19,0.17,32400.0,0.0
1980-04-03,0.17,0.17,0.19,0.17,194400.0,0.0
1980-04-10,0.17,0.17,0.19,0.17,16200.0,0.0
1980-04-11,0.17,0.17,0.19,0.17,113400.0,0.0
1980-04-15,0.17,0.17,0.19,0.17,226800.0,0.0
1980-04-16,0.17,0.17,0.19,0.17,16200.0,0.0
1980-04-17,0.17,0.17,0.19,0.17,16200.0,0.0
1980-04-18,0.17,0.17,0.19,0.17,48600.0,0.0
1980-04-21,0.17,0.17,0.19,0.17,1000000.0,0.0
1980-04-22,0.17,0.17,0.19,0.17,32400.0,0.0
1980-04-23,0.17,0.17,0.19,0.17,48600.0,0.0
1980-04-24,0.17,0.17,0.19,0.17,113400.0,0.0
1980-04-28,0.17,0.17,0.19,0.17,162000.0,0.0
1980-04-29,0.17,0.17,0.19,0.17,129600.0,0.0
1980-05-01,0.17,0.17,0.19,0.17,16200.0,0.0
1980-05-02,0.18,0.18,0.2,0.18,275400.0,0.0588
1980-05-05,0.18,0.18,0.2,0.18,97200.0,0.0
1980-05-06,0.18,0.18,0.2,0.18,48600.0,0.0
1980-05-07,0.18,0.18,0.2,0.18,534600.0,0.0
1980-05-08,0.18,0.18,0.2,0.18,1260000.0,0.0
1980-05-12,0.19,0.19,0.2,0.19,210600.0,0.0556
1980-05-15,0.19,0.19,0.2,0.19,324000.0,0.0
1980-05-16,0.19,0.19,0.21,0.19,32400.0,0.0
1980-05-19,0.2,0.2,0.22,0.2,178200.0,0.0526
1980-05-20,0.21,0.21,0.23,0.21,16200.0,0.05
1980-05-21,0.2,0.2,0.22,0.2,113400.0,-0.047599999999999996
1980-05-22,0.2,0.2,0.22,0.2,113400.0,0.0
1980-05-23,0.2,0.2,0.22,0.2,32400.0,0.0
1980-05-27,0.21,0.21,0.23,0.21,372600.0,0.05
1980-05-29,0.21,0.21,0.23,0.21,97200.0,0.0
1980-05-30,0.21,0.21,0.23,0.21,324000.0,0.0
1980-06-02,0.21,0.21,0.23,0.21,243000.0,0.0
1980-06-03,0.2,0.2,0.22,0.2,324000.0,-0.047599999999999996
1980-06-04,0.2,0.2,0.22,0.2,48600.0,0.0
1980-06-06,0.2,0.2,0.22,0.2,64800.0,0.0
1980-06-10,0.2,0.2,0.22,0.2,178200.0,0.0
1980-06-11,0.2,0.2,0.22,0.2,97200.0,0.0
1980-06-19,0.19,0.19,0.21,0.19,48600.0,-0.05
1980-06-20,0.19,0.19,0.21,0.19,16200.0,0.0
1980-06-25,0.19,0.19,0.21,0.19,48600.0,0.0
1980-06-27,0.19,0.19,0.21,0.19,648000.0,0.0
1980-07-01,0.19,0.19,0.21,0.19,48600.0,0.0
