Date,Close,Open,High,Low,Volume,Change
1996-06-28,4.0,3.21,4.06,3.17,32799999.999999996,-0.9487000000000001
1996-07-01,4.08,3.92,4.08,3.42,6320000.0,0.02
1996-07-02,3.63,4.08,4.08,3.63,4500000.0,-0.1103
1996-07-03,3.38,3.58,3.63,3.25,3990000.0,-0.0689
1996-07-05,3.23,3.31,3.38,3.08,1310000.0,-0.0444
1996-07-08,3.15,3.21,3.25,3.13,1790000.0,-0.0248
1996-07-09,2.98,3.21,3.23,2.94,1640000.0,-0.054000000000000006
1996-07-10,2.85,2.94,2.96,2.81,1660000.0,-0.0436
1996-07-11,2.67,2.81,2.85,2.67,1020000.0,-0.0632
1996-07-12,2.9,2.75,2.9,2.67,1080000.0,0.0861
1996-07-15,2.54,2.9,2.9,2.5,1160000.0,-0.1241
1996-07-16,2.52,2.5,2.54,2.21,1830000.0,-0.0079
1996-07-17,2.75,2.63,2.92,2.63,1270000.0,0.0913
1996-07-18,3.13,2.79,3.33,2.75,1330000.0,0.1382
1996-07-19,3.04,3.17,3.17,2.98,409800.0,-0.0288
1996-07-22,2.92,3.04,3.04,2.88,255000.0,-0.0395
1996-07-23,2.42,2.96,3.0,2.38,2220000.0,-0.17120000000000002
1996-07-24,2.48,2.38,2.56,2.27,1270000.0,0.0248
1996-07-25,2.63,2.54,2.63,2.52,738000.0,0.0605
1996-07-26,2.75,2.67,2.75,2.58,391800.0,0.045599999999999995
1996-07-29,2.58,2.71,2.77,2.54,216600.0,-0.061799999999999994
1996-07-30,2.58,2.6,2.65,2.54,292800.0,0.0
1996-07-31,2.67,2.58,2.67,2.54,154200.0,0.0349
1996-08-01,3.04,2.67,3.04,2.6,804000.0,0.1386
1996-08-02,3.73,3.21,3.79,3.21,3110000.0,0.22699999999999998
1996-08-05,3.96,3.83,4.04,3.81,1890000.0,0.0617
1996-08-06,3.67,3.92,3.96,3.63,867000.0,-0.0732
1996-08-07,3.67,3.63,3.75,3.63,555600.0,0.0
1996-08-08,3.85,3.71,3.96,3.71,662400.0,0.049
1996-08-09,4.31,3.92,4.52,3.85,2150000.0,0.1195
1996-08-12,4.69,4.42,4.69,4.4,1680000.0,0.0882
1996-08-13,4.44,4.65,4.67,4.35,558000.0,-0.0533
1996-08-14,4.42,4.38,4.63,4.38,448200.0,-0.0045000000000000005
1996-08-15,4.1,4.42,4.46,4.08,684600.0,-0.0724
1996-08-16,4.17,4.17,4.17,4.1,271800.0,0.0171
1996-08-19,3.94,4.13,4.17,3.94,208200.0,-0.0552
1996-08-20,3.92,3.94,3.98,3.79,262800.0,-0.0051
