Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.786116600036621,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.723710060119629,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.682100534439087,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.723710060119629,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.806918144226074,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.723710060119629,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.806918144226074,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.609292984008789,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.723710060119629,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.765314817428589,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.6612982749938965,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.6612982749938965,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.81732177734375,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.848524570465088,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.9317357540130615,324400
1997-11-06,5.875,6.25,5.875,6.25,4.160567760467529,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,4.2853851318359375,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,4.098158836364746,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.9941446781158447,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.786116600036621,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.6612982749938965,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.6196916103363037,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.8693289756774902,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.806918144226074,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.7029049396514893,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.7029049396514893,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.682100534439087,640800
1997-11-24,5.5,5.59375,5.5,5.53125,3.682100534439087,64400
1997-11-25,5.5625,5.625,5.5,5.515625,3.671701669692993,326800
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.4974780082702637,463200
1997-11-28,5.28125,5.3125,5.25,5.25,3.4948768615722656,212800
1997-12-01,5.25,5.375,5.25,5.265625,3.5052781105041504,475200
1997-12-02,5.375,5.5,5.28125,5.34375,3.557284355163574,1280800
1997-12-03,5.4375,5.5,5.34375,5.5,3.6612982749938965,934400
1997-12-04,5.5,5.625,5.40625,5.546875,3.6925036907196045,681600
1997-12-05,5.5,5.75,5.4375,5.6875,3.786116600036621,282800
1997-12-08,5.6875,5.75,5.65625,5.71875,3.806918144226074,227600
1997-12-09,5.75,5.8125,5.59375,5.59375,3.723710060119629,124000
1997-12-10,5.625,5.625,5.3125,5.375,3.587709426879883,269600
1997-12-11,5.25,5.375,5.15625,5.3125,3.5459907054901123,400800
1997-12-12,5.375,5.375,5.15625,5.15625,3.441697120666504,412400
1997-12-15,5.25,5.375,5.171875,5.21875,3.4834158420562744,289200
1997-12-16,5.125,5.3125,5.125,5.21875,3.4834158420562744,190800
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.3582611083984375,584800
1997-12-18,5.09375,5.09375,4.96875,5.0,3.3374037742614746,272400
1997-12-19,5.03125,5.03125,4.9375,4.9375,3.2956864833831787,921600
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.379121780395508,924000
1997-12-23,5.1875,5.1875,4.9375,5.0,3.3374037742614746,2331200
1997-12-24,5.03125,5.03125,4.9375,4.9375,3.2956864833831787,50400
1997-12-26,5.0,5.0625,4.96875,5.0625,3.379121780395508,1248400
1997-12-29,5.0625,5.28125,5.0,5.28125,3.525132656097412,430800
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.525132656097412,662800
1997-12-31,5.40625,5.6875,5.25,5.59375,3.7337217330932617,911600
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.858873128890991,112400
1998-01-05,6.03125,6.09375,5.625,5.625,3.754580020904541,629600
1998-01-06,5.59375,5.59375,5.25,5.421875,3.618997097015381,915200
1998-01-07,5.421875,5.75,5.421875,5.5625,3.7128615379333496,164800
1998-01-08,5.5,5.78125,5.5,5.75,3.8380136489868164,236000
1998-01-09,5.65625,5.75,5.5,5.5,3.671142578125,140400
1998-01-12,5.375,5.53125,5.34375,5.34375,3.5668487548828125,927200
1998-01-13,5.5,5.5,5.3125,5.4375,3.6294243335723877,100400
1998-01-14,5.4375,5.5625,5.34375,5.359375,3.5772781372070312,585600
1998-01-15,5.4375,5.4375,5.34375,5.375,3.587709426879883,417200
1998-01-16,5.4375,5.59375,5.34375,5.5625,3.7128615379333496,69200
1998-01-20,5.5,5.78125,5.5,5.78125,3.858873128890991,348800
1998-01-21,5.75,5.78125,5.71875,5.75,3.8380136489868164,141600
1998-01-22,5.71875,5.75,5.65625,5.65625,3.775439739227295,92400
1998-01-23,5.65625,5.875,5.65625,5.8125,3.8797316551208496,211200
1998-01-26,5.875,5.875,5.625,5.71875,3.817154884338379,497200
1998-01-27,5.75,5.75,5.625,5.625,3.754580020904541,96400
1998-01-28,5.625,5.6875,5.625,5.65625,3.775439739227295,154800
1998-01-29,5.65625,5.8125,5.65625,5.71875,3.817154884338379,108400
1998-01-30,5.796875,5.796875,5.65625,5.71875,3.817154884338379,130400
1998-02-02,5.78125,6.15625,5.78125,6.0,4.004883766174316,580800
1998-02-03,5.9375,6.125,5.9375,6.0,4.004883766174316,159200
1998-02-04,6.0,6.09375,5.90625,5.90625,3.942307472229004,557600
1998-02-05,5.875,5.96875,5.875,5.875,3.9214484691619873,73200
1998-02-06,5.96875,6.09375,5.875,5.9375,3.9631667137145996,246800
1998-02-09,5.90625,6.1875,5.90625,6.0625,4.04660177230835,724800
1998-02-10,6.0625,6.3125,6.0625,6.25,4.171754360198975,401600
1998-02-11,6.15625,6.25,5.53125,5.75,3.8380136489868164,2063200
1998-02-12,5.8125,5.90625,5.75,5.90625,3.942307472229004,464400
1998-02-13,5.96875,5.96875,5.8125,5.9375,3.9631667137145996,163200
1998-02-17,6.03125,6.03125,5.875,5.90625,3.942307472229004,697200
1998-02-18,6.0,6.0,5.90625,5.90625,3.942307472229004,2071200
1998-02-19,6.0,6.0,5.84375,5.84375,3.900590419769287,184800
1998-02-20,5.84375,5.90625,5.78125,5.78125,3.858873128890991,89200
1998-02-23,5.78125,5.84375,5.71875,5.71875,3.817154884338379,621600
1998-02-24,5.71875,5.828125,5.5,5.5,3.671142578125,417600
1998-02-25,5.5,5.625,5.46875,5.59375,3.7337217330932617,201200
1998-02-26,5.5625,5.5625,5.46875,5.46875,3.6502838134765625,149200
1998-02-27,5.53125,5.6875,5.46875,5.6875,3.7962968349456787,278000
1998-03-02,5.601562976837158,5.6875,5.40625,5.40625,3.608567237854004,360400
1998-03-03,5.5,5.5,5.34375,5.375,3.587709426879883,414000
1998-03-04,5.5,5.5,5.375,5.40625,3.608567237854004,489600
