Date,Close,Open,High,Low,Volume,Change
1986-05-15,58.5,58.5,60.0,58.5,22530.0,2.7332
1986-05-16,49.5,49.5,51.0,49.5,11670.0,-0.15380000000000002
1986-05-19,48.0,48.0,51.0,48.0,7880.0,-0.030299999999999997
1986-05-20,54.0,54.0,55.5,54.0,8940.0,0.125
1986-05-21,52.5,52.5,54.0,52.5,9180.0,-0.0278
1986-05-22,54.0,54.0,57.0,54.0,6030.0,0.0286
1986-05-23,52.5,52.5,55.5,52.5,4230.0,-0.0278
1986-05-27,54.0,54.0,57.0,54.0,770.0,0.0286
1986-05-28,57.0,57.0,60.0,57.0,5390.0,0.0556
1986-05-29,55.5,55.5,57.0,55.5,3230.0,-0.0263
1986-05-30,54.0,54.0,55.5,54.0,1500.0,-0.027000000000000003
1986-06-02,52.5,52.5,54.0,52.5,970.0,-0.0278
1986-06-03,49.5,49.5,52.5,49.5,860.0,-0.0571
1986-06-04,51.0,51.0,54.0,51.0,2710.0,0.030299999999999997
1986-06-05,57.0,57.0,58.5,57.0,10460.0,0.1176
1986-06-06,61.5,61.5,63.0,61.5,9960.0,0.0789
1986-06-09,57.0,57.0,58.5,57.0,5850.0,-0.0732
1986-06-10,57.0,57.0,60.0,57.0,1120.0,0.0
1986-06-11,58.5,58.5,60.0,58.5,4120.0,0.0263
1986-06-12,57.0,57.0,58.5,57.0,1380.0,-0.0256
1986-06-13,57.0,57.0,58.5,57.0,1730.0,0.0
1986-06-16,57.0,57.0,60.0,57.0,1530.0,0.0
1986-06-17,52.5,52.5,55.5,52.5,2330.0,-0.0789
1986-06-18,52.5,52.5,55.5,52.5,430.0,0.0
1986-06-19,54.0,54.0,55.5,54.0,710.0,0.0286
1986-06-20,54.0,54.0,57.0,54.0,1830.0,0.0
1986-06-23,54.0,54.0,57.0,54.0,980.0,0.0
1986-06-24,52.5,52.5,54.0,52.5,2080.0,-0.0278
1986-06-25,52.5,52.5,54.0,52.5,1280.0,0.0
1986-06-26,52.5,52.5,54.0,52.5,1530.0,0.0
1986-06-27,49.5,49.5,52.5,49.5,2500.0,-0.0571
1986-06-30,49.5,49.5,52.5,49.5,3220.0,0.0
1986-07-01,49.5,49.5,52.5,49.5,1800.0,0.0
1986-07-02,51.0,51.0,52.5,51.0,6430.0,0.030299999999999997
1986-07-03,55.5,55.5,58.5,55.5,4260.0,0.0882
1986-07-07,54.0,54.0,55.5,54.0,2360.0,-0.027000000000000003
1986-07-08,52.5,52.5,55.5,52.5,1470.0,-0.0278
1986-07-09,54.0,54.0,57.0,54.0,2980.0,0.0286
1986-07-10,54.0,54.0,57.0,54.0,740.0,0.0
1986-07-11,52.5,52.5,55.5,52.5,2640.0,-0.0278
1986-07-14,51.0,51.0,52.5,51.0,860.0,-0.0286
1986-07-15,49.5,49.5,52.5,49.5,720.0,-0.0294
1986-07-16,51.0,51.0,54.0,51.0,2440.0,0.030299999999999997
1986-07-17,51.0,51.0,54.0,51.0,1220.0,0.0
1986-07-18,49.5,49.5,52.5,49.5,860.0,-0.0294
1986-07-21,49.5,49.5,52.5,49.5,1180.0,0.0
1986-07-22,49.5,49.5,51.0,49.5,410.0,0.0
1986-07-23,49.5,49.5,51.0,49.5,3180.0,0.0
1986-07-24,52.5,52.5,54.0,52.5,2020.0,0.060599999999999994
1986-07-25,51.0,51.0,52.5,51.0,930.0,-0.0286
1986-07-28,46.5,46.5,49.5,46.5,1930.0,-0.0882
1986-07-29,49.5,49.5,51.0,49.5,2810.0,0.0645
1986-07-30,48.0,48.0,51.0,48.0,1090.0,-0.030299999999999997
1986-07-31,49.5,49.5,51.0,49.5,2130.0,0.0313
1986-08-01,48.0,48.0,51.0,48.0,1530.0,-0.030299999999999997
1986-08-04,48.0,48.0,49.5,48.0,1880.0,0.0
1986-08-05,48.0,48.0,49.5,48.0,750.0,0.0
1986-08-06,46.5,46.5,49.5,46.5,940.0,-0.0313
1986-08-07,48.0,48.0,49.5,48.0,640.0,0.0323
1986-08-08,46.5,46.5,48.0,46.5,2930.0,-0.0313
1986-08-11,45.0,45.0,48.0,45.0,2000.0,-0.0323
1986-08-12,45.0,45.0,48.0,45.0,370.0,0.0
1986-08-13,45.0,45.0,46.5,45.0,1020.0,0.0
1986-08-14,42.0,42.0,45.0,42.0,1130.0,-0.0667
1986-08-15,40.5,40.5,42.0,40.5,4450.0,-0.035699999999999996
1986-08-18,40.5,40.5,43.5,40.5,2230.0,0.0
1986-08-19,42.0,42.0,43.5,42.0,2100.0,0.037000000000000005
1986-08-20,42.0,42.0,43.5,42.0,110.0,0.0
1986-08-21,40.5,40.5,43.5,40.5,1160.0,-0.035699999999999996
1986-08-22,42.0,42.0,43.5,42.0,880.0,0.037000000000000005
1986-08-25,40.5,40.5,42.0,40.5,310.0,-0.035699999999999996
1986-08-26,39.0,39.0,42.0,39.0,3840.0,-0.037000000000000005
1986-08-27,40.5,40.5,42.0,40.5,2480.0,0.0385
1986-08-28,40.5,40.5,42.0,40.5,1380.0,0.0
1986-08-29,39.0,39.0,42.0,39.0,580.0,-0.037000000000000005
1986-09-02,40.5,40.5,43.5,40.5,2090.0,0.0385
1986-09-03,39.0,39.0,40.5,39.0,4110.0,-0.037000000000000005
1986-09-04,37.5,37.5,40.5,37.5,1710.0,-0.0385
1986-09-05,37.5,37.5,39.0,37.5,2250.0,0.0
