Date,Close,Open,High,Low,Volume,Change
1989-01-04,122.0,122.0,122.0,120.0,590.0,0.0339
1989-01-05,120.0,120.0,120.0,120.0,2130.0,-0.016399999999999998
1989-01-06,120.0,120.0,120.0,120.0,770.0,0.0
1989-01-09,124.0,124.0,124.0,120.0,2180.0,0.0333
1989-01-10,122.0,122.0,122.0,122.0,170.0,-0.0161
1989-01-11,124.0,124.0,124.0,122.0,2620.0,0.016399999999999998
1989-01-12,122.0,122.0,122.0,120.0,3120.0,-0.0161
1989-01-13,122.0,122.0,122.0,120.0,410.0,0.0
1989-01-16,120.0,120.0,122.0,120.0,1590.0,-0.016399999999999998
1989-01-17,122.0,122.0,122.0,120.0,500.0,0.0167
1989-01-18,120.0,120.0,122.0,120.0,250.0,-0.016399999999999998
1989-01-19,122.0,122.0,122.0,120.0,740.0,0.0167
1989-01-20,124.0,124.0,124.0,122.0,1030.0,0.016399999999999998
1989-01-23,120.0,120.0,120.0,120.0,200.0,-0.0323
1989-01-24,120.0,120.0,120.0,120.0,750.0,0.0
1989-01-25,122.0,122.0,122.0,120.0,330.0,0.0167
1989-01-26,122.0,122.0,122.0,120.0,680.0,0.0
1989-01-27,124.0,124.0,124.0,122.0,2090.0,0.016399999999999998
1989-01-30,122.0,122.0,122.0,122.0,310.0,-0.0161
1989-01-31,120.0,120.0,122.0,120.0,2950.0,-0.016399999999999998
1989-02-01,120.0,120.0,122.0,120.0,3390.0,0.0
1989-02-02,120.0,120.0,120.0,118.0,380.0,0.0
1989-02-03,120.0,120.0,120.0,120.0,230.0,0.0
1989-02-06,122.0,122.0,122.0,120.0,190.0,0.0167
1989-02-07,120.0,120.0,122.0,120.0,510.0,-0.016399999999999998
1989-02-08,124.0,124.0,124.0,122.0,510.0,0.0333
1989-02-09,124.0,124.0,126.0,124.0,540.0,0.0
1989-02-10,124.0,124.0,126.0,124.0,630.0,0.0
1989-02-13,122.0,122.0,124.0,122.0,170.0,-0.0161
1989-02-14,122.0,122.0,122.0,122.0,570.0,0.0
1989-02-15,122.0,122.0,124.0,122.0,930.0,0.0
1989-02-16,122.0,122.0,122.0,122.0,490.0,0.0
1989-02-17,124.0,124.0,124.0,122.0,350.0,0.016399999999999998
1989-02-21,122.0,122.0,124.0,122.0,420.0,-0.0161
1989-02-22,122.0,122.0,122.0,122.0,310.0,0.0
1989-02-23,122.0,122.0,122.0,122.0,760.0,0.0
1989-02-24,122.0,122.0,122.0,122.0,260.0,0.0
1989-02-27,122.0,122.0,122.0,122.0,140.0,0.0
1989-02-28,124.0,124.0,124.0,122.0,160.0,0.016399999999999998
1989-03-01,122.0,122.0,122.0,122.0,380.0,-0.0161
1989-03-02,120.0,120.0,122.0,120.0,780.0,-0.016399999999999998
1989-03-03,120.0,120.0,120.0,120.0,190.0,0.0
1989-03-06,122.0,122.0,122.0,120.0,320.0,0.0167
1989-03-07,120.0,120.0,120.0,120.0,290.0,-0.016399999999999998
1989-03-08,120.0,120.0,120.0,120.0,430.0,0.0
1989-03-09,120.0,120.0,122.0,120.0,240.0,0.0
1989-03-10,122.0,122.0,124.0,120.0,980.0,0.0167
1989-03-13,122.0,122.0,124.0,122.0,60.0,0.0
1989-03-14,120.0,120.0,122.0,120.0,180.0,-0.016399999999999998
1989-03-15,118.0,118.0,122.0,118.0,840.0,-0.0167
1989-03-16,118.0,118.0,118.0,118.0,280.0,0.0
1989-03-17,118.0,118.0,118.0,116.0,900.0,0.0
1989-03-20,114.0,114.0,118.0,114.0,540.0,-0.0339
1989-03-21,116.0,116.0,116.0,114.0,40.0,0.0175
1989-03-22,116.0,116.0,118.0,114.0,320.0,0.0
1989-03-23,116.0,116.0,116.0,116.0,680.0,0.0
1989-03-27,116.0,116.0,116.0,114.0,960.0,0.0
1989-03-28,116.0,116.0,116.0,116.0,330.0,0.0
1989-03-29,118.0,118.0,118.0,114.0,560.0,0.0172
1989-03-30,116.0,116.0,116.0,116.0,190.0,-0.0169
1989-03-31,116.0,116.0,116.0,116.0,70.0,0.0
1989-04-03,118.0,118.0,118.0,116.0,40.0,0.0172
1989-04-04,116.0,116.0,118.0,116.0,430.0,-0.0169
1989-04-05,118.0,118.0,118.0,116.0,240.0,0.0172
1989-04-06,120.0,120.0,120.0,118.0,360.0,0.0169
1989-04-07,118.0,118.0,118.0,118.0,160.0,-0.0167
1989-04-10,118.0,118.0,120.0,118.0,260.0,0.0
1989-04-11,120.0,120.0,120.0,120.0,200.0,0.0169
1989-04-12,118.0,118.0,118.0,118.0,660.0,-0.0167
1989-04-13,116.0,116.0,118.0,116.0,390.0,-0.0169
1989-04-14,118.0,118.0,118.0,116.0,440.0,0.0172
1989-04-17,118.0,118.0,118.0,118.0,1920.0,0.0
1989-04-18,120.0,120.0,120.0,118.0,1690.0,0.0169
1989-04-19,120.0,120.0,122.0,120.0,810.0,0.0
1989-04-20,120.0,120.0,122.0,120.0,1880.0,0.0
1989-04-21,122.0,122.0,122.0,120.0,470.0,0.0167
1989-04-24,122.0,122.0,122.0,122.0,1380.0,0.0
1989-04-25,120.0,120.0,122.0,120.0,500.0,-0.016399999999999998
1989-04-26,122.0,122.0,122.0,122.0,160.0,0.0167
1989-04-27,124.0,124.0,124.0,122.0,380.0,0.016399999999999998
1989-04-28,124.0,124.0,124.0,120.0,880.0,0.0
1989-05-01,122.0,122.0,122.0,120.0,510.0,-0.0161
1989-05-02,122.0,122.0,122.0,120.0,1610.0,0.0
1989-05-03,120.0,120.0,122.0,120.0,1290.0,-0.016399999999999998
1989-05-04,120.0,120.0,122.0,120.0,780.0,0.0
1989-05-05,120.0,120.0,122.0,120.0,1110.0,0.0
