Date,Close,Open,High,Low,Volume,Change
2006-01-26,44.0,45.0,48.28,39.51,13220000.0,-0.9469
2006-01-27,42.2,44.88,44.9,41.75,1150000.0,-0.0409
2006-01-30,44.8,42.2,45.51,41.25,736200.0,0.0616
2006-01-31,47.52,45.5,49.3,45.38,1110000.0,0.060700000000000004
2006-02-01,46.56,48.9,49.24,45.25,606700.0,-0.0202
2006-02-02,44.75,47.9,47.91,44.26,403800.0,-0.038900000000000004
2006-02-03,46.55,44.85,46.56,44.25,245300.0,0.04019999999999999
2006-02-06,47.71,47.48,48.0,46.0,350100.0,0.024900000000000002
2006-02-07,46.28,47.71,47.75,45.25,267200.0,-0.03
2006-02-08,45.74,45.85,46.6,45.04,174400.0,-0.011699999999999999
2006-02-09,44.05,45.78,46.0,43.08,220300.0,-0.0369
2006-02-10,42.31,43.25,43.26,41.5,375500.0,-0.0395
2006-02-13,41.48,41.75,42.55,41.0,199100.0,-0.0196
2006-02-14,43.0,41.45,43.26,41.19,197900.0,0.0366
2006-02-15,42.7,43.1,43.3,42.22,98100.0,-0.006999999999999999
2006-02-16,44.45,43.75,44.7,42.53,293000.0,0.040999999999999995
2006-02-17,43.85,44.25,45.0,43.85,138000.0,-0.013500000000000002
2006-02-21,43.1,44.0,44.06,42.81,68100.0,-0.0171
2006-02-22,43.87,43.0,44.15,42.85,95900.0,0.0179
2006-02-23,45.8,45.1,45.99,44.75,249300.0,0.044000000000000004
2006-02-24,46.67,45.9,46.75,45.8,138300.0,0.019
2006-02-27,46.53,46.95,46.95,46.18,100800.0,-0.003
2006-02-28,45.6,46.53,46.53,45.6,87500.0,-0.02
2006-03-01,45.5,45.64,46.2,44.6,190100.0,-0.0022
2006-03-02,45.75,45.5,46.31,45.07,229000.0,0.0055000000000000005
2006-03-03,45.48,45.75,46.29,45.13,89100.0,-0.0059
2006-03-06,45.79,45.6,46.1,45.03,168900.0,0.0068000000000000005
2006-03-07,45.0,44.5,45.25,44.25,328300.0,-0.0173
2006-03-08,42.5,44.85,44.85,42.2,306600.0,-0.0556
2006-03-09,41.46,42.75,42.9,41.25,161500.0,-0.0245
2006-03-10,42.11,41.4,42.88,40.89,313900.0,0.015700000000000002
2006-03-13,43.41,42.36,43.75,42.36,194200.0,0.030899999999999997
2006-03-14,48.7,46.29,49.15,45.95,1260000.0,0.1219
2006-03-15,52.01,48.0,52.75,47.85,1140000.0,0.068
2006-03-16,55.05,52.0,56.75,51.89,1700000.0,0.058499999999999996
2006-03-17,53.86,55.5,55.5,53.42,396200.0,-0.0216
2006-03-20,50.09,53.86,53.86,50.05,863500.0,-0.07
2006-03-21,52.0,50.26,52.35,50.2,360600.0,0.0381
2006-03-22,54.8,52.95,54.85,52.95,579800.0,0.0538
2006-03-23,53.88,55.0,55.1,53.0,505600.0,-0.0168
2006-03-24,54.51,54.0,54.85,53.61,277000.0,0.011699999999999999
2006-03-27,54.09,54.25,54.45,53.3,220900.0,-0.0077
2006-03-28,53.2,54.1,54.1,52.95,175700.0,-0.0165
2006-03-29,53.93,53.45,54.45,53.0,148000.0,0.0137
2006-03-30,55.41,54.03,55.5,53.85,209400.0,0.0274
2006-03-31,55.39,55.2,56.5,54.6,770400.0,-0.0004
2006-04-03,56.98,55.56,57.49,55.2,370100.0,0.0287
2006-04-04,57.0,57.15,57.47,56.4,167400.0,0.0004
2006-04-05,57.15,57.0,57.2,56.03,99300.0,0.0026
2006-04-06,55.5,57.6,58.0,55.48,301700.0,-0.028900000000000002
2006-04-07,54.65,55.45,55.5,54.4,221100.0,-0.015300000000000001
2006-04-10,53.73,54.4,55.6,53.45,338100.0,-0.0168
2006-04-11,54.6,53.74,55.0,53.12,359500.0,0.016200000000000003
2006-04-12,54.05,54.5,55.19,53.82,212800.0,-0.0101
2006-04-13,53.02,54.01,54.02,52.71,148100.0,-0.0191
2006-04-17,54.07,52.8,54.26,52.75,99700.0,0.019799999999999998
2006-04-18,53.92,53.95,54.29,53.75,104300.0,-0.0028000000000000004
2006-04-19,54.0,54.0,54.4,53.8,150500.0,0.0015
2006-04-20,53.16,54.0,54.0,53.0,99400.0,-0.015600000000000001
2006-04-21,53.4,53.75,53.9,53.0,119100.0,0.0045000000000000005
2006-04-24,53.31,53.25,53.39,52.93,166900.0,-0.0017000000000000001
2006-04-25,52.15,53.06,53.06,51.25,309100.0,-0.0218
2006-04-26,51.1,52.15,52.42,50.99,166200.0,-0.020099999999999996
2006-04-27,50.78,49.0,50.8,48.3,813000.0,-0.0063
2006-04-28,52.19,50.3,52.48,50.11,159600.0,0.0278
2006-05-01,51.65,52.0,52.16,51.4,154900.0,-0.0103
2006-05-02,54.56,53.0,55.45,52.51,680100.0,0.056299999999999996
2006-05-03,55.01,54.55,55.2,54.54,204800.0,0.008199999999999999
2006-05-04,55.61,55.26,56.19,54.9,194200.0,0.0109
2006-05-05,56.9,55.5,57.0,55.4,163800.0,0.0232
2006-05-08,59.27,57.26,59.59,57.1,794000.0,0.0417
2006-05-09,67.05,65.35,67.77,62.27,2520000.0,0.1313
2006-05-10,64.85,67.05,67.05,64.51,518900.0,-0.032799999999999996
2006-05-11,64.2,64.6,65.7,63.91,322700.0,-0.01
2006-05-12,63.27,64.2,64.37,63.21,268600.0,-0.014499999999999999
2006-05-15,62.15,63.27,63.5,61.28,376900.0,-0.0177
2006-05-16,63.9,62.2,65.38,62.2,456900.0,0.0282
2006-05-17,64.16,63.9,64.8,63.4,257000.0,0.0040999999999999995
2006-05-18,62.69,64.9,65.6,62.64,890100.0,-0.0229
2006-05-19,61.83,62.2,63.28,61.28,2260000.0,-0.0137
2006-05-22,60.82,61.65,62.1,59.41,593400.0,-0.0163
2006-05-23,60.76,61.0,62.49,60.75,391000.0,-0.001
2006-05-24,60.15,60.76,61.0,59.55,370700.0,-0.01
2006-05-25,61.25,60.5,62.0,60.5,271400.0,0.0183
2006-05-26,60.89,61.15,61.47,60.8,95700.0,-0.0059
2006-05-30,58.09,61.01,61.01,57.7,426400.0,-0.046
2006-05-31,57.77,58.09,58.8,56.71,465700.0,-0.0055000000000000005
2006-06-01,60.0,58.0,60.0,58.0,240700.0,0.038599999999999995
2006-06-02,60.57,60.2,60.73,59.33,294000.0,0.0095
2006-06-05,58.9,60.57,60.57,58.86,162400.0,-0.0276
2006-06-06,58.16,58.9,58.91,57.36,237700.0,-0.0126
2006-06-07,58.61,58.25,59.95,58.1,261100.00000000003,0.0077
2006-06-08,57.29,58.09,58.1,55.06,424100.0,-0.0225
2006-06-09,56.25,57.29,58.45,56.25,171500.0,-0.0182
2006-06-12,57.1,56.48,57.65,55.5,249400.0,0.0151
2006-06-13,56.15,56.9,57.46,56.15,251800.0,-0.0166
2006-06-14,58.15,56.15,58.28,56.15,212700.0,0.0356
2006-06-15,61.88,58.8,62.23,58.8,717700.0,0.0641
2006-06-16,61.76,62.47,62.47,61.31,412100.0,-0.0019
2006-06-19,60.98,61.9,61.91,60.68,203400.0,-0.0126
2006-06-20,60.67,60.75,61.87,60.67,127700.0,-0.0051
2006-06-21,63.0,60.75,63.89,60.75,292300.0,0.0384
2006-06-22,62.85,62.54,63.6,62.15,278100.0,-0.0024
2006-06-23,61.9,62.91,62.91,61.31,230400.0,-0.0151
2006-06-26,62.75,61.99,62.84,61.76,83800.0,0.0137
2006-06-27,61.8,62.6,63.5,61.45,221000.0,-0.0151
2006-06-28,59.95,61.8,62.0,59.69,262300.0,-0.029900000000000003
2006-06-29,60.85,60.1,61.38,59.25,444700.0,0.015
2006-06-30,60.95,61.45,62.5,60.02,287600.0,0.0016
2006-07-03,60.39,61.25,61.25,59.9,108400.0,-0.0092
2006-07-05,59.35,60.39,60.65,58.64,416400.0,-0.0172
2006-07-06,59.06,59.36,59.8,58.4,329100.0,-0.0049
2006-07-07,56.0,59.16,59.16,55.79,525500.0,-0.0518
2006-07-10,53.59,56.01,56.38,52.8,573400.0,-0.043
2006-07-11,55.18,53.7,55.42,51.93,454600.0,0.0297
2006-07-12,54.3,54.8,55.35,54.01,133200.0,-0.0159
2006-07-13,55.01,54.0,55.45,52.5,453500.0,0.0131
2006-07-14,54.11,55.01,55.16,53.21,202700.0,-0.016399999999999998
2006-07-17,55.5,54.0,55.95,53.8,258800.0,0.025699999999999997
2006-07-18,53.9,56.0,56.49,53.0,575300.0,-0.0288
2006-07-19,53.96,53.9,55.4,53.15,319000.0,0.0011
2006-07-20,51.13,53.96,53.97,50.15,812700.0,-0.0524
2006-07-21,49.37,51.13,51.2,48.7,661900.0,-0.0344
2006-07-24,50.6,49.38,51.67,49.38,365800.0,0.024900000000000002
2006-07-25,52.75,50.35,53.47,50.35,423400.0,0.0425
2006-07-26,52.35,52.5,52.75,51.57,356200.0,-0.0076
2006-07-27,50.94,52.35,52.9,50.33,296800.0,-0.0269
2006-07-28,50.13,51.05,52.38,49.79,532600.0,-0.0159
2006-07-31,52.5,49.8,52.9,49.57,1220000.0,0.0473
2006-08-01,52.0,50.01,53.0,49.8,1190000.0,-0.0095
2006-08-02,52.25,52.0,52.85,51.45,596800.0,0.0048
2006-08-03,54.08,52.0,54.11,51.41,512600.0,0.035
2006-08-04,54.9,55.0,56.5,53.85,383600.0,0.0152
2006-08-07,54.4,54.56,54.7,53.41,178100.0,-0.0091
2006-08-08,53.4,54.38,54.4,53.05,808800.0,-0.0184
2006-08-09,50.28,53.51,53.55,50.25,657700.0,-0.0584
2006-08-10,48.67,50.0,50.2,47.37,910300.0,-0.032
2006-08-11,49.29,48.89,49.8,48.1,489200.0,0.0127
2006-08-14,49.88,50.0,50.69,49.6,423300.0,0.012
2006-08-15,50.64,50.25,50.91,49.8,523200.00000000006,0.0152
2006-08-16,53.5,50.89,53.5,50.55,540200.0,0.0565
2006-08-17,53.08,53.0,53.94,52.29,420900.0,-0.0079
2006-08-18,51.81,53.25,53.25,51.32,319000.0,-0.0239
2006-08-21,51.1,51.65,51.67,50.5,304700.0,-0.0137
2006-08-22,50.58,50.9,51.11,50.35,156500.0,-0.0102
2006-08-23,50.16,50.58,50.75,49.7,179100.0,-0.0083
2006-08-24,49.17,50.24,50.39,49.17,256300.0,-0.0197
2006-08-25,48.9,49.05,49.4,48.76,143600.0,-0.0055000000000000005
2006-08-28,48.9,48.89,49.39,48.62,93300.0,0.0
2006-08-29,49.8,48.9,50.15,48.8,280900.0,0.0184
2006-08-30,50.26,49.65,51.15,49.65,220600.0,0.0092
2006-08-31,49.34,50.25,50.55,49.18,158000.0,-0.0183
2006-09-01,50.69,49.6,50.88,49.54,250600.0,0.0274
2006-09-05,50.51,50.47,51.36,50.33,285800.0,-0.0036
2006-09-06,50.09,50.3,50.71,49.74,188400.0,-0.0083
2006-09-07,49.85,50.0,50.2,49.16,171100.0,-0.0048
2006-09-08,47.92,49.9,49.9,45.82,2950000.0,-0.0387
2006-09-11,49.1,47.8,49.36,47.61,522400.0,0.0246
2006-09-12,51.47,49.35,51.8,48.62,611200.0,0.0483
2006-09-13,52.07,51.39,52.45,51.39,574300.0,0.011699999999999999
2006-09-14,50.83,51.0,51.7,50.5,518600.0,-0.023799999999999998
2006-09-15,51.2,51.46,51.65,50.6,304800.0,0.0073
2006-09-18,50.83,51.21,51.3,50.6,174700.0,-0.0072
2006-09-19,50.33,50.58,50.78,49.8,245400.0,-0.0098
2006-09-20,51.04,50.59,51.8,50.4,365200.0,0.0141
2006-09-21,53.21,51.58,53.8,51.05,951500.0,0.0425
2006-09-22,52.12,52.5,52.7,51.0,535900.0,-0.020499999999999997
2006-09-25,53.16,52.12,53.4,51.97,676700.0,0.02
2006-09-26,52.38,53.26,53.31,51.47,390700.0,-0.0147
2006-09-27,49.8,52.23,52.6,49.61,762100.0,-0.0493
2006-09-28,49.6,50.0,50.7,48.7,784400.0,-0.004
2006-09-29,49.67,49.73,50.21,49.4,744000.0,0.0014000000000000002
2006-10-02,49.0,49.67,50.07,48.72,660000.0,-0.013500000000000002
2006-10-03,49.5,49.01,50.07,48.8,1020000.0,0.0102
2006-10-04,50.99,49.48,51.44,48.76,3280000.0,0.0301
2006-10-05,50.12,50.99,51.1,48.3,3900000.0,-0.0171
2006-10-06,51.59,50.45,51.59,48.55,6770000.0,0.029300000000000003
2006-10-09,55.69,52.48,56.75,52.3,4560000.0,0.0795
2006-10-10,56.48,55.5,57.46,55.24,4250000.0,0.014199999999999999
2006-10-11,55.4,56.48,57.25,54.63,1730000.0,-0.0191
2006-10-12,57.23,55.7,57.64,55.69,1480000.0,0.033
2006-10-13,56.8,57.6,57.6,56.35,1120000.0,-0.0075
2006-10-16,56.05,56.8,57.49,55.69,973700.0,-0.0132
2006-10-17,55.49,55.7,56.46,54.77,797500.0,-0.01
2006-10-18,54.85,55.98,56.52,54.5,827100.0,-0.0115
2006-10-19,54.0,54.25,54.97,53.77,818400.0,-0.0155
2006-10-20,54.96,54.2,55.12,53.75,1350000.0,0.0178
2006-10-23,56.4,55.05,56.58,55.05,927100.0,0.0262
2006-10-24,57.7,56.1,57.72,55.84,630700.0,0.023
2006-10-25,56.95,57.7,58.7,56.93,1110000.0,-0.013000000000000001
2006-10-26,58.5,57.15,58.85,56.8,975600.0,0.027200000000000002
2006-10-27,58.42,58.46,59.2,57.66,699900.0,-0.0014000000000000002
2006-10-30,59.05,58.45,59.1,57.3,720800.0,0.0108
2006-10-31,59.9,59.0,60.25,58.13,1950000.0,0.0144
2006-11-01,58.22,59.64,59.91,57.32,1680000.0,-0.027999999999999997
2006-11-02,56.79,56.7,57.6,56.06,1020000.0,-0.0246
2006-11-03,57.08,57.1,57.39,55.5,814000.0,0.0051
2006-11-06,58.26,57.79,58.98,57.79,624300.0,0.0207
2006-11-07,58.08,58.85,58.87,57.99,694100.0,-0.0031
2006-11-08,57.68,57.5,58.48,56.6,543100.0,-0.0069
2006-11-09,56.58,57.78,57.9,56.11,486700.0,-0.0191
2006-11-10,57.3,57.1,57.76,56.7,425000.0,0.0127
2006-11-13,56.65,57.8,57.86,56.5,539400.0,-0.0113
2006-11-14,57.87,57.4,58.32,56.75,1330000.0,0.0215
2006-11-15,58.84,58.1,59.0,57.5,766700.0,0.0168
2006-11-16,58.77,59.0,59.06,58.17,629800.0,-0.0012
2006-11-17,59.88,58.77,59.88,58.0,1050000.0,0.0189
2006-11-20,61.86,59.88,62.0,59.6,1320000.0,0.0331
2006-11-21,61.23,61.6,62.36,61.0,769000.0,-0.0102
2006-11-22,61.27,61.01,61.75,60.6,354900.0,0.0007000000000000001
2006-11-24,61.01,60.36,61.27,60.36,121100.0,-0.0042
2006-11-27,57.81,60.81,60.82,57.63,1110000.0,-0.0525
2006-11-28,57.32,57.7,57.82,55.75,1020000.0,-0.0085
2006-11-29,57.89,57.93,58.44,57.66,364900.0,0.009899999999999999
2006-11-30,57.95,57.89,58.74,57.65,469000.0,0.001
2006-12-01,57.49,57.7,58.08,57.0,282100.0,-0.0079
2006-12-04,58.0,58.15,59.35,57.75,748300.0,0.0089
2006-12-05,56.85,57.75,57.95,56.63,700800.0,-0.019799999999999998
2006-12-06,57.13,56.8,57.64,56.35,745400.0,0.0049
2006-12-07,54.76,57.13,57.36,54.5,1130000.0,-0.0415
2006-12-08,55.3,54.91,55.45,53.62,980200.0,0.009899999999999999
2006-12-11,54.85,55.96,55.96,54.31,655000.0,-0.008100000000000001
2006-12-12,54.5,55.0,55.57,54.0,795000.0,-0.0064
2006-12-13,54.2,54.67,55.39,54.2,747300.0,-0.0055000000000000005
2006-12-14,53.95,54.2,55.7,53.8,705700.0,-0.0046
2006-12-15,53.1,53.7,54.35,52.81,848200.0,-0.0158
2006-12-18,53.92,53.03,54.22,52.16,782300.0,0.0154
2006-12-19,54.61,53.21,54.66,53.2,647300.0,0.0128
2006-12-20,54.88,54.64,55.37,54.64,545300.0,0.0049
2006-12-21,54.45,54.95,55.5,53.6,377700.0,-0.0078000000000000005
2006-12-22,55.52,55.75,56.65,55.2,673300.0,0.0197
2006-12-26,56.25,55.52,56.48,55.3,193800.0,0.0131
2006-12-27,56.05,56.4,56.55,55.42,267600.0,-0.0036
2006-12-28,56.42,55.9,56.68,55.62,438500.0,0.0066
2006-12-29,57.0,56.23,57.0,55.98,528000.0,0.0103
2007-01-03,56.41,56.9,56.95,56.0,519299.99999999994,-0.0104
2007-01-04,55.38,56.5,56.5,55.13,471200.0,-0.0183
2007-01-05,55.0,55.58,55.68,54.61,508800.0,-0.0069
2007-01-08,56.05,55.01,56.2,54.8,286500.0,0.0191
2007-01-09,56.45,56.04,57.39,56.04,571600.0,0.0070999999999999995
2007-01-10,56.21,55.73,56.65,55.51,869100.0,-0.0043
2007-01-11,57.67,56.35,57.75,56.16,447700.0,0.026000000000000002
2007-01-12,58.28,57.42,58.5,56.63,745200.0,0.0106
2007-01-16,60.46,58.29,60.5,58.29,712000.0,0.0374
2007-01-17,60.6,60.4,60.94,59.52,595000.0,0.0023
2007-01-18,59.58,60.6,60.6,59.02,759600.0,-0.0168
2007-01-19,58.97,59.34,59.68,58.8,258600.00000000003,-0.0102
2007-01-22,58.42,59.54,59.54,58.17,410200.0,-0.009300000000000001
2007-01-23,58.5,58.95,59.06,58.01,616500.0,0.0014000000000000002
2007-01-24,58.0,58.7,58.99,57.96,421300.0,-0.0085
2007-01-25,57.48,58.2,58.25,57.15,1140000.0,-0.009000000000000001
2007-01-26,57.34,58.0,58.2,56.66,518700.00000000006,-0.0024
2007-01-29,58.7,57.09,59.2,56.87,401200.0,0.023700000000000002
2007-01-30,59.6,58.67,59.86,58.34,504800.0,0.015300000000000001
2007-01-31,59.42,59.6,60.3,58.74,467000.0,-0.003
2007-02-01,59.8,59.6,60.4,58.93,878000.0,0.0064
2007-02-02,60.01,60.18,60.18,59.53,348900.0,0.0034999999999999996
2007-02-05,60.44,60.2,60.67,59.75,215900.0,0.0072
2007-02-06,60.58,60.51,60.63,59.86,326300.0,0.0023
2007-02-07,61.57,60.58,61.76,60.4,748500.0,0.0163
2007-02-08,62.09,61.57,62.26,61.11,304600.0,0.0084
2007-02-09,61.91,62.25,62.4,61.48,751600.0,-0.0029
2007-02-12,60.72,61.65,61.7,60.04,567470.0,-0.0192
2007-02-13,60.45,61.03,61.58,60.3,217510.0,-0.0044
2007-02-14,59.69,60.57,61.51,59.6,1090000.0,-0.0126
2007-02-15,61.38,60.21,61.69,59.39,1280000.0,0.028300000000000002
2007-02-16,65.03,64.0,65.25,63.1,2089999.9999999998,0.059500000000000004
