Date,Close,Open,High,Low,Volume,Change
1992-06-16,3.67,3.82,3.82,3.67,27330.0,-0.878
1992-06-17,3.82,3.82,3.82,3.67,20620.0,0.0409
1992-06-18,3.67,3.67,3.82,3.67,36600.0,-0.0393
1992-06-19,3.67,3.82,3.82,3.67,15750.0,0.0
1992-06-22,3.77,3.77,3.77,3.77,1850.0,0.027200000000000002
1992-06-23,3.62,3.67,3.67,3.62,33360.0,-0.0398
1992-06-24,3.62,3.62,3.62,3.62,460.0,0.0
1992-06-25,3.67,3.62,3.72,3.57,15060.0,0.0138
1992-06-26,3.51,3.51,3.72,3.51,3010.0,-0.0436
1992-06-30,3.72,3.72,3.72,3.57,1620.0,0.059800000000000006
1992-07-01,3.51,3.72,3.72,3.51,7640.0,-0.0565
1992-07-02,3.62,3.72,3.72,3.62,1160.0,0.0313
1992-07-06,3.51,3.51,3.51,3.51,460.0,-0.0304
1992-07-07,3.62,3.62,3.62,3.62,460.0,0.0313
1992-07-08,3.51,3.72,3.72,3.51,5560.0,-0.0304
1992-07-09,3.67,3.72,3.72,3.67,1390.0,0.045599999999999995
1992-07-13,3.72,3.72,3.72,3.72,930.0,0.013600000000000001
1992-07-16,3.57,3.51,3.57,3.51,10190.0,-0.0403
1992-07-17,3.51,3.62,3.62,3.51,2550.0,-0.0168
1992-07-20,3.51,3.51,3.51,3.51,460.0,0.0
1992-07-21,3.67,3.67,3.67,3.67,2320.0,0.045599999999999995
1992-07-22,3.51,3.51,3.51,3.51,2320.0,-0.0436
1992-07-23,3.67,3.51,3.67,3.51,3710.0,0.045599999999999995
1992-07-24,3.51,3.67,3.67,3.51,11120.0,-0.0436
1992-07-27,3.51,3.67,3.67,3.51,30110.0,0.0
1992-07-28,3.57,3.51,3.57,3.51,3480.0,0.0171
1992-07-29,3.67,3.67,3.67,3.67,460.0,0.027999999999999997
1992-07-30,3.67,3.67,3.67,3.57,8340.0,0.0
1992-07-31,3.51,3.51,3.51,3.51,4170.0,-0.0436
1992-08-04,3.51,3.51,3.51,3.51,7880.0,0.0
1992-08-05,3.67,3.51,3.67,3.51,5560.0,0.045599999999999995
1992-08-07,3.67,3.57,3.67,3.57,4870.0,0.0
1992-08-11,3.46,3.51,3.51,3.46,14590.0,-0.0572
