Date,Close,Open,High,Low,Volume,Change
1993-02-09,1.22,1.25,1.28,1.14,8810000.0,-0.9543
1993-02-10,1.38,1.23,1.42,1.2,2009999.9999999998,0.1311
1993-02-11,1.44,1.38,1.53,1.38,1430000.0,0.0435
1993-02-12,1.39,1.38,1.47,1.34,820000.0,-0.0347
1993-02-16,1.25,1.39,1.42,1.23,1020000.0,-0.1007
1993-02-17,1.23,1.25,1.28,1.17,750400.0,-0.016
1993-02-18,1.19,1.25,1.27,1.14,323200.0,-0.0325
1993-02-19,1.2,1.19,1.23,1.16,328000.0,0.0084
1993-02-22,1.3,1.22,1.31,1.22,345600.0,0.0833
1993-02-23,1.31,1.33,1.44,1.31,464000.0,0.0077
1993-02-24,1.28,1.38,1.38,1.27,200000.0,-0.0229
1993-02-25,1.3,1.28,1.34,1.28,96800.0,0.015600000000000001
1993-02-26,1.28,1.34,1.34,1.28,88000.0,-0.0154
1993-03-01,1.31,1.34,1.34,1.28,69600.0,0.023399999999999997
1993-03-02,1.31,1.3,1.31,1.25,103200.0,0.0
1993-03-03,1.25,1.31,1.31,1.25,136000.0,-0.0458
1993-03-04,1.28,1.22,1.31,1.19,499200.0,0.024
1993-03-05,1.38,1.34,1.41,1.31,679200.0,0.0781
1993-03-08,1.56,1.41,1.58,1.38,689600.0,0.1304
1993-03-09,1.67,1.75,1.81,1.56,1300000.0,0.0705
1993-03-10,1.97,1.69,1.97,1.66,2400000.0,0.1796
1993-03-11,1.98,2.06,2.16,1.91,1310000.0,0.0051
1993-03-12,2.03,2.03,2.06,1.97,421600.0,0.0253
1993-03-15,2.03,2.03,2.09,1.81,898400.0,0.0
1993-03-16,2.19,2.03,2.25,1.97,1120000.0,0.0788
1993-03-17,2.34,2.31,2.41,2.25,812800.0,0.06849999999999999
1993-03-18,2.09,2.38,2.38,2.09,960000.0,-0.10679999999999999
1993-03-19,2.06,2.12,2.22,2.03,402400.0,-0.0144
1993-03-22,2.03,1.97,2.06,1.88,665600.0,-0.0146
1993-03-23,2.0,2.0,2.03,1.91,174400.0,-0.0148
1993-03-24,2.0,1.91,2.03,1.78,581600.0,0.0
1993-03-25,2.03,2.06,2.09,2.0,138400.0,0.015
1993-03-26,2.19,2.0,2.19,2.0,358400.0,0.0788
1993-03-29,2.17,2.19,2.19,2.06,572000.0,-0.0091
1993-03-30,2.19,2.16,2.19,2.12,79200.0,0.0092
1993-03-31,2.14,2.12,2.16,2.06,237600.0,-0.022799999999999997
1993-04-01,2.23,2.16,2.28,2.16,813600.0,0.0421
1993-04-02,2.19,2.25,2.25,2.16,68000.0,-0.0179
1993-04-05,2.36,2.16,2.41,2.16,436000.0,0.0776
1993-04-06,2.41,2.31,2.44,2.31,470400.0,0.0212
1993-04-07,2.56,2.38,2.69,2.31,1520000.0,0.0622
1993-04-08,2.91,2.56,3.0,2.56,2120000.0,0.1367
1993-04-12,3.09,2.81,3.12,2.72,824800.0,0.061900000000000004
1993-04-13,2.92,3.12,3.12,2.91,1330000.0,-0.055
1993-04-14,3.0,2.94,3.09,2.88,812000.0,0.0274
1993-04-15,2.78,3.0,3.0,2.56,707200.0,-0.0733
1993-04-16,2.72,2.75,2.81,2.59,347200.0,-0.0216
1993-04-19,2.77,2.81,2.81,2.72,56800.0,0.0184
1993-04-20,2.75,2.72,2.78,2.59,136000.0,-0.0072
1993-04-21,3.0,2.69,3.0,2.69,483200.0,0.0909
1993-04-22,2.94,2.94,3.0,2.88,305600.0,-0.02
1993-04-23,2.52,2.59,2.75,2.44,1620000.0,-0.1429
1993-04-26,2.34,2.5,2.62,2.16,1200000.0,-0.07139999999999999
1993-04-27,2.38,2.31,2.47,2.31,566400.0,0.0171
1993-04-28,2.84,2.5,2.84,2.41,876000.0,0.19329999999999997
1993-04-29,2.97,2.88,3.06,2.78,815200.0,0.0458
1993-04-30,2.84,3.03,3.06,2.81,410400.0,-0.0438
1993-05-03,2.72,2.84,2.94,2.66,130400.0,-0.042300000000000004
1993-05-04,2.72,2.72,2.78,2.72,157600.0,0.0
1993-05-05,2.84,2.66,2.88,2.56,402400.0,0.0441
1993-05-06,2.78,2.94,2.94,2.75,99200.0,-0.021099999999999997
1993-05-07,2.78,2.78,2.84,2.75,190400.0,0.0
1993-05-10,2.72,2.78,2.78,2.59,224000.0,-0.0216
1993-05-11,2.59,2.62,2.69,2.59,58400.0,-0.0478
1993-05-12,2.53,2.59,2.62,2.47,258399.99999999997,-0.0232
1993-05-13,2.44,2.47,2.53,2.31,314400.0,-0.0356
1993-05-14,2.5,2.41,2.5,2.41,209600.0,0.0246
1993-05-17,2.5,2.47,2.5,2.41,185600.0,0.0
1993-05-18,2.53,2.5,2.62,2.44,394400.0,0.012
1993-05-19,2.5,2.38,2.5,2.34,283200.0,-0.011899999999999999
1993-05-20,2.41,2.44,2.5,2.41,46400.0,-0.036000000000000004
1993-05-21,2.44,2.38,2.5,2.38,151200.0,0.0124
1993-05-24,2.42,2.38,2.47,2.38,21600.0,-0.008199999999999999
1993-05-25,2.41,2.5,2.5,2.38,100800.0,-0.0040999999999999995
1993-05-26,2.31,2.47,2.47,2.31,48800.0,-0.0415
1993-05-27,2.41,2.31,2.41,2.31,97600.0,0.0433
1993-05-28,2.34,2.38,2.44,2.34,124000.0,-0.028999999999999998
1993-06-01,2.25,2.31,2.38,2.25,112000.0,-0.0385
1993-06-02,2.16,2.31,2.31,2.16,166400.0,-0.04
1993-06-03,2.12,2.06,2.22,2.06,293600.0,-0.018500000000000003
1993-06-04,2.22,2.12,2.25,2.12,48000.0,0.0472
1993-06-07,2.38,2.23,2.5,2.22,354400.0,0.0721
1993-06-08,2.38,2.45,2.5,2.34,101600.0,0.0
1993-06-09,2.34,2.34,2.47,2.31,48800.0,-0.0168
1993-06-10,2.31,2.38,2.38,2.25,98400.0,-0.0128
1993-06-11,2.38,2.25,2.38,2.25,68800.0,0.030299999999999997
1993-06-15,2.12,2.38,2.38,1.94,414400.0,-0.1092
1993-06-16,2.0,2.09,2.09,1.88,384800.0,-0.056600000000000004
1993-06-17,1.91,2.03,2.03,1.81,247200.0,-0.045
1993-06-18,1.73,1.91,1.91,1.62,547200.0,-0.0942
1993-06-21,1.69,1.81,1.81,1.59,1160000.0,-0.0231
1993-06-22,1.75,1.62,1.75,1.62,416800.0,0.0355
1993-06-23,1.78,1.75,1.84,1.72,692000.0,0.0171
1993-06-24,1.75,1.75,1.78,1.72,311200.0,-0.0169
1993-06-25,1.72,1.78,1.81,1.72,80800.0,-0.0171
1993-06-28,1.7,1.81,1.81,1.66,188000.0,-0.0116
1993-06-29,1.47,1.66,1.69,1.38,720800.0,-0.1353
1993-06-30,1.59,1.31,1.69,1.06,4590000.0,0.0816
1993-07-01,1.7,1.59,1.84,1.59,543200.0,0.0692
1993-07-02,1.78,1.75,1.81,1.69,311200.0,0.0471
1993-07-06,1.78,1.78,1.81,1.75,104800.0,0.0
1993-07-07,1.78,1.72,1.78,1.72,27200.0,0.0
1993-07-08,1.78,1.72,1.78,1.62,238400.0,0.0
1993-07-09,2.12,1.84,2.19,1.81,1450000.0,0.191
1993-07-12,2.16,2.12,2.16,1.97,420800.0,0.0189
1993-07-13,2.09,2.16,2.16,2.03,250400.0,-0.032400000000000005
1993-07-14,2.12,2.03,2.16,2.03,130400.0,0.0144
1993-07-15,2.09,2.16,2.16,2.09,11200.0,-0.014199999999999999
1993-07-16,2.09,2.06,2.14,2.06,103200.0,0.0
1993-07-19,2.12,2.03,2.12,2.03,12800.0,0.0144
1993-07-20,2.16,2.03,2.25,2.03,222400.0,0.0189
1993-07-21,2.12,2.22,2.22,2.12,148800.0,-0.018500000000000003
1993-07-22,2.06,2.12,2.12,2.0,192000.0,-0.028300000000000002
1993-07-23,2.08,2.0,2.08,2.0,84800.0,0.0097
1993-07-26,2.03,2.09,2.09,2.03,58400.0,-0.024
1993-07-27,1.89,2.03,2.03,1.84,302400.0,-0.069
1993-07-28,1.84,1.84,1.91,1.84,245600.0,-0.0265
1993-07-29,1.75,1.84,1.88,1.72,131200.0,-0.0489
1993-07-30,1.78,1.88,1.88,1.75,48000.0,0.0171
1993-08-02,1.78,1.78,1.78,1.78,2400.0,0.0
1993-08-03,1.75,1.84,1.84,1.75,137600.0,-0.0169
1993-08-04,1.69,1.75,1.84,1.69,92800.0,-0.034300000000000004
1993-08-05,1.59,1.75,1.78,1.5,793600.0,-0.0592
1993-08-06,1.62,1.62,1.66,1.56,260800.0,0.0189
1993-08-09,1.53,1.62,1.62,1.48,508000.0,-0.0556
1993-08-10,1.75,1.53,1.78,1.53,267200.0,0.1438
1993-08-11,1.81,1.78,1.81,1.75,360000.0,0.034300000000000004
1993-08-12,1.75,1.81,1.81,1.75,291200.0,-0.0331
1993-08-13,1.81,1.75,1.81,1.75,452800.0,0.034300000000000004
1993-08-16,1.81,1.84,1.84,1.75,9600.0,0.0
1993-08-17,1.78,1.78,1.78,1.78,16000.0,-0.0166
1993-08-18,1.73,1.69,1.78,1.69,44800.0,-0.0281
1993-08-19,1.77,1.73,1.77,1.69,114400.0,0.0231
1993-08-20,1.7,1.69,1.78,1.69,191200.0,-0.0395
1993-08-23,1.69,1.69,1.69,1.69,5600.0,-0.0059
1993-08-24,1.72,1.75,1.81,1.69,211200.0,0.0178
1993-08-25,1.72,1.72,1.78,1.72,180000.0,0.0
1993-08-26,1.77,1.72,1.77,1.72,99200.0,0.0291
1993-08-27,1.72,1.72,1.78,1.72,47200.0,-0.0282
1993-08-30,1.69,1.75,1.75,1.69,52800.0,-0.0174
1993-08-31,1.75,1.56,1.75,1.56,333600.0,0.0355
1993-09-01,1.69,1.69,1.75,1.69,84800.0,-0.034300000000000004
1993-09-02,1.62,1.62,1.75,1.59,114400.0,-0.0414
