Date,Close,Open,High,Low,Volume,Change
1989-06-09,6.19,6.19,6.31,5.75,8359999.999999999,-0.7939
1989-06-12,6.0,6.0,6.31,6.0,1110000.0,-0.030699999999999998
1989-06-13,5.81,5.81,6.06,5.75,558800.0,-0.0317
1989-06-14,5.69,5.69,6.0,5.5,1050000.0,-0.0207
1989-06-15,5.75,5.75,5.75,5.69,499400.0,0.0105
1989-06-16,5.69,5.69,5.75,5.69,140200.0,-0.0104
1989-06-19,5.62,5.62,5.75,5.56,393200.0,-0.0123
1989-06-20,5.38,5.38,5.69,5.38,328000.0,-0.042699999999999995
1989-06-21,5.31,5.31,5.44,5.31,284800.0,-0.013000000000000001
1989-06-22,5.62,5.62,5.75,5.31,564000.0,0.0584
1989-06-23,5.81,5.81,5.81,5.62,419400.0,0.0338
1989-06-26,5.56,5.56,5.75,5.56,38200.0,-0.043
1989-06-27,5.62,5.62,5.69,5.62,74600.0,0.0108
1989-06-28,5.44,5.44,5.62,5.38,247200.0,-0.032
1989-06-29,5.31,5.31,5.44,5.25,277000.0,-0.0239
1989-06-30,5.31,5.31,5.31,5.25,150800.0,0.0
1989-07-03,5.31,5.31,5.31,5.25,35000.0,0.0
1989-07-05,5.5,5.5,5.56,5.38,145200.0,0.0358
1989-07-06,5.44,5.44,5.56,5.44,82600.0,-0.0109
1989-07-07,5.5,5.5,5.62,5.44,134600.0,0.011000000000000001
1989-07-10,5.75,5.75,5.88,5.5,206000.0,0.0455
1989-07-11,5.81,5.81,6.06,5.81,265400.0,0.0104
1989-07-12,5.94,5.94,6.0,5.75,233000.0,0.022400000000000003
1989-07-13,6.12,6.12,6.25,5.94,583400.0,0.030299999999999997
1989-07-14,6.19,6.19,6.25,6.12,79200.0,0.011399999999999999
1989-07-17,6.12,6.12,6.19,6.12,826200.0,-0.0113
1989-07-18,6.25,6.25,6.25,6.12,314000.0,0.0212
1989-07-19,6.56,6.56,6.69,6.12,499200.0,0.0496
1989-07-20,6.38,6.38,6.62,6.38,151600.0,-0.0274
1989-07-21,6.56,6.56,6.69,6.38,520000.0,0.0282
1989-07-24,6.62,6.62,6.69,6.5,112800.0,0.0091
1989-07-25,6.88,6.88,6.88,6.5,344200.0,0.0393
1989-07-26,6.88,6.88,6.88,6.75,37600.0,0.0
1989-07-27,6.62,6.62,6.88,6.62,69600.0,-0.0378
1989-07-28,6.56,6.56,6.75,6.44,356000.0,-0.0091
1989-07-31,6.44,6.44,6.56,6.44,64800.0,-0.0183
1989-08-01,6.44,6.44,6.56,6.38,22200.0,0.0
1989-08-02,6.44,6.44,6.44,6.31,41600.0,0.0
1989-08-03,6.44,6.44,6.56,6.38,127800.0,0.0
1989-08-04,6.56,6.56,6.75,6.44,181800.0,0.018600000000000002
1989-08-07,7.31,7.31,7.44,6.75,752200.0,0.1143
1989-08-08,7.25,7.25,7.31,7.19,288400.0,-0.008199999999999999
1989-08-09,7.25,7.25,7.44,7.25,399000.0,0.0
1989-08-10,7.25,7.25,7.31,7.25,21000.0,0.0
1989-08-11,7.25,7.25,7.38,7.25,27000.0,0.0
1989-08-14,7.25,7.25,7.31,7.12,96000.0,0.0
1989-08-15,7.12,7.12,7.19,7.12,139000.0,-0.0179
1989-08-16,7.12,7.12,7.19,7.06,275400.0,0.0
1989-08-17,7.0,7.0,7.12,6.94,596000.0,-0.0169
1989-08-18,7.0,7.0,7.06,6.94,50400.0,0.0
1989-08-21,6.81,6.81,7.0,6.81,60400.0,-0.0271
1989-08-22,6.94,6.94,6.94,6.81,175000.0,0.0191
1989-08-23,7.31,7.31,7.38,6.88,175200.0,0.0533
1989-08-24,7.44,7.44,7.44,7.31,78000.0,0.0178
1989-08-25,7.25,7.25,7.44,7.19,87600.0,-0.0255
