Date,Close,Open,High,Low,Volume,Change
2004-03-29,15.04,15.01,15.08,15.0,251700.0,0.0027
2004-03-30,15.04,15.04,15.08,15.0,144700.0,0.0
2004-03-31,15.05,15.05,15.07,15.0,157600.0,0.0007000000000000001
2004-04-01,15.2,15.05,15.2,15.01,169100.0,0.01
2004-04-02,15.15,15.2,15.23,15.05,116600.0,-0.0033
2004-04-05,15.11,15.19,15.19,15.05,123800.0,-0.0026
2004-04-06,15.01,15.05,15.1,15.0,126000.0,-0.0066
2004-04-07,15.1,15.01,15.11,15.0,127700.0,0.006
2004-04-08,15.07,15.1,15.11,15.01,108200.0,-0.002
2004-04-12,15.05,15.07,15.1,15.0,122100.0,-0.0013
2004-04-13,15.0,15.06,15.06,15.0,209300.0,-0.0033
2004-04-14,15.0,15.0,15.02,15.0,375200.0,0.0
2004-04-15,15.0,15.0,15.01,15.0,416700.0,0.0
2004-04-16,15.0,15.0,15.01,15.0,194400.0,0.0
2004-04-19,15.01,15.0,15.02,15.0,168300.0,0.0007000000000000001
2004-04-20,15.0,15.01,15.01,15.0,218900.0,-0.0007000000000000001
2004-04-21,14.8,15.0,15.0,14.8,1570000.0,-0.013300000000000001
2004-04-22,14.8,14.8,14.81,14.8,292100.0,0.0
2004-04-23,14.8,14.81,14.81,14.8,276000.0,0.0
2004-04-26,14.76,14.8,14.81,14.75,876900.0,-0.0027
2004-04-27,14.75,14.75,14.76,14.75,409800.0,-0.0007000000000000001
2004-04-28,14.75,14.75,14.76,14.75,330800.0,0.0
2004-04-29,14.7,14.7,14.71,14.7,387400.0,-0.0034000000000000002
2004-04-30,14.55,14.7,14.71,14.55,325300.0,-0.0102
2004-05-03,14.55,14.55,14.56,14.55,233000.0,0.0
2004-05-04,13.98,14.5,14.5,13.65,588900.0,-0.0392
2004-05-05,14.0,14.0,14.0,13.78,190800.0,0.0014000000000000002
2004-05-06,13.45,13.9,13.95,13.3,329500.0,-0.0393
2004-05-07,13.53,13.35,13.59,13.11,352800.0,0.0059
2004-05-10,12.6,12.85,12.91,12.0,949700.0,-0.0687
2004-05-11,13.2,12.75,13.5,12.75,350200.0,0.047599999999999996
2004-05-12,13.5,13.17,13.5,12.85,261100.00000000003,0.0227
2004-05-13,13.49,13.55,13.6,13.25,170300.0,-0.0007000000000000001
2004-05-14,13.65,13.59,13.9,13.35,171900.0,0.011899999999999999
2004-05-17,13.1,13.55,13.55,13.0,268300.0,-0.0403
2004-05-18,13.26,13.0,13.35,13.0,256600.00000000003,0.012199999999999999
2004-05-19,13.14,13.2,13.78,13.0,335900.0,-0.009000000000000001
2004-05-20,13.06,13.15,13.25,12.7,368500.0,-0.0060999999999999995
2004-05-21,13.18,13.06,13.25,13.0,267700.0,0.0092
2004-05-24,12.93,12.8,13.2,12.76,475400.0,-0.019
2004-05-25,13.2,12.83,13.35,12.76,426000.0,0.0209
2004-05-26,13.47,13.15,13.5,13.05,264800.0,0.020499999999999997
2004-05-27,13.55,13.41,13.65,13.25,217800.0,0.0059
2004-05-28,13.79,13.54,13.79,13.45,154700.0,0.0177
2004-06-01,13.98,13.79,14.0,13.55,188500.0,0.0138
2004-06-02,13.82,13.99,14.0,13.67,168500.0,-0.011399999999999999
2004-06-03,13.95,13.92,14.05,13.73,211000.0,0.009399999999999999
2004-06-04,14.03,14.0,14.15,13.95,148300.0,0.005699999999999999
2004-06-07,13.97,14.1,14.16,13.79,207300.0,-0.0043
2004-06-08,14.0,14.04,14.12,13.78,183000.0,0.0021
2004-06-09,13.67,13.95,14.05,13.57,191300.0,-0.0236
2004-06-10,13.55,13.57,13.79,13.4,211400.0,-0.0088
2004-06-14,13.4,13.59,13.6,13.3,206900.0,-0.0111
2004-06-15,13.4,13.4,13.63,13.28,259100.00000000003,0.0
2004-06-16,13.4,13.3,13.48,13.22,275900.0,0.0
2004-06-17,13.33,13.3,13.44,13.15,262400.0,-0.0052
2004-06-18,13.35,13.39,13.5,13.17,243100.0,0.0015
2004-06-21,13.29,13.45,13.45,13.17,248000.0,-0.0045000000000000005
2004-06-22,13.15,13.19,13.45,12.92,427700.0,-0.0105
2004-06-23,13.0,13.16,13.18,12.86,385000.0,-0.011399999999999999
2004-06-24,13.3,13.02,13.39,12.93,412000.0,0.0231
2004-06-25,13.3,13.3,13.36,12.99,453500.0,0.0
2004-06-28,13.24,13.2,13.34,13.04,412000.0,-0.0045000000000000005
2004-06-29,13.19,13.29,13.29,13.0,317400.0,-0.0038
2004-06-30,13.22,13.1,13.25,12.98,280800.0,0.0023
2004-07-01,13.26,13.2,13.29,13.1,225400.0,0.003
2004-07-02,13.19,13.2,13.3,13.18,195500.0,-0.0053
2004-07-06,13.18,13.25,13.25,13.09,237000.0,-0.0008
2004-07-07,13.2,13.12,13.29,13.06,309600.0,0.0015
2004-07-08,13.14,13.15,13.19,13.08,234800.0,-0.0045000000000000005
2004-07-09,13.06,13.07,13.17,13.06,200900.0,-0.0060999999999999995
2004-07-12,13.14,13.05,13.15,13.04,236600.0,0.0060999999999999995
2004-07-13,13.05,13.13,13.13,13.0,262200.0,-0.0068000000000000005
2004-07-14,12.99,13.02,13.09,12.95,321400.0,-0.0046
2004-07-15,12.86,12.93,13.03,12.84,320800.0,-0.01
2004-07-16,12.93,12.95,12.98,12.82,304400.0,0.0054
2004-07-19,12.83,12.84,12.96,12.82,307200.0,-0.0077
2004-07-20,12.89,12.83,12.96,12.82,307900.0,0.004699999999999999
2004-07-21,12.95,12.95,13.98,12.9,315700.0,0.004699999999999999
2004-07-22,12.99,12.91,13.01,12.67,390200.0,0.0031
2004-07-23,12.83,12.96,12.99,12.66,301100.0,-0.0123
2004-07-26,12.68,12.76,12.85,12.66,311800.0,-0.011699999999999999
2004-07-27,12.59,12.65,12.74,12.53,539100.0,-0.0070999999999999995
2004-07-28,12.69,12.65,12.69,12.4,397800.0,0.0079
2004-07-29,13.02,12.79,13.02,12.7,285000.0,0.026000000000000002
2004-07-30,13.17,13.1,13.24,13.0,268400.0,0.0115
2004-08-02,13.1,13.14,13.19,13.05,282300.0,-0.0053
2004-08-03,13.35,13.1,13.37,13.07,525700.0,0.0191
2004-08-04,13.35,13.35,13.35,13.23,239900.0,0.0
2004-08-05,13.27,13.27,13.35,13.2,166100.0,-0.006
2004-08-06,13.07,13.11,13.37,13.02,224300.0,-0.0151
2004-08-09,12.99,13.02,13.1,12.9,303200.0,-0.0060999999999999995
2004-08-10,13.17,12.96,13.17,12.92,290800.0,0.0139
2004-08-11,13.12,13.1,13.19,13.02,314200.0,-0.0038
2004-08-12,12.89,12.94,13.1,12.88,298100.0,-0.0175
2004-08-13,12.79,12.88,12.98,12.73,336600.0,-0.0078000000000000005
2004-08-16,12.98,12.79,13.01,12.79,321100.0,0.0149
2004-08-17,12.95,12.99,13.04,12.85,350500.0,-0.0023
2004-08-18,13.35,12.99,13.35,12.98,344400.0,0.030899999999999997
2004-08-19,13.27,13.25,13.35,13.15,264800.0,-0.006
2004-08-20,13.26,13.2,13.3,13.09,262400.0,-0.0008
2004-08-23,13.02,13.33,13.33,13.01,348700.0,-0.0181
2004-08-24,13.04,13.01,13.09,12.96,343000.0,0.0015
2004-08-25,13.18,12.96,13.23,12.95,449300.0,0.010700000000000001
2004-08-26,13.29,13.13,13.3,13.08,372300.0,0.0083
2004-08-27,13.42,13.34,13.43,13.28,248600.0,0.0098
2004-08-30,13.52,13.34,13.55,13.31,322700.0,0.0075
2004-08-31,13.58,13.54,13.64,13.45,302300.0,0.0044
2004-09-01,13.76,13.56,13.76,13.53,287700.0,0.013300000000000001
2004-09-02,13.79,13.7,13.85,13.7,522500.0,0.0022
2004-09-03,13.85,13.72,13.85,13.66,226800.0,0.0044
2004-09-07,13.93,13.76,13.93,13.66,251800.0,0.0058
2004-09-08,13.75,13.93,13.94,13.7,275200.0,-0.0129
2004-09-09,13.92,13.7,13.94,13.69,279500.0,0.0124
2004-09-10,13.93,13.92,14.0,13.82,273200.0,0.0007000000000000001
2004-09-13,13.77,13.65,13.93,13.55,305100.0,-0.0115
2004-09-14,13.74,13.8,13.88,13.65,301700.0,-0.0022
2004-09-15,13.55,13.75,13.75,13.55,352300.0,-0.0138
2004-09-16,13.58,13.51,13.63,13.41,330600.0,0.0022
2004-09-17,13.76,13.51,13.8,13.51,260000.0,0.013300000000000001
2004-09-20,13.55,13.66,13.72,13.53,344800.0,-0.015300000000000001
2004-09-21,13.4,13.56,13.57,13.35,491900.0,-0.0111
2004-09-22,13.33,13.32,13.48,13.27,382200.0,-0.0052
2004-09-23,13.26,13.33,13.42,13.25,412700.0,-0.0053
2004-09-24,13.27,13.25,13.41,13.25,306400.0,0.0008
2004-09-27,13.33,13.28,13.33,13.13,356100.0,0.0045000000000000005
2004-09-28,13.46,13.38,13.5,13.3,321200.0,0.0098
2004-09-29,13.58,13.43,13.58,13.42,302800.0,0.0089
2004-09-30,13.73,13.66,13.73,13.53,267100.0,0.011000000000000001
