Date,Close,Open,High,Low,Volume,Change
2006-09-22,17.0,16.0,17.14,14.74,8590000.0,-0.5233
2006-09-25,16.5,16.95,16.95,16.2,1090000.0,-0.0294
2006-09-26,16.25,16.35,16.75,15.55,707920.0,-0.0152
2006-09-27,16.25,15.88,16.65,15.88,305370.0,0.0
2006-09-28,16.8,16.49,17.25,15.96,354020.0,0.0338
2006-09-29,18.0,17.21,18.15,16.7,598090.0,0.07139999999999999
2006-10-02,17.83,18.25,18.25,17.31,232150.0,-0.009399999999999999
2006-10-03,17.75,17.41,18.0,17.23,164280.0,-0.0045000000000000005
2006-10-04,18.0,17.16,18.2,17.16,205820.0,0.0141
2006-10-05,17.61,17.94,17.97,17.5,59900.0,-0.0217
2006-10-06,17.64,17.6,17.8,17.5,105930.0,0.0017000000000000001
2006-10-09,18.47,17.7,18.9,17.58,196690.0,0.0471
2006-10-10,19.0,18.5,19.34,18.08,619590.0,0.0287
2006-10-11,18.84,18.91,19.39,18.68,161890.0,-0.0084
2006-10-12,18.85,18.52,19.12,18.52,324990.0,0.0005
2006-10-13,18.59,18.85,18.96,18.5,234460.0,-0.0138
2006-10-16,19.23,18.72,19.44,18.6,337700.0,0.0344
2006-10-17,19.25,19.15,19.29,18.7,100280.0,0.001
2006-10-18,19.75,19.35,19.96,19.35,120990.0,0.026000000000000002
2006-10-19,19.46,19.75,19.95,19.37,95840.0,-0.0147
2006-10-20,19.17,19.25,19.64,18.9,45090.0,-0.0149
2006-10-23,18.58,18.86,19.0,18.36,120660.0,-0.0308
2006-10-24,18.06,18.58,18.58,17.75,111430.0,-0.027999999999999997
2006-10-25,17.3,17.92,18.18,17.3,305680.0,-0.0421
2006-10-26,18.02,17.48,18.5,17.33,372990.0,0.0416
2006-10-27,17.76,18.0,18.14,17.6,144580.0,-0.0144
2006-10-30,17.35,17.56,17.72,17.19,142940.0,-0.0231
2006-10-31,17.87,17.41,17.87,16.25,584750.0,0.03
2006-11-01,18.24,18.71,19.22,17.87,616690.0,0.0207
2006-11-02,18.35,17.53,18.55,17.4,100850.0,0.006
2006-11-03,18.75,18.35,18.87,18.15,168360.0,0.0218
2006-11-06,19.06,18.98,19.23,18.67,131570.0,0.0165
2006-11-07,18.27,19.75,19.75,18.13,409150.0,-0.0414
2006-11-08,17.9,18.25,18.26,17.82,224310.0,-0.0203
2006-11-09,17.8,18.0,18.04,17.56,121680.0,-0.005600000000000001
2006-11-10,17.59,18.0,18.06,17.5,51110.0,-0.0118
2006-11-13,17.6,17.54,18.05,17.51,96710.0,0.0006
2006-11-14,17.4,17.6,17.81,17.28,178610.0,-0.011399999999999999
2006-11-15,17.5,17.32,17.96,17.25,169540.0,0.005699999999999999
2006-11-16,17.69,17.54,18.15,17.39,278790.0,0.0109
2006-11-17,17.85,18.0,18.0,17.76,81930.0,0.009000000000000001
2006-11-20,17.45,17.61,18.0,17.21,122330.0,-0.022400000000000003
2006-11-21,17.22,17.59,17.59,17.1,69040.0,-0.0132
2006-11-22,18.53,18.45,18.66,17.97,630700.0,0.0761
2006-11-24,19.09,18.47,19.23,18.4,127530.0,0.0302
2006-11-27,18.65,19.18,19.25,18.52,238440.0,-0.023
2006-11-28,18.38,18.2,18.5,18.18,97240.0,-0.014499999999999999
2006-11-29,19.1,18.65,19.36,18.32,185370.0,0.0392
2006-11-30,19.96,19.45,20.74,18.5,326350.0,0.045
2006-12-01,19.64,19.96,20.19,19.46,204500.0,-0.016
2006-12-04,19.56,19.53,19.74,19.16,104130.0,-0.0040999999999999995
2006-12-05,20.17,19.75,20.47,19.51,115670.0,0.031200000000000002
2006-12-06,20.05,19.95,20.09,19.83,85630.0,-0.0059
2006-12-07,20.0,20.0,20.16,19.75,114960.0,-0.0025
2006-12-08,20.16,19.82,20.3,19.82,149650.0,0.008
2006-12-11,20.1,20.32,20.48,19.84,70450.0,-0.003
2006-12-12,19.95,19.95,20.15,19.65,164520.0,-0.0075
2006-12-13,19.99,19.91,20.19,19.74,215790.0,0.002
2006-12-14,19.9,19.75,20.0,19.68,222680.0,-0.0045000000000000005
2006-12-15,19.65,20.0,20.24,19.02,1110000.0,-0.0126
2006-12-18,19.69,19.73,20.27,19.58,301170.0,0.002
2006-12-19,19.6,19.47,19.75,19.21,142110.0,-0.0046
2006-12-20,19.75,19.55,19.89,19.25,140550.0,0.0077
2006-12-21,19.58,19.68,19.68,19.29,88760.0,-0.0086
2006-12-22,19.61,19.65,19.71,19.48,108200.0,0.0015
2006-12-26,19.75,19.7,19.94,19.43,98280.0,0.0070999999999999995
2006-12-27,19.75,19.68,19.99,19.29,49030.0,0.0
2006-12-28,19.7,19.69,19.75,19.52,39930.0,-0.0025
2006-12-29,20.01,19.71,20.07,19.38,108370.0,0.015700000000000002
2007-01-03,18.98,20.0,20.39,17.62,738540.0,-0.051500000000000004
2007-01-04,19.02,19.04,19.25,18.48,159170.0,0.0021
2007-01-05,18.96,18.95,19.18,18.65,136540.0,-0.0032
2007-01-08,19.5,19.0,19.55,18.46,119900.0,0.0285
2007-01-09,18.98,19.43,19.5,18.81,169500.0,-0.026699999999999998
2007-01-10,19.29,18.9,19.29,18.43,279680.0,0.0163
2007-01-11,19.62,19.27,19.76,19.21,119960.0,0.0171
2007-01-12,19.84,19.55,19.87,19.27,102390.0,0.011200000000000002
2007-01-16,19.21,19.91,19.95,19.06,157840.0,-0.0318
2007-01-17,19.41,19.24,19.74,19.06,244930.0,0.0104
2007-01-18,19.0,19.34,19.37,18.85,244470.0,-0.021099999999999997
2007-01-19,18.99,19.0,19.33,18.86,108120.0,-0.0005
2007-01-22,19.03,18.99,19.08,18.89,162700.0,0.0021
2007-01-23,19.08,18.98,19.25,18.98,100490.0,0.0026
2007-01-24,19.42,19.19,19.53,19.06,256930.0,0.0178
2007-01-25,19.71,19.49,19.95,19.42,134500.0,0.0149
2007-01-26,19.8,19.67,19.82,19.6,108470.0,0.0046
2007-01-29,20.36,20.0,20.36,19.9,684320.0,0.028300000000000002
2007-01-30,20.05,20.45,20.85,19.93,444880.0,-0.0152
2007-01-31,17.91,19.63,19.83,17.89,603330.0,-0.1067
2007-02-01,17.87,17.88,18.5,17.72,277450.0,-0.0022
2007-02-02,17.98,17.94,18.05,17.67,106750.0,0.0062
2007-02-05,17.93,17.94,18.03,17.62,79990.0,-0.0028000000000000004
2007-02-06,17.95,18.0,18.06,17.69,51120.0,0.0011
2007-02-07,17.87,17.94,18.13,17.68,75690.0,-0.0045000000000000005
2007-02-08,17.81,17.75,17.98,17.64,107750.0,-0.0034000000000000002
2007-02-09,17.49,17.73,17.89,16.65,228750.0,-0.018000000000000002
2007-02-12,16.99,17.36,17.36,16.83,148170.0,-0.0286
2007-02-13,16.26,16.94,17.14,15.93,254950.0,-0.043
2007-02-14,17.28,16.46,17.33,16.3,208370.0,0.06269999999999999
2007-02-15,17.62,17.34,17.64,17.03,185440.0,0.0197
2007-02-16,17.88,17.67,17.93,17.22,80890.0,0.0148
2007-02-20,18.12,17.87,18.18,17.5,39770.0,0.0134
2007-02-21,18.08,18.05,18.11,17.6,59260.0,-0.0022
2007-02-22,18.33,18.12,18.35,17.85,46160.0,0.0138
2007-02-23,17.85,18.27,18.28,17.76,179650.0,-0.0262
2007-02-26,17.54,17.92,17.92,16.82,181230.0,-0.0174
2007-02-27,16.83,17.43,17.43,16.45,236090.0,-0.0405
2007-02-28,16.63,15.85,16.75,15.8,836360.0,-0.011899999999999999
2007-03-01,16.65,16.11,16.82,15.0,293310.0,0.0012
2007-03-02,16.85,16.65,17.02,16.31,176680.0,0.012
2007-03-05,16.83,16.72,16.93,16.25,106160.0,-0.0012
2007-03-06,17.34,16.78,17.34,16.35,181690.0,0.030299999999999997
2007-03-07,17.11,17.34,17.34,16.75,112120.0,-0.013300000000000001
2007-03-08,16.7,17.25,17.25,16.66,100580.0,-0.024
2007-03-09,17.0,16.8,17.09,16.46,164630.0,0.018000000000000002
2007-03-12,16.91,16.83,17.29,16.74,253940.0,-0.0053
2007-03-13,16.27,16.93,16.94,16.24,230190.0,-0.0378
2007-03-14,16.64,16.21,16.91,16.21,162110.0,0.0227
2007-03-15,16.45,16.76,16.76,16.27,482060.0,-0.011399999999999999
2007-03-16,16.52,16.44,16.6,16.44,366100.0,0.0043
2007-03-19,17.17,16.59,17.18,16.59,514740.0,0.0393
2007-03-20,17.48,17.13,17.5,17.13,224220.0,0.0181
2007-03-21,16.99,16.54,16.99,16.53,3630000.0,-0.027999999999999997
2007-03-22,16.9,16.81,17.02,16.76,1950000.0,-0.0053
2007-03-23,16.07,16.78,16.89,15.57,2150000.0,-0.049100000000000005
2007-03-26,16.23,16.13,16.44,15.93,358240.0,0.01
2007-03-27,16.43,16.22,16.46,16.0,382840.0,0.0123
2007-03-28,16.27,16.38,16.55,16.04,131560.0,-0.0097
2007-03-29,16.3,16.3,16.43,15.98,130990.00000000001,0.0018
2007-03-30,16.2,16.2,16.35,15.58,240170.0,-0.0060999999999999995
2007-04-02,16.44,16.1,16.48,15.81,841840.0,0.0148
2007-04-03,16.39,16.36,16.85,16.12,379910.0,-0.003
2007-04-04,16.63,16.37,16.81,16.26,167110.0,0.0146
2007-04-05,16.98,16.59,16.99,16.46,133840.0,0.021
