Date,Close,Open,High,Low,Volume,Change
1980-03-18,1.57,1.57,1.58,1.55,294400.0,0.0129
1980-03-19,1.59,1.59,1.62,1.57,219200.0,0.0127
1980-03-20,1.57,1.57,1.61,1.56,316800.0,-0.0126
1980-03-21,1.57,1.57,1.59,1.57,158400.0,0.0
1980-03-24,1.59,1.59,1.6,1.56,220800.0,0.0127
1980-03-25,1.56,1.56,1.59,1.55,184000.0,-0.0189
1980-03-26,1.59,1.59,1.59,1.56,172800.0,0.0192
1980-03-27,1.6,1.6,1.61,1.58,356800.0,0.0063
1980-03-28,1.66,1.66,1.66,1.62,246400.0,0.0375
1980-03-31,1.64,1.64,1.69,1.58,515200.00000000006,-0.012
1980-04-01,1.69,1.69,1.69,1.62,796800.0,0.0305
1980-04-02,1.66,1.66,1.67,1.65,419200.0,-0.0178
1980-04-03,1.66,1.66,1.67,1.65,155200.0,0.0
1980-04-07,1.66,1.66,1.67,1.64,326400.0,0.0
1980-04-08,1.7,1.7,1.7,1.66,150400.0,0.0241
1980-04-09,1.73,1.73,1.75,1.72,116800.0,0.0176
1980-04-10,1.7,1.7,1.73,1.7,356800.0,-0.0173
1980-04-11,1.72,1.72,1.74,1.72,619200.0,0.0118
1980-04-14,1.7,1.7,1.7,1.7,180800.0,-0.0116
1980-04-15,1.7,1.7,1.7,1.66,494400.0,0.0
1980-04-16,1.73,1.73,1.78,1.7,539200.0,0.0176
1980-04-17,1.72,1.72,1.72,1.7,284800.0,-0.0058
1980-04-18,1.65,1.65,1.7,1.65,179200.0,-0.0407
1980-04-21,1.66,1.66,1.67,1.65,40000.0,0.0060999999999999995
1980-04-22,1.75,1.75,1.75,1.65,200000.0,0.0542
1980-04-23,1.73,1.73,1.75,1.71,382400.0,-0.011399999999999999
1980-04-24,1.73,1.73,1.73,1.73,2040000.0,0.0
1980-04-25,1.73,1.73,1.73,1.71,408000.0,0.0
1980-04-28,1.72,1.72,1.73,1.72,160000.0,-0.0058
1980-04-29,1.72,1.72,1.75,1.72,73600.0,0.0
1980-04-30,1.73,1.73,1.73,1.72,160000.0,0.0058
1980-05-01,1.74,1.74,1.74,1.72,910400.0,0.0058
1980-05-02,1.72,1.72,1.73,1.72,33600.0,-0.0115
1980-05-05,1.75,1.75,1.75,1.75,72000.0,0.0174
1980-05-06,1.83,1.83,1.84,1.76,385600.0,0.045700000000000005
1980-05-07,1.83,1.83,1.84,1.8,931200.0,0.0
1980-05-08,1.83,1.83,1.84,1.8,545600.0,0.0
1980-05-09,1.8,1.8,1.85,1.8,312000.0,-0.016399999999999998
1980-05-12,1.79,1.79,1.8,1.79,152000.0,-0.005600000000000001
1980-05-13,1.83,1.83,1.83,1.79,382400.0,0.0223
1980-05-14,1.88,1.88,1.88,1.82,1700000.0,0.0273
1980-05-15,1.93,1.93,1.93,1.88,491200.0,0.026600000000000002
1980-05-16,1.89,1.89,1.91,1.89,278400.0,-0.0207
1980-05-19,1.95,1.95,1.98,1.88,211200.0,0.0317
1980-05-20,1.91,1.91,1.93,1.91,377600.0,-0.020499999999999997
1980-05-21,1.9,1.9,1.91,1.9,443200.0,-0.0052
1980-05-22,1.93,1.93,1.95,1.91,360000.0,0.0158
1980-05-23,1.97,1.97,1.98,1.94,1750000.0,0.0207
1980-05-27,2.0,2.0,2.05,2.0,793600.0,0.0152
1980-05-28,2.0,2.0,2.04,2.0,603200.0,0.0
1980-05-29,1.95,1.95,2.01,1.95,216000.0,-0.025
1980-05-30,1.95,1.95,1.95,1.92,768000.0,0.0
1980-06-02,1.93,1.93,1.93,1.89,92800.0,-0.0103
1980-06-03,1.94,1.94,1.94,1.91,680000.0,0.0052
1980-06-04,1.91,1.91,1.93,1.91,272000.0,-0.0155
1980-06-05,1.98,1.98,2.01,1.92,1310000.0,0.0366
1980-06-06,1.99,1.99,2.01,1.96,89600.0,0.0051
1980-06-09,2.02,2.02,2.02,1.98,912000.0,0.0151
1980-06-10,2.03,2.03,2.03,2.01,515200.00000000006,0.005
1980-06-11,2.05,2.05,2.05,2.04,657600.0,0.009899999999999999
1980-06-12,2.04,2.04,2.05,2.04,942400.0,-0.0049
1980-06-13,2.04,2.04,2.05,2.02,2990000.0,0.0
1980-06-16,2.04,2.04,2.05,2.04,500800.0,0.0
1980-06-17,2.04,2.04,2.05,2.04,123200.0,0.0
1980-06-18,2.06,2.06,2.06,2.05,497600.0,0.0098
1980-06-19,2.08,2.08,2.08,2.05,142400.0,0.0097
1980-06-20,2.1,2.1,2.1,2.08,404800.0,0.0096
1980-06-23,2.12,2.12,2.13,2.08,918400.0,0.0095
1980-06-24,2.18,2.18,2.18,2.14,1060000.0,0.028300000000000002
1980-06-25,2.17,2.17,2.18,2.16,97600.0,-0.0046
1980-06-26,2.17,2.17,2.19,2.17,763200.0,0.0
1980-06-27,2.17,2.17,2.19,2.16,468800.0,0.0
1980-06-30,2.16,2.16,2.17,2.16,78400.0,-0.0046
1980-07-01,2.2,2.2,2.2,2.16,2040000.0,0.018500000000000003
1980-07-02,2.22,2.22,2.22,2.2,763200.0,0.0091
1980-07-03,2.23,2.23,2.24,2.21,1030000.0,0.0045000000000000005
1980-07-07,2.24,2.24,2.24,2.22,411200.0,0.0045000000000000005
1980-07-08,2.23,2.23,2.23,2.23,699200.0,-0.0045000000000000005
1980-07-09,2.26,2.26,2.29,2.23,302400.0,0.013500000000000002
1980-07-10,2.28,2.28,2.28,2.26,132800.0,0.0088
1980-07-11,2.29,2.29,2.31,2.27,243200.0,0.0044
1980-07-14,2.34,2.34,2.34,2.31,729600.0,0.0218
1980-07-15,2.41,2.41,2.42,2.34,968000.0,0.029900000000000003
1980-07-16,2.34,2.34,2.42,2.34,752000.0,-0.028999999999999998
1980-07-17,2.33,2.33,2.33,2.31,156800.0,-0.0043
1980-07-18,2.35,2.35,2.42,2.35,787200.0,0.0086
1980-07-21,2.34,2.34,2.35,2.34,88000.0,-0.0043
1980-07-22,2.38,2.38,2.39,2.34,280000.0,0.0171
1980-07-23,2.39,2.39,2.41,2.39,182400.0,0.0042
1980-07-24,2.37,2.37,2.39,2.37,630400.0,-0.0084
1980-07-25,2.38,2.38,2.38,2.34,342400.0,0.0042
1980-07-28,2.37,2.37,2.38,2.37,315200.0,-0.0042
1980-07-29,2.44,2.44,2.45,2.37,1790000.0,0.029500000000000002
1980-07-30,2.46,2.46,2.5,2.45,2500000.0,0.008199999999999999
1980-07-31,2.52,2.52,2.52,2.42,1350000.0,0.024399999999999998
1980-08-01,2.49,2.49,2.52,2.48,190400.0,-0.011899999999999999
1980-08-04,2.45,2.45,2.49,2.45,438400.0,-0.0161
1980-08-05,2.46,2.46,2.49,2.45,107200.0,0.0040999999999999995
1980-08-06,2.39,2.39,2.46,2.37,563200.0,-0.0285
1980-08-07,2.43,2.43,2.45,2.41,737600.0,0.0167
1980-08-08,2.41,2.41,2.45,2.41,851200.0,-0.008199999999999999
1980-08-11,2.48,2.48,2.48,2.41,241600.0,0.028999999999999998
1980-08-12,2.46,2.46,2.48,2.45,448000.0,-0.008100000000000001
1980-08-13,2.45,2.45,2.46,2.44,147200.0,-0.0040999999999999995
1980-08-14,2.45,2.45,2.47,2.42,296000.0,0.0
1980-08-15,2.48,2.48,2.48,2.44,238400.0,0.012199999999999999
