Date,Close,Open,High,Low,Volume,Change
2014-09-24,29.93,25.0,30.19,22.12,21820000.0,-0.4219
2014-09-25,31.39,33.15,35.88,30.52,16620000.000000002,0.048799999999999996
2014-09-26,29.8,31.95,32.74,28.61,4640000.0,-0.0507
2014-09-29,27.39,28.19,29.44,27.27,2660000.0,-0.0809
2014-09-30,32.01,27.6,32.11,27.6,6420000.0,0.16870000000000002
2014-10-01,29.62,31.5,32.19,29.5,3590000.0,-0.0747
2014-10-02,28.69,30.37,30.75,27.3,2460000.0,-0.031400000000000004
2014-10-03,30.38,30.49,31.48,29.52,3650000.0,0.058899999999999994
2014-10-06,29.92,31.37,31.8,29.6,1430000.0,-0.0151
2014-10-07,29.35,30.12,30.48,28.5,1190000.0,-0.0191
2014-10-08,29.38,29.59,29.9,28.11,905790.0,0.001
2014-10-09,28.2,29.24,29.65,27.85,1050000.0,-0.04019999999999999
2014-10-10,29.84,29.58,31.49,28.52,2740000.0,0.0582
2014-10-13,31.25,30.58,32.5,30.28,2660000.0,0.0473
2014-10-14,29.6,32.81,33.15,29.45,1920000.0,-0.0528
2014-10-15,28.76,28.76,29.24,26.66,1860000.0,-0.028399999999999998
2014-10-16,29.45,27.6,30.4,27.6,937350.0,0.024
2014-10-17,30.29,30.76,30.95,28.85,818610.0,0.0285
2014-10-20,29.88,30.0,30.75,29.4,867390.0,-0.013500000000000002
2014-10-21,29.48,30.4,30.85,29.4,1140000.0,-0.0134
2014-10-22,28.6,29.55,29.88,28.13,756330.0,-0.029900000000000003
2014-10-23,29.21,28.73,29.5,28.35,534110.0,0.0213
2014-10-24,30.24,28.86,31.19,28.67,1210000.0,0.0353
2014-10-27,35.08,30.26,35.17,29.4,3930000.0,0.16010000000000002
2014-10-28,32.32,34.4,36.48,32.01,3750000.0,-0.0787
2014-10-29,34.91,33.5,34.96,31.5,2380000.0,0.0801
2014-10-30,34.71,34.55,37.2,34.05,2650000.0,-0.005699999999999999
2014-10-31,35.28,36.04,36.15,34.7,953850.0,0.016399999999999998
2014-11-03,36.58,35.54,37.5,35.03,1410000.0,0.0368
2014-11-04,36.53,36.8,37.2,35.28,858870.0,-0.0014000000000000002
2014-11-05,33.8,36.04,36.38,33.33,1580000.0,-0.0747
2014-11-06,33.03,34.0,34.32,32.85,665230.0,-0.022799999999999997
2014-11-07,32.71,33.36,33.5,31.69,741090.0,-0.0097
2014-11-10,34.88,32.8,35.39,32.8,1210000.0,0.0663
2014-11-11,33.89,35.05,35.24,33.53,737830.0,-0.028399999999999998
2014-11-12,33.7,33.6,34.68,33.0,2500000.0,-0.005600000000000001
2014-11-13,42.92,38.4,43.3,38.38,11580000.0,0.2736
2014-11-14,44.37,42.2,44.89,40.01,5300000.0,0.0338
2014-11-17,43.45,43.91,45.68,43.0,2620000.0,-0.0207
2014-11-18,42.67,43.61,44.46,41.56,1510000.0,-0.018000000000000002
2014-11-19,42.41,43.31,43.6,41.76,782990.0,-0.0060999999999999995
2014-11-20,42.64,42.08,44.35,41.98,1070000.0,0.0054
2014-11-21,42.81,43.52,44.32,42.53,693810.0,0.004
2014-11-24,47.01,42.98,47.01,42.92,2400000.0,0.0981
2014-11-25,42.59,44.93,46.17,42.47,3310000.0,-0.094
2014-11-26,43.16,42.97,44.19,41.7,1320000.0,0.0134
2014-11-28,41.32,42.68,43.8,41.08,610430.0,-0.0426
2014-12-01,39.04,41.0,41.94,38.96,1170000.0,-0.0552
2014-12-02,40.75,40.03,41.5,39.54,928070.0,0.0438
2014-12-03,43.02,40.84,43.25,40.81,923730.0,0.0557
2014-12-04,40.6,42.71,43.09,40.23,885990.0,-0.056299999999999996
2014-12-05,41.1,41.26,41.85,40.03,797860.0,0.0123
2014-12-08,38.15,41.1,41.22,37.56,1400000.0,-0.0718
2014-12-09,40.91,36.9,40.95,36.0,1360000.0,0.0723
2014-12-10,39.13,40.63,41.27,38.5,947230.0,-0.0435
2014-12-11,37.85,39.92,40.21,37.5,830490.0,-0.0327
2014-12-12,37.98,37.66,38.89,37.05,638650.0,0.0034000000000000002
2014-12-15,37.44,38.82,38.9,36.0,689570.0,-0.014199999999999999
2014-12-16,37.27,36.56,38.18,36.21,644710.0,-0.0045000000000000005
2014-12-17,38.62,37.26,38.7,36.84,663210.0,0.0362
2014-12-18,40.63,39.75,41.6,38.71,1370000.0,0.052000000000000005
2014-12-19,41.95,41.0,41.96,39.3,1100000.0,0.0325
2014-12-22,42.67,42.77,43.49,42.06,925270.0,0.0172
2014-12-23,41.01,42.99,43.3,40.3,708860.0,-0.038900000000000004
2014-12-24,41.6,41.02,42.24,40.74,285100.0,0.0144
2014-12-26,41.83,41.87,42.49,41.04,319500.0,0.0055000000000000005
2014-12-29,41.22,41.74,42.4,41.1,399210.0,-0.0146
2014-12-30,39.85,41.1,41.32,39.1,547310.0,-0.0332
2014-12-31,39.65,40.5,40.5,39.27,384100.0,-0.005
2015-01-02,38.88,39.78,40.6,38.0,479320.0,-0.0194
2015-01-05,39.05,38.5,39.75,38.04,353680.0,0.0044
2015-01-06,37.15,39.01,39.49,36.42,935690.0,-0.0487
2015-01-07,37.95,37.68,38.49,37.45,349830.0,0.0215
2015-01-08,38.55,38.41,38.91,37.58,457150.0,0.0158
2015-01-09,37.06,38.84,38.84,36.9,530580.0,-0.0387
2015-01-12,38.37,37.22,38.42,35.05,852230.0,0.0353
2015-01-13,37.45,38.75,39.95,36.56,980760.0,-0.024
2015-01-14,37.75,36.9,37.9,36.26,425230.0,0.008
2015-01-15,35.71,37.99,37.99,35.6,385910.0,-0.054000000000000006
2015-01-16,36.65,35.43,36.79,35.05,388470.0,0.0263
2015-01-20,36.85,36.67,37.44,35.51,414150.0,0.0055000000000000005
2015-01-21,36.23,36.78,37.16,35.9,241140.0,-0.0168
2015-01-22,36.12,36.15,36.48,35.5,288220.0,-0.003
2015-01-23,36.99,35.91,37.98,35.88,619560.0,0.0241
2015-01-26,36.06,37.0,37.36,35.89,343360.0,-0.025099999999999997
