Date,Close,Open,High,Low,Volume,Change
2004-04-29,96.6,90.0,99.96,86.88,552790.0,12.644100000000002
2004-04-30,97.56,97.14,103.08,96.6,91800.0,0.009899999999999999
2004-05-03,102.66,96.42,104.1,96.42,66320.0,0.052300000000000006
2004-05-04,101.1,106.08,106.08,97.5,37720.0,-0.0152
2004-05-05,105.42,99.0,107.4,99.0,28490.0,0.042699999999999995
2004-05-06,103.14,104.4,106.8,99.0,33450.0,-0.0216
2004-05-07,101.46,106.8,106.8,100.27,12310.0,-0.0163
2004-05-10,97.5,101.4,101.4,96.12,75800.0,-0.039
2004-05-11,93.6,98.7,98.7,91.74,19770.0,-0.04
2004-05-12,92.1,93.96,95.4,91.2,43890.0,-0.016
2004-05-13,93.0,92.7,93.6,92.04,17120.0,0.0098
2004-05-14,95.4,92.7,95.4,91.2,3860.0,0.0258
2004-05-17,94.5,94.2,95.1,94.2,19170.0,-0.009399999999999999
2004-05-18,94.8,94.56,95.46,94.44,11080.0,0.0032
2004-05-19,95.7,94.56,95.76,94.56,2270.0,0.0095
2004-05-20,93.6,95.82,96.9,92.88,11750.0,-0.0219
2004-05-21,94.2,94.56,97.44,93.0,24780.0,0.0064
2004-05-24,91.5,94.5,95.1,91.38,11490.0,-0.0287
2004-05-25,89.88,92.58,92.58,85.68,13830.0,-0.0177
2004-05-26,93.0,88.44,94.62,87.0,29290.0,0.0347
2004-05-27,90.6,96.0,97.44,89.4,10230.0,-0.0258
2004-05-28,98.4,91.5,98.4,91.5,4210.0,0.0861
2004-06-01,94.37,92.52,97.8,92.52,8530.0,-0.0409
2004-06-02,90.84,94.26,96.0,88.8,14790.0,-0.0374
2004-06-03,90.12,90.96,92.82,89.94,4019.9999999999995,-0.0079
2004-06-04,92.1,92.22,95.34,90.18,17610.0,0.022000000000000002
2004-06-07,94.56,93.72,94.56,88.74,7180.0,0.026699999999999998
2004-06-08,96.84,90.24,98.94,90.24,50270.0,0.0241
2004-06-09,96.0,95.4,97.5,94.86,21500.0,-0.0087
2004-06-10,95.52,96.0,101.1,95.4,9450.0,-0.005
2004-06-14,93.9,95.4,95.4,91.2,10600.0,-0.017
2004-06-15,92.04,93.9,94.8,90.24,6490.0,-0.019799999999999998
2004-06-16,96.0,92.4,96.0,90.9,11240.0,0.043
2004-06-17,94.86,96.6,96.6,94.14,15390.0,-0.011899999999999999
2004-06-18,96.12,95.7,96.3,95.4,16810.0,0.013300000000000001
2004-06-21,94.2,96.84,97.5,94.2,12260.0,-0.02
2004-06-22,92.58,94.65,95.22,90.9,17450.0,-0.0172
2004-06-23,92.46,92.94,92.94,91.2,23680.0,-0.0013
2004-06-24,90.3,92.4,93.3,87.06,16640.0,-0.023399999999999997
2004-06-25,89.04,90.06,90.06,85.38,80080.0,-0.013999999999999999
2004-06-28,88.5,84.66,88.5,78.6,16920.0,-0.0060999999999999995
2004-06-29,88.2,88.5,89.88,86.7,5820.0,-0.0034000000000000002
2004-06-30,89.1,89.1,90.0,86.94,14520.0,0.0102
2004-07-01,89.04,90.06,90.06,85.38,19830.0,-0.0007000000000000001
2004-07-02,90.06,88.8,90.06,87.66,21040.0,0.0115
2004-07-06,87.24,89.46,89.46,85.38,9570.0,-0.0313
2004-07-07,85.14,86.34,87.0,84.96,15190.0,-0.0241
2004-07-08,83.16,84.96,85.56,81.66,5690.0,-0.0233
2004-07-09,81.0,82.86,84.3,79.56,9900.0,-0.026000000000000002
2004-07-12,77.4,81.06,81.06,74.82,100900.0,-0.0444
2004-07-13,77.52,77.58,78.0,74.88,11840.0,0.0016
2004-07-14,78.0,76.8,78.0,75.96,16400.0,0.0062
2004-07-15,78.0,77.88,78.84,77.34,6440.0,0.0
2004-07-16,77.64,78.3,78.6,77.52,22810.0,-0.0046
2004-07-19,72.84,78.19,78.19,72.0,106300.0,-0.061799999999999994
2004-07-20,70.8,72.36,73.5,69.96,6290.0,-0.027999999999999997
2004-07-21,57.36,70.86,70.86,54.0,46630.0,-0.1898
2004-07-22,56.34,57.06,59.22,54.3,22760.0,-0.0178
2004-07-23,54.42,56.1,57.0,46.8,37220.0,-0.0341
2004-07-26,53.64,54.6,54.6,51.3,23590.0,-0.0143
2004-07-27,55.02,54.72,55.8,52.8,48380.0,0.025699999999999997
2004-07-28,50.88,54.0,54.18,50.7,23470.0,-0.07519999999999999
2004-07-29,50.64,52.2,54.3,49.26,10050.0,-0.004699999999999999
2004-07-30,49.68,50.7,50.7,49.2,21470.0,-0.019
2004-08-02,49.2,49.32,49.68,48.24,21550.0,-0.0097
2004-08-03,46.86,50.1,50.1,45.54,75520.0,-0.047599999999999996
2004-08-04,45.12,46.8,47.34,44.97,22250.0,-0.0371
2004-08-05,45.6,45.6,45.96,45.0,9270.0,0.0106
