Date,Close,Open,High,Low,Volume,Change
2020-06-08,17.0,17.03,17.47,16.25,2680000.0,0.0632
2020-06-09,16.04,17.2,17.4,15.87,1750000.0,-0.0565
2020-06-10,15.25,16.15,16.75,14.8,3950000.0,-0.0493
2020-06-11,14.75,14.78,15.08,14.68,1110000.0,-0.032799999999999996
2020-06-12,14.75,15.01,15.1,14.7,652890.0,0.0
2020-06-15,15.0,14.74,15.3,14.64,1460000.0,0.0169
2020-06-16,16.75,15.48,16.75,15.11,1090000.0,0.1167
2020-06-17,20.12,17.0,20.17,16.91,3990000.0,0.20120000000000002
2020-06-18,22.47,21.27,23.0,19.43,4650000.0,0.1168
2020-06-19,22.12,22.32,23.96,20.95,1800000.0,-0.015600000000000001
2020-06-22,20.13,22.58,22.58,20.01,1460000.0,-0.09
2020-06-23,21.95,20.8,21.96,20.6,1290000.0,0.0904
2020-06-24,20.9,21.65,24.55,20.2,2630000.0,-0.0478
2020-06-25,24.59,21.3,24.81,20.3,2210000.0,0.1766
2020-06-26,24.94,23.81,25.06,22.3,1330000.0,0.014199999999999999
2020-06-29,21.12,25.49,25.49,21.0,2390000.0,-0.1532
2020-06-30,22.3,22.02,23.5,21.68,1950000.0,0.0559
2020-07-01,23.15,22.42,23.93,21.57,1680000.0,0.0381
2020-07-02,26.38,23.7,26.4,23.7,2029999.9999999998,0.13949999999999999
2020-07-06,27.69,27.85,28.9,26.68,2360000.0,0.049699999999999994
2020-07-07,26.26,27.68,27.77,25.63,1150000.0,-0.0516
2020-07-08,29.78,26.9,30.54,26.9,1670000.0,0.134
2020-07-09,32.42,30.4,34.94,30.4,2610000.0,0.08869999999999999
2020-07-10,30.84,32.53,32.53,30.6,1140000.0,-0.0487
2020-07-13,27.78,31.0,31.45,27.52,1550000.0,-0.0992
2020-07-14,26.68,27.33,27.51,25.02,1110000.0,-0.039599999999999996
2020-07-15,29.48,27.36,29.6,27.1,795390.0,0.10490000000000001
2020-07-16,26.6,27.33,28.06,26.39,1080000.0,-0.0977
2020-07-17,26.93,27.32,27.32,26.23,451290.0,0.0124
2020-07-20,27.33,27.02,27.88,25.57,722670.0,0.0149
2020-07-21,27.89,27.5,28.2,27.06,471990.0,0.020499999999999997
2020-07-22,26.99,27.0,27.31,25.99,547840.0,-0.0323
2020-07-23,25.59,26.72,26.9,25.3,696780.0,-0.0519
2020-07-24,22.92,24.39,24.39,21.81,1350000.0,-0.1043
2020-07-27,21.89,23.1,23.2,21.53,491960.0,-0.0449
2020-07-28,22.77,22.32,23.78,22.32,565320.0,0.04019999999999999
2020-07-29,23.54,23.0,24.2,23.0,359060.0,0.0338
2020-07-30,23.24,23.4,23.9,22.6,251690.0,-0.0127
2020-07-31,23.15,23.07,24.1,22.66,337040.0,-0.0039000000000000003
2020-08-03,25.7,23.58,25.8,23.5,603410.0,0.11019999999999999
2020-08-04,27.7,26.0,28.4,26.0,961040.0,0.07780000000000001
2020-08-05,27.94,28.0,28.4,26.18,498580.0,0.0087
2020-08-06,27.34,27.65,27.65,26.95,302120.0,-0.0215
2020-08-07,24.7,26.41,27.34,24.11,854680.0,-0.0966
2020-08-10,24.63,25.16,25.95,23.55,534760.0,-0.0028000000000000004
2020-08-11,25.5,25.3,26.5,24.7,390370.0,0.0353
2020-08-12,26.01,26.29,27.0,26.0,353990.0,0.02
2020-08-13,26.05,26.46,26.83,26.03,336320.0,0.0015
2020-08-14,24.81,26.14,26.61,24.63,483670.0,-0.047599999999999996
2020-08-17,27.02,25.99,27.45,25.67,548160.0,0.0891
2020-08-18,27.74,27.35,28.05,26.83,1310000.0,0.026600000000000002
2020-08-19,28.18,28.0,29.71,27.79,637250.0,0.0159
2020-08-20,26.38,28.28,28.3,26.33,570620.0,-0.0639
2020-08-21,29.26,27.0,29.8,27.0,964400.0,0.1092
2020-08-24,29.95,30.0,31.39,29.83,1580000.0,0.0236
2020-08-25,26.21,27.63,27.63,26.2,2190000.0,-0.1249
2020-08-26,26.96,27.15,28.88,26.96,1610000.0,0.0286
2020-08-27,26.22,26.95,27.38,25.63,985530.0,-0.0274
2020-08-28,25.7,26.44,26.48,24.7,1280000.0,-0.019799999999999998
2020-08-31,22.76,24.76,24.76,22.71,2009999.9999999998,-0.1144
2020-09-01,24.29,23.64,24.3,23.64,1340000.0,0.0672
2020-09-02,24.38,24.4,24.89,23.7,1210000.0,0.0037
2020-09-03,24.27,23.8,24.82,23.52,1070000.0,-0.0045000000000000005
2020-09-04,23.45,23.8,24.14,22.3,659930.0,-0.0338
2020-09-08,21.52,22.51,22.99,21.5,876110.0,-0.0823
2020-09-09,22.2,22.19,22.27,21.69,544170.0,0.0316
2020-09-10,22.65,22.38,23.05,22.2,517340.00000000006,0.0203
2020-09-11,24.65,22.58,24.65,22.47,711510.0,0.0883
2020-09-14,25.8,24.61,25.82,24.11,1250000.0,0.0467
2020-09-15,27.5,26.0,27.5,25.83,1090000.0,0.0659
2020-09-16,27.66,26.73,29.46,26.73,1340000.0,0.0058
2020-09-17,28.18,26.5,28.73,26.26,556410.0,0.018799999999999997
2020-09-18,28.63,28.64,28.75,27.6,538630.0,0.016
2020-09-21,26.92,27.17,27.67,26.25,381260.0,-0.059699999999999996
2020-09-22,26.23,26.81,27.01,25.81,530690.0,-0.0256
2020-09-23,24.31,26.4,26.6,24.22,480040.0,-0.0732
2020-09-24,23.65,24.0,24.45,23.32,217660.0,-0.0271
2020-09-25,24.68,23.72,24.85,23.36,377640.0,0.0436
2020-09-28,26.74,25.25,26.87,25.01,717670.0,0.08349999999999999
2020-09-29,28.56,26.67,28.8,26.28,1510000.0,0.0681
2020-09-30,26.47,28.01,28.37,26.37,878680.0,-0.0732
2020-10-01,25.95,26.62,27.48,25.8,603540.0,-0.0196
2020-10-02,25.09,25.0,26.89,24.7,530500.0,-0.0331
2020-10-05,26.1,26.49,26.69,25.85,471030.0,0.0403
2020-10-06,27.12,26.14,28.25,26.14,923710.0,0.0391
2020-10-07,27.1,27.98,28.04,26.73,510380.0,-0.0007000000000000001
2020-10-08,27.13,27.35,27.69,26.53,764250.0,0.0011
2020-10-09,29.69,27.47,31.15,27.31,4000000.0,0.0944
2020-10-12,33.4,31.0,34.2,31.0,2670000.0,0.125
2020-10-13,34.05,32.86,34.5,31.13,2360000.0,0.0195
2020-10-14,32.75,34.35,36.07,31.86,2580000.0,-0.0382
2020-10-15,33.71,31.72,34.34,31.71,1280000.0,0.029300000000000003
2020-10-16,36.91,34.6,37.34,34.6,2450000.0,0.0949
2020-10-19,35.0,37.01,37.13,34.55,1690000.0,-0.051699999999999996
2020-10-20,35.0,35.13,35.81,34.0,1180000.0,0.0
