Date,Close,Open,High,Low,Volume,Change
2017-12-11,20.99,21.52,21.61,20.5,401050.0,-0.021400000000000002
2017-12-12,20.16,20.97,20.99,20.16,209120.0,-0.0395
2017-12-13,20.04,20.22,20.86,19.98,217910.0,-0.006
2017-12-14,18.99,20.1,20.3,18.5,1330000.0,-0.0524
2017-12-15,19.04,19.25,19.59,18.77,620800.0,0.0026
2017-12-18,18.71,19.05,19.5,18.57,472370.0,-0.0173
2017-12-19,18.28,18.72,18.72,18.2,359890.0,-0.023
2017-12-20,17.7,18.3,18.75,17.5,588100.0,-0.0317
2017-12-21,16.45,18.01,18.08,16.39,491910.0,-0.0706
2017-12-22,15.78,16.6,16.6,15.75,669120.0,-0.0407
2017-12-26,15.46,15.9,16.5,15.02,299740.0,-0.0203
2017-12-27,15.85,15.48,16.39,15.35,382660.0,0.0252
2017-12-28,15.04,15.94,16.02,14.83,385000.0,-0.051100000000000007
2017-12-29,15.64,15.15,15.8,14.72,264220.0,0.039900000000000005
2018-01-02,16.13,16.0,16.46,15.92,567500.0,0.0313
2018-01-03,16.65,16.41,16.78,16.25,358120.0,0.0322
2018-01-04,16.08,16.7,16.76,16.01,279210.0,-0.0342
2018-01-05,16.8,16.88,17.63,16.33,672560.0,0.044800000000000006
2018-01-08,16.48,16.8,16.9,16.4,372570.0,-0.019
2018-01-09,15.5,16.46,16.54,15.49,273820.0,-0.059500000000000004
2018-01-10,15.36,15.5,15.57,14.96,296290.0,-0.009000000000000001
2018-01-11,16.53,15.43,16.98,15.17,458970.0,0.0762
2018-01-12,17.16,16.64,17.25,16.43,314520.0,0.0381
2018-01-16,17.1,17.16,17.8,16.86,383930.0,-0.0034999999999999996
2018-01-17,17.62,17.11,17.76,16.65,209040.0,0.0304
2018-01-18,18.32,17.62,18.45,17.5,279490.0,0.0397
2018-01-19,19.76,18.41,20.04,18.41,525410.0,0.0786
2018-01-22,21.56,19.8,23.0,19.8,514990.0,0.0911
2018-01-23,21.85,21.7,22.25,21.09,392440.0,0.013500000000000002
2018-01-24,21.8,22.31,22.31,21.55,204790.0,-0.0023
2018-01-25,21.15,21.83,21.9,19.09,265290.0,-0.0298
2018-01-26,22.2,21.37,22.31,20.89,133100.0,0.0496
2018-01-29,23.95,22.32,24.02,22.32,330250.0,0.0788
2018-01-30,23.67,23.75,23.93,22.89,372950.0,-0.011699999999999999
2018-01-31,23.26,23.82,24.0,23.11,383210.0,-0.0173
2018-02-01,21.18,23.32,23.66,21.06,136910.0,-0.0894
2018-02-02,20.39,20.87,20.87,19.58,145890.0,-0.0373
2018-02-05,19.26,20.12,20.85,19.2,168020.0,-0.0554
2018-02-06,19.38,18.76,19.93,18.49,236760.0,0.0062
2018-02-07,20.27,19.4,20.48,19.27,237820.0,0.045899999999999996
2018-02-08,20.89,20.3,21.0,20.3,173260.0,0.030600000000000002
2018-02-09,21.49,21.12,21.62,20.37,176140.0,0.0287
2018-02-12,21.22,21.61,21.78,20.7,100360.0,-0.0126
2018-02-13,20.59,21.26,21.29,20.47,76730.0,-0.0297
2018-02-14,20.93,20.56,21.18,20.54,51300.0,0.0165
2018-02-15,23.34,21.09,23.55,21.0,207420.0,0.1151
2018-02-16,24.8,23.42,25.02,23.3,381340.0,0.0626
2018-02-20,23.68,24.86,25.79,23.4,247240.0,-0.0452
2018-02-21,23.02,23.9,24.78,22.72,176720.0,-0.0279
2018-02-22,22.42,22.9,23.39,22.12,176060.0,-0.026099999999999998
2018-02-23,22.4,22.73,23.3,21.94,309740.0,-0.0009
2018-02-26,22.16,22.37,23.2,21.39,243510.0,-0.010700000000000001
2018-02-27,21.51,22.05,22.11,21.48,269840.0,-0.029300000000000003
2018-02-28,22.89,21.54,23.44,21.0,288980.0,0.0642
2018-03-01,21.57,22.98,23.0,21.55,331670.0,-0.057699999999999994
2018-03-02,22.59,21.55,22.99,21.0,233910.0,0.0473
2018-03-05,22.55,22.59,22.99,21.1,319620.0,-0.0018
2018-03-06,21.96,22.63,22.99,21.63,259399.99999999997,-0.0262
2018-03-07,21.57,21.75,22.28,21.13,203600.0,-0.0178
2018-03-08,20.56,21.7,21.75,20.34,237760.0,-0.046799999999999994
2018-03-09,20.37,20.52,20.87,20.15,220640.0,-0.0092
2018-03-12,20.18,19.96,20.31,18.56,465980.0,-0.009300000000000001
2018-03-13,20.12,20.31,20.96,19.43,213270.0,-0.003
2018-03-14,21.89,20.18,22.14,19.68,378010.0,0.08800000000000001
2018-03-15,19.58,21.98,22.06,19.51,343830.0,-0.10550000000000001
2018-03-16,21.54,19.73,21.7,19.61,2250000.0,0.1001
2018-03-19,21.96,21.43,22.0,20.45,450490.0,0.0195
2018-03-20,22.06,22.18,22.48,21.37,353900.0,0.0046
2018-03-21,21.71,21.98,22.34,21.57,231700.0,-0.0159
2018-03-22,21.17,21.44,21.68,21.01,128120.0,-0.024900000000000002
2018-03-23,21.34,21.17,21.83,21.04,465050.0,0.008
2018-03-26,21.16,21.7,21.94,20.0,451720.0,-0.0084
2018-03-27,20.05,21.16,21.42,19.9,228030.0,-0.0525
2018-03-28,19.71,20.08,20.87,19.57,151050.0,-0.017
2018-03-29,19.69,19.75,20.5,19.6,176940.0,-0.001
2018-04-02,18.75,19.66,19.96,18.7,176260.0,-0.04769999999999999
2018-04-03,19.12,18.93,19.35,18.57,283400.0,0.0197
2018-04-04,19.6,18.79,19.9,18.74,234230.0,0.025099999999999997
2018-04-05,18.89,19.78,19.78,18.76,238870.0,-0.0362
2018-04-06,18.11,18.64,19.19,18.02,152690.0,-0.041299999999999996
2018-04-09,18.44,18.5,19.48,18.11,161060.0,0.0182
2018-04-10,19.62,18.76,19.67,18.51,120120.0,0.064
2018-04-11,19.52,19.54,19.68,19.18,132010.0,-0.0051
2018-04-12,19.41,19.6,19.84,19.36,132160.0,-0.005600000000000001
2018-04-13,19.2,19.6,19.77,19.1,91640.0,-0.0108
2018-04-16,18.62,19.42,19.5,18.28,106220.0,-0.0302
2018-04-17,19.63,18.85,19.88,18.61,135080.0,0.0542
2018-04-18,19.36,19.79,20.0,19.17,100170.0,-0.0138
2018-04-19,19.26,19.33,19.94,18.74,133620.0,-0.0052
2018-04-20,19.77,19.17,19.85,18.85,130600.0,0.0265
2018-04-23,19.45,19.77,19.77,19.08,130199.99999999999,-0.016200000000000003
2018-04-24,19.2,19.57,19.83,19.01,101760.0,-0.0129
2018-04-25,18.36,19.13,19.13,18.22,115990.0,-0.0438
2018-04-26,18.7,18.53,19.08,18.27,95070.0,0.018500000000000003
2018-04-27,18.73,18.79,18.97,18.46,58360.0,0.0016
2018-04-30,18.48,18.82,18.87,18.24,199290.0,-0.013300000000000001
2018-05-01,18.63,18.44,18.64,18.25,70980.0,0.008100000000000001
2018-05-02,18.68,18.6,19.09,18.6,56560.0,0.0027
2018-05-03,18.15,18.64,18.65,18.11,233580.0,-0.028399999999999998
2018-05-04,18.98,18.15,19.19,18.15,132760.0,0.045700000000000005
2018-05-07,19.27,19.13,19.34,18.54,82460.0,0.015300000000000001
2018-05-08,18.72,19.24,19.39,18.2,181820.0,-0.0285
2018-05-09,19.47,18.73,19.54,18.73,116410.0,0.0401
2018-05-10,20.5,19.64,20.79,19.3,347730.0,0.0529
2018-05-11,19.44,20.43,20.43,19.03,305500.0,-0.051699999999999996
2018-05-14,18.7,19.46,19.54,18.63,207830.0,-0.0381
2018-05-15,19.18,18.82,19.37,18.62,131800.0,0.025699999999999997
2018-05-16,18.85,19.21,19.33,18.8,160750.0,-0.0172
2018-05-17,18.99,18.86,19.12,18.66,194760.0,0.0074
2018-05-18,19.73,19.09,19.79,18.98,155630.0,0.039
2018-05-21,19.72,19.84,19.93,19.31,146140.0,-0.0005
2018-05-22,20.0,19.72,20.55,19.57,143330.0,0.014199999999999999
2018-05-23,20.34,19.85,20.51,19.85,125150.0,0.017
2018-05-24,19.98,20.37,20.58,19.8,111230.0,-0.0177
2018-05-25,19.93,19.93,20.17,19.53,88340.0,-0.0025
2018-05-29,20.79,19.95,20.82,19.95,166900.0,0.0432
2018-05-30,20.73,20.87,21.19,20.42,219460.0,-0.0029
2018-05-31,19.23,20.72,20.74,19.0,472200.0,-0.0724
2018-06-01,18.84,19.41,19.66,18.7,274660.0,-0.0203
2018-06-04,20.8,19.34,21.75,19.33,815560.0,0.10400000000000001
