Date,Close,Open,High,Low,Volume,Change
2003-10-17,0.5371,0.5371,0.5371,0.5202,13000.0,-0.0886
2003-10-20,0.5624,0.5624,0.5836,0.4948,18000.0,0.0471
2003-10-21,0.5794,0.5794,0.6216,0.5794,162100.0,0.0302
2003-10-22,0.6766,0.6766,0.7443,0.6766,243000.0,0.1678
2003-10-24,0.6513,0.6513,0.7147,0.6047,6400.0,-0.0374
2003-10-27,0.6809,0.6809,0.6809,0.6809,1000.0,0.0454
2003-10-28,0.5582,0.5582,0.609,0.5582,36600.0,-0.1802
2003-10-31,0.6174,0.6174,0.6174,0.6174,5000.0,0.1061
2003-11-03,0.5455,0.5455,0.6428,0.5455,11000.0,-0.1165
2003-11-04,0.5836,0.5836,0.5836,0.5836,10000.0,0.0698
2003-11-05,0.554,0.554,0.554,0.554,10000.0,-0.0507
2003-11-07,0.4906,0.4906,0.4906,0.4906,800.0,-0.1144
2003-11-10,0.5244,0.5244,0.5244,0.5244,1000.0,0.0689
2003-11-11,0.4736,0.4736,0.5075,0.4736,30800.0,-0.0969
2003-11-12,0.4984,0.4984,0.5075,0.4948,40000.0,0.0524
2003-11-14,0.5895,0.5895,0.5895,0.5286,40000.0,0.18280000000000002
2003-11-17,0.6259,0.6259,0.6555,0.5582,96200.0,0.0617
2003-11-18,0.6174,0.6174,0.6174,0.6174,47000.0,-0.013600000000000001
2003-11-19,0.6132,0.6132,0.6259,0.5878,13500.0,-0.0068000000000000005
2003-11-20,0.6259,0.6259,0.6259,0.6174,6000.0,0.0207
2003-11-21,0.6216,0.6216,0.6216,0.592,13000.0,-0.0069
2003-11-24,0.592,0.592,0.6343,0.5709,59200.0,-0.047599999999999996
2003-11-25,0.6343,0.6343,0.6766,0.6343,29500.0,0.07150000000000001
2003-11-26,0.6513,0.6513,0.6682,0.6386,52400.0,0.0268
2003-11-28,0.9219,0.9219,0.9219,0.905,126000.0,0.4155
2003-12-01,1.0065,1.0065,1.0699,0.9642,33000.0,0.09179999999999999
2003-12-02,0.9642,0.9642,1.0572,0.9388,50500.0,-0.042
2003-12-03,0.9557,0.9557,0.9642,0.9092,15800.0,-0.0088
2003-12-04,0.8813,0.8813,0.905,0.8779,52000.0,-0.07780000000000001
2003-12-05,0.9473,0.9473,0.9473,0.8035,25500.0,0.07490000000000001
2003-12-08,0.9304,0.9304,0.9769,0.905,74500.0,-0.0178
2003-12-09,0.8627,0.8627,0.8796,0.8458,50500.0,-0.0728
2003-12-10,0.9008,0.9008,0.9134,0.9008,15830.0,0.044199999999999996
2003-12-15,0.7781,0.7781,0.795,0.7781,23500.0,-0.1362
2003-12-16,0.8517,0.8517,0.8559,0.8517,77500.0,0.0946
2003-12-17,0.883,0.883,0.883,0.883,70600.0,0.0368
2003-12-18,0.905,0.905,0.9726,0.8881,234300.0,0.024900000000000002
2003-12-19,0.8475,0.8475,0.8965,0.8475,23000.0,-0.0635
2003-12-23,0.8864,0.8864,0.9134,0.8585,23200.0,0.045899999999999996
2003-12-24,0.9473,0.9473,0.9473,0.9473,2000.0,0.0687
2003-12-29,1.0572,1.0572,1.0995,1.0403,30200.0,0.11599999999999999
2003-12-30,1.0547,1.0547,1.108,1.0276,65500.0,-0.0024
2003-12-31,1.0149,1.0149,1.0741,1.0149,20000.0,-0.0377
2004-01-02,1.1115,1.1115,1.1333,1.0149,8600.0,0.09519999999999999
2004-01-05,1.135,1.135,1.135,1.0995,22500.0,0.021099999999999997
2004-01-06,0.9777,0.9777,1.1164,0.9777,305500.0,-0.1386
2004-01-07,0.9185,0.9185,0.9185,0.8627,393600.0,-0.060599999999999994
2004-01-08,0.9304,0.9304,0.998,0.9304,51600.0,0.013000000000000001
2004-01-09,0.998,0.998,1.0107,0.9092,26500.0,0.0727
2004-01-12,1.0149,1.0149,1.0234,0.9642,31400.0,0.0169
2004-01-13,0.9811,0.9811,0.9811,0.9811,151500.0,-0.0333
2004-01-14,0.916,0.916,0.9642,0.8965,160870.0,-0.0664
2004-01-15,0.9329,0.9329,0.9329,0.9329,50000.0,0.0184
2004-01-16,0.9024,0.9024,0.943,0.9024,41000.0,-0.0327
2004-01-20,0.8957,0.8957,0.8957,0.8712,103000.0,-0.0074
2004-01-21,0.9726,0.9726,0.9726,0.8796,156000.0,0.0859
2004-01-22,0.9473,0.9473,0.9896,0.943,57000.0,-0.026000000000000002
2004-01-23,0.9574,0.9574,1.0107,0.9304,132900.0,0.010700000000000001
2004-01-26,0.9507,0.9507,1.0107,0.9388,113300.0,-0.006999999999999999
2004-01-27,1.0149,1.0149,1.0149,0.998,65300.0,0.0675
2004-01-28,1.0014,1.0014,1.0403,1.0014,126000.0,-0.013300000000000001
2004-01-29,0.9441,0.9441,1.0149,0.9441,52700.0,-0.0572
2004-01-30,0.998,0.998,0.998,0.9304,15500.0,0.0571
2004-02-04,0.9304,0.9304,0.9642,0.9304,37400.0,-0.0677
2004-02-09,1.0072,1.0072,1.0072,0.9938,31000.0,0.0825
2004-02-10,1.1333,1.1333,1.1333,1.1249,2000.0,0.1252
2004-02-11,1.1333,1.1333,1.1333,1.1333,10000.0,0.0
2004-02-12,1.2534,1.2534,1.2856,1.2416,14900.0,0.106
2004-02-13,1.3786,1.3786,1.3996,1.2839,32810.0,0.0999
2004-02-17,1.5393,1.5393,1.5393,1.3786,41200.0,0.1166
2004-02-18,1.5562,1.5562,1.6493,1.5224,16850.0,0.011000000000000001
2004-02-19,1.3871,1.3871,1.4801,1.3871,3270.0,-0.10869999999999999
2004-02-20,1.4547,1.4547,1.4547,1.4125,7500.0,0.0487
2004-02-24,1.4505,1.4505,1.4505,1.4505,1000.0,-0.0029
2004-02-25,1.4547,1.4547,1.4674,1.349,172800.0,0.0029
2004-02-26,1.7043,1.7043,1.7508,1.5478,225310.0,0.1716
2004-02-27,1.7592,1.7592,1.7761,1.6831,36500.0,0.0322
2004-03-01,1.9368,1.9368,2.0383,1.7592,64410.0,0.10099999999999999
2004-03-02,1.8776,1.8776,2.0468,1.8184,90630.0,-0.030600000000000002
2004-03-03,2.0341,2.0341,2.0722,1.8346,52500.0,0.0834
2004-03-04,1.8607,1.8607,2.0975,1.8269,376550.0,-0.0852
2004-03-05,1.9115,1.9115,1.9453,1.81,61780.0,0.0273
2004-03-08,1.8946,1.8946,1.9453,1.8353,43100.0,-0.0088
2004-03-09,1.8015,1.8015,1.8692,1.8015,56280.0,-0.049100000000000005
2004-03-10,1.6916,1.6916,1.8311,1.6704,35740.0,-0.061
2004-03-11,1.6324,1.6324,1.6746,1.5816,61160.0,-0.035
2004-03-12,1.5478,1.5478,1.5985,1.4378,61050.0,-0.0518
2004-03-15,1.6324,1.6324,1.7043,1.5224,28250.0,0.0547
2004-03-16,1.7,1.7,1.7677,1.6746,19800.0,0.0414
2004-03-17,1.6493,1.6493,1.7,1.6154,57430.0,-0.0298
2004-03-18,1.6493,1.6493,1.6493,1.6281,8750.0,0.0
2004-03-19,1.8162,1.8162,1.8162,1.7423,10500.0,0.1012
2004-03-22,1.7761,1.7761,1.8523,1.7761,43450.0,-0.022099999999999998
2004-03-23,1.8184,1.8184,1.8607,1.7743,31550.0,0.023799999999999998
2004-03-24,1.8184,1.8184,1.8396,1.7677,7000.0,0.0
2004-03-25,1.7351,1.7351,1.7761,1.6662,25700.0,-0.0458
2004-03-26,1.6831,1.6831,1.8015,1.6831,6200.0,-0.03
2004-03-29,1.8311,1.8311,1.8311,1.7169,9210.0,0.08789999999999999
2004-03-30,1.8726,1.8726,1.8861,1.7846,12790.0,0.0227
2004-03-31,1.8734,1.8734,1.9199,1.8734,41550.0,0.0004
