Date,Close,Open,High,Low,Volume,Change
1980-03-18,1.45,1.45,1.46,1.45,628800.0,-0.013600000000000001
1980-03-19,1.43,1.43,1.45,1.43,136000.0,-0.0138
1980-03-20,1.42,1.42,1.44,1.42,27200.0,-0.006999999999999999
1980-03-21,1.42,1.42,1.42,1.42,56000.0,0.0
1980-03-24,1.42,1.42,1.44,1.41,267200.0,0.0
1980-03-25,1.42,1.42,1.42,1.41,112000.0,0.0
1980-03-26,1.4,1.4,1.44,1.4,419200.0,-0.0141
1980-03-27,1.38,1.38,1.4,1.38,96000.0,-0.0143
1980-03-28,1.41,1.41,1.41,1.4,302400.0,0.0217
1980-03-31,1.45,1.45,1.45,1.42,1020000.0,0.028399999999999998
1980-04-01,1.48,1.48,1.48,1.44,259200.0,0.0207
1980-04-02,1.49,1.49,1.5,1.46,1260000.0,0.0068000000000000005
1980-04-03,1.51,1.51,1.51,1.5,46400.0,0.0134
1980-04-07,1.51,1.51,1.52,1.51,33600.0,0.0
1980-04-08,1.48,1.48,1.5,1.46,203200.0,-0.0199
1980-04-09,1.48,1.48,1.53,1.48,196800.0,0.0
1980-04-10,1.5,1.5,1.53,1.5,131200.0,0.013500000000000002
1980-04-11,1.51,1.51,1.51,1.51,432000.0,0.0067
1980-04-14,1.5,1.5,1.5,1.49,120000.0,-0.0066
1980-04-15,1.5,1.5,1.52,1.5,590400.0,0.0
1980-04-16,1.51,1.51,1.51,1.5,144000.0,0.0067
1980-04-17,1.49,1.49,1.5,1.49,208000.0,-0.0132
1980-04-18,1.46,1.46,1.48,1.46,24000.0,-0.020099999999999996
1980-04-21,1.44,1.44,1.48,1.43,292800.0,-0.0137
1980-04-22,1.49,1.49,1.5,1.45,500800.0,0.0347
1980-04-23,1.5,1.5,1.51,1.49,1040000.0,0.0067
1980-04-24,1.52,1.52,1.52,1.48,156800.0,0.013300000000000001
1980-04-25,1.51,1.51,1.51,1.5,27200.0,-0.0066
