Date,Close,Open,High,Low,Volume,Change
1980-03-18,6.78,6.78,6.78,6.3,130669.99999999999,0.0762
1980-03-19,6.56,6.56,6.83,6.56,185600.0,-0.032400000000000005
1980-03-20,6.62,6.62,6.62,6.51,69070.0,0.0091
1980-03-21,6.56,6.56,6.62,6.51,58270.0,-0.0091
1980-03-24,6.4,6.4,6.51,6.35,72000.0,-0.024399999999999998
1980-03-25,6.46,6.46,6.51,6.3,205330.0,0.009399999999999999
1980-03-26,6.56,6.56,6.67,6.51,48800.0,0.0155
1980-03-27,6.46,6.46,6.56,6.46,58130.0,-0.0152
1980-03-28,6.56,6.56,6.56,6.51,20130.0,0.0155
1980-03-31,6.78,6.78,6.78,6.51,44000.0,0.0335
1980-04-01,7.04,7.04,7.1,6.78,82930.0,0.0383
1980-04-02,7.04,7.04,7.15,6.99,80670.0,0.0
1980-04-03,7.1,7.1,7.2,7.04,229200.0,0.0085
1980-04-07,6.88,6.88,7.1,6.83,413070.0,-0.031
1980-04-08,6.99,6.99,6.99,6.83,159470.0,0.016
1980-04-09,7.15,7.15,7.2,6.99,170530.0,0.0229
1980-04-10,7.36,7.36,7.36,7.2,107600.0,0.0294
1980-04-11,7.42,7.42,7.58,7.36,98400.0,0.008199999999999999
1980-04-14,7.36,7.36,7.47,7.31,138270.0,-0.008100000000000001
1980-04-15,7.26,7.26,7.31,7.15,57730.0,-0.013600000000000001
1980-04-16,7.52,7.52,7.63,7.31,192800.0,0.0358
1980-04-17,7.74,7.74,7.79,7.52,91600.0,0.029300000000000003
1980-04-18,7.79,7.79,7.79,7.68,73070.0,0.006500000000000001
1980-04-21,7.84,7.84,7.84,7.74,57870.0,0.0064
1980-04-22,7.9,7.9,7.9,7.68,75070.0,0.0077
1980-04-23,7.84,7.84,7.95,7.84,115330.0,-0.0076
1980-04-24,7.95,7.95,8.0,7.79,204530.0,0.013999999999999999
1980-04-25,7.95,7.95,7.95,7.84,34800.0,0.0
1980-04-28,7.9,7.9,7.95,7.84,30930.0,-0.0063
1980-04-29,7.95,7.95,7.95,7.9,33600.0,0.0063
1980-04-30,7.95,7.95,8.0,7.9,205470.0,0.0
1980-05-01,7.95,7.95,8.06,7.95,163470.0,0.0
1980-05-02,7.95,7.95,8.0,7.9,139870.0,0.0
1980-05-05,8.0,8.0,8.06,7.84,131200.0,0.0063
1980-05-06,8.06,8.06,8.06,7.95,223600.0,0.0075
1980-05-07,8.11,8.11,8.22,8.0,171870.0,0.0062
1980-05-08,8.0,8.0,8.11,7.95,39470.0,-0.013600000000000001
1980-05-09,7.79,7.79,7.95,7.74,116800.0,-0.0263
1980-05-12,7.52,7.52,7.58,7.36,85070.0,-0.0347
1980-05-13,7.63,7.63,7.68,7.52,54400.0,0.0146
1980-05-14,7.74,7.74,7.74,7.58,29470.0,0.0144
1980-05-15,7.52,7.52,7.74,7.47,112000.0,-0.028399999999999998
1980-05-16,7.42,7.42,7.52,7.42,29200.0,-0.013300000000000001
1980-05-19,7.42,7.42,7.47,7.36,186530.0,0.0
1980-05-20,7.31,7.31,7.36,7.15,88670.0,-0.0148
1980-05-21,7.26,7.26,7.36,7.2,468270.0,-0.0068000000000000005
1980-05-22,7.42,7.42,7.42,7.26,99330.0,0.022000000000000002
1980-05-23,7.36,7.36,7.47,7.36,48930.0,-0.008100000000000001
1980-05-27,7.58,7.58,7.58,7.31,295200.0,0.029900000000000003
1980-05-28,7.52,7.52,7.63,7.47,67470.0,-0.0079
1980-05-29,7.47,7.47,7.58,7.36,93600.0,-0.0066
1980-05-30,7.47,7.47,7.47,7.42,60530.0,0.0
1980-06-02,7.36,7.36,7.47,7.36,56000.0,-0.0147
1980-06-03,7.47,7.47,7.47,7.36,43870.0,0.0149
1980-06-04,7.52,7.52,7.58,7.42,68930.0,0.0067
1980-06-05,7.58,7.58,7.63,7.52,69470.0,0.008
1980-06-06,7.58,7.58,7.68,7.52,41330.0,0.0
1980-06-09,7.58,7.58,7.68,7.52,62530.0,0.0
1980-06-10,7.58,7.58,7.63,7.52,85870.0,0.0
1980-06-11,7.58,7.58,7.63,7.52,78270.0,0.0
1980-06-12,7.58,7.58,7.74,7.58,51330.0,0.0
1980-06-13,7.95,7.95,7.95,7.68,58930.0,0.048799999999999996
1980-06-16,7.9,7.9,7.95,7.84,92930.0,-0.0063
1980-06-17,8.11,8.11,8.16,7.9,116000.0,0.026600000000000002
1980-06-18,8.11,8.11,8.16,8.0,96800.0,0.0
1980-06-19,8.11,8.11,8.16,8.06,41330.0,0.0
1980-06-20,8.0,8.0,8.06,8.0,49470.0,-0.013600000000000001
1980-06-23,8.0,8.0,8.06,7.95,45470.0,0.0
1980-06-24,8.0,8.0,8.06,7.95,107600.0,0.0
1980-06-25,8.06,8.06,8.06,8.0,39870.0,0.0075
1980-06-26,8.06,8.06,8.11,8.0,84270.0,0.0
1980-06-27,8.0,8.0,8.06,7.9,32530.0,-0.0074
1980-06-30,7.9,7.9,8.0,7.79,44670.0,-0.0125
1980-07-01,7.9,7.9,7.9,7.79,70930.0,0.0
1980-07-02,7.84,7.84,8.0,7.84,137730.0,-0.0076
1980-07-03,7.95,7.95,7.95,7.84,68000.0,0.013999999999999999
1980-07-07,8.0,8.0,8.06,7.9,172530.0,0.0063
1980-07-08,7.95,7.95,8.06,7.95,113330.0,-0.0063
1980-07-09,8.0,8.0,8.0,7.9,40270.0,0.0063
1980-07-10,7.95,7.95,8.0,7.95,26530.0,-0.0063
1980-07-11,8.0,8.0,8.0,7.95,47870.0,0.0063
1980-07-14,8.0,8.0,8.0,7.9,158930.0,0.0
1980-07-15,7.9,7.9,8.06,7.9,50130.0,-0.0125
1980-07-16,7.95,7.95,8.0,7.9,49730.0,0.0063
1980-07-17,7.9,7.9,8.0,7.74,934930.0,-0.0063
1980-07-18,7.84,7.84,7.9,7.79,30930.0,-0.0076
1980-07-21,7.79,7.79,7.84,7.74,171200.0,-0.0064
1980-07-22,7.74,7.74,7.79,7.74,27330.0,-0.0064
1980-07-23,7.74,7.74,7.74,7.68,85330.0,0.0
1980-07-24,7.63,7.63,7.74,7.52,91470.0,-0.014199999999999999
1980-07-25,7.68,7.68,7.68,7.63,30130.0,0.0066
1980-07-28,7.63,7.63,7.74,7.58,43330.0,-0.006500000000000001
1980-07-29,7.63,7.63,7.63,7.58,26530.0,0.0
1980-07-30,7.58,7.58,7.63,7.52,100670.0,-0.0066
1980-07-31,7.47,7.47,7.63,7.47,422270.0,-0.014499999999999999
1980-08-01,7.47,7.47,7.58,7.42,196400.0,0.0
1980-08-04,7.31,7.31,7.42,7.2,196930.0,-0.021400000000000002
1980-08-05,7.42,7.42,7.47,7.26,172670.0,0.015
1980-08-06,7.36,7.36,7.42,7.36,17730.0,-0.008100000000000001
1980-08-07,7.31,7.31,7.42,7.26,207330.0,-0.0068000000000000005
1980-08-08,7.31,7.31,7.42,7.31,28400.0,0.0
1980-08-11,7.31,7.31,7.47,7.31,31600.0,0.0
1980-08-12,7.31,7.31,7.36,7.26,84670.0,0.0
1980-08-13,7.26,7.26,7.36,7.26,48530.0,-0.0068000000000000005
1980-08-14,7.31,7.31,7.31,7.26,39470.0,0.0069
1980-08-15,7.31,7.31,7.31,7.26,27600.0,0.0
1980-08-18,7.36,7.36,7.36,7.26,32400.0,0.0068000000000000005
1980-08-19,7.36,7.36,7.42,7.36,157870.0,0.0
1980-08-20,7.52,7.52,7.63,7.36,563600.0,0.0217
1980-08-21,7.52,7.52,7.63,7.47,74670.0,0.0
1980-08-22,7.63,7.63,7.63,7.47,55330.0,0.0146
1980-08-25,7.58,7.58,7.63,7.52,37600.0,-0.0066
1980-08-26,7.58,7.58,7.58,7.52,54670.0,0.0
1980-08-27,7.36,7.36,7.52,7.36,124130.0,-0.028999999999999998
1980-08-28,7.36,7.36,7.42,7.36,46670.0,0.0
1980-08-29,7.36,7.36,7.42,7.31,125470.0,0.0
1980-09-02,7.47,7.47,7.52,7.36,33200.0,0.0149
1980-09-03,7.63,7.63,7.63,7.47,100000.0,0.021400000000000002
1980-09-04,7.58,7.58,7.63,7.47,73870.0,-0.0066
1980-09-05,7.52,7.52,7.58,7.52,178130.0,-0.0079
1980-09-08,7.47,7.47,7.52,7.47,35870.0,-0.0066
1980-09-09,7.52,7.52,7.52,7.42,111070.0,0.0067
1980-09-10,7.52,7.52,7.52,7.47,36670.0,0.0
1980-09-11,7.52,7.52,7.58,7.47,225470.0,0.0
1980-09-12,7.42,7.42,7.52,7.42,36930.0,-0.013300000000000001
1980-09-15,7.42,7.42,7.47,7.42,33870.0,0.0
1980-09-16,7.42,7.42,7.47,7.36,113730.0,0.0
1980-09-17,7.52,7.52,7.52,7.42,78000.0,0.013500000000000002
1980-09-18,7.58,7.58,7.58,7.47,202800.0,0.008
1980-09-19,7.68,7.68,7.68,7.52,107070.0,0.0132
1980-09-22,7.63,7.63,7.68,7.58,101330.0,-0.006500000000000001
1980-09-23,7.58,7.58,7.68,7.58,108130.0,-0.0066
1980-09-24,7.58,7.58,7.63,7.58,44000.0,0.0
1980-09-25,7.52,7.52,7.58,7.52,24000.0,-0.0079
1980-09-26,7.47,7.47,7.58,7.47,35070.0,-0.0066
1980-09-29,7.52,7.52,7.52,7.47,71470.0,0.0067
1980-09-30,7.47,7.47,7.58,7.47,54800.0,-0.0066
1980-10-01,7.52,7.52,7.58,7.52,29200.0,0.0067
1980-10-02,7.52,7.52,7.58,7.47,63870.0,0.0
1980-10-03,7.52,7.52,7.58,7.52,67600.0,0.0
1980-10-06,7.58,7.58,7.63,7.58,181870.0,0.008
1980-10-07,7.63,7.63,7.63,7.58,308000.0,0.0066
1980-10-08,7.63,7.63,7.63,7.58,44930.0,0.0
1980-10-09,7.58,7.58,7.63,7.58,24800.0,-0.0066
1980-10-10,7.58,7.58,7.58,7.52,87330.0,0.0
1980-10-13,7.52,7.52,7.58,7.47,24530.0,-0.0079
1980-10-14,7.52,7.52,7.63,7.52,45870.0,0.0
1980-10-15,7.52,7.52,7.58,7.52,57070.0,0.0
1980-10-16,7.58,7.58,7.58,7.52,36400.0,0.008
1980-10-17,7.52,7.52,7.58,7.52,23200.0,-0.0079
1980-10-20,7.47,7.47,7.58,7.47,115200.0,-0.0066
1980-10-21,7.47,7.47,7.52,7.47,40670.0,0.0
1980-10-22,7.47,7.47,7.52,7.47,17330.0,0.0
1980-10-23,7.47,7.47,7.52,7.47,28930.0,0.0
1980-10-24,7.52,7.52,7.52,7.47,35200.0,0.0067
1980-10-27,7.42,7.42,7.52,7.42,41870.0,-0.013300000000000001
1980-10-28,7.47,7.47,7.52,7.42,100930.0,0.0067
1980-10-29,7.47,7.47,7.52,7.47,54670.0,0.0
1980-10-30,7.52,7.52,7.58,7.47,153200.0,0.0067
1980-10-31,7.1,7.1,7.31,7.1,492270.0,-0.0559
1980-11-03,7.04,7.04,7.52,7.04,94530.0,-0.0085
1980-11-05,7.15,7.15,7.26,7.1,166000.0,0.015600000000000001
1980-11-06,6.99,6.99,7.15,6.99,76400.0,-0.022400000000000003
1980-11-07,6.99,6.99,7.04,6.88,53470.0,0.0
1980-11-10,6.94,6.94,7.04,6.94,152000.0,-0.0072
1980-11-11,7.04,7.04,7.04,6.94,174530.0,0.0144
1980-11-12,7.2,7.2,7.2,7.1,251200.0,0.0227
1980-11-13,7.15,7.15,7.2,7.1,104670.0,-0.0069
1980-11-14,7.04,7.04,7.15,6.99,102270.0,-0.0154
