Date,Close,Open,High,Low,Volume,Change
2010-06-21,0.85,0.85,0.86,0.85,17740000.0,0.0
2010-06-23,0.8,0.84,0.84,0.8,48300000.0,-0.0588
2010-06-24,0.78,0.8,0.8,0.78,18730000.0,-0.025
2010-06-25,0.8,0.78,0.8,0.78,14460000.0,0.0256
2010-06-28,0.79,0.79,0.8,0.79,9700000.0,-0.0125
2010-06-29,0.78,0.79,0.8,0.78,10730000.0,-0.0127
2010-06-30,0.78,0.78,0.79,0.78,26430000.0,0.0
2010-07-01,0.78,0.78,0.79,0.77,38260000.0,0.0
2010-07-02,0.78,0.79,0.79,0.78,27350000.0,0.0
2010-07-05,0.77,0.77,0.78,0.77,13640000.0,0.0
2010-07-06,0.78,0.77,0.78,0.76,22230000.0,0.013000000000000001
2010-07-07,0.8,0.78,0.8,0.78,21100000.0,0.0256
2010-07-08,0.8,0.8,0.81,0.8,19520000.0,0.0
2010-07-09,0.81,0.81,0.81,0.8,8600000.0,0.0125
2010-07-12,0.83,0.82,0.83,0.82,26310000.0,0.024700000000000003
2010-07-13,0.82,0.83,0.83,0.82,26110000.0,-0.012
2010-07-14,0.84,0.83,0.84,0.83,20860000.0,0.024399999999999998
2010-07-15,0.81,0.84,0.84,0.81,17530000.0,-0.035699999999999996
2010-07-16,0.81,0.81,0.81,0.8,15000000.0,0.0
2010-07-19,0.8,0.8,0.8,0.79,20680000.0,-0.0123
2010-07-20,0.8,0.8,0.81,0.79,46970000.0,0.0
2010-07-21,0.85,0.84,0.85,0.84,76810000.0,0.0625
2010-07-22,0.83,0.84,0.84,0.83,50780000.0,-0.0235
2010-07-23,0.83,0.84,0.84,0.83,32330000.0,0.0
2010-07-26,0.84,28.91,28.91,0.84,21200000.0,0.012
2010-07-27,0.84,0.85,0.85,0.84,30040000.0,0.0
2010-07-30,0.82,0.83,0.83,0.82,16190000.000000002,-0.023799999999999998
2010-08-02,0.83,0.83,0.84,0.82,15200000.0,0.012199999999999999
2010-08-03,0.83,0.84,0.84,0.83,22250000.0,0.0
2010-08-04,0.83,0.84,0.84,0.83,26680000.0,0.0
2010-08-05,0.82,0.83,0.83,0.82,18190000.0,-0.012
2010-08-06,0.83,0.83,0.84,0.83,31370000.0,0.012199999999999999
2010-08-09,0.83,0.82,0.83,0.82,11140000.0,0.0
2010-08-10,0.83,0.84,0.84,0.83,26550000.0,0.0
2010-08-11,0.82,0.83,0.83,0.82,23700000.0,-0.012
