Date,Close,Open,High,Low,Volume,Change
1980-03-17,1.12,1.12,1.16,1.12,486400.0,-0.9943000000000001
1980-03-18,1.14,1.14,1.17,1.14,859200.0,0.0179
1980-03-19,1.15,1.15,1.18,1.15,622400.0,0.0088
1980-03-20,1.15,1.15,1.18,1.15,374400.0,0.0
1980-03-21,1.15,1.15,1.18,1.15,364800.0,0.0
1980-03-24,1.12,1.12,1.16,1.12,168000.0,-0.026099999999999998
1980-03-25,1.08,1.08,1.11,1.08,547200.0,-0.035699999999999996
1980-03-26,1.06,1.06,1.09,1.06,980800.0,-0.018500000000000003
1980-03-27,1.01,1.01,1.04,1.01,710400.0,-0.0472
1980-03-28,1.04,1.04,1.07,1.04,712000.0,0.0297
1980-03-31,1.08,1.08,1.11,1.08,1020000.0,0.0385
1980-04-01,1.1,1.1,1.13,1.1,766400.0,0.018500000000000003
1980-04-02,1.12,1.12,1.16,1.12,827200.0,0.0182
1980-04-03,1.12,1.12,1.15,1.12,315200.0,0.0
1980-04-07,1.1,1.1,1.13,1.1,417600.0,-0.0179
1980-04-08,1.11,1.11,1.14,1.11,243200.0,0.0091
1980-04-09,1.12,1.12,1.15,1.12,235200.0,0.009000000000000001
1980-04-10,1.12,1.12,1.16,1.12,324800.0,0.0
1980-04-11,1.12,1.12,1.16,1.12,259200.0,0.0
1980-04-14,1.13,1.13,1.16,1.13,536000.0,0.0089
1980-04-15,1.13,1.13,1.16,1.13,588800.0,0.0
1980-04-16,1.11,1.11,1.14,1.11,507200.0,-0.0177
1980-04-17,1.11,1.11,1.14,1.11,995200.0,0.0
1980-04-18,1.11,1.11,1.14,1.11,259200.0,0.0
1980-04-21,1.1,1.1,1.13,1.1,502400.0,-0.009000000000000001
1980-04-22,1.12,1.12,1.16,1.12,792000.0,0.0182
1980-04-23,1.19,1.19,1.22,1.19,360000.0,0.0625
1980-04-24,1.22,1.22,1.25,1.22,347200.0,0.0252
1980-04-25,1.22,1.22,1.25,1.22,140800.0,0.0
1980-04-28,1.23,1.23,1.26,1.23,475200.0,0.008199999999999999
1980-04-29,1.23,1.23,1.26,1.23,296000.0,0.0
1980-04-30,1.2,1.2,1.23,1.2,723200.0,-0.024399999999999998
1980-05-01,1.17,1.17,1.2,1.17,150400.0,-0.025
1980-05-02,1.19,1.19,1.22,1.19,132800.0,0.0171
1980-05-05,1.19,1.19,1.22,1.19,51200.0,0.0
1980-05-06,1.19,1.19,1.22,1.19,403200.0,0.0
1980-05-07,1.2,1.2,1.23,1.2,548800.0,0.0084
1980-05-08,1.2,1.2,1.23,1.2,398400.0,0.0
1980-05-09,1.21,1.21,1.24,1.21,248000.0,0.0083
1980-05-12,1.2,1.2,1.23,1.2,344000.0,-0.0083
1980-05-13,1.2,1.2,1.23,1.2,112000.0,0.0
1980-05-14,1.24,1.24,1.27,1.24,580800.0,0.0333
1980-05-15,1.3,1.3,1.34,1.3,752000.0,0.0484
1980-05-16,1.31,1.31,1.34,1.31,764800.0,0.0077
1980-05-19,1.28,1.28,1.31,1.28,593600.0,-0.0229
1980-05-20,1.26,1.26,1.29,1.26,286400.0,-0.015600000000000001
1980-05-21,1.26,1.26,1.29,1.26,1760000.0,0.0
1980-05-22,1.26,1.26,1.29,1.26,192000.0,0.0
1980-05-23,1.25,1.25,1.28,1.25,180800.0,-0.0079
1980-05-27,1.28,1.28,1.31,1.28,753600.0,0.024
1980-05-28,1.28,1.28,1.31,1.28,608000.0,0.0
1980-05-29,1.29,1.29,1.32,1.29,672000.0,0.0078000000000000005
1980-05-30,1.28,1.28,1.31,1.28,769600.0,-0.0078000000000000005
1980-06-02,1.28,1.28,1.31,1.28,1260000.0,0.0
1980-06-03,1.28,1.28,1.31,1.28,190400.0,0.0
1980-06-04,1.28,1.28,1.31,1.28,262400.0,0.0
1980-06-05,1.28,1.28,1.31,1.28,257600.00000000003,0.0
1980-06-06,1.32,1.32,1.35,1.32,1160000.0,0.0313
1980-06-09,1.31,1.31,1.34,1.31,340800.0,-0.0076
1980-06-10,1.33,1.33,1.36,1.33,248000.0,0.015300000000000001
1980-06-11,1.34,1.34,1.38,1.34,436800.0,0.0075
1980-06-12,1.35,1.35,1.38,1.35,587200.0,0.0075
1980-06-13,1.34,1.34,1.38,1.34,190400.0,-0.0074
1980-06-16,1.36,1.36,1.39,1.36,454400.0,0.0149
1980-06-17,1.37,1.37,1.4,1.37,257600.00000000003,0.0074
1980-06-18,1.34,1.34,1.38,1.34,259200.0,-0.0219
1980-06-19,1.35,1.35,1.38,1.35,553600.0,0.0075
1980-06-20,1.38,1.38,1.41,1.38,584000.0,0.0222
1980-06-23,1.39,1.39,1.42,1.39,312000.0,0.0072
1980-06-24,1.39,1.39,1.42,1.39,590400.0,0.0
1980-06-25,1.44,1.44,1.47,1.44,998400.0,0.036000000000000004
1980-06-26,1.41,1.41,1.44,1.41,811200.0,-0.0208
1980-06-27,1.41,1.41,1.44,1.41,339200.0,0.0
1980-06-30,1.38,1.38,1.41,1.38,268800.0,-0.0213
1980-07-01,1.38,1.38,1.41,1.38,169600.0,0.0
1980-07-02,1.24,1.24,1.27,1.24,1770000.0,-0.1014
1980-07-03,1.25,1.25,1.28,1.25,2800000.0,0.008100000000000001
1980-07-07,1.26,1.26,1.27,1.26,1580000.0,0.008
