Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.44,0.44,0.44,0.44,19200.0,-0.0222
1980-03-20,0.44,0.44,0.44,0.44,2400.0,0.0
1980-03-21,0.43,0.43,0.44,0.43,12000.0,-0.0227
1980-03-24,0.43,0.43,0.44,0.43,9600.0,0.0
1980-03-25,0.43,0.43,0.43,0.43,2400.0,0.0
1980-03-26,0.43,0.43,0.43,0.43,9600.0,0.0
1980-03-27,0.43,0.43,0.43,0.43,28800.0,0.0
1980-03-28,0.42,0.42,0.43,0.42,67200.0,-0.0233
1980-03-31,0.42,0.42,0.43,0.42,19200.0,0.0
1980-04-01,0.43,0.43,0.43,0.43,14400.0,0.023799999999999998
1980-04-02,0.43,0.43,0.43,0.43,9600.0,0.0
1980-04-03,0.43,0.43,0.43,0.42,38400.0,0.0
1980-04-07,0.42,0.42,0.42,0.42,28800.0,-0.0233
1980-04-08,0.42,0.42,0.42,0.41,33600.0,0.0
1980-04-09,0.42,0.42,0.42,0.42,12000.0,0.0
1980-04-11,0.42,0.42,0.42,0.41,31200.0,0.0
1980-04-14,0.42,0.42,0.42,0.42,48000.0,0.0
1980-04-15,0.43,0.43,0.43,0.42,24000.0,0.023799999999999998
1980-04-16,0.43,0.43,0.43,0.43,21600.0,0.0
1980-04-17,0.43,0.43,0.43,0.43,36000.0,0.0
1980-04-18,0.42,0.42,0.43,0.42,16800.0,-0.0233
1980-04-21,0.42,0.42,0.43,0.42,24000.0,0.0
1980-04-22,0.42,0.42,0.43,0.42,36000.0,0.0
1980-04-23,0.44,0.44,0.44,0.43,33600.0,0.047599999999999996
1980-04-24,0.45,0.45,0.45,0.44,124800.0,0.0227
1980-04-25,0.45,0.45,0.45,0.45,24000.0,0.0
1980-04-28,0.47,0.47,0.47,0.46,36000.0,0.0444
1980-04-29,0.47,0.47,0.47,0.47,7200.0,0.0
1980-04-30,0.48,0.48,0.49,0.46,64800.0,0.0213
1980-05-01,0.52,0.52,0.52,0.49,79200.0,0.0833
1980-05-02,0.54,0.54,0.54,0.52,76800.0,0.0385
1980-05-05,0.53,0.53,0.54,0.53,31200.0,-0.018500000000000003
1980-05-06,0.52,0.52,0.53,0.52,7200.0,-0.0189
1980-05-07,0.52,0.52,0.53,0.51,45600.0,0.0
1980-05-08,0.53,0.53,0.53,0.52,74400.0,0.0192
1980-05-09,0.53,0.53,0.53,0.52,64800.0,0.0
1980-05-12,0.53,0.53,0.53,0.52,67200.0,0.0
1980-05-13,0.52,0.52,0.53,0.52,7200.0,-0.0189
1980-05-14,0.53,0.53,0.53,0.52,16800.0,0.0192
1980-05-15,0.53,0.53,0.53,0.53,52800.0,0.0
1980-05-16,0.53,0.53,0.53,0.53,40800.0,0.0
1980-05-19,0.51,0.51,0.51,0.51,4800.0,-0.0377
1980-05-20,0.51,0.51,0.51,0.51,12000.0,0.0
1980-05-21,0.51,0.51,0.51,0.51,21600.0,0.0
1980-05-22,0.51,0.51,0.51,0.51,19200.0,0.0
1980-05-23,0.51,0.51,0.51,0.51,4800.0,0.0
1980-05-27,0.51,0.51,0.51,0.51,43200.0,0.0
1980-05-28,0.51,0.51,0.51,0.51,9600.0,0.0
1980-05-29,0.52,0.52,0.52,0.51,43200.0,0.0196
1980-06-02,0.51,0.51,0.51,0.51,12000.0,-0.0192
1980-06-03,0.52,0.52,0.52,0.52,2400.0,0.0196
1980-06-04,0.53,0.53,0.53,0.52,38400.0,0.0192
1980-06-05,0.53,0.53,0.53,0.52,9600.0,0.0
1980-06-06,0.53,0.53,0.53,0.53,21600.0,0.0
1980-06-09,0.53,0.53,0.53,0.53,33600.0,0.0
1980-06-11,0.53,0.53,0.53,0.53,31200.0,0.0
1980-06-12,0.52,0.52,0.53,0.52,19200.0,-0.0189
1980-06-13,0.53,0.53,0.53,0.53,33600.0,0.0192
1980-06-16,0.53,0.53,0.54,0.53,67200.0,0.0
1980-06-17,0.55,0.55,0.55,0.54,79200.0,0.0377
1980-06-18,0.58,0.58,0.58,0.57,93600.0,0.0545
1980-06-19,0.58,0.58,0.58,0.58,52800.0,0.0
1980-06-20,0.57,0.57,0.58,0.57,93600.0,-0.0172
1980-06-23,0.56,0.56,0.57,0.55,110400.0,-0.0175
1980-06-24,0.56,0.56,0.56,0.56,2400.0,0.0
1980-06-25,0.56,0.56,0.56,0.56,2400.0,0.0
1980-06-27,0.56,0.56,0.56,0.56,14400.0,0.0
1980-06-30,0.55,0.55,0.55,0.55,14400.0,-0.0179
1980-07-01,0.53,0.53,0.55,0.53,33600.0,-0.0364
1980-07-02,0.54,0.54,0.54,0.54,21600.0,0.0189
1980-07-03,0.54,0.54,0.54,0.54,7200.0,0.0
1980-07-07,0.54,0.54,0.54,0.53,28800.0,0.0
1980-07-08,0.53,0.53,0.54,0.53,122400.0,-0.018500000000000003
1980-07-09,0.54,0.54,0.54,0.53,19200.0,0.0189
1980-07-10,0.54,0.54,0.54,0.53,45600.0,0.0
1980-07-11,0.54,0.54,0.54,0.53,21600.0,0.0
1980-07-14,0.55,0.55,0.56,0.54,36000.0,0.018500000000000003
1980-07-15,0.56,0.56,0.56,0.56,14400.0,0.0182
1980-07-16,0.55,0.55,0.56,0.55,31200.0,-0.0179
1980-07-17,0.55,0.55,0.55,0.55,36000.0,0.0
1980-07-18,0.55,0.55,0.57,0.55,31200.0,0.0
1980-07-21,0.57,0.57,0.57,0.56,36000.0,0.0364
1980-07-22,0.57,0.57,0.57,0.57,50400.0,0.0
1980-07-23,0.57,0.57,0.57,0.56,12000.0,0.0
1980-07-24,0.56,0.56,0.57,0.56,28800.0,-0.0175
1980-07-25,0.56,0.56,0.57,0.56,4800.0,0.0
1980-07-28,0.55,0.55,0.56,0.55,24000.0,-0.0179
1980-07-29,0.56,0.56,0.56,0.55,43200.0,0.0182
1980-07-30,0.56,0.56,0.56,0.56,33600.0,0.0
1980-07-31,0.56,0.56,0.56,0.56,33600.0,0.0
1980-08-01,0.57,0.57,0.57,0.56,60000.0,0.0179
1980-08-04,0.57,0.57,0.57,0.56,14400.0,0.0
1980-08-05,0.57,0.57,0.57,0.56,52800.0,0.0
1980-08-06,0.57,0.57,0.57,0.57,7200.0,0.0
1980-08-07,0.56,0.56,0.56,0.56,7200.0,-0.0175
1980-08-08,0.56,0.56,0.57,0.56,36000.0,0.0
