Date,Close,Open,High,Low,Volume,Change
2012-03-30,7.34,7.5,8.24,7.06,5050000.0,0.5991
2012-04-02,7.81,7.65,8.2,7.4,495410.0,0.064
2012-04-03,7.64,7.75,7.8,7.5,316630.0,-0.0218
2012-04-04,7.45,7.77,7.77,7.31,165100.0,-0.024900000000000002
2012-04-05,7.43,7.48,7.55,7.37,104300.0,-0.0027
2012-04-09,6.98,7.89,7.89,6.62,123210.0,-0.060599999999999994
2012-04-10,7.07,7.09,7.23,6.97,247220.0,0.0129
2012-04-11,7.13,7.25,7.53,7.0,161810.0,0.0085
2012-04-12,7.3,7.56,7.56,7.08,41690.0,0.023799999999999998
2012-04-13,7.1,7.69,7.69,7.0,92180.0,-0.0274
2012-04-16,7.16,7.15,7.16,6.73,70150.0,0.0085
2012-04-17,7.0,7.15,7.15,6.8,108530.0,-0.0223
2012-04-18,7.29,6.96,7.3,6.82,54240.0,0.0414
2012-04-19,7.04,7.21,7.29,7.0,23090.0,-0.034300000000000004
2012-04-20,7.02,7.05,7.19,7.02,32400.0,-0.0028000000000000004
2012-04-23,6.98,7.0,7.2,6.85,15580.0,-0.005699999999999999
2012-04-24,6.91,7.09,7.12,6.84,86000.0,-0.01
2012-04-25,6.88,6.94,6.96,6.84,21360.0,-0.0043
2012-04-26,6.86,6.9,6.9,6.8,15000.0,-0.0029
2012-04-27,6.75,6.84,6.85,6.75,24110.0,-0.016
2012-04-30,7.28,7.2,7.45,7.09,259769.99999999997,0.0785
2012-05-01,7.92,7.5,8.1,7.18,362390.0,0.08789999999999999
2012-05-02,8.0,8.0,8.0,7.75,65630.0,0.0101
2012-05-03,8.82,8.09,9.57,7.95,278870.0,0.1025
2012-05-04,8.36,8.79,9.44,7.57,171010.0,-0.052199999999999996
2012-05-07,8.34,8.37,8.4,7.73,87420.0,-0.0024
2012-05-08,8.48,8.3,8.71,8.04,87230.0,0.0168
2012-05-09,8.65,8.61,8.89,8.22,116810.0,0.02
2012-05-10,8.6,8.94,8.94,8.3,80740.0,-0.0058
2012-05-11,8.43,8.74,8.74,8.37,40820.0,-0.019799999999999998
2012-05-14,8.22,8.4,8.64,8.09,84630.0,-0.024900000000000002
2012-05-15,8.4,8.27,8.53,8.22,20710.0,0.0219
2012-05-16,8.32,8.33,8.47,8.17,14700.0,-0.0095
2012-05-17,8.41,8.41,8.45,8.13,43450.0,0.0108
2012-05-18,7.99,8.32,8.4,7.75,40540.0,-0.0499
2012-05-21,8.1,8.06,8.41,8.0,56570.0,0.0138
2012-05-22,7.99,8.49,8.49,7.81,33170.0,-0.013600000000000001
