Date,Close,Open,High,Low,Volume,Change
2021-01-06,12.75,13.48,13.75,11.79,21140.0,0.0159
2021-01-07,13.93,13.02,14.33,12.82,20550.0,0.0925
2021-01-08,13.7,18.88,20.06,13.25,102390.0,-0.0165
2021-01-11,12.67,13.26,14.0,12.04,128560.0,-0.07519999999999999
2021-01-12,13.78,12.75,17.75,12.75,218080.0,0.0876
2021-01-13,13.38,13.93,14.46,13.1,170900.0,-0.028999999999999998
2021-01-14,13.6,13.63,14.48,13.3,371450.0,0.016399999999999998
2021-01-15,13.79,13.88,13.96,13.15,91690.0,0.013999999999999999
2021-01-19,14.4,14.0,14.45,13.57,79150.0,0.044199999999999996
2021-01-20,14.39,14.35,14.99,13.95,76730.0,-0.0007000000000000001
2021-01-21,14.5,14.68,15.45,14.1,151860.0,0.0076
2021-01-22,15.0,15.57,15.59,14.5,166920.0,0.0345
2021-01-25,13.95,15.0,15.48,13.88,120610.0,-0.07
2021-01-26,13.04,14.05,14.95,12.76,187600.0,-0.0652
2021-01-27,12.5,12.94,13.21,12.15,243170.0,-0.0414
2021-01-28,12.67,12.32,13.07,12.25,134390.0,0.013600000000000001
2021-01-29,13.57,12.89,13.57,12.3,84620.0,0.071
2021-02-01,14.26,13.64,14.4,13.3,72950.0,0.0508
2021-02-02,14.78,14.58,14.78,14.0,73650.0,0.0365
2021-02-03,15.75,15.25,16.49,14.78,112350.0,0.06559999999999999
2021-02-04,15.55,15.85,15.85,15.18,34500.0,-0.0127
2021-02-05,15.98,15.55,16.0,15.0,71000.0,0.0277
2021-02-08,16.67,16.0,17.32,15.6,76150.0,0.0432
2021-02-09,16.57,16.73,16.8,15.99,31750.0,-0.0063
2021-02-10,16.13,16.38,17.47,16.06,78180.0,-0.0263
2021-02-11,15.95,15.93,16.87,15.5,86730.0,-0.011200000000000002
2021-02-12,15.75,16.0,16.88,15.72,223440.0,-0.0125
2021-02-16,16.0,16.0,17.4,15.91,52500.0,0.0159
2021-02-17,16.45,16.25,17.25,16.01,88330.0,0.0281
2021-02-18,15.94,16.5,16.88,15.61,44440.0,-0.031
2021-02-19,15.75,15.93,16.47,15.65,74710.0,-0.011899999999999999
2021-02-22,20.8,20.0,28.5,19.0,20230000.0,0.3206
2021-02-23,20.51,19.0,20.99,17.53,1450000.0,-0.0139
2021-02-24,19.91,20.45,21.86,18.12,684830.0,-0.029300000000000003
2021-02-25,16.56,19.3,19.75,16.42,871660.0,-0.16829999999999998
2021-02-26,15.31,16.12,17.42,15.16,507810.0,-0.0755
2021-03-01,19.18,16.5,19.26,15.83,1100000.0,0.2528
2021-03-02,18.14,19.18,19.6,17.56,308400.0,-0.0542
2021-03-03,16.4,18.49,18.49,16.28,361700.0,-0.0959
2021-03-04,14.88,16.4,16.71,13.05,886410.0,-0.09269999999999999
2021-03-05,14.39,14.55,15.49,12.71,552840.0,-0.0329
2021-03-08,13.78,14.44,14.93,13.62,830980.0,-0.0424
2021-03-09,14.1,14.09,14.85,14.01,231600.0,0.0232
2021-03-10,14.22,14.39,14.68,14.07,224610.0,0.0085
2021-03-11,14.67,15.5,16.73,14.3,978980.0,0.0316
2021-03-12,15.36,14.59,15.45,14.25,200660.0,0.047
2021-03-15,16.26,15.7,16.26,14.95,210280.0,0.058600000000000006
2021-03-16,15.87,16.15,16.15,15.61,130000.0,-0.024
2021-03-17,15.13,15.22,15.73,14.55,355890.0,-0.0466
2021-03-18,15.07,14.58,15.13,14.56,158240.0,-0.004
2021-03-19,14.4,14.7,15.24,14.13,346930.0,-0.044500000000000005
2021-03-22,14.24,14.4,14.82,14.05,179310.0,-0.0111
2021-03-23,13.99,14.75,14.75,13.5,215130.0,-0.0176
2021-03-24,13.86,13.81,15.03,13.67,397570.0,-0.009300000000000001
2021-03-25,13.51,13.36,13.72,12.77,284490.0,-0.0253
2021-03-26,13.91,13.4,13.91,13.3,132110.0,0.0296
2021-03-29,13.84,13.97,14.0,13.16,167120.0,-0.005
2021-03-30,13.1,13.4,13.6,12.85,992110.0,-0.0535
2021-03-31,13.31,13.38,14.0,13.12,177670.0,0.016
2021-04-01,14.07,13.61,14.38,13.61,161600.0,0.0571
2021-04-05,14.21,14.02,14.5,13.78,144340.0,0.01
2021-04-06,13.97,13.89,14.14,13.38,157760.0,-0.0169
2021-04-07,14.34,14.06,14.48,13.91,108810.0,0.0265
2021-04-08,17.49,14.12,17.87,13.9,868290.0,0.21969999999999998
2021-04-09,17.32,17.17,17.32,16.04,201140.0,-0.0097
2021-04-12,16.11,17.0,17.17,16.0,191810.0,-0.0699
2021-04-13,16.08,16.11,16.22,16.0,120110.0,-0.0019
2021-04-14,15.39,16.25,17.0,15.01,349750.0,-0.0429
2021-04-15,15.0,15.44,16.09,14.11,511010.0,-0.0253
2021-04-16,14.19,14.85,14.95,14.12,156090.0,-0.054000000000000006
2021-04-19,14.0,14.0,14.19,13.22,165850.0,-0.0134
2021-04-20,13.18,14.15,14.36,12.88,354930.0,-0.058600000000000006
2021-04-21,13.23,13.18,13.38,12.95,92880.0,0.0038
2021-04-22,13.31,13.3,13.75,13.1,269550.0,0.006
2021-04-23,13.42,13.5,13.75,13.25,54240.0,0.0083
2021-04-26,14.19,13.35,14.41,13.13,182920.0,0.0574
2021-04-27,13.8,14.06,14.2,13.1,171130.0,-0.0275
2021-04-28,13.5,13.71,13.71,13.21,109850.0,-0.0217
2021-04-29,13.35,13.7,13.72,13.31,41910.0,-0.0111
2021-04-30,13.81,13.26,13.84,13.26,76250.0,0.0345
2021-05-03,13.36,13.76,13.76,13.34,74550.0,-0.0326
2021-05-04,13.61,13.3,13.66,13.06,131640.0,0.0187
2021-05-05,13.13,13.5,13.6,13.0,123180.0,-0.0353
2021-05-06,13.09,13.33,13.33,13.0,193360.0,-0.003
2021-05-07,13.22,13.23,13.6,13.04,62430.0,0.009899999999999999
2021-05-10,12.5,13.26,13.27,12.5,100850.0,-0.0545
2021-05-11,12.67,12.0,12.75,11.81,163050.0,0.013600000000000001
2021-05-12,11.91,12.47,12.52,11.65,156550.0,-0.06
2021-05-13,12.07,11.89,12.4,11.89,194260.0,0.0134
2021-05-14,12.08,12.27,12.55,11.98,67320.0,0.0008
