Date,Close,Open,High,Low,Volume,Change
1996-08-09,10500.0,11000.0,11000.0,10500.0,10.0,0.05
1996-08-16,10500.0,10500.0,10500.0,10500.0,10.0,-0.125
1996-09-10,10500.0,10000.0,10500.0,10000.0,10.0,-0.125
1996-09-25,9000.0,9000.0,9437.5,9000.0,10.0,0.0
1996-11-08,6500.0,6000.0,7000.0,6000.0,10.0,0.0833
1996-11-22,6500.0,6500.0,6500.0,6500.0,20.0,0.0833
1996-11-25,6500.0,6500.0,6500.0,6500.0,10.0,0.0
1996-12-02,6000.0,6000.0,6000.0,6000.0,10.0,0.0
1996-12-10,5312.5,5312.5,5312.5,5312.5,40.0,0.049400000000000006
1996-12-18,4500.0,7000.0,7000.0,4000.0,20.0,0.0
1996-12-26,4000.0,4000.0,4187.5,4000.0,20.0,0.0
1997-04-15,3000.0,3500.0,4250.0,2000.0,10.0,-0.29410000000000003
1997-05-23,3812.5,3812.5,3812.5,3812.5,10.0,-0.1528
1997-09-30,3625.0,3500.0,3625.0,3500.0,10.0,0.035699999999999996
1997-10-08,2937.5,3000.0,3000.0,2937.5,10.0,-0.0208
1997-10-22,3500.0,3500.0,3875.0,3500.0,10.0,0.16670000000000001
1997-10-28,2812.5,2750.0,2812.5,2750.0,10.0,-0.1346
1997-11-06,2500.0,3000.0,3000.0,2500.0,10.0,-0.16670000000000001
1997-12-16,1875.0,1750.0,1875.0,1750.0,10.0,0.0345
1997-12-22,2000.0,1750.0,2000.0,1750.0,10.0,-0.2
1997-12-23,1812.5,1750.0,1812.5,1750.0,10.0,-0.09380000000000001
1997-12-26,1750.0,1750.0,1750.0,1625.0,10.0,0.16670000000000001
1997-12-29,1500.0,1750.0,1750.0,1500.0,10.0,-0.1429
1997-12-30,1000.0,1500.0,2000.0,1000.0,20.0,-0.3333
1998-01-05,1562.5,1562.5,1562.5,1562.5,10.0,0.25
1998-01-28,2875.0,2750.0,2875.0,2750.0,10.0,-0.0417
1998-01-30,1500.0,2000.0,2250.0,1500.0,10.0,-0.25
1998-02-27,1625.0,1750.0,2125.0,1625.0,10.0,-0.07139999999999999
1998-03-23,3000.0,2500.0,3000.0,2500.0,10.0,0.2
1998-04-22,1875.0,2625.0,2625.0,1875.0,10.0,-0.2857
1998-05-05,2000.0,2250.0,2250.0,2000.0,10.0,-0.15789999999999998
1998-05-27,1000.0,1125.0,1125.0,1000.0,10.0,-0.11109999999999999
1998-06-08,750.0,1000.0,1040.0,750.0,10.0,-0.25
1998-06-16,750.0,625.0,750.0,625.0,10.0,0.2
1998-06-25,750.0,875.0,875.0,750.0,10.0,0.44229999999999997
1998-07-07,1250.0,1375.0,1375.0,1250.0,10.0,0.5625
1998-07-28,1000.0,1000.0,1000.0,1000.0,10.0,0.0
1998-08-03,1000.0,1000.0,1000.0,1000.0,10.0,0.0
1998-08-04,750.0,1000.0,1000.0,750.0,10.0,-0.25
1998-08-26,720.0,750.0,840.0,720.0,10.0,-0.04
1998-08-31,320.0,750.0,750.0,320.0,10.0,-0.5493
1998-09-09,560.0,480.0,560.0,480.0,10.0,0.75
1998-09-25,440.0,440.0,440.0,400.0,70.0,-0.2143
1998-09-29,400.0,720.0,750.0,400.0,10.0,-0.0909
1998-10-14,440.0,480.0,480.0,440.0,10.0,0.1
1998-11-02,360.0,400.0,400.0,360.0,20.0,0.125
1998-11-20,500.0,400.0,880.0,360.0,50.0,1.0
1998-12-01,400.0,240.0,400.0,240.0,10.0,0.25
1998-12-02,680.0,500.0,800.0,500.0,50.0,0.7
1998-12-03,492.4,560.0,680.0,420.0,40.0,-0.2759
1998-12-08,320.0,480.0,480.0,320.0,10.0,-0.3333
1998-12-10,280.0,400.0,437.5,280.0,20.0,-0.125
1998-12-17,400.0,400.0,400.0,400.0,10.0,0.0
1998-12-18,340.4,320.0,400.0,280.0,20.0,-0.149
1998-12-22,400.0,200.0,400.0,200.0,10.0,0.0
1998-12-24,160.0,160.0,400.0,160.0,10.0,-0.6
1998-12-31,360.0,400.0,400.0,360.0,10.0,0.8
1999-01-06,400.0,500.0,620.0,400.0,10.0,0.11109999999999999
1999-01-12,440.0,440.0,440.0,440.0,10.0,-0.12
1999-01-13,480.0,400.0,480.0,400.0,10.0,0.0909
1999-01-19,440.0,480.0,480.0,440.0,20.0,0.0
1999-01-26,560.0,560.0,560.0,560.0,10.0,0.4
1999-01-29,680.0,520.0,720.0,520.0,20.0,0.2143
1999-02-04,520.0,440.0,520.0,440.0,10.0,0.1818
1999-02-09,680.0,600.0,680.0,520.0,10.0,0.3077
1999-02-19,400.0,440.0,500.0,400.0,20.0,-0.0909
1999-02-22,460.0,600.0,600.0,440.0,30.0,0.15
1999-02-26,440.0,420.0,480.0,420.0,10.0,-0.0435
1999-03-03,460.0,460.0,460.0,460.0,10.0,0.0
1999-03-08,1000.0,440.0,1500.0,440.0,40.0,1.5
1999-03-09,1250.0,1520.0,1680.0,1000.0,40.0,0.25
1999-03-10,500.0,1000.0,1000.0,500.0,10.0,-0.6
1999-03-11,625.0,875.0,875.0,500.0,10.0,0.25
1999-03-12,625.0,500.0,625.0,500.0,10.0,0.0
1999-03-17,500.0,560.0,560.0,500.0,10.0,-0.10710000000000001
1999-03-24,500.0,500.0,520.0,375.0,30.0,-0.10710000000000001
1999-04-16,500.0,500.0,500.0,500.0,10.0,0.3889
1999-04-19,372.0,440.0,440.0,360.0,10.0,-0.256
1999-04-21,375.0,360.0,375.0,320.0,10.0,0.0417
1999-04-27,200.0,500.0,500.0,125.0,70.0,-0.375
1999-04-28,100.0,120.0,200.0,60.0,140.0,-0.5
1999-04-29,280.0,120.0,280.0,120.0,20.0,1.8
1999-04-30,240.0,200.0,240.0,160.0,20.0,-0.1429
1999-05-03,200.0,180.0,280.0,160.0,50.0,-0.16670000000000001
1999-05-04,416.8,180.0,480.0,180.0,120.0,1.084
1999-05-05,400.0,360.0,440.0,360.0,10.0,-0.0403
1999-05-06,360.0,360.0,375.0,340.0,20.0,-0.1
1999-05-10,360.0,320.0,360.0,280.0,20.0,0.152
1999-05-11,340.0,340.0,360.0,340.0,10.0,-0.0556
1999-05-18,280.0,280.0,280.0,280.0,10.0,0.0
