Date,Close,Open,High,Low,Volume,Change
2003-06-26,20.02,20.0,20.03,20.0,55800.0,0.0005
2003-06-27,20.03,20.0,20.03,20.0,33300.0,0.0005
2003-06-30,20.0,20.0,20.05,20.0,69800.0,-0.0015
2003-07-01,20.0,20.03,20.03,20.0,65200.0,0.0
2003-07-02,20.0,20.01,20.03,20.0,50300.0,0.0
2003-07-03,20.0,20.02,20.03,20.0,39700.0,0.0
2003-07-07,20.0,20.0,20.05,20.0,48700.0,0.0
2003-07-08,20.01,20.0,20.01,20.0,56100.0,0.0005
2003-07-09,20.0,20.0,20.01,20.0,40000.0,-0.0005
2003-07-10,20.01,20.01,20.04,20.0,57100.0,0.0005
2003-07-11,20.0,20.0,20.02,20.0,41400.0,-0.0005
2003-07-14,20.0,20.0,20.01,20.0,21300.0,0.0
2003-07-15,20.0,20.0,20.01,20.0,26800.0,0.0
2003-07-16,20.02,20.0,20.02,20.0,29200.0,0.001
2003-07-17,20.02,20.02,20.02,20.0,14400.0,0.0
2003-07-18,20.0,20.02,20.02,20.0,21500.0,-0.001
2003-07-21,20.0,20.01,20.01,20.0,49800.0,0.0
2003-07-22,20.01,20.0,20.01,20.0,79200.0,0.0005
2003-07-23,20.01,20.0,20.01,20.0,39700.0,0.0
2003-07-24,20.01,20.0,20.01,20.0,68400.0,0.0
2003-07-25,20.0,20.0,20.01,20.0,113800.0,-0.0005
2003-07-28,20.0,20.0,20.01,20.0,221600.0,0.0
2003-07-29,20.0,20.0,20.05,20.0,282100.0,0.0
2003-07-30,20.0,20.0,20.01,20.0,102200.0,0.0
2003-07-31,20.0,20.0,20.01,20.0,103600.0,0.0
2003-08-01,20.0,20.0,20.01,20.0,211500.0,0.0
2003-08-04,20.0,20.0,20.01,20.0,150300.0,0.0
2003-08-05,20.0,20.0,20.01,19.82,427600.0,0.0
2003-08-06,20.0,20.0,20.01,20.0,174500.0,0.0
2003-08-07,20.01,20.0,20.01,20.0,93500.0,0.0005
2003-08-08,19.9,20.0,20.01,19.9,137400.0,-0.0055000000000000005
2003-08-11,19.47,19.9,19.91,19.37,231100.0,-0.0216
2003-08-12,19.32,19.37,19.43,19.28,58400.0,-0.0077
2003-08-13,18.39,19.2,19.25,17.35,325900.0,-0.0481
2003-08-14,17.95,18.29,18.35,17.9,206100.0,-0.0239
2003-08-15,17.95,17.95,17.95,17.95,20600.0,0.0
2003-08-18,17.95,17.86,18.1,17.82,118500.0,0.0
2003-08-19,17.87,18.0,18.08,17.73,123600.0,-0.0045000000000000005
2003-08-20,17.68,17.79,17.9,17.62,189100.0,-0.0106
2003-08-21,17.74,17.75,17.9,17.45,243800.0,0.0034000000000000002
2003-08-22,17.88,17.75,17.9,17.53,122000.0,0.0079
2003-08-25,17.65,17.89,17.94,17.55,139200.0,-0.0129
2003-08-26,17.57,17.55,17.65,17.35,205000.0,-0.0045000000000000005
2003-08-27,17.7,17.5,17.75,17.5,77300.0,0.0074
2003-08-28,17.85,17.65,17.9,17.65,87900.0,0.0085
2003-08-29,18.0,17.89,18.0,17.85,98400.0,0.0084
2003-09-02,17.85,18.0,18.0,17.72,68900.0,-0.0083
2003-09-03,17.9,17.8,18.04,17.71,115100.0,0.0028000000000000004
2003-09-04,18.25,17.95,18.25,17.95,107000.0,0.0196
2003-09-05,18.49,18.2,18.49,18.15,88000.0,0.0132
2003-09-08,18.4,18.49,18.6,18.25,155200.0,-0.0049
2003-09-09,18.3,18.3,18.4,18.1,76600.0,-0.0054
2003-09-10,18.2,18.3,18.35,17.9,76800.0,-0.0055000000000000005
2003-09-11,18.2,18.06,18.2,17.91,83700.0,0.0
2003-09-12,18.2,18.21,18.4,17.96,83900.0,0.0
2003-09-15,18.19,18.2,18.31,18.0,94800.0,-0.0005
2003-09-16,18.14,18.1,18.25,17.95,69900.0,-0.0027
2003-09-17,18.05,18.04,18.15,17.9,98100.0,-0.005
2003-09-18,18.06,18.0,18.15,17.99,76600.0,0.0006
2003-09-19,18.13,18.05,18.14,17.98,70000.0,0.0039000000000000003
2003-09-22,17.84,18.13,18.23,17.81,116700.0,-0.016
2003-09-23,17.75,17.85,17.95,17.73,164500.0,-0.005
2003-09-24,18.0,17.75,18.0,17.74,120400.0,0.0141
2003-09-25,18.05,18.0,18.15,17.9,87300.0,0.0028000000000000004
2003-09-26,18.25,18.0,18.25,17.98,48900.0,0.0111
2003-09-29,18.05,18.3,18.3,17.93,91300.0,-0.011000000000000001
2003-09-30,18.2,18.15,18.21,17.98,86600.0,0.0083
2003-10-01,18.4,18.25,18.4,18.06,96600.0,0.011000000000000001
2003-10-02,18.55,18.45,18.67,18.4,103300.0,0.008199999999999999
2003-10-03,18.57,18.45,18.67,18.4,134700.0,0.0011
2003-10-06,18.25,18.47,18.5,18.2,70900.0,-0.0172
2003-10-07,18.42,18.35,18.43,18.12,92500.0,0.009300000000000001
2003-10-08,18.55,18.35,18.62,18.31,91700.0,0.0070999999999999995
2003-10-09,18.5,18.45,18.67,18.32,80400.0,-0.0027
2003-10-10,18.55,18.4,18.55,18.25,43600.0,0.0027
2003-10-13,18.59,18.58,18.6,18.4,49600.0,0.0022
2003-10-14,18.33,18.3,18.49,18.25,159300.0,-0.013999999999999999
2003-10-15,18.11,18.3,18.39,18.11,163300.0,-0.012
2003-10-16,18.15,18.11,18.25,18.0,124200.0,0.0022
2003-10-17,18.15,18.2,18.2,18.03,93600.0,0.0
2003-10-20,18.35,18.16,18.4,18.1,80700.0,0.011000000000000001
2003-10-21,18.39,18.25,18.4,18.15,115200.0,0.0022
2003-10-22,18.27,18.35,18.5,18.11,124700.0,-0.006500000000000001
2003-10-23,18.24,18.2,18.38,18.12,85300.0,-0.0016
2003-10-24,18.19,18.2,18.29,18.01,169100.0,-0.0027
2003-10-27,18.2,18.19,18.27,18.06,109100.0,0.0005
2003-10-28,18.19,18.23,18.25,18.07,125900.0,-0.0005
2003-10-29,18.11,18.2,18.24,18.08,85900.0,-0.0044
2003-10-30,18.22,18.2,18.24,18.1,72700.0,0.0060999999999999995
2003-10-31,18.15,18.25,18.3,18.12,111800.0,-0.0038
2003-11-03,18.2,18.25,18.29,18.12,109300.0,0.0028000000000000004
2003-11-04,18.42,18.12,18.47,18.12,193500.0,0.0121
2003-11-05,18.45,18.32,18.49,18.32,76600.0,0.0016
2003-11-06,18.4,18.49,18.55,18.31,62000.0,-0.0027
2003-11-07,18.5,18.45,18.53,18.41,64000.0,0.0054
2003-11-10,18.5,18.5,18.52,18.39,88400.0,0.0
2003-11-11,18.53,18.51,18.53,18.36,84000.0,0.0016
2003-11-12,18.75,18.45,18.75,18.45,102500.0,0.011899999999999999
2003-11-13,18.49,18.53,18.53,18.36,100500.0,-0.0139
2003-11-14,18.4,18.4,18.46,18.31,105400.0,-0.0049
2003-11-17,18.4,18.4,18.4,18.25,140400.0,0.0
2003-11-18,18.22,18.33,18.4,18.18,145400.0,-0.0098
2003-11-19,18.24,18.28,18.31,18.15,237800.0,0.0011
2003-11-20,18.3,18.15,18.36,18.11,154800.0,0.0033
2003-11-21,18.32,18.22,18.4,18.21,149500.0,0.0011
2003-11-24,18.12,18.33,18.35,18.1,181700.0,-0.0109
2003-11-25,18.3,18.22,18.35,18.15,147500.0,0.009899999999999999
2003-11-26,18.36,18.3,18.37,18.25,126400.0,0.0033
2003-11-28,18.3,18.26,18.42,18.26,59400.0,-0.0033
2003-12-01,18.3,18.26,18.41,18.25,83600.0,0.0
2003-12-02,18.5,18.35,18.55,18.26,117600.0,0.0109
