Date,Close,Open,High,Low,Volume,Change
2013-10-03,14.0,14.0,14.0,14.0,150.0,0.037000000000000005
2013-10-04,16.82,14.5,16.9,14.5,1200.0,0.2014
2013-10-07,20.22,17.65,20.22,17.65,1300.0,0.2021
2013-10-08,45.0,22.0,47.0,22.0,10210.0,1.2255
2013-10-09,82.3,47.0,82.3,47.0,5510.0,0.8289
2013-10-10,40.0,84.5,84.5,40.0,3400.0,-0.514
2013-10-11,25.97,51.1,65.19,19.05,17350.0,-0.3508
2013-10-14,17.99,24.68,24.68,16.0,26520.0,-0.3073
2013-10-15,14.01,16.55,17.0,14.0,23370.0,-0.2212
2013-10-16,13.7,15.19,15.19,13.56,5730.0,-0.022099999999999998
2013-10-17,13.9,13.9,13.9,13.55,3830.0,0.0146
2013-10-18,13.0,13.95,13.95,12.25,9720.0,-0.0647
2013-10-21,12.66,12.05,13.55,12.05,3500.0,-0.0262
2013-10-22,12.5,12.6,12.99,12.5,6980.0,-0.0126
2013-10-23,13.25,12.56,13.43,12.46,8000.0,0.06
2013-10-24,13.31,12.86,13.4,12.86,1350.0,0.0045000000000000005
2013-10-25,13.49,13.0,13.49,13.0,4650.0,0.013500000000000002
2013-10-28,13.22,13.4,13.4,13.15,600.0,-0.02
2013-10-29,13.39,12.82,13.39,12.82,2580.0,0.0129
2013-10-30,13.25,13.25,13.25,12.9,2200.0,-0.0105
2013-10-31,13.24,12.86,13.24,12.6,3940.0,-0.0008
2013-11-01,13.2,13.0,13.2,12.95,2060.0,-0.003
2013-11-04,13.0,13.4,13.4,12.95,3650.0,-0.0152
2013-11-05,13.01,13.0,13.1,13.0,4490.0,0.0008
2013-11-06,13.05,13.0,13.1,13.0,800.0,0.0031
2013-11-07,12.98,12.95,13.05,12.95,2660.0,-0.0054
2013-11-08,12.75,12.96,13.0,12.6,5790.0,-0.0177
2013-11-11,13.0,12.99,13.0,12.99,1200.0,0.0196
2013-11-12,13.0,12.99,13.0,12.35,5280.0,0.0
2013-11-13,13.0,12.62,13.0,12.62,5780.0,0.0
2013-11-14,13.16,13.01,13.16,13.01,750.0,0.0123
2013-11-15,13.04,13.25,13.4,12.8,1200.0,-0.0091
2013-11-18,13.05,13.05,13.05,13.05,100.0,0.0008
2013-11-19,13.11,13.4,13.49,13.11,2160.0,0.0046
2013-11-20,13.0,13.11,13.11,12.93,8650.0,-0.0084
2013-11-22,13.0,13.0,13.0,13.0,750.0,0.0
2013-11-25,12.81,12.87,12.95,12.81,5960.0,-0.0146
2013-11-26,12.96,12.95,13.1,12.95,970.0,0.011699999999999999
2013-11-27,13.11,13.2,13.2,13.11,1090.0,0.0116
2013-11-29,13.2,13.2,13.2,13.2,100.0,0.0069
2013-12-02,13.26,13.2,13.26,13.2,7600.0,0.0045000000000000005
2013-12-03,13.04,13.0,13.18,12.93,6390.0,-0.0166
2013-12-04,13.15,12.35,13.33,12.35,2070.0,0.0084
2013-12-05,13.5,13.41,13.5,13.41,3160.0,0.026600000000000002
2013-12-06,13.29,13.26,13.46,13.26,1280.0,-0.015600000000000001
2013-12-09,13.48,13.33,13.5,13.33,7030.0,0.0143
2013-12-10,13.46,13.54,13.64,13.45,4890.0,-0.0015
2013-12-11,13.45,13.4,13.45,13.3,2550.0,-0.0007000000000000001
2013-12-12,13.45,13.3,13.45,13.0,2310.0,0.0
2013-12-13,13.21,13.08,13.21,13.08,500.0,-0.0178
2013-12-16,13.69,13.21,13.69,12.61,4080.0,0.0363
2013-12-17,13.65,13.25,13.65,13.11,3120.0,-0.0029
2013-12-18,13.85,13.52,13.85,13.5,2990.0,0.0147
2013-12-19,13.67,13.83,13.9,13.66,1700.0,-0.013000000000000001
2013-12-20,14.0,13.98,14.0,13.78,1760.0,0.0241
2013-12-23,14.14,14.49,14.49,14.12,4210.0,0.01
2013-12-26,14.1,14.1,14.1,14.1,290.0,-0.0028000000000000004
2013-12-27,14.09,14.3,14.3,14.09,450.0,-0.0007000000000000001
2013-12-30,14.18,14.09,14.18,14.09,1500.0,0.0064
2013-12-31,14.07,14.2,14.31,14.05,5540.0,-0.0078000000000000005
2014-01-02,13.88,14.13,14.15,13.8,4530.0,-0.013500000000000002
2014-01-03,14.0,14.0,14.0,13.8,2290.0,0.0086
2014-01-07,14.05,14.05,14.05,14.05,130.0,0.0036
2014-01-09,14.15,14.49,14.49,14.15,770.0,0.0070999999999999995
2014-01-10,14.15,14.15,14.15,14.15,240.0,0.0
2014-01-14,14.1,14.11,14.11,13.85,2470.0,-0.0034999999999999996
2014-01-16,14.15,14.15,14.15,14.15,690.0,0.0034999999999999996
2014-01-21,14.03,13.9,14.03,13.9,2380.0,-0.0085
2014-01-23,14.0,14.0,14.0,14.0,1150.0,-0.0021
2014-01-24,14.02,14.01,14.02,14.01,600.0,0.0014000000000000002
2014-01-27,14.0,14.0,14.0,14.0,790.0,-0.0014000000000000002
2014-01-28,14.0,13.9,14.0,13.9,2440.0,0.0
2014-01-29,13.9,14.0,14.0,13.9,1620.0,-0.0070999999999999995
2014-02-03,13.6,13.4,13.96,13.4,2190.0,-0.0216
2014-02-04,14.0,14.0,14.0,14.0,130.0,0.0294
2014-02-05,13.75,13.33,13.75,13.33,300.0,-0.0179
2014-02-06,13.39,12.83,13.57,12.83,5710.0,-0.0262
2014-02-07,13.73,13.73,13.73,13.73,100.0,0.0254
2014-02-11,13.75,13.75,13.75,13.75,1370.0,0.0015
2014-02-13,13.87,13.98,13.98,13.87,740.0,0.0087
2014-02-14,14.0,13.95,14.0,13.94,2790.0,0.009399999999999999
2014-02-18,13.9,13.81,14.0,13.81,2000.0,-0.0070999999999999995
2014-02-21,14.06,14.06,14.06,14.06,200.0,0.0115
2014-02-25,14.13,14.13,14.13,14.1,1150.0,0.005
2014-02-27,14.14,14.16,14.16,14.14,340.0,0.0007000000000000001
2014-02-28,14.34,14.34,14.39,14.34,1370.0,0.0141
2014-03-03,14.05,14.05,14.05,14.05,150.0,-0.0202
2014-03-04,14.4,14.4,14.4,14.4,900.0,0.024900000000000002
2014-03-05,14.39,14.44,14.44,14.39,850.0,-0.0007000000000000001
2014-03-06,14.4,14.21,14.4,14.2,2090.0,0.0007000000000000001
2014-03-07,14.29,14.1,14.29,14.1,1000.0,-0.0076
2014-03-10,13.93,14.0,14.06,13.93,1210.0,-0.0252
2014-03-11,13.93,13.93,13.93,13.93,110.0,0.0
2014-03-12,14.1,13.95,14.1,13.72,480.0,0.012199999999999999
2014-03-13,14.09,14.09,14.09,14.09,290.0,-0.0007000000000000001
2014-03-17,14.0,13.33,14.0,13.33,3440.0,-0.0064
2014-03-18,13.88,13.9,14.0,13.85,2650.0,-0.0086
2014-03-19,13.95,13.95,13.95,13.95,700.0,0.005
2014-03-24,13.92,13.95,13.99,13.34,10600.0,-0.0022
2014-03-25,14.0,14.0,14.0,14.0,270.0,0.005699999999999999
2014-03-26,14.0,14.0,14.0,14.0,1000.0,0.0
2014-03-28,13.95,14.0,14.0,13.95,1270.0,-0.0036
2014-03-31,14.0,13.95,14.0,13.91,1370.0,0.0036
2014-04-01,14.11,13.9,14.11,13.9,860.0,0.0079
2014-04-02,13.75,14.15,14.15,13.7,9140.0,-0.0255
2014-04-03,13.81,13.81,13.81,13.8,1650.0,0.0044
2014-04-04,13.8,13.36,13.8,13.36,10020.0,-0.0007000000000000001
2014-04-07,13.06,13.08,13.33,12.43,37240.0,-0.0536
2014-04-08,13.49,13.75,13.75,13.1,13920.0,0.0329
2014-04-09,13.3,13.3,13.48,13.25,69260.0,-0.0141
2014-04-10,13.3,13.2,13.3,13.05,40300.0,0.0
2014-04-11,13.1,13.05,13.19,13.03,28330.0,-0.015
2014-04-14,13.05,13.0,13.17,13.0,21530.0,-0.0038
2014-04-15,13.05,13.05,13.06,13.0,2350.0,0.0
2014-04-16,13.17,13.0,13.29,12.6,15400.0,0.0092
2014-04-17,13.0,13.0,13.0,12.5,88430.0,-0.0129
2014-04-21,13.0,13.0,13.2,12.95,63790.0,0.0
2014-04-22,13.2,13.09,13.2,13.0,38600.0,0.0154
2014-04-23,13.18,13.2,13.3,13.05,23780.0,-0.0015
2014-04-24,13.3,13.1,13.3,13.0,35050.0,0.0091
2014-04-25,13.9,13.28,13.95,13.1,20560.0,0.0451
2014-04-28,13.91,13.91,13.95,13.81,24440.0,0.0007000000000000001
2014-04-29,13.38,13.91,13.93,13.36,16690.0,-0.0381
2014-04-30,14.13,13.9,14.14,13.9,11690.0,0.056100000000000004
2014-05-01,14.12,14.12,14.12,14.12,100.0,-0.0007000000000000001
2014-05-02,14.0,13.92,14.03,13.57,41490.0,-0.0085
2014-05-05,14.01,14.0,14.02,14.0,9760.0,0.0007000000000000001
2014-05-06,14.06,14.01,14.12,13.62,67550.0,0.0036
2014-05-07,14.35,14.14,14.45,14.11,53560.0,0.0206
2014-05-08,14.94,14.45,15.0,14.45,15100.0,0.041100000000000005
2014-05-09,15.15,14.99,15.15,14.93,8350.0,0.0141
2014-05-12,15.65,15.32,15.65,15.16,7840.0,0.033
2014-05-13,15.61,15.99,15.99,15.6,7030.0,-0.0026
2014-05-14,15.9,15.92,15.92,15.77,6360.0,0.018600000000000002
2014-05-15,15.76,15.71,15.88,15.7,6210.0,-0.0088
2014-05-16,15.71,15.66,15.71,15.66,1100.0,-0.0032
2014-05-19,15.75,15.7,15.77,15.7,5600.0,0.0025
2014-05-20,15.76,15.72,15.76,15.71,7690.0,0.0006
2014-05-21,15.45,15.72,15.75,15.45,27180.0,-0.0197
2014-05-22,15.56,14.16,15.58,14.16,19960.0,0.0070999999999999995
2014-05-23,15.5,15.53,15.53,15.35,21720.0,-0.0039000000000000003
2014-05-27,15.39,15.51,15.79,15.39,55740.0,-0.0070999999999999995
2014-05-28,15.56,15.45,15.59,15.45,6040.0,0.011000000000000001
2014-05-29,15.37,15.61,15.8,15.35,12850.0,-0.012199999999999999
2014-05-30,15.5,15.54,15.54,15.39,5780.0,0.0085
2014-06-02,15.27,15.44,15.46,15.25,8100.0,-0.0148
2014-06-03,15.77,14.66,15.77,14.66,18080.0,0.0327
2014-06-04,15.76,15.74,15.77,15.71,2800.0,-0.0006
2014-06-05,16.25,15.7,16.25,15.69,33100.0,0.0311
2014-06-06,16.25,16.17,16.25,16.17,8550.0,0.0
2014-06-09,16.11,16.19,16.28,16.11,16000.0,-0.0086
2014-06-10,16.1,16.09,16.15,16.05,20080.0,-0.0006
2014-06-11,15.75,15.91,15.91,15.6,18980.0,-0.0217
2014-06-12,15.48,15.31,15.68,15.31,9390.0,-0.0171
2014-06-13,15.75,15.41,15.75,15.4,44270.0,0.0174
2014-06-16,15.59,15.65,15.75,15.59,13140.0,-0.0102
2014-06-17,15.47,15.29,15.68,15.29,21400.0,-0.0077
2014-06-18,15.51,15.6,15.62,15.48,2970.0,0.0026
2014-06-19,15.7,15.7,15.7,15.65,4600.0,0.0123
2014-06-20,15.84,15.65,16.0,15.65,2520.0,0.0089
2014-06-23,15.99,16.0,16.02,15.95,2700.0,0.0095
2014-06-24,15.85,15.82,16.0,15.77,15870.0,-0.0088
2014-06-25,15.71,15.79,15.84,15.66,13640.0,-0.0088
2014-06-26,15.63,16.0,16.0,15.55,9410.0,-0.0051
2014-06-27,15.93,15.75,15.95,15.75,8210.0,0.0192
2014-06-30,15.75,15.75,15.75,15.75,1140.0,-0.0113
2014-07-01,16.03,15.9,16.04,15.9,5500.0,0.0178
2014-07-02,15.86,15.75,15.86,15.65,32670.0,-0.0106
2014-07-03,15.8,15.83,15.87,15.8,930.0,-0.0038
2014-07-07,15.86,15.78,15.86,15.78,7560.0,0.0038
2014-07-08,15.99,16.0,16.03,15.96,13880.0,0.008199999999999999
2014-07-09,15.94,15.94,16.01,15.94,6460.0,-0.0031
2014-07-10,15.86,15.9,16.1,15.86,30480.0,-0.005
2014-07-11,15.79,15.85,15.85,15.79,7030.0,-0.0044
2014-07-14,15.82,15.84,16.0,15.8,24990.0,0.0019
2014-07-15,15.84,15.49,16.0,15.49,5750.0,0.0013
2014-07-16,15.87,15.8,15.87,15.8,18810.0,0.0019
2014-07-17,15.8,15.8,15.8,15.8,670.0,-0.0044
2014-07-18,15.74,15.6,15.84,15.6,7880.0,-0.0038
2014-07-21,15.65,15.72,15.83,15.65,3500.0,-0.005699999999999999
2014-07-22,15.8,15.8,15.95,15.8,1700.0,0.0096
2014-07-23,15.87,15.85,16.1,15.85,20420.0,0.0044
2014-07-24,15.91,15.9,15.91,15.9,2029.9999999999998,0.0025
2014-07-25,15.85,15.89,15.95,15.84,3430.0,-0.0038
2014-07-28,15.9,15.85,16.0,15.85,3540.0,0.0032
2014-07-29,16.0,15.81,16.0,15.8,31230.0,0.0063
2014-07-30,15.8,15.88,15.9,15.8,3630.0,-0.0125
2014-07-31,15.85,16.0,16.0,15.81,14780.0,0.0032
2014-08-01,15.97,15.79,15.97,15.79,2000.0,0.0076
2014-08-04,16.05,15.8,16.05,15.8,2360.0,0.005
2014-08-05,15.84,15.95,16.05,15.84,17140.0,-0.0131
2014-08-06,15.66,15.53,15.66,15.5,3200.0,-0.011399999999999999
2014-08-07,15.57,15.68,15.7,15.51,900.0,-0.005699999999999999
2014-08-08,15.61,15.62,15.7,15.61,3860.0,0.0026
2014-08-11,15.84,15.63,16.04,15.63,20930.0,0.0147
2014-08-12,15.83,15.9,15.9,15.83,5650.0,-0.0006
2014-08-13,15.9,15.92,15.92,15.83,4620.0,0.0044
2014-08-14,16.08,15.9,16.08,15.9,10850.0,0.0113
2014-08-15,16.1,16.04,16.32,16.04,11540.0,0.0012
2014-08-18,16.2,16.11,16.29,16.1,13210.0,0.0062
2014-08-19,16.19,16.11,16.19,16.1,13910.0,-0.0006
2014-08-20,16.41,16.4,16.41,16.4,2960.0,0.013600000000000001
2014-08-21,16.31,16.37,16.4,16.3,17660.0,-0.0060999999999999995
2014-08-22,16.25,16.25,16.25,16.15,4400.0,-0.0037
2014-08-25,16.23,16.14,16.55,16.14,32400.0,-0.0012
2014-08-26,16.3,16.13,16.36,16.13,56640.0,0.0043
2014-08-27,16.2,16.27,16.27,16.12,10750.0,-0.0060999999999999995
2014-08-28,16.15,16.17,16.19,16.05,38610.0,-0.0031
2014-08-29,16.15,16.04,16.21,16.0,34260.0,0.0
2014-09-02,16.21,15.77,16.31,15.77,14480.0,0.0037
