Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,12.75,13.0,12.75,12.875,1.4924559593200684,67400
1980-01-03,12.875,12.875,12.5,12.625,1.4634764194488525,88300
1980-01-04,12.625,12.875,12.625,12.875,1.4924559593200684,59500
1980-01-07,12.875,13.0,12.75,12.875,1.4924559593200684,88000
1980-01-08,12.875,13.125,12.75,13.125,1.521436333656311,177900
1980-01-09,13.125,13.125,12.875,12.875,1.4924559593200684,190900
1980-01-10,12.875,13.0,12.875,12.875,1.4924559593200684,158200
1980-01-11,12.875,13.0,12.875,12.875,1.4924559593200684,87400
1980-01-14,12.875,12.875,12.75,12.75,1.4779664278030396,126400
1980-01-15,12.75,12.875,12.75,12.875,1.4924559593200684,138000
1980-01-16,12.875,13.0,12.75,12.875,1.4924559593200684,151300
1980-01-17,12.875,12.875,12.625,12.875,1.4924559593200684,159800
1980-01-18,12.875,12.875,12.75,12.875,1.4924559593200684,53600
1980-01-21,12.875,12.875,12.625,12.75,1.4779664278030396,96500
1980-01-22,12.75,12.75,12.5,12.625,1.4634764194488525,425300
1980-01-23,12.625,12.625,12.5,12.625,1.4634764194488525,81300
1980-01-24,12.625,12.75,12.5,12.625,1.4634764194488525,339700
1980-01-25,12.625,12.75,12.5,12.625,1.4634764194488525,49800
1980-01-28,12.625,12.625,12.375,12.5,1.4489868879318237,123400
1980-01-29,12.5,12.5,12.375,12.5,1.4489868879318237,72000
1980-01-30,12.5,12.625,12.5,12.5,1.4489868879318237,43700
1980-01-31,12.5,12.625,12.375,12.5,1.4489868879318237,205200
1980-02-01,12.5,12.625,12.25,12.25,1.4200063943862915,164600
1980-02-04,12.25,12.5,12.25,12.25,1.4200063943862915,173200
1980-02-05,12.25,12.5,12.25,12.25,1.4200063943862915,95400
1980-02-06,12.25,12.5,12.125,12.375,1.4344966411590576,107700
1980-02-07,12.375,12.5,12.25,12.375,1.4344966411590576,73300
1980-02-08,12.375,12.375,12.125,12.375,1.4344966411590576,381000
1980-02-11,12.25,12.25,12.0,12.125,1.405516505241394,170100
1980-02-12,12.125,12.25,12.0,12.25,1.4200063943862915,98900
1980-02-13,12.25,12.625,12.0,12.125,1.405516505241394,190200
1980-02-14,12.125,12.25,12.0,12.125,1.405516505241394,126700
1980-02-15,12.125,12.125,12.0,12.125,1.405516505241394,111600
1980-02-19,12.125,12.125,11.5,11.75,1.3620474338531494,251600
1980-02-20,11.5,11.5,11.25,11.375,1.3185772895812988,273300
1980-02-21,11.375,11.5,11.25,11.25,1.3040884733200073,210800
1980-02-22,11.25,11.5,11.25,11.5,1.3330681324005127,123200
1980-02-25,11.5,11.5,11.25,11.375,1.3185772895812988,287200
1980-02-26,11.375,11.5,11.0,11.125,1.2895983457565308,438600
1980-02-27,11.125,11.25,11.0,11.125,1.2895983457565308,543100
1980-02-28,11.125,11.25,11.0,11.25,1.3040884733200073,215200
1980-02-29,11.25,11.625,11.125,11.625,1.3475584983825684,128600
