Date,Close,Open,High,Low,Volume,Change
2016-09-19,16.5,17.3,18.73,16.5,3910000.0,0.08199999999999999
2016-09-20,17.01,17.29,17.45,16.1,1120000.0,0.030899999999999997
2016-09-21,17.55,17.48,17.75,17.1,893690.0,0.0317
2016-09-22,16.86,18.1,18.45,16.8,1170000.0,-0.0393
2016-09-23,15.06,16.75,16.75,15.0,859690.0,-0.10679999999999999
2016-09-26,16.24,14.81,16.33,14.4,752410.0,0.0784
2016-09-27,17.02,16.01,17.25,16.0,809650.0,0.048
2016-09-28,16.5,17.23,17.85,16.27,559550.0,-0.030600000000000002
2016-09-29,16.32,16.5,16.82,15.82,338530.0,-0.0109
2016-09-30,16.86,16.32,17.34,16.31,678650.0,0.0331
2016-10-03,16.74,16.54,17.73,16.13,879000.0,-0.0070999999999999995
2016-10-04,17.01,16.9,18.19,16.74,1210000.0,0.0161
2016-10-05,15.72,17.63,18.09,15.17,1210000.0,-0.0758
2016-10-06,16.22,15.73,16.39,15.6,408710.0,0.0318
2016-10-07,16.13,16.22,16.23,15.6,263950.0,-0.0055000000000000005
2016-10-10,15.76,15.95,16.33,15.44,321370.0,-0.0229
2016-10-11,15.68,16.25,16.25,15.55,568150.0,-0.0051
2016-10-12,15.14,15.58,15.74,14.83,423790.0,-0.0344
2016-10-13,15.2,14.93,15.29,14.86,166900.0,0.004
2016-10-14,15.57,15.28,15.7,15.0,245110.0,0.024300000000000002
2016-10-17,14.97,15.65,15.91,14.87,98800.0,-0.0385
2016-10-18,14.78,14.99,15.15,14.25,325170.0,-0.0127
2016-10-19,14.44,14.64,14.69,14.25,188500.0,-0.023
2016-10-20,14.83,14.36,14.97,14.26,108170.0,0.027000000000000003
2016-10-21,15.14,14.75,15.4,14.4,134230.0,0.0209
2016-10-24,15.45,15.1,15.6,15.1,141750.0,0.020499999999999997
2016-10-25,15.56,15.47,16.0,15.13,119450.0,0.0070999999999999995
2016-10-26,15.59,15.43,15.81,15.21,131410.0,0.0019
2016-10-27,15.18,15.73,15.73,15.0,159530.0,-0.0263
2016-10-28,14.55,15.22,15.38,14.25,195500.0,-0.0415
2016-10-31,14.72,14.5,14.91,14.25,71290.0,0.011699999999999999
2016-11-01,14.56,14.95,14.95,14.36,78070.0,-0.0109
2016-11-02,14.42,14.56,14.78,14.05,240080.0,-0.0096
2016-11-03,14.01,14.84,14.84,12.92,262550.0,-0.028399999999999998
2016-11-04,13.88,13.85,14.31,13.84,131570.0,-0.009300000000000001
2016-11-07,14.54,14.22,14.95,13.8,212870.0,0.047599999999999996
2016-11-08,14.43,14.59,15.0,13.91,310860.0,-0.0076
2016-11-09,14.89,14.16,15.09,13.77,83100.0,0.0319
2016-11-10,15.25,15.0,15.47,14.54,244330.0,0.0242
2016-11-11,15.23,15.16,15.66,15.07,280900.0,-0.0013
2016-11-14,15.22,15.36,15.5,15.13,45560.0,-0.0007000000000000001
2016-11-15,15.38,15.25,15.69,15.16,98350.0,0.0105
2016-11-16,15.39,15.26,15.5,15.09,67560.0,0.0007000000000000001
2016-11-17,16.12,15.46,16.55,15.39,205860.0,0.047400000000000005
2016-11-18,16.75,16.18,16.99,16.05,156090.0,0.0391
2016-11-21,16.77,16.74,16.9,16.22,91930.0,0.0012
2016-11-22,16.87,16.69,16.98,15.75,174640.0,0.006
2016-11-23,16.57,16.72,16.87,16.0,65540.0,-0.0178
2016-11-25,16.58,16.65,16.94,16.16,41320.0,0.0006
2016-11-28,16.99,16.53,17.63,16.52,274080.0,0.024700000000000003
