Date,Close,Open,High,Low,Volume,Change
2014-01-30,0.47,0.51,0.51,0.47,4200.0,-0.06
2014-01-31,0.35,0.35,0.4,0.35,28800.0,-0.2553
2014-02-03,0.28,0.35,0.35,0.28,18000.0,-0.2
2014-02-04,0.2,0.28,0.28,0.2,197000.0,-0.2857
2014-02-05,0.23,0.21,0.23,0.21,45000.0,0.15
2014-02-06,0.25,0.23,0.25,0.23,61200.0,0.087
2014-02-07,0.23,0.24,0.25,0.23,14200.0,-0.08
2014-02-11,0.23,0.23,0.23,0.23,5800.0,0.0
2014-02-12,0.2,0.23,0.23,0.2,11280.0,-0.1304
2014-02-19,0.23,0.23,0.23,0.23,10000.0,0.15
2014-02-21,0.23,0.23,0.23,0.23,3000.0,0.0
2014-02-25,0.23,0.23,0.23,0.23,8000.0,0.0
2014-02-26,0.2,0.2,0.2,0.2,10000.0,-0.1304
2014-02-27,0.2,0.19,0.2,0.19,16800.0,0.0
2014-03-03,0.2,0.2,0.2,0.2,20000.0,0.0
2014-03-04,0.19,0.19,0.19,0.19,4000.0,-0.05
2014-03-17,0.15,0.15,0.15,0.15,5000.0,-0.21050000000000002
2014-03-18,0.15,0.15,0.15,0.15,30000.0,0.0
2014-03-21,0.15,0.15,0.15,0.15,8400.0,0.0
2014-03-25,0.2,0.17,0.23,0.17,40000.0,0.3333
2014-03-26,0.26,0.24,0.28,0.24,96790.0,0.3
2014-03-27,0.25,0.26,0.26,0.25,49990.0,-0.0385
2014-03-28,0.12,0.25,0.29,0.12,111000.0,-0.52
2014-03-31,0.12,0.12,0.12,0.12,1000.0,0.0
2014-04-01,0.15,0.13,0.23,0.12,96830.0,0.25
2014-04-02,0.15,0.15,0.15,0.15,25200.0,0.0
2014-04-04,0.14,0.14,0.14,0.14,15400.0,-0.0667
2014-04-07,0.12,0.15,0.15,0.12,10000.0,-0.1429
2014-04-08,0.14,0.02,0.14,0.02,12680.0,0.16670000000000001
2014-04-10,0.07,0.1,0.1,0.07,36800.0,-0.5
2014-04-11,0.06,0.06,0.06,0.06,11000.0,-0.1429
2014-04-14,0.1,0.1,0.1,0.1,11800.0,0.6667000000000001
2014-04-21,0.06,0.07,0.07,0.06,15000.0,-0.4
2014-04-22,0.07,0.1,0.1,0.07,15000.0,0.16670000000000001
2014-04-28,0.05,0.08,0.08,0.05,40000.0,-0.2857
2014-05-02,0.07,0.08,0.08,0.07,70000.0,0.4
2014-05-06,0.17,0.17,0.17,0.17,800.0,1.4286
2014-05-07,0.09,0.14,0.15,0.09,61200.0,-0.4706
2014-05-09,0.1,0.1,0.1,0.1,80600.0,0.11109999999999999
2014-05-12,0.1,0.1,0.1,0.1,19600.0,0.0
2014-05-13,0.14,0.15,0.15,0.14,40000.0,0.4
2014-05-14,0.15,0.14,0.15,0.14,20980.0,0.07139999999999999
2014-05-16,0.14,0.14,0.14,0.14,10000.0,-0.0667
2014-05-20,0.13,0.13,0.13,0.13,60000.0,-0.07139999999999999
2014-05-21,0.14,0.15,0.15,0.14,22700.0,0.07690000000000001
2014-05-22,0.17,0.15,0.17,0.15,23960.0,0.2143
2014-05-23,0.17,0.17,0.17,0.17,2800.0,0.0
2014-05-27,0.17,0.17,0.17,0.17,22000.0,0.0
2014-05-28,0.19,0.15,0.19,0.15,3000.0,0.1176
2014-05-29,0.15,0.16,0.16,0.15,61800.0,-0.21050000000000002
2014-05-30,0.2,0.19,0.2,0.19,2000.0,0.3333
2014-06-05,0.15,0.15,0.17,0.15,87000.0,-0.25
2014-06-09,0.18,0.17,0.18,0.17,21000.0,0.2
2014-06-10,0.2,0.17,0.2,0.17,26270.0,0.11109999999999999
2014-06-11,0.17,0.17,0.17,0.17,18000.0,-0.15
2014-06-13,0.15,0.17,0.17,0.15,56000.0,-0.1176
2014-06-18,0.17,0.16,0.17,0.15,45000.0,0.1333
2014-06-20,0.17,0.17,0.17,0.17,36000.0,0.0
2014-06-26,0.17,0.17,0.17,0.17,12000.0,0.0
2014-07-02,0.17,0.17,0.17,0.17,20000.0,0.0
2014-07-17,0.17,0.17,0.17,0.17,630.0,0.0
2014-07-24,0.15,0.15,0.15,0.15,56000.0,-0.1176
2014-07-28,0.12,0.12,0.12,0.12,80000.0,-0.2
2014-07-29,0.12,0.12,0.12,0.12,30000.0,0.0
2014-08-01,0.12,0.12,0.12,0.12,1000.0,0.0
2014-08-04,0.15,0.15,0.15,0.15,3000.0,0.25
2014-08-05,0.12,0.12,0.12,0.1,90000.0,-0.2
2014-08-06,0.12,0.12,0.12,0.12,5000.0,0.0
2014-08-12,0.11,0.11,0.11,0.11,10000.0,-0.0833
2014-08-14,0.11,0.11,0.11,0.11,78200.0,0.0
