Date,Close,Open,High,Low,Volume,Change
2017-10-27,28.15,27.69,28.37,27.38,954420.0,0.0115
2017-10-30,28.04,28.07,28.9,27.49,760550.0,-0.0039000000000000003
2017-10-31,28.8,28.0,29.39,27.68,436240.0,0.0271
2017-11-01,30.37,29.05,30.98,28.27,1780000.0,0.0545
2017-11-02,29.99,30.43,30.71,29.94,204500.0,-0.0125
2017-11-03,29.7,30.0,30.12,29.18,138430.0,-0.0097
2017-11-06,30.07,29.76,30.84,29.76,133530.0,0.0125
2017-11-07,30.05,30.25,30.4,29.96,170920.0,-0.0007000000000000001
2017-11-08,30.21,30.13,30.42,30.0,364280.0,0.0053
2017-11-09,30.21,30.2,30.4,29.55,359570.0,0.0
2017-11-10,30.14,30.15,30.36,29.93,231070.0,-0.0023
2017-11-13,29.99,30.2,30.34,29.83,247060.0,-0.005
2017-11-14,30.12,29.99,30.15,29.68,332710.0,0.0043
2017-11-15,29.96,30.02,30.12,29.9,256720.00000000003,-0.0053
2017-11-16,30.13,30.02,30.41,29.51,525010.0,0.005699999999999999
2017-11-17,29.98,30.04,30.27,29.87,248790.0,-0.005
2017-11-20,30.19,30.73,30.89,29.69,308160.0,0.006999999999999999
2017-11-21,30.1,30.06,30.28,29.95,174690.0,-0.003
2017-11-22,29.98,30.11,30.25,29.65,194090.0,-0.004
2017-11-24,29.99,30.13,30.2,29.7,240020.0,0.0003
2017-11-27,31.82,30.15,32.18,30.01,540690.0,0.061
2017-11-28,31.53,31.92,32.89,30.49,581440.0,-0.0091
2017-11-29,31.8,31.53,32.38,31.53,401680.0,0.0086
2017-11-30,32.59,31.79,33.0,31.73,416810.0,0.0248
2017-12-01,32.84,32.61,33.74,31.64,562910.0,0.0077
2017-12-04,32.64,33.07,33.88,32.59,266210.0,-0.0060999999999999995
2017-12-05,32.85,32.58,33.59,31.57,481560.0,0.0064
2017-12-06,32.58,32.61,33.19,32.05,213850.0,-0.008199999999999999
2017-12-07,32.9,32.6,33.81,32.52,232840.0,0.0098
2017-12-08,33.18,33.02,33.28,32.99,220950.0,0.0085
