Date,Close,Open,High,Low,Volume,Change
2013-10-01,6.62,6.56,7.24,6.31,2080000.0,-0.0663
2013-10-02,6.95,6.65,7.15,6.65,311690.0,0.049800000000000004
2013-10-03,6.9,6.9,6.97,6.85,109950.0,-0.0072
2013-10-04,7.15,6.95,7.2,6.8,61330.0,0.0362
2013-10-07,8.5,7.93,9.0,7.37,381770.0,0.1888
2013-10-08,7.94,8.49,9.19,7.83,284740.0,-0.0659
2013-10-09,6.7,7.53,7.6,6.06,381070.0,-0.1562
2013-10-10,6.96,7.4,7.4,6.5,91180.0,0.0388
2013-10-11,7.05,7.1,7.25,6.81,30600.0,0.0129
2013-10-14,7.01,7.1,7.2,6.64,80190.0,-0.005699999999999999
2013-10-15,7.19,6.99,7.19,6.83,42450.0,0.025699999999999997
2013-10-16,7.0,7.15,7.15,6.58,103430.0,-0.0264
2013-10-17,7.03,6.92,7.03,6.76,25920.0,0.0043
2013-10-18,7.0,7.01,7.1,6.87,49990.0,-0.0043
2013-10-21,7.0,7.0,7.05,6.87,20350.0,0.0
2013-10-22,6.72,7.1,7.1,6.6,30070.0,-0.04
2013-10-23,6.85,6.8,7.11,6.75,88350.0,0.019299999999999998
2013-10-24,6.93,6.61,6.93,6.61,52950.0,0.011699999999999999
2013-10-25,6.87,6.85,6.95,6.75,25020.0,-0.0087
2013-10-28,6.45,7.1,7.12,6.25,248920.0,-0.0611
2013-10-29,6.3,6.25,6.51,6.05,72200.0,-0.0233
2013-10-30,6.25,6.4,6.64,6.25,23950.0,-0.0079
2013-10-31,6.0,6.27,6.35,6.0,108500.0,-0.04
2013-11-01,6.01,6.01,6.15,6.0,56230.0,0.0017000000000000001
2013-11-04,6.29,6.1,6.31,6.0,131660.0,0.0466
2013-11-05,6.11,6.25,6.43,6.02,21000.0,-0.0286
2013-11-06,5.95,6.1,6.18,5.94,15690.0,-0.0262
2013-11-07,5.0,6.0,6.23,4.69,55780.0,-0.1597
2013-11-08,4.61,4.95,5.02,4.5,81850.0,-0.078
2013-11-11,4.65,4.55,4.71,4.3,37940.0,0.0087
2013-11-12,4.77,4.51,5.15,4.51,69990.0,0.0258
2013-11-13,5.16,4.83,5.51,4.83,54600.0,0.0818
2013-11-14,4.86,4.97,5.05,4.5,72680.0,-0.0581
2013-11-15,5.1,4.93,5.42,4.9,22510.0,0.049400000000000006
2013-11-18,4.95,5.14,5.15,4.9,7660.0,-0.0294
2013-11-19,5.0,5.12,5.12,4.95,5750.0,0.0101
2013-11-20,4.96,5.16,5.2,4.95,17000.0,-0.008
2013-11-21,5.0,5.02,5.04,4.95,5640.0,0.008100000000000001
2013-11-22,5.06,5.12,5.31,4.95,46690.0,0.012
2013-11-25,5.05,5.1,5.39,5.05,45210.0,-0.002
2013-11-26,5.25,5.16,5.33,5.05,33150.0,0.039599999999999996
2013-11-27,5.46,5.26,5.49,5.26,3680.0,0.04
2013-11-29,5.6,5.44,5.84,5.44,17830.0,0.0256
2013-12-02,5.64,5.7,5.89,5.5,22570.0,0.0070999999999999995
2013-12-03,5.94,5.77,6.1,5.75,56120.0,0.053200000000000004
2013-12-04,6.05,6.25,6.25,5.96,32490.000000000004,0.018500000000000003
2013-12-05,6.14,6.13,6.48,6.05,20900.0,0.0149
2013-12-06,6.33,6.14,6.48,5.96,17340.0,0.030899999999999997
2013-12-09,6.34,6.44,6.48,6.11,18840.0,0.0016
2013-12-10,6.4,6.33,6.4,6.21,16750.0,0.0095
2013-12-11,6.41,6.11,6.9,6.11,28850.0,0.0016
2013-12-12,7.0,6.55,7.0,6.51,61690.0,0.092
2013-12-13,7.2,7.08,7.2,7.05,44750.0,0.0286
2013-12-16,7.0,7.2,7.48,6.42,44080.0,-0.0278
2013-12-17,6.84,6.99,7.53,6.71,34850.0,-0.0229
2013-12-18,7.19,7.07,7.7,6.81,29500.0,0.0512
2013-12-19,7.19,7.33,7.5,7.06,12780.0,0.0
2013-12-20,6.82,7.27,7.34,6.75,102330.0,-0.051500000000000004
2013-12-23,6.55,6.89,6.89,6.36,26910.0,-0.039599999999999996
2013-12-24,6.83,6.11,6.83,6.06,10010.0,0.042699999999999995
2013-12-26,7.01,6.68,7.04,6.41,29750.0,0.0264
2013-12-27,6.97,6.97,6.97,6.97,220.0,-0.005699999999999999
2013-12-30,6.61,6.51,6.9,6.5,8350.0,-0.0516
2013-12-31,6.28,6.72,6.72,6.16,20510.0,-0.0499
2014-01-02,6.36,6.35,6.99,6.3,38430.0,0.0127
2014-01-03,6.82,6.4,6.87,6.25,35270.0,0.0723
2014-01-06,6.55,6.79,6.79,6.36,32490.000000000004,-0.039599999999999996
2014-01-07,6.37,6.36,6.88,6.25,24100.0,-0.0275
2014-01-08,6.84,6.45,6.85,6.32,53970.0,0.0738
2014-01-09,6.62,6.52,6.8,6.38,17030.0,-0.0322
2014-01-10,6.61,6.66,6.85,6.37,16680.0,-0.0015
2014-01-13,6.43,6.5,6.85,6.38,31480.0,-0.027200000000000002
2014-01-14,6.55,6.5,6.82,6.38,26510.0,0.0187
2014-01-15,6.63,6.78,6.78,6.45,36620.0,0.012199999999999999
2014-01-16,6.95,6.95,6.96,6.63,92970.0,0.0483
2014-01-17,7.16,6.83,7.5,6.81,98570.0,0.0302
2014-01-21,6.88,7.2,7.49,6.88,61200.0,-0.0391
2014-01-22,7.02,7.12,7.5,6.99,82030.0,0.0203
2014-01-23,6.8,7.05,7.2,6.59,39800.0,-0.0313
2014-01-24,6.92,6.8,6.95,6.78,10900.0,0.0176
2014-01-27,6.26,6.99,6.99,6.2,71340.0,-0.09539999999999998
2014-01-28,6.25,6.25,6.68,6.24,6300.0,-0.0016
2014-01-29,6.11,6.42,6.86,5.98,40170.0,-0.022400000000000003
2014-01-30,6.26,6.25,6.49,6.25,10370.0,0.0245
2014-01-31,6.2,6.57,6.57,6.1,21610.0,-0.0096
2014-02-03,6.25,6.27,6.28,6.14,2480.0,0.008100000000000001
2014-02-04,6.17,6.27,6.4,6.1,4430.0,-0.0128
2014-02-05,6.12,6.13,6.36,6.05,22380.0,-0.008100000000000001
2014-02-06,6.07,6.28,6.36,5.95,32299.999999999996,-0.008199999999999999
2014-02-07,6.2,6.23,6.43,5.98,9690.0,0.021400000000000002
2014-02-10,6.0,6.2,6.25,5.99,13670.0,-0.0323
2014-02-11,5.99,6.15,6.15,5.98,24170.0,-0.0017000000000000001
2014-02-12,5.88,6.04,6.1,5.85,40530.0,-0.0184
2014-02-13,5.92,5.98,6.1,5.89,22670.0,0.0068000000000000005
2014-02-14,6.01,6.02,6.25,5.95,34080.0,0.0152
2014-02-18,6.0,6.14,6.32,5.95,46390.0,-0.0017000000000000001
2014-02-19,6.06,6.0,6.14,6.0,6870.0,0.01
2014-02-20,6.0,6.14,6.16,6.0,8400.0,-0.009899999999999999
2014-02-21,6.0,6.08,6.09,5.98,4770.0,0.0
2014-02-24,6.1,6.08,6.29,6.0,80720.0,0.0167
2014-02-25,6.19,6.18,6.35,6.18,11700.0,0.0148
2014-02-26,6.26,6.48,6.81,6.25,59640.0,0.0113
2014-02-27,7.1,6.68,7.1,6.27,46450.0,0.13419999999999999
2014-02-28,6.97,7.1,7.18,6.9,38300.0,-0.0183
2014-03-03,8.98,7.03,9.0,6.7,104130.0,0.2884
2014-03-04,8.67,8.97,8.97,7.75,58830.0,-0.0345
2014-03-05,8.82,8.88,8.88,8.41,34940.0,0.0173
2014-03-06,9.47,8.8,10.0,8.32,62020.0,0.0737
2014-03-07,9.09,9.58,9.89,8.45,56940.0,-0.0401
2014-03-10,9.04,9.09,9.43,8.7,31160.0,-0.0055000000000000005
2014-03-11,8.99,9.0,9.2,8.64,32369.999999999996,-0.0055000000000000005
2014-03-12,8.83,8.75,9.08,8.12,99580.0,-0.0178
2014-03-13,8.77,9.08,9.15,8.44,24870.0,-0.0068000000000000005
2014-03-14,11.15,8.85,12.81,8.7,295230.0,0.27140000000000003
2014-03-17,10.43,10.75,11.02,10.19,87280.0,-0.0646
2014-03-18,11.51,10.45,11.6,10.21,94530.0,0.1035
2014-03-19,11.07,11.51,11.96,11.06,48420.0,-0.0382
2014-03-20,11.65,11.61,11.83,10.52,29580.0,0.0524
2014-03-21,11.45,11.81,11.84,10.66,73870.0,-0.0172
2014-03-24,11.35,11.3,11.9,10.5,40270.0,-0.0087
2014-03-25,11.0,11.51,12.01,10.99,33950.0,-0.0308
2014-03-26,12.28,11.25,13.55,11.18,123990.0,0.1164
2014-03-27,11.74,12.17,12.78,11.18,46280.0,-0.044000000000000004
2014-03-28,11.26,12.26,12.26,10.9,30440.0,-0.0409
2014-03-31,9.74,11.02,11.07,9.31,276650.0,-0.135
2014-04-01,9.0,9.77,9.95,8.9,86270.0,-0.076
2014-04-02,9.14,9.0,9.24,8.7,102620.0,0.015600000000000001
2014-04-03,8.57,8.95,8.95,8.0,110410.0,-0.062400000000000004
2014-04-04,8.7,8.69,8.84,7.58,106020.0,0.0152
