Date,Close,Open,High,Low,Volume,Change
1993-11-01,2.59,2.44,2.59,2.44,11750.0,-0.9152
1993-11-03,2.44,2.44,2.44,2.44,15110.0,-0.0579
1993-11-04,2.44,2.44,2.44,2.44,8390.0,0.0
1993-11-05,2.47,2.47,2.47,2.47,20140.0,0.0123
1993-11-10,2.59,2.59,2.59,2.59,1680.0,0.048600000000000004
1993-11-11,2.5,2.5,2.5,2.5,6710.0,-0.0347
1993-11-12,2.5,2.5,2.5,2.5,5040.0,0.0
1993-11-18,2.54,2.5,2.54,2.5,90640.0,0.016
1993-11-24,2.55,2.55,2.55,2.55,5040.0,0.0039000000000000003
1993-12-01,2.53,2.53,2.53,2.53,16790.0,-0.0078000000000000005
1993-12-06,2.59,2.59,2.59,2.59,3360.0,0.023700000000000002
1993-12-07,2.47,2.47,2.47,2.47,3360.0,-0.0463
1993-12-08,2.44,2.44,2.44,2.44,1680.0,-0.0121
1993-12-10,2.47,2.47,2.47,2.47,48680.0,0.0123
1993-12-14,2.47,2.47,2.47,2.47,164490.0,0.0
1993-12-17,2.59,2.47,2.59,2.47,11750.0,0.048600000000000004
1993-12-30,2.47,2.47,2.47,2.47,5040.0,-0.0463
1993-12-31,2.47,2.47,2.47,2.47,3360.0,0.0
1994-01-04,2.5,2.58,2.58,2.5,31890.0,0.0121
1994-01-05,2.5,2.53,2.53,2.5,6710.0,0.0
1994-01-06,2.57,2.57,2.57,2.57,3360.0,0.027999999999999997
1994-01-07,2.53,2.53,2.53,2.53,1680.0,-0.015600000000000001
1994-01-10,2.56,2.57,2.57,2.56,18460.0,0.011899999999999999
1994-01-12,2.47,2.47,2.47,2.47,1680.0,-0.0352
1994-01-19,2.57,2.57,2.57,2.57,16790.0,0.0405
1994-01-20,2.56,2.56,2.56,2.56,1680.0,-0.0039000000000000003
1994-01-21,2.59,2.47,2.59,2.47,18460.0,0.011699999999999999
1994-01-24,2.59,2.59,2.59,2.59,6710.0,0.0
1994-01-31,2.65,2.65,2.65,2.65,1680.0,0.0232
1994-02-01,2.59,2.65,2.65,2.59,3360.0,-0.0226
1994-02-15,2.47,2.47,2.47,2.47,11750.0,-0.0463
1994-02-16,2.59,2.56,2.59,2.56,83920.0,0.048600000000000004
1994-02-17,2.78,2.62,2.78,2.56,139310.0,0.07339999999999999
1994-02-18,2.86,2.79,2.86,2.68,80570.0,0.0288
1994-02-22,2.65,2.65,2.65,2.65,6710.0,-0.07339999999999999
1994-02-23,2.77,2.65,2.77,2.65,6710.0,0.0453
1994-02-24,2.77,2.77,2.77,2.74,13430.0,0.0
1994-02-25,2.8,2.79,2.8,2.68,26860.0,0.0108
1994-02-28,2.8,2.8,2.8,2.74,30210.0,0.0
1994-03-01,2.8,2.71,2.8,2.71,26860.0,0.0
1994-03-02,2.68,2.65,2.76,2.65,23500.0,-0.0429
1994-03-08,2.77,2.77,2.77,2.77,1680.0,0.0336
1994-03-09,2.62,2.65,2.74,2.62,53710.0,-0.0542
1994-03-11,2.5,2.53,2.53,2.5,88960.0,-0.0458
1994-03-14,2.59,2.62,2.62,2.59,20140.0,0.036000000000000004
1994-03-15,2.62,2.62,2.62,2.44,40280.0,0.0116
1994-03-16,2.47,2.44,2.59,2.44,75530.0,-0.057300000000000004
1994-03-17,2.47,2.62,2.62,2.47,16790.0,0.0
1994-03-18,2.53,2.44,2.56,2.38,110780.0,0.024300000000000002
1994-03-21,2.5,2.5,2.5,2.5,8390.0,-0.011899999999999999
1994-03-22,2.44,2.5,2.5,2.44,3360.0,-0.024
1994-03-25,2.44,2.56,2.56,2.4,31890.0,0.0
1994-03-28,2.5,2.44,2.5,2.44,3360.0,0.0246
1994-03-29,2.38,2.44,2.44,2.38,115810.0,-0.048
1994-03-30,2.44,2.5,2.5,2.38,47000.0,0.0252
1994-03-31,2.38,2.38,2.5,2.38,48680.0,-0.0246
1994-04-04,2.35,2.5,2.5,2.35,45320.0,-0.0126
1994-04-05,2.37,2.44,2.44,2.26,25180.0,0.0085
1994-04-06,2.26,2.32,2.32,2.26,21820.0,-0.0464
1994-04-07,2.38,2.38,2.38,2.38,3360.0,0.053099999999999994
1994-04-11,2.2,2.2,2.2,2.2,5040.0,-0.0756
1994-04-12,2.23,2.26,2.26,2.23,23500.0,0.013600000000000001
1994-04-14,2.23,2.2,2.23,2.2,3360.0,0.0
1994-04-15,2.29,2.29,2.29,2.29,3360.0,0.0269
1994-04-21,2.14,2.14,2.14,2.14,10070.0,-0.0655
1994-04-22,2.23,2.23,2.23,2.23,3360.0,0.0421
1994-04-25,2.23,2.23,2.23,2.23,15110.0,0.0
1994-04-26,2.38,2.29,2.38,2.29,8390.0,0.0673
1994-04-28,2.35,2.32,2.38,2.26,52030.0,-0.0126
1994-04-29,2.32,2.38,2.38,2.32,11750.0,-0.0128
1994-05-02,2.44,2.44,2.44,2.26,11750.0,0.051699999999999996
1994-05-03,2.56,2.44,2.56,2.32,48680.0,0.0492
